FR,TR,Name,EN,TIM
1700.0,8,sort,4774.109,45560.31
2400.0,32,sort,1904.923,12872.43
2000.0,4,sort,7686.003,78465.26
2500.0,8,sort,4736.154,38779.15
1900.0,1,sort,25415.14,258366.7
1900.0,32,sort,1819.00395,14304.92
1600.0,4,sort,9712.838,87406.76
2800.0,2,sort,16074.82,135849.8
2300.0,2,sort,16871.1,147118.4
2700.0,32,sort,1433.2601,12429.61
1900.0,4,sort,9387.431,80552.55
2900.0,1,sort,22881.2,211580.4
2800.0,8,sort,5465.475,36915.7
1700.0,4,sort,9797.784,84785.92
2000.0,32,sort,1760.3634,13383.66
2000.0,16,sort,2156.10132,22139.37
1300.0,8,sort,4838.5506,53514.73
2900.0,8,sort,4901.32,36146.77
2800.0,1,sort,22534.02,214547.9
2700.0,1,sort,23196.22,218233.1
2700.0,16,sort,2850.3193,19655.19
1900.0,16,sort,2575.875,23412.56
2000.0,8,sort,4809.274,41707.5
1200.0,2,sort,20696.83,208045.2
2901.0,16,sort,3796.182,18400.73
2800.0,4,sort,8927.857,67624.74
1300.0,1,sort,30660.69,323402.6
1800.0,1,sort,25344.9,266033.1
2500.0,2,sort,15635.942,142459.1
2300.0,16,sort,2456.6734,20782.72
2800.0,32,sort,2573.6352,12463.2
1400.0,8,sort,5263.556,51608.67
1700.0,1,sort,26603.07,274488.6
2000.0,2,sort,17231.91,155440.3
1200.0,8,sort,6267.038,56309.46
1300.0,2,sort,17273.74,197778.1
1200.0,16,sort,3039.583,30172.63
1600.0,1,sort,26171.28,284214.3
2700.0,4,sort,9091.423,69295.47
2500.0,16,sort,2918.743,21061.67
2200.0,8,sort,5065.167,39994.22
2500.0,4,sort,7030.453,70960.7
2800.0,16,sort,2528.998,19371.72
1600.0,8,sort,5170.991,47106.05
2300.0,4,sort,9015.148,73524.59
2500.0,32,sort,2092.25616,12814.51
2400.0,1,sort,23352.9,229854.2
2300.0,1,sort,23815.92,234626.8
1700.0,32,sort,1568.39281,13888.92
2901.0,1,sort,22808.85,184709.3
1200.0,1,sort,31222.31,341059.3
2200.0,1,sort,23976.85,239751.0
1400.0,16,sort,2868.949,27167.61
1800.0,16,sort,3079.965,23406.74
2901.0,2,sort,18627.07,116585.8
2200.0,2,sort,17228.71,149844.3
1800.0,8,sort,4731.9,44472.52
1900.0,2,sort,17359.57,161111.0
2200.0,32,sort,1845.01607,13636.86
2300.0,32,sort,1747.11068,13262.19
2400.0,16,sort,2555.509,20540.07
2900.0,16,sort,2198.4492,19153.07
2700.0,2,sort,17107.92,137653.6
2000.0,1,sort,24021.73,251602.3
1700.0,2,sort,17614.04,169633.9
2200.0,16,sort,2370.1549,20986.63
1300.0,4,sort,10461.956,99021.7
1200.0,4,sort,10511.302,104242.8
2901.0,4,sort,10324.246,60315.31
2700.0,8,sort,5259.643,37868.08
2901.0,8,sort,5915.19,34625.96
2900.0,32,sort,1846.3111,12809.75
2400.0,4,sort,9163.306,71991.43
1800.0,32,sort,2211.3408,13624.02
1900.0,8,sort,5644.661,44063.28
1600.0,2,sort,17427.53,174960.7
2500.0,1,sort,21445.854,226421.8
2900.0,2,sort,17368.0,134508.4
1800.0,2,sort,15767.162,165259.2
1300.0,16,sort,3495.467,28246.55
1700.0,16,sort,2566.329,23726.04
1300.0,32,sort,1903.6306,16625.76
2900.0,4,sort,9402.601,67477.9
2300.0,8,sort,5117.769,38280.38
1400.0,32,sort,2045.207,15858.32
1200.0,32,sort,1990.6187,18172.97
1600.0,16,sort,2970.898,24328.96
2901.0,32,sort,2595.84216,11970.54
1400.0,2,sort,19158.16,188719.0
1400.0,4,sort,10036.952,94749.99
1800.0,4,sort,8646.8745,82689.46
2400.0,8,sort,5204.907,39280.93
1400.0,1,sort,29372.63,308496.1
1600.0,32,sort,1881.1007,14218.63
2400.0,2,sort,16137.02,144354.5
2200.0,4,sort,8349.332,74624.12
