FR,TIM,EN,DC,TR,Name
1200.0,48758,4907.16,2641.16,1,sort
1200.0,48694.5,4954.81,2607.3,1,sort
1200.0,48780.9,4895.89,2526.53,1,sort
1200.0,48942.5,4954.12,2650.35,1,sort
1200.0,48730.7,4941.08,2604.3,1,sort
1200.0,48870.4,4899.27,2629.12,1,sort
1200.0,48906.2,4912.45,2654.27,1,sort
1200.0,48727.9,4407.98,2316.34,1,sort
1200.0,48727.3,4884.35,2585.57,1,sort
1200.0,48706,4902.75,2548.26,1,sort
1200.0,39072.2,3943.71,2051.87,2,sort
1200.0,24573.9,2473.73,1344.35,2,sort
1200.0,24700.2,2544.09,1373.31,2,sort
1200.0,24488.9,2555.47,1398.35,2,sort
1200.0,24485.5,2531.14,1331.14,2,sort
1200.0,35548.2,3339.26,1745.02,2,sort
1200.0,24659.7,2526.47,1344.14,2,sort
1200.0,24612.9,2529.09,1338.95,2,sort
1200.0,38929.9,3876.83,2063.42,2,sort
1200.0,24413.4,2513.09,1306.3,2,sort
1200.0,14571.5,1501.89,821.127,4,sort
1200.0,15732,1453.82,761.477,4,sort
1200.0,15001.9,1627.24,906.653,4,sort
1200.0,14450.9,1617.44,890.876,4,sort
1200.0,14809.5,1672.01,940.108,4,sort
1200.0,19510.5,2084.11,1127.64,4,sort
1200.0,20014.1,1799.1,990.96,4,sort
1200.0,16593.5,1784.55,980.713,4,sort
1200.0,19370.7,1982.03,1063.32,4,sort
1200.0,14400.5,1534.64,848.618,4,sort
1200.0,7875.73,944.537,563.146,8,sort
1200.0,9714.88,1186.54,663.883,8,sort
1200.0,8681.09,1015.65,553.982,8,sort
1200.0,7949.48,941.265,561.477,8,sort
1200.0,8589.9,997.856,575.603,8,sort
1200.0,7954.55,891.653,546.87,8,sort
1200.0,8995.96,842.499,453.764,8,sort
1200.0,9749.43,301.145,58.3349,8,sort
1200.0,9425.69,1153.93,645.776,8,sort
1200.0,5225.44,655.814,395.521,16,sort
1200.0,5042.37,489.256,329.545,16,sort
1200.0,5004.35,581.338,371.907,16,sort
1200.0,7959.87,661.344,437.343,8,sort
1200.0,4955.74,593.703,363.009,16,sort
1200.0,5076.61,508.678,342.921,16,sort
1200.0,5215.01,680.497,428.086,16,sort
1200.0,5200.98,661.243,374.692,16,sort
1200.0,4952.2,695.304,430.43,16,sort
1200.0,4996.91,628.383,451.526,16,sort
1200.0,3300.86,461.117,299.038,32,sort
1200.0,3319.53,397.357,253.537,32,sort
1200.0,3756.76,399.304,297.794,32,sort
1200.0,3453.48,472.511,299.269,32,sort
1200.0,4808.14,586.764,298.72,16,sort
1200.0,3388.24,426.234,299.88,32,sort
1200.0,3262.13,451.882,239.344,32,sort
