Name,TR,TIM,MEM,FR,POW,EN
app4,1,72.36,296324.0,1200.0,91.87,6646.51
app4,1,72.44,305788.0,1200.0,91.89,6652.45
app4,1,72.38,307084.0,1200.0,91.87,6651.79
app4,1,72.49,308248.0,1200.0,91.87,6661.53
app4,1,72.58,304164.0,1200.0,91.86,6668.72
app4,1,72.42,301524.0,1200.0,91.87,6651.24
app4,1,72.63,308000.0,1200.0,91.91,6673.0
app4,1,72.37,310396.0,1200.0,91.93,6650.75
app4,1,72.5,309012.0,1200.0,91.91,6662.91
app4,1,72.4,303060.0,1200.0,91.94,6657.53
app4,2,37.12,300980.0,1200.0,94.9,3525.46
app4,2,37.12,304528.0,1200.0,94.9,3525.49
app4,2,37.11,310180.0,1200.0,94.92,3521.58
app4,2,37.15,307740.0,1200.0,94.9,3526.02
app4,2,37.13,301500.0,1200.0,94.89,3525.2
app4,2,37.1,301832.0,1200.0,94.94,3526.95
app4,2,37.12,306132.0,1200.0,94.93,3526.68
app4,2,37.75,306200.0,1200.0,94.83,3579.76
app4,2,37.11,303640.0,1200.0,94.9,3520.95
app4,2,37.11,304276.0,1200.0,94.91,3526.21
app4,4,20.07,296372.0,1200.0,100.0,2010.28
app4,4,19.6,299832.0,1200.0,100.17,1963.52
app4,4,20.72,303772.0,1200.0,99.61,2067.36
app4,4,20.06,303736.0,1200.0,99.99,2005.0
app4,4,20.07,305276.0,1200.0,99.98,2009.82
app4,4,20.06,308092.0,1200.0,100.0,2010.03
app4,4,20.72,304980.0,1200.0,99.72,2069.43
app4,4,19.59,305516.0,1200.0,100.27,1965.44
app4,4,20.72,304660.0,1200.0,99.59,2066.74
app4,4,20.06,306944.0,1200.0,99.99,2011.73
app4,8,11.33,299432.0,1200.0,106.98,1213.65
app4,8,11.31,304680.0,1200.0,106.89,1214.73
app4,8,11.3,302088.0,1200.0,106.97,1209.44
app4,8,11.32,299340.0,1200.0,106.87,1213.58
app4,8,11.3,299764.0,1200.0,106.97,1209.04
app4,8,11.34,302636.0,1200.0,106.99,1210.33
app4,8,11.31,303300.0,1200.0,106.97,1210.39
app4,8,11.3,308804.0,1200.0,106.97,1214.67
app4,8,11.31,305908.0,1200.0,107.02,1210.23
app4,8,11.3,308860.0,1200.0,106.92,1207.6
app4,16,10.97,304424.0,1200.0,108.51,1194.32
app4,16,10.96,308960.0,1200.0,108.72,1196.76
app4,16,11.04,303124.0,1200.0,108.93,1198.99
app4,16,10.97,302304.0,1200.0,108.17,1185.0
app4,16,10.95,301876.0,1200.0,108.76,1191.43
app4,16,10.96,299988.0,1200.0,108.71,1196.52
app4,16,10.94,301408.0,1200.0,108.96,1193.52
app4,16,10.96,308316.0,1200.0,108.75,1196.91
app4,16,10.97,302884.0,1200.0,108.69,1190.87
app4,16,10.97,298100.0,1200.0,108.86,1192.62
app4,32,10.97,299168.0,1200.0,108.78,1192.75
app4,32,10.97,308988.0,1200.0,108.61,1189.88
app4,32,10.96,307684.0,1200.0,108.61,1195.35
app4,32,10.96,308012.0,1200.0,108.74,1191.51
app4,32,10.96,307868.0,1200.0,108.29,1186.35
app4,32,10.96,303368.0,1200.0,108.88,1198.37
app4,32,10.96,304708.0,1200.0,108.79,1191.73
app4,32,10.96,305956.0,1200.0,108.91,1193.17
app4,32,10.95,303600.0,1200.0,108.72,1191.23
app4,32,10.96,301496.0,1200.0,108.41,1187.91
cr_audio1.flac,1,12.46,298640.0,1200.0,91.92,1144.36
cr_audio1.flac,1,12.21,302892.0,1200.0,91.94,1122.15
cr_audio1.flac,1,12.18,303728.0,1200.0,91.86,1116.31
cr_audio1.flac,1,12.21,300408.0,1200.0,91.92,1125.99
cr_audio1.flac,1,12.18,303120.0,1200.0,91.7,1113.52
cr_audio1.flac,1,12.24,302668.0,1200.0,91.83,1124.65
cr_audio1.flac,1,12.2,299932.0,1200.0,91.74,1119.16
cr_audio1.flac,1,12.21,303776.0,1200.0,91.92,1124.09
cr_audio1.flac,1,12.22,303332.0,1200.0,92.09,1128.06
cr_audio1.flac,1,12.18,299940.0,1200.0,91.64,1116.83
cr_audio1.flac,2,6.06,308560.0,1200.0,95.04,579.7
cr_audio1.flac,2,6.2,304264.0,1200.0,94.93,588.55
cr_audio1.flac,2,6.06,306808.0,1200.0,95.16,580.59
cr_audio1.flac,2,6.07,308692.0,1200.0,95.21,575.87
cr_audio1.flac,2,6.18,302688.0,1200.0,95.05,584.28
cr_audio1.flac,2,6.19,309036.0,1200.0,95.08,589.41
