Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
app4,1,47.48,1434.8,140394514.0,2.91,0.06128896377422073,1200.0,90.92,4316.91
app4,2,24.05,2885.6,140394514.0,2.91,0.120997920997921,1200.0,94.71,2278.34
app4,4,12.32,4908.8,140394514.0,2.91,0.23620129870129872,1200.0,99.88,1231.29
app4,8,6.4,7699.2,140394514.0,2.91,0.4546875,1200.0,109.62,703.35
app4,16,3.6,13819.2,140394514.0,2.91,0.8083333333333333,1200.0,122.81,444.87
app4,32,2.77,25033.6,140394514.0,2.91,1.0505415162454874,1200.0,126.33,352.2
cr_audio1.flac,1,10.37,1444.0,123876680.0,1.0,0.09643201542912247,1200.0,91.36,947.41
cr_audio1.flac,2,5.31,2638.0,123876680.0,1.0,0.18832391713747648,1200.0,95.86,510.13
cr_audio1.flac,4,2.83,4091.6,123876680.0,1.0,0.35335689045936397,1200.0,101.48,290.06
cr_audio1.flac,8,1.68,7090.4,123876680.0,1.0,0.5952380952380952,1200.0,110.41,187.25
cr_audio1.flac,16,1.08,13816.4,123876680.0,1.0,0.9259259259259258,1200.0,118.21,129.22
cr_audio1.flac,32,0.91,27101.2,123876680.0,1.0,1.0989010989010988,1200.0,116.45,112.8
cr_audio1.wav,1,20.84,1438.8,196800178.0,1.08,0.05182341650671785,1200.0,91.35,1905.29
cr_audio1.wav,2,10.78,2776.0,196800178.0,1.08,0.10018552875695734,1200.0,95.52,1029.76
cr_audio1.wav,4,5.89,4176.8,196800178.0,1.08,0.1833616298811545,1200.0,100.85,596.8
cr_audio1.wav,8,3.33,7288.0,196800178.0,1.08,0.32432432432432434,1200.0,110.4,369.38
cr_audio1.wav,16,2.16,14143.2,196800178.0,1.08,0.5,1200.0,118.98,259.18
cr_audio1.wav,32,1.93,28231.2,196800178.0,1.08,0.5595854922279794,1200.0,115.88,224.53
enwik8,1,13.3,1362.8,36562892.0,2.74,0.20601503759398496,1200.0,91.03,1211.57
enwik8,2,6.75,2446.0,36562892.0,2.74,0.40592592592592597,1200.0,94.64,639.82
enwik8,4,3.44,3679.6,36562892.0,2.74,0.7965116279069768,1200.0,99.43,342.16
enwik8,8,1.71,6146.8,36562892.0,2.74,1.60233918128655,1200.0,110.47,190.32
enwik8,16,0.98,11274.4,36562892.0,2.74,2.795918367346939,1200.0,122.27,122.78
enwik8,32,0.71,21250.8,36562892.0,2.74,3.8591549295774654,1200.0,128.16,92.27
enwik9,1,115.22,1364.0,324068808.0,3.09,0.02681826071862524,1200.0,90.95,10478.75
enwik9,2,58.66,2559.2,324068808.0,3.09,0.052676440504602795,1200.0,94.67,5553.45
enwik9,4,29.57,3855.2,324068808.0,3.09,0.10449780182617517,1200.0,99.87,2953.66
enwik9,8,16.09,6343.2,324068808.0,3.09,0.19204474829086388,1200.0,109.66,1766.29
enwik9,16,9.37,11823.6,324068808.0,3.09,0.3297758804695838,1200.0,121.33,1137.73
enwik9,32,7.16,22465.6,324068808.0,3.09,0.4315642458100558,1200.0,126.27,904.08
game1,1,86.39,1434.8,247920492.0,2.83,0.03275842111355481,1200.0,90.94,7856.61
game1,2,43.48,2896.8,247920492.0,2.83,0.06508739650413985,1200.0,94.63,4114.96
game1,4,22.23,4752.8,247920492.0,2.83,0.1273054430949168,1200.0,99.64,2216.31
game1,8,11.75,7867.6,247920492.0,2.83,0.24085106382978724,1200.0,109.31,1285.99
game1,16,6.99,13946.4,247920492.0,2.83,0.40486409155937053,1200.0,120.27,840.64
game1,32,5.13,27053.6,247920492.0,2.83,0.5516569200779727,1200.0,124.46,642.55
app4,1,36.2,1435.6,140394514.0,2.91,0.08038674033149171,1600.0,93.85,3398.63
app4,2,18.12,2872.4,140394514.0,2.91,0.1605960264900662,1600.0,100.18,1815.59
app4,4,9.46,4524.0,140394514.0,2.91,0.30761099365750527,1600.0,108.25,1026.13
app4,8,4.87,7538.0,140394514.0,2.91,0.5975359342915811,1600.0,121.0,590.11
app4,16,2.89,13663.6,140394514.0,2.91,1.0069204152249136,1600.0,136.6,399.41
app4,32,2.16,24968.4,140394514.0,2.91,1.347222222222222,1600.0,144.08,315.54
cr_audio1.flac,1,7.99,1443.2,123876680.0,1.0,0.1251564455569462,1600.0,94.02,752.61
cr_audio1.flac,2,4.05,2652.8,123876680.0,1.0,0.2469135802469136,1600.0,101.94,413.52
cr_audio1.flac,4,2.2,4051.6,123876680.0,1.0,0.45454545454545453,1600.0,110.01,243.64
cr_audio1.flac,8,1.27,6990.0,123876680.0,1.0,0.7874015748031495,1600.0,121.08,154.26
cr_audio1.flac,16,0.85,14136.0,123876680.0,1.0,1.1764705882352942,1600.0,131.97,114.07
cr_audio1.flac,32,0.75,27226.8,123876680.0,1.0,1.3333333333333333,1600.0,128.88,100.52
cr_audio1.wav,1,15.8,1439.2,196800178.0,1.08,0.06835443037974684,1600.0,94.13,1492.07
cr_audio1.wav,2,8.15,2687.2,196800178.0,1.08,0.1325153374233129,1600.0,101.55,828.38
cr_audio1.wav,4,4.6,4131.6,196800178.0,1.08,0.2347826086956522,1600.0,109.04,502.03
cr_audio1.wav,8,2.6,7424.8,196800178.0,1.08,0.4153846153846154,1600.0,120.65,316.13
cr_audio1.wav,16,1.84,14066.8,196800178.0,1.08,0.5869565217391305,1600.0,130.09,240.9
cr_audio1.wav,32,1.52,27018.8,196800178.0,1.08,0.7105263157894737,1600.0,128.25,198.99
enwik8,1,9.99,1364.0,36562892.0,2.74,0.2742742742742743,1600.0,93.82,938.1
enwik8,2,5.04,2424.0,36562892.0,2.74,0.5436507936507937,1600.0,100.97,508.76
enwik8,4,2.53,3670.0,36562892.0,2.74,1.0830039525691701,1600.0,108.89,277.19
enwik8,8,1.29,6144.4,36562892.0,2.74,2.124031007751938,1600.0,121.69,159.15
enwik8,16,0.71,11375.2,36562892.0,2.74,3.8591549295774654,1600.0,138.81,99.36
enwik8,32,0.53,21211.2,36562892.0,2.74,5.169811320754717,1600.0,145.32,78.53
enwik9,1,86.56,1362.8,324068808.0,3.09,0.03569778188539741,1600.0,93.85,8123.7
enwik9,2,44.05,2571.2,324068808.0,3.09,0.07014755959137343,1600.0,100.34,4420.67
enwik9,4,22.86,3792.8,324068808.0,3.09,0.13517060367454067,1600.0,108.9,2491.61
enwik9,8,12.22,6332.8,324068808.0,3.09,0.25286415711947624,1600.0,120.85,1477.69
enwik9,16,7.45,11630.8,324068808.0,3.09,0.4147651006711409,1600.0,135.94,1015.49
enwik9,32,5.73,22348.8,324068808.0,3.09,0.5392670157068062,1600.0,141.45,812.67
game1,1,64.45,1434.8,247920492.0,2.83,0.0439100077579519,1600.0,93.77,6044.41
game1,2,32.75,2961.2,247920492.0,2.83,0.08641221374045802,1600.0,100.29,3285.15
game1,4,17.01,4570.0,247920492.0,2.83,0.16637272192827748,1600.0,108.54,1847.85
game1,8,9.11,7854.0,247920492.0,2.83,0.31064763995609224,1600.0,119.35,1089.71
game1,16,5.24,13729.6,247920492.0,2.83,0.5400763358778626,1600.0,136.67,718.75
game1,32,3.95,25834.8,247920492.0,2.83,0.7164556962025316,1600.0,141.9,563.64
app4,1,31.89,1435.6,140394514.0,2.91,0.09125117591721543,1800.0,95.3,3038.33
app4,2,16.14,2935.6,140394514.0,2.91,0.18029739776951673,1800.0,103.14,1665.23
app4,4,8.3,4523.6,140394514.0,2.91,0.3506024096385542,1800.0,113.05,939.6
app4,8,4.44,7933.6,140394514.0,2.91,0.6554054054054054,1800.0,127.07,565.03
app4,16,2.61,13416.0,140394514.0,2.91,1.1149425287356323,1800.0,146.6,386.49
app4,32,1.98,24878.0,140394514.0,2.91,1.4696969696969697,1800.0,153.18,306.84
cr_audio1.flac,1,7.07,1443.2,123876680.0,1.0,0.14144271570014144,1800.0,95.69,676.61
cr_audio1.flac,2,3.62,2600.0,123876680.0,1.0,0.27624309392265195,1800.0,105.14,380.06
cr_audio1.flac,4,2.04,4088.4,123876680.0,1.0,0.49019607843137253,1800.0,114.51,234.14
cr_audio1.flac,8,1.16,7082.0,123876680.0,1.0,0.8620689655172414,1800.0,127.82,149.81
cr_audio1.flac,16,0.81,14054.0,123876680.0,1.0,1.2345679012345678,1800.0,137.49,113.77
cr_audio1.flac,32,0.71,27146.8,123876680.0,1.0,1.4084507042253522,1800.0,134.54,102.55
cr_audio1.wav,1,14.25,1439.2,196800178.0,1.08,0.07578947368421053,1800.0,95.57,1362.6
cr_audio1.wav,2,7.34,2676.0,196800178.0,1.08,0.14713896457765668,1800.0,104.18,764.56
cr_audio1.wav,4,4.1,4169.6,196800178.0,1.08,0.26341463414634153,1800.0,113.79,468.41
cr_audio1.wav,8,2.5,7297.6,196800178.0,1.08,0.43200000000000005,1800.0,125.21,314.1
cr_audio1.wav,16,1.71,14309.2,196800178.0,1.08,0.6315789473684211,1800.0,137.45,236.51
cr_audio1.wav,32,1.49,26802.4,196800178.0,1.08,0.7248322147651007,1800.0,133.15,202.64
enwik8,1,8.93,1363.6,36562892.0,2.74,0.30683090705487126,1800.0,95.36,851.4
enwik8,2,4.49,2605.6,36562892.0,2.74,0.6102449888641426,1800.0,103.54,465.52
enwik8,4,2.26,3849.6,36562892.0,2.74,1.2123893805309736,1800.0,113.8,258.07
enwik8,8,1.14,6159.2,36562892.0,2.74,2.403508771929825,1800.0,128.81,148.64
enwik8,16,0.65,11406.4,36562892.0,2.74,4.2153846153846155,1800.0,148.46,98.22
enwik8,32,0.47,21601.6,36562892.0,2.74,5.829787234042554,1800.0,155.92,78.05
enwik9,1,77.31,1363.6,324068808.0,3.09,0.039968956150562666,1800.0,95.39,7374.88
enwik9,2,39.28,2598.0,324068808.0,3.09,0.07866598778004073,1800.0,103.65,4070.92
enwik9,4,20.45,3792.8,324068808.0,3.09,0.15110024449877751,1800.0,113.01,2310.87
enwik9,8,11.14,6376.8,324068808.0,3.09,0.27737881508078993,1800.0,127.05,1417.57
enwik9,16,6.79,11822.4,324068808.0,3.09,0.45508100147275404,1800.0,144.42,982.26
enwik9,32,5.21,21931.2,324068808.0,3.09,0.5930902111324377,1800.0,151.47,791.37
