FR,TR,Name,REP,START,END,TIM,EN
1200,16,03,2,1405164232.979061163,1405164241.848553844,8.869492681,941.786555
1200,16,03,3,1405164242.508665504,1405164250.962455452,8.453789948,886.343715
1200,16,03,4,1405164252.424123653,1405164261.294556683,8.870433030,931.654811
1200,16,03,5,1405164262.757985574,1405164272.089517638,9.331532064,979.199291
1200,16,03,6,1405164272.760387525,1405164281.329117840,8.568730315,908.505263
1200,16,03,7,1405164282.843995276,1405164292.210137083,9.366141807,1019.636831
1200,16,03,8,1405164294.678338450,1405164303.441139032,8.762800582,906.379999
1200,8,03,2,1405166824.462042872,1405166833.622687464,9.160644592,942.836244
1200,8,03,3,1405166834.287387180,1405166843.927155648,9.639768468,987.32176
1200,8,03,4,1405166844.591389279,1405166854.620648053,10.029258774,1033.776199
1200,8,03,5,1405166857.093986765,1405166867.338650248,10.244663483,1061.666304
1200,8,03,6,1405166868.806737300,1405166877.962456754,9.155719454,954.651247
1200,8,03,7,1405166878.624411058,1405166888.714463118,10.090052060,1035.310703
1200,8,03,8,1405166891.184787628,1405166901.118109386,9.933321758,1021.448394
1200,32,03,2,1405169498.786654236,1405169507.730058104,8.943403868,955.157678
1200,32,03,3,1405169508.426793474,1405169517.795517653,9.368724179,995.844047
1200,32,03,4,1405169518.497697421,1405169527.122446550,8.624749129,926.528423
1200,32,03,5,1405169528.588914689,1405169537.577388907,8.988474218,979.205878
1200,32,03,6,1405169538.242129479,1405169547.379579612,9.137450133,977.764101
1200,32,03,7,1405169548.848017254,1405169558.130137867,9.282120613,996.562225
1200,32,03,8,1405169558.790947712,1405169568.039923504,9.248975792,991.281585
1200,4,03,2,1405172554.651525964,1405172566.563301950,11.911775986,1198.749966
1200,4,03,3,1405172569.033832837,1405172580.384756071,11.350923234,1146.104564
1200,4,03,4,1405172582.856498437,1405172593.895424593,11.038926156,1121.220953
1200,4,03,5,1405172594.597834767,1405172606.055966093,11.458131326,1153.7587
1200,4,03,6,1405172606.716815950,1405172618.390652129,11.673836179,1177.553858
1200,4,03,7,1405172620.861115845,1405172632.752124928,11.891009083,1211.23529
1200,4,03,8,1405172635.224499431,1405172645.506819366,10.282319935,1034.333268
1200,2,03,2,1405176619.097841996,1405176633.744389688,14.646547692,1449.471099
1200,2,03,3,1405176634.445591263,1405176648.838178496,14.392587233,1426.991695
1200,2,03,4,1405176650.305775226,1405176665.006263022,14.700487796,1448.716782
1200,2,03,5,1405176666.474314339,1405176681.090528164,14.616213825,1446.307475
1200,2,03,6,1405176682.557732495,1405176698.696131695,16.138399200,1588.934496
1200,2,03,7,1405176701.171003081,1405176714.037134411,12.866131330,1258.6528
1200,2,03,8,1405176714.701885262,1405176729.449603525,14.747718263,1452.214514
1200,1,03,2,1405182213.025089024,1405182233.588136266,20.563047242,1952.211335
1200,1,03,3,1405182235.059943593,1405182255.767012528,20.707068935,1968.633909
1200,1,03,4,1405182256.429486372,1405182277.413359159,20.983872787,2003.334412
1200,1,03,5,1405182278.890243909,1405182299.531314777,20.641070868,1965.382191
1200,1,03,6,1405182301.038992810,1405182321.946962189,20.907969379,1998.361216
1200,1,03,7,1405182322.612796472,1405182343.630469742,21.017673270,2003.870219
1200,1,03,8,1405182344.295810584,1405182364.960928713,20.665118129,1995.837126
