FR,TR,Name,EN,TIM
2700,1,17,18515.051929,168.615854466
2901,8,17,11589.704034,47.433623773
1800,16,17,12431.456897,75.331101324
2400,8,17,11015.925135,69.079819982
2700,16,17,12090.372203,51.032184806
1800,8,17,12403.464098,93.311175519
2800,2,17,14597.139325,113.924651226
2700,4,17,14546.269665,102.546287775
2000,32,17,20901.368292,109.79238036
1300,1,17,34186.688206,359.287286465
1300,2,17,24779.480197,249.094716715
2400,16,17,11962.719419,57.163538915
1900,1,17,22608.68006,228.195673185
1900,8,17,12011.986175,86.787349616
1700,1,17,26106.604,265.450567463
1600,32,17,22541.020431,140.523898337
1600,1,17,26867.068718,276.947117283
1700,8,17,12622.249753,97.278802553
1800,32,17,21437.767375,122.896903967
2200,4,17,15624.014845,123.552942693
2400,32,17,20656.389064,91.028195507
2200,16,17,11975.199341,62.06445532
2000,16,17,12165.926685,69.174655835
1200,16,17,14943.100172,114.485806293
2000,1,17,21842.852581,215.230749305
1400,4,17,21379.150188,200.768389608
2700,8,17,10807.523147,61.468896004
2300,32,17,20462.548388,94.039336368
2000,8,17,11947.545263,84.58414284
2300,8,17,11282.993881,72.728257335
1900,2,17,18929.894486,175.495570064
2000,2,17,17542.040944,158.654835734
1300,32,17,24432.5657,172.003295444
1600,16,17,12892.457652,85.447322196
1400,16,17,13818.009871,98.162973214
2500,4,17,14901.129742,111.177031957
2400,4,17,15383.88754,116.586680754
1200,2,17,26745.974507,272.462525067
2200,2,17,16821.308259,146.101362936
2500,32,17,20588.075389,86.358468427
2000,4,17,16641.35637,136.991139666
1300,16,17,14108.789302,103.675554847
1900,16,17,12365.114319,72.803427976
1400,32,17,23449.449551,158.222725013
1700,2,17,20244.095992,192.671021597
1800,4,17,17868.350151,153.670807858
1900,4,17,17458.600123,148.418659981
1200,32,17,25037.954482,182.652300102
2200,32,17,20582.945863,99.23351525
2900,16,17,12513.338443,48.426068821
2901,4,17,14835.351476,76.399188383
2500,1,17,17957.021609,168.216826554
2400,2,17,15986.16543,135.033327406
2500,16,17,11987.672344,55.393519932
1800,2,17,19759.515585,184.633225473
2900,32,17,21680.854551,75.038626837
2800,16,17,12238.286157,49.487373756
2800,32,17,22397.321957,82.1075008
2900,1,17,16995.334149,151.54188835
2500,8,17,10837.622043,65.961121269
2300,16,17,11888.169103,59.320221669
2800,4,17,14331.252772,98.698992585
2700,2,17,14658.747986,118.89652495
1400,2,17,23652.61145,235.228095312
2901,16,17,13956.277066,42.048375998
1200,4,17,24060.545116,234.331157713
1600,2,17,20957.56475,202.503197822
2200,1,17,20851.764266,200.970251389
2700,32,17,21796.373156,83.47562104
2300,1,17,20251.59377,192.895379163
1700,4,17,18796.685428,164.5467194
1800,1,17,25015.671454,252.052913081
1300,8,17,15452.099093,132.256539749
2400,1,17,19389.009988,182.954161947
1700,16,17,12465.368892,79.102310992
2500,2,17,15916.192672,133.240602653
1900,32,17,21725.511099,119.399307704
2300,2,17,17193.245235,146.821680828
1600,8,17,13313.934708,105.496315681
1200,8,17,15949.322105,140.253801564
2900,8,17,10589.121284,56.129672073
2900,2,17,14527.948245,114.010470542
2300,4,17,15642.415909,121.470187927
1400,8,17,14843.452662,124.12858993
1400,1,17,31372.968551,326.96441
1200,1,17,36562.413549,386.798930709
2901,2,17,14547.61929,87.033988462
1700,32,17,21382.417538,127.780807108
2800,1,17,16701.43828,151.251474749
2800,8,17,10726.260572,59.265662777
2900,4,17,14228.720958,95.784734424
1600,4,17,19710.513945,176.085868087
1300,4,17,22130.35253,211.520697891
2901,1,17,15224.120532,112.359214272
2901,32,17,25269.953969,67.627879009
2200,8,17,11464.542766,76.665805734
