FR,TR,Name,EN,TIM
1700.0,8,sort,9352.586,80445.77
2200.0,16,sort,6576.582,48106.34
2000.0,4,sort,14071.84,115054.8
2500.0,8,sort,7706.143,54159.1
1900.0,1,sort,43566.92,420601.9
1900.0,32,sort,8050.796,58779.96
1600.0,4,sort,14167.765,137104.5
2800.0,2,sort,19198.19,146961.5
2300.0,2,sort,21860.93,179090.3
2700.0,32,sort,5441.842,34679.0
1900.0,4,sort,14251.72,118357.5
2900.0,1,sort,32802.17,276349.4
2800.0,8,sort,6193.451,48662.78
1700.0,4,sort,15614.56,131719.5
2000.0,32,sort,6240.885,48706.57
1300.0,32,sort,7733.075,73801.23
2400.0,2,sort,21080.06,175466.8
2900.0,8,sort,5923.8516,46919.72
2800.0,1,sort,36324.21,286222.4
2700.0,1,sort,35294.85,296549.7
2700.0,16,sort,5509.47,38571.05
1900.0,16,sort,5812.415,52357.56
2000.0,8,sort,7704.468,67730.62
1200.0,2,sort,31393.14,342184.9
2901.0,16,sort,4506.286,29179.59
2800.0,4,sort,10588.889,79333.13
1300.0,1,sort,59289.42,614625.5
1800.0,1,sort,45102.28,443870.0
2500.0,2,sort,20178.08,165351.7
1800.0,32,sort,7460.616,64450.05
2800.0,32,sort,3709.684,32497.73
1400.0,8,sort,10589.563,95727.21
1700.0,1,sort,47566.11,469833.7
2000.0,2,sort,22728.64,205490.3
1200.0,8,sort,11005.682,111948.4
1300.0,2,sort,31811.14,316810.5
1200.0,16,sort,8248.589,88431.51
1600.0,1,sort,50483.68,499308.6
2700.0,4,sort,11916.901,84383.56
2500.0,16,sort,5038.3993,42763.58
2200.0,8,sort,8918.492,61582.73
2500.0,4,sort,10128.277,87801.66
2800.0,16,sort,5806.686,36858.95
1600.0,8,sort,9056.571,84081.97
2300.0,4,sort,12585.7,97286.01
2500.0,32,sort,3920.625,36338.78
2400.0,1,sort,37750.76,333458.1
2300.0,1,sort,39451.74,347795.1
1700.0,32,sort,6199.589,54678.44
1200.0,32,sort,8350.859,84912.29
2901.0,32,sort,4736.375,26967.92
2200.0,1,sort,39934.14,363805.8
1400.0,16,sort,8668.027,73882.37
1800.0,16,sort,8357.397,61092.35
2901.0,2,sort,17536.66,114481.5
2200.0,2,sort,21919.37,187181.5
1800.0,8,sort,9073.188,76580.64
1900.0,2,sort,23864.94,216481.1
2400.0,16,sort,5376.615,43341.82
2300.0,32,sort,5718.709,44027.07
2200.0,32,sort,4557.503,42147.23
2900.0,16,sort,5931.213,36069.4
2700.0,2,sort,19817.21,156538.3
2000.0,1,sort,42564.47,399740.9
1700.0,2,sort,26304.32,241650.3
2400.0,32,sort,5465.197,38477.4
1300.0,4,sort,17301.13,168354.9
1200.0,4,sort,17150.017,183229.9
2901.0,4,sort,11404.235,65658.7
2700.0,8,sort,5857.161,50408.62
2901.0,8,sort,5557.15,39070.4
2900.0,32,sort,5113.291,33035.09
2400.0,4,sort,13338.22,94828.92
2300.0,16,sort,6806.003,46765.69
1900.0,8,sort,10175.736,71173.44
1600.0,2,sort,27691.89,257534.2
2500.0,1,sort,37237.04,320128.4
2900.0,2,sort,18503.87,142167.5
1800.0,2,sort,24171.57,228949.1
1300.0,16,sort,9121.719,79911.93
1700.0,16,sort,6422.914,62873.9
2000.0,16,sort,6025.834,49905.62
2900.0,4,sort,11181.505,78723.54
2300.0,8,sort,7571.615,58300.96
1400.0,32,sort,8069.397,69395.08
2901.0,1,sort,36132.35,214437.5
1600.0,16,sort,6703.039,62081.0
1200.0,1,sort,63532.76,665563.1
1400.0,2,sort,29550.16,293482.4
1400.0,4,sort,16681.87,158353.2
1800.0,4,sort,12544.242,125672.6
2400.0,8,sort,8077.428,56620.26
1400.0,1,sort,55256.14,570592.4
1600.0,32,sort,8243.943,69370.19
1300.0,8,sort,11092.22,103371.0
2200.0,4,sort,11142.756,101156.54
