FR,TIM,EN,DC,TR,Name
1200.0,100914,9525.66,5040.74,1,sort
1200.0,99919.8,9435.01,4987.3,1,sort
1200.0,101218,9559.32,5050.79,1,sort
1200.0,99662.4,9405.87,4973.93,1,sort
1200.0,99631.2,9404.89,4980.86,1,sort
1200.0,100277,9467.01,5002.66,1,sort
1200.0,100871,9525.1,5103.69,1,sort
1200.0,100346,9471.53,5001.84,1,sort
1200.0,99127.4,9359,4946.76,1,sort
1200.0,100891,9527.21,5064.63,1,sort
1200.0,52866.1,5280.31,2926.23,2,sort
1200.0,52806.4,5275.78,2920.36,2,sort
1200.0,54216.2,5414.17,3021.73,2,sort
1200.0,53391.7,5328.81,2954.85,2,sort
1200.0,53743.6,5362.49,2970.28,2,sort
1200.0,52577.7,5247.71,2908.55,2,sort
1200.0,53635.4,5353.42,2979.08,2,sort
1200.0,53044.5,5298.43,2956.28,2,sort
1200.0,53218.9,5317.79,2947.88,2,sort
1200.0,53390.4,5331.73,2979.66,2,sort
1200.0,33005.8,3468.61,2005.79,4,sort
1200.0,32517,3420.08,1966.27,4,sort
1200.0,33241.1,3494.84,2029.09,4,sort
1200.0,32936.3,3463.25,1997.39,4,sort
1200.0,32990.4,3466.87,1992.47,4,sort
1200.0,33294.5,3500.46,2022.52,4,sort
1200.0,33330.8,3494.7,2009.33,4,sort
1200.0,33743.8,3538.79,2043.07,4,sort
1200.0,33476.7,3511.89,2022.75,4,sort
1200.0,34090.2,3578.44,2057.01,4,sort
1200.0,19846,2223.71,1332.17,8,sort
1200.0,17371.9,2024.91,1241.62,8,sort
1200.0,18473.5,2125.21,1293.8,8,sort
1200.0,17803.2,2053.95,1250.75,8,sort
1200.0,18283.8,2116.11,1289.35,8,sort
1200.0,18000.4,2057.85,1248.44,8,sort
1200.0,18735.5,2145.35,1298.04,8,sort
1200.0,18677.6,2153.66,1310.35,8,sort
1200.0,18358.5,1634.83,998.08,8,sort
1200.0,20136.3,2262.6,1355.93,8,sort
1200.0,9833.98,1279.71,830.876,16,sort
1200.0,9744.46,1291.39,849.805,16,sort
1200.0,9179.51,1212.28,798.33,16,sort
1200.0,9809.23,1278.61,831.788,16,sort
1200.0,10031.9,1295.83,840.109,16,sort
1200.0,10325.2,1324.49,853.192,16,sort
1200.0,10436.6,1340.83,866.346,16,sort
1200.0,9081.12,1205.15,791.575,16,sort
1200.0,9676.37,1266.74,823.774,16,sort
1200.0,9609.07,1268.52,830.262,16,sort
1200.0,5663.49,804.791,544.255,32,sort
1200.0,5529.39,791.803,537.153,32,sort
1200.0,5475.3,788.056,536.953,32,sort
1200.0,5509.66,792.132,539.267,32,sort
1200.0,5509.89,764.245,520.061,32,sort
1200.0,5756.59,816.413,552.996,32,sort
1200.0,5554.42,799.743,543.175,32,sort
1200.0,5622.41,800.711,543.94,32,sort
1200.0,5603.78,799.692,542.383,32,sort
1200.0,5453.68,780.525,529.991,32,sort
1300.0,92704,8770.05,4573.37,1,sort
1300.0,93128.7,8810.33,4594.82,1,sort
1300.0,93559.3,8849.62,4608.2,1,sort
1300.0,93844.1,8877.25,4634.74,1,sort
1300.0,91876.4,8693.95,4518.35,1,sort
1300.0,92710,8770.35,4572.8,1,sort
1300.0,91963.1,8703.63,4544.86,1,sort
1300.0,93846.3,8877.78,4634.61,1,sort
1300.0,92490.4,8750.92,4565.49,1,sort
1300.0,93817.2,8872.97,4624.44,1,sort
1300.0,49592.7,4991.85,2740.54,2,sort
1300.0,50089.8,5038.33,2766.68,2,sort
1300.0,49346.1,4965.72,2722.92,2,sort
1300.0,49163.3,4948.42,2711.58,2,sort
1300.0,49359.9,4968.33,2726.16,2,sort
1300.0,50312.9,5061.36,2776.57,2,sort
1300.0,50134.5,5042.94,2767.48,2,sort
1300.0,49551.4,4985.16,2735.41,2,sort
1300.0,49906.4,5020.28,2751.45,2,sort
1300.0,49269,4958.22,2725.22,2,sort
1300.0,31323.7,3327.98,1896.71,4,sort
1300.0,31142.3,3312.07,1894.02,4,sort
1300.0,31151.4,3306.39,1885.68,4,sort
1300.0,31214.4,3317.07,1897.76,4,sort
1300.0,31021.7,3299.14,1888.18,4,sort
1300.0,31019.3,3296.36,1876.46,4,sort
1300.0,31769.1,3378.9,1937.96,4,sort
1300.0,31582.1,3346.16,1918.88,4,sort
1300.0,31426,3335.59,1910.55,4,sort
1300.0,31601.6,3355.27,1921.99,4,sort
1300.0,17191.3,1997.63,1210.93,8,sort
1300.0,16966.6,2005.39,1231.73,8,sort
1300.0,18519.6,2124.55,1276.69,8,sort
1300.0,16712.2,1966.32,1200.58,8,sort
1300.0,17343.5,2036.26,1241.73,8,sort
1300.0,16933,1959.33,1196.51,8,sort
1300.0,16322.8,1923.46,1172.56,8,sort
1300.0,17334.5,2041.77,1246.16,8,sort
1300.0,16077.9,1822,1116.07,8,sort
1300.0,17095,2000.83,1215.33,8,sort
1300.0,9105.92,1212.29,786.554,16,sort
1300.0,8816.18,1194.5,784.706,16,sort
1300.0,8948.85,1214.03,797.976,16,sort
1300.0,9538.23,1266.33,821.597,16,sort
1300.0,9443.29,1257.83,820.682,16,sort
1300.0,9643.7,1268.25,822.459,16,sort
1300.0,8687.94,1175.36,770.448,16,sort
1300.0,9615.8,1261.59,816.451,16,sort
1300.0,9104.34,1231.65,810.519,16,sort
1300.0,8926.54,1214.11,802.146,16,sort
1300.0,5081.89,750.371,514.628,32,sort
1300.0,5129.11,763.025,524.466,32,sort
1300.0,5277.58,778.151,531.757,32,sort
1300.0,5215.73,763.863,521.701,32,sort
1300.0,5077.96,749.933,514.312,32,sort
1300.0,5076.44,759.262,449.44,32,sort
1300.0,5193.61,762.243,523.434,32,sort
1300.0,5051.23,749.482,515.584,32,sort
1300.0,5070.76,753.014,487.511,32,sort
1300.0,5066.04,746.075,513.259,32,sort
1400.0,86743.1,8272.34,4493.95,1,sort
1400.0,87039.2,8294.63,4508.74,1,sort
1400.0,88495.5,8431.79,4560.88,1,sort
1400.0,87273.5,8316.73,4522.04,1,sort
1400.0,87880.7,8374.53,4548.6,1,sort
1400.0,87657.7,8354.34,4540.76,1,sort
1400.0,87791.7,8367.01,4545.05,1,sort
1400.0,86742.3,8267.83,4482.58,1,sort
1400.0,86732.6,8268.04,4476.43,1,sort
1400.0,86007.9,8201.35,4434.47,1,sort
1400.0,46990.2,4790.41,2736.32,2,sort
1400.0,46963.9,4786.78,2738.37,2,sort
1400.0,46340,4733.23,2698.76,2,sort
1400.0,45831.9,4679.71,2676.79,2,sort
1400.0,46774.3,4776.48,2725.5,2,sort
1400.0,46722.3,4772.84,2727.99,2,sort
1400.0,47021.7,4796.52,2742.7,2,sort
1400.0,46593.7,4757.79,2722.48,2,sort
1400.0,46585.4,4757.45,2726.52,2,sort
1400.0,46407.6,4738.9,2711.04,2,sort
1400.0,28926.6,3133.58,1864.99,4,sort
1400.0,29082.6,3140.82,1863.84,4,sort
1400.0,29282.7,3163.88,1879.72,4,sort
1400.0,28677.6,3107.76,1852.68,4,sort
1400.0,29274.7,3167.82,1883.45,4,sort
1400.0,29135.6,3154.06,1878.66,4,sort
1400.0,29356.2,3178.22,1893.75,4,sort
1400.0,28789,3111.55,1848.2,4,sort
1400.0,29390.1,3178.4,1889.98,4,sort
1400.0,29051.6,3137.96,1851.44,4,sort
1400.0,15521.2,1881.36,1192.87,8,sort
1400.0,17070.1,2009.88,1253.04,8,sort
1400.0,16234.9,1956.03,1233.67,8,sort
1400.0,16378.2,1970.99,1243.04,8,sort
1400.0,16820.5,1987.33,1241.6,8,sort
1400.0,15961.1,1734.43,1150.15,8,sort
1400.0,16242.2,1950.48,1228.62,8,sort
1400.0,16159.2,1936.98,1212.64,8,sort
1400.0,15868.5,1896.48,1179.74,8,sort
1400.0,15645.6,1890.28,1196.12,8,sort
1400.0,9221.51,1223.47,810.878,16,sort
1400.0,8484.36,1182.44,803.175,16,sort
1400.0,9107.22,1226.67,819.436,16,sort
1400.0,9123.92,1266.37,849.923,16,sort
1400.0,8202.96,1155.13,787.036,16,sort
1400.0,8258.84,1154.26,783.081,16,sort
1400.0,9387.94,1249.22,828.257,16,sort
1400.0,8613.01,1192.5,789.822,16,sort
1400.0,8769.94,1205.7,809.975,16,sort
1400.0,8554.02,1169.95,784.194,16,sort
1400.0,4765.51,727.219,511.411,32,sort
1400.0,4738.58,736.105,520.822,32,sort
1400.0,4675.54,717.949,507.529,32,sort
1400.0,4797.93,732.797,515.701,32,sort
1400.0,4782.16,737.97,519.166,32,sort
1400.0,4814.12,735.336,515.099,32,sort
1400.0,4769.8,734.975,515.606,32,sort
1400.0,4789.72,399.956,304.226,32,sort
1400.0,4639.09,712.205,496.528,32,sort
1400.0,4928.55,750.082,520.448,32,sort
1600.0,77309.2,7498.52,4101.61,1,sort
1600.0,78019.8,7585.51,4131.72,1,sort
1600.0,77574,7492.25,4048.57,1,sort
1600.0,76945.4,7191,3893.01,1,sort
1600.0,77953.2,7580.03,4126.99,1,sort
1600.0,77979.2,7559.16,4128.93,1,sort
1600.0,77756.4,7560.48,4118.69,1,sort
1600.0,81997.9,8084.58,4450.17,1,sort
1600.0,77483.6,7532.31,4031.27,1,sort
1600.0,77061.6,7476.17,4068.93,1,sort
1600.0,41063.3,4291.79,2474.88,2,sort
1600.0,41887.7,4384.33,2544.5,2,sort
1600.0,41664.2,4084.86,2380.62,2,sort
1600.0,41594.7,4371.51,2525.83,2,sort
1600.0,41280.9,4290.8,2453.54,2,sort
1600.0,41903.9,4386.64,2540.29,2,sort
1600.0,41317.4,4345.84,2510.89,2,sort
1600.0,41209.6,4335.84,2494.28,2,sort
1600.0,41756,4280,2506.81,2,sort
1600.0,42056.8,4277.2,2473.21,2,sort
1600.0,25245.8,2870.5,1738.53,4,sort
1600.0,26497.5,3005.03,1797.18,4,sort
1600.0,26332.1,2955.12,1795.76,4,sort
1600.0,26035.3,2953.5,1792.48,4,sort
1600.0,25892.3,2683.92,1754.5,4,sort
1600.0,25837,2937.99,1738.37,4,sort
1600.0,26221.2,2572.38,1605.3,4,sort
1600.0,26038.1,2839.59,1770.97,4,sort
1600.0,26024.3,2636.14,1636.89,4,sort
1600.0,25779.6,2710.81,1660.2,4,sort
1600.0,14485.2,1746.91,1099.88,8,sort
1600.0,14467.7,1753.71,1176.47,8,sort
1600.0,14582.3,1451.35,997.433,8,sort
1600.0,14461,1237.34,643.39,8,sort
1600.0,14222.1,1706.46,1148.42,8,sort
1600.0,13074.7,647.715,418.126,8,sort
1600.0,14491.7,1305.19,933.204,8,sort
1600.0,14376.8,564.151,661.114,8,sort
1600.0,14373.2,1391.75,935.068,8,sort
1600.0,13899.5,1107.92,402.559,8,sort
1600.0,7760.81,1136,772.729,16,sort
1600.0,7609.95,870.024,717.361,16,sort
1600.0,7542.3,1110.92,720.889,16,sort
1600.0,7677.66,1151.08,796.578,16,sort
1600.0,7293.04,1093.36,755.861,16,sort
1600.0,7494.15,992.092,685.191,16,sort
1600.0,7482.16,1115.69,615.87,16,sort
1600.0,7768.34,1126.43,729.324,16,sort
1600.0,7653.85,1143.33,795.365,16,sort
1600.0,7461.03,1103.44,674.795,16,sort
1600.0,4107.2,650.982,474.63,32,sort
1600.0,4177.15,693.764,498.225,32,sort
1600.0,4126.78,680.727,417.834,32,sort
1600.0,4244.97,622.807,458.551,32,sort
1600.0,4195.24,617.73,444.876,32,sort
1600.0,4190.34,691.935,498.367,32,sort
1600.0,4162.07,689.518,477.504,32,sort
1600.0,4282.21,709.762,510.659,32,sort
1600.0,4272.1,551.317,501.117,32,sort
1600.0,4066.82,677.123,445.43,32,sort
1700.0,74842.5,7279.87,3986.65,1,sort
1700.0,73176.1,7157.13,3917.66,1,sort
1700.0,73574.9,7195.23,3937.43,1,sort
1700.0,72584.4,7101.73,3883.48,1,sort
1700.0,73177.5,7117.18,3867.03,1,sort
1700.0,73034,7075.67,3899.85,1,sort
1700.0,73269.8,7164.98,3922.6,1,sort
1700.0,74007.4,7125.97,3923.58,1,sort
1700.0,73354.1,7143.42,3921.51,1,sort
1700.0,73634,7206.02,3942.27,1,sort
1700.0,39270.3,4127.03,2403.51,2,sort
1700.0,39440.4,4203.46,2446.6,2,sort
1700.0,39245.9,4183.21,2361.99,2,sort
1700.0,40082.4,4269.3,2487.18,2,sort
1700.0,39475.5,4206.45,2435.81,2,sort
1700.0,39417.6,4201.67,2408.53,2,sort
1700.0,39195.5,4140.5,2437.59,2,sort
1700.0,39498.4,4212.48,2456.09,2,sort
1700.0,39412.7,4141,2427.7,2,sort
1700.0,39923.7,4164.06,2448.68,2,sort
1700.0,25042.5,2886.2,1676.66,4,sort
1700.0,24917.7,2879.4,1758.18,4,sort
1700.0,24711.6,2683.95,1626.82,4,sort
1700.0,24836.5,2863.66,1747.23,4,sort
1700.0,24764.1,2809.95,1739.71,4,sort
1700.0,24623.9,2780.8,1701.6,4,sort
1700.0,25259.9,2905.81,1770.65,4,sort
1700.0,24667.8,2843,1654.7,4,sort
1700.0,25134.9,2827.3,1757.65,4,sort
1700.0,24863,2863.14,1744.87,4,sort
1700.0,13701.6,1769.24,1136,8,sort
1700.0,13728.2,1775.05,1148.27,8,sort
1700.0,13752.8,1768.15,1142.98,8,sort
1700.0,13538.3,1706.9,1092,8,sort
1700.0,13949.9,1779.21,1139.8,8,sort
1700.0,13777.9,1737.48,1132.11,8,sort
1700.0,13811.5,1746.65,1121.33,8,sort
1700.0,13032.7,1609.9,1042.64,8,sort
1700.0,13676.7,1705.13,1109.54,8,sort
