FR,TR,Name,EN,TIM
1700.0,8,sort,17379.26,136952.3
2200.0,16,sort,9987.463,58661.57
2000.0,4,sort,25878.35,215322.8
2500.0,8,sort,15592.4,100670.13
1900.0,1,sort,66249.54,667730.5
1900.0,32,sort,6260.361,36506.31
1600.0,4,sort,28164.98,259903.2
2800.0,2,sort,35175.41,271390.2
2300.0,2,sort,37148.08,314601.8
2700.0,32,sort,6122.593,27952.26
1900.0,4,sort,26904.15,227918.8
2900.0,1,sort,52596.6,477627.4
2800.0,8,sort,15321.15,93795.59
1700.0,4,sort,28343.21,248821.9
2000.0,32,sort,6505.844,35063.85
2000.0,16,sort,10341.72,64700.58
2400.0,2,sort,36433.31,305743.6
2900.0,8,sort,14749.71,93239.42
2800.0,1,sort,53475.27,491566.6
2700.0,1,sort,54480.68,503671.8
2700.0,16,sort,10669.89,50822.86
1900.0,16,sort,10762.721,68267.0
2200.0,2,sort,37678.73,324907.0
1200.0,2,sort,53210.64,532890.9
2901.0,16,sort,10662.351,43081.3
2800.0,4,sort,24389.35,170957.4
1300.0,1,sort,87976.85,929939.5
1800.0,1,sort,68685.37,698991.4
2500.0,2,sort,35486.75,296789.4
1800.0,32,sort,6462.057,38259.38
2800.0,32,sort,6619.914,27532.14
1400.0,8,sort,19214.24,161901.5
1700.0,1,sort,71567.2,734654.7
2000.0,2,sort,39149.59,349751.6
1200.0,8,sort,20798.18,185686.7
1300.0,2,sort,49980.61,496726.0
1200.0,16,sort,12763.55,97727.44
1600.0,1,sort,75560.01,780080.3
2700.0,4,sort,23597.29,176038.8
2500.0,16,sort,10004.18,54179.46
2200.0,8,sort,15243.57,110758.8
2500.0,4,sort,24595.51,187798.9
2800.0,16,sort,10268.703,49567.64
1600.0,8,sort,12912.496,142434.2
2300.0,4,sort,24804.77,195576.7
2500.0,32,sort,5938.26,29302.7
2400.0,1,sort,57344.71,550928.0
2300.0,1,sort,59305.61,570172.4
1700.0,32,sort,6672.084,39952.09
1200.0,32,sort,7938.111,55678.61
1200.0,1,sort,94680.6,1002857.8
2200.0,1,sort,60778.31,593213.3
1400.0,16,sort,12025.71,87723.72
1800.0,16,sort,10568.868,70162.1
2901.0,2,sort,36298.32,215957.8
2000.0,8,sort,16139.12,118552.8
1800.0,8,sort,16889.62,129492.6
1900.0,2,sort,40305.72,367059.3
2400.0,16,sort,9481.921,54651.62
2300.0,32,sort,5839.909,31227.18
2200.0,32,sort,5554.343,32571.05
2900.0,16,sort,9625.488,47451.99
2700.0,2,sort,35015.11,277235.5
2000.0,1,sort,64375.77,639546.9
1700.0,2,sort,41849.16,394962.4
2400.0,32,sort,5577.663,30433.3
1300.0,4,sort,33274.93,313251.6
1200.0,4,sort,34937.93,332626.6
2901.0,4,sort,25744.12,140750.5
2700.0,8,sort,15343.1,94981.22
2901.0,8,sort,16048.66,78964.48
2900.0,32,sort,6127.704,26872.77
2400.0,4,sort,24603.26,190613.6
2300.0,16,sort,10143.473,57715.36
1900.0,8,sort,16686.81,126886.9
1600.0,2,sort,43048.81,415734.5
2500.0,1,sort,56645.3,536850.4
2900.0,2,sort,34931.96,265921.6
1800.0,2,sort,40351.0,376164.9
1300.0,16,sort,12295.94,91830.79
1700.0,16,sort,10825.456,72799.27
1300.0,32,sort,7575.419,51240.35
2900.0,4,sort,23875.46,167865.5
2300.0,8,sort,15352.03,106821.4
1400.0,32,sort,6984.594,47701.0
2901.0,1,sort,50584.86,385429.2
1600.0,16,sort,10842.366,75743.29
2901.0,32,sort,6106.16,24127.67
1400.0,2,sort,47590.11,466231.0
1400.0,4,sort,31474.05,290966.7
1800.0,4,sort,27745.29,238592.1
2400.0,8,sort,15104.63,103637.13
1400.0,1,sort,83148.59,872364.2
1600.0,32,sort,6585.665,41824.88
1300.0,8,sort,19877.54,170496.4
2200.0,4,sort,25269.76,201277.7
