FR,TIM,EN,DC,TR,Name
1200.0,157628,14648.7,7662.1,1,encrypt
1200.0,157570,14642.3,7679.28,1,encrypt
1200.0,173167,15799.6,8263.22,1,encrypt
1200.0,157528,14638.7,7663.99,1,encrypt
1200.0,157485,14633.1,7620.24,1,encrypt
1200.0,157410,14630.1,7681.91,1,encrypt
1200.0,157562,14645,7693.19,1,encrypt
1200.0,172829,16061.4,8476.42,1,encrypt
1200.0,157486,14636,7679.06,1,encrypt
1200.0,157673,14657.4,7698.79,1,encrypt
1200.0,78840.4,7576.31,4092.25,2,encrypt
1200.0,78781.7,7532.99,4173.91,2,encrypt
1200.0,78690.4,7675.26,4181.99,2,encrypt
1200.0,78728.2,7683.58,4202.54,2,encrypt
1200.0,86428.7,8434.67,4594.56,2,encrypt
1200.0,78637.8,7676.33,4183.53,2,encrypt
1200.0,78746.6,7680.64,4219.12,2,encrypt
1200.0,78771.2,7593.11,4105.96,2,encrypt
1200.0,78852.6,7594.39,4080.51,2,encrypt
1200.0,79320.5,7710.56,4168.17,2,encrypt
1200.0,39440.3,4021.3,2184.38,4,encrypt
1200.0,39498,4026.68,2223.45,4,encrypt
1200.0,39395.9,4009.85,2235.11,4,encrypt
1200.0,39410.4,3910.53,2219.28,4,encrypt
1200.0,39377,3867.57,2176.31,4,encrypt
1200.0,39393.4,4005.79,2267.03,4,encrypt
1200.0,39390.2,4004.19,2185.07,4,encrypt
1200.0,39431.4,4012.36,2231.71,4,encrypt
1200.0,39414.3,4012.18,2242.03,4,encrypt
1200.0,39482.5,4020.24,2241.97,4,encrypt
1200.0,19909.5,2236.52,1300.8,8,encrypt
1200.0,19725.2,2210.67,1300.17,8,encrypt
1200.0,24228.1,2610.6,1449.81,8,encrypt
1200.0,19721.2,2206.6,1211.69,8,encrypt
1200.0,19739.8,2140.65,1251.02,8,encrypt
1200.0,19859.5,2224.72,1315.61,8,encrypt
1200.0,19731.8,2181.81,1315.37,8,encrypt
1200.0,19750.1,2207.81,1264.14,8,encrypt
1200.0,19750.1,2210.41,1250.38,8,encrypt
1200.0,19804.8,2219.16,1323.51,8,encrypt
1200.0,10030.2,1296.31,700.874,16,encrypt
1200.0,16656.9,1914.46,1158.91,16,encrypt
1200.0,10267,1316.06,840.318,16,encrypt
1200.0,10088,1085.06,700.03,16,encrypt
1200.0,10091.5,1303.55,764.385,16,encrypt
1200.0,10980.9,1383.76,813.02,16,encrypt
1200.0,14836.5,1737.69,1037.99,16,encrypt
1200.0,14524.9,1748.26,1047.66,16,encrypt
1200.0,16769.5,1912.81,1093.7,16,encrypt
1200.0,10146.6,1273.23,711.279,16,encrypt
1200.0,8869.68,1191.25,686.106,32,encrypt
1200.0,8972.31,1205.88,648.42,32,encrypt
1200.0,8412.14,1138.31,640.195,32,encrypt
1200.0,8416.55,1137.4,662.114,32,encrypt
1200.0,8987.67,1213.8,699.783,32,encrypt
1200.0,8406.41,1118.9,722.394,32,encrypt
1200.0,8410.74,1133.3,673.366,32,encrypt
1200.0,8961.43,1205.18,727.816,32,encrypt
1200.0,8403.07,1127.09,596.666,32,encrypt
1200.0,8408.93,1107.05,751.761,32,encrypt
1300.0,145502,13619.3,7092.02,1,encrypt
1300.0,145526,13472.8,7170,1,encrypt
1300.0,160304,14846.2,7790.62,1,encrypt
1300.0,146161,13668.1,7076.21,1,encrypt
1300.0,145361,13598.9,7051.34,1,encrypt
1300.0,159600,14806.3,7723.86,1,encrypt
1300.0,160271,14933.7,7790.38,1,encrypt
1300.0,145331,13593.9,7002.03,1,encrypt
1300.0,145461,13609.1,7077.33,1,encrypt
1300.0,160326,15015.6,7873.97,1,encrypt
1300.0,72588.2,7180.63,3960.12,2,encrypt
1300.0,72685.5,7195.81,3945.41,2,encrypt
1300.0,72695.7,7191.47,3962.24,2,encrypt
1300.0,72586.3,7176.93,3965.85,2,encrypt
1300.0,72678.4,7188.79,3960.3,2,encrypt
1300.0,72689.1,7186.6,3976.66,2,encrypt
1300.0,72668.9,7184.45,3966.23,2,encrypt
1300.0,72646.9,7182,3930.9,2,encrypt
1300.0,72647.3,7188.88,3926.7,2,encrypt
1300.0,72691,7190.79,3926.53,2,encrypt
1300.0,39970.6,4138.83,2305.22,4,encrypt
1300.0,36378.4,3713.49,2128.55,4,encrypt
1300.0,36377.4,3774.93,2151.01,4,encrypt
1300.0,36384.1,3770.08,2098.28,4,encrypt
1300.0,36576.9,3789.39,2119.62,4,encrypt
1300.0,39978.4,4133.83,2255.79,4,encrypt
1300.0,36436.2,3774.48,2147.47,4,encrypt
1300.0,36348.7,3759.89,2087.38,4,encrypt
1300.0,36570.5,3789.77,2074.57,4,encrypt
1300.0,36366.5,3767.76,2076.92,4,encrypt
1300.0,18341.8,2109.12,1172.08,8,encrypt
1300.0,18209.8,2085.23,1222.54,8,encrypt
1300.0,18220.2,2100.45,1260.55,8,encrypt
1300.0,20238.8,2319.11,1405.09,8,encrypt
1300.0,20035.1,2300.18,1345.03,8,encrypt
1300.0,18215.1,2087.74,1275.67,8,encrypt
1300.0,18218.2,2093.61,1263.48,8,encrypt
1300.0,18218.7,2092.98,1243.09,8,encrypt
1300.0,20019.3,2304.17,1373.51,8,encrypt
1300.0,18213.8,2087.12,1269.54,8,encrypt
1300.0,9280.24,1247.37,777.483,16,encrypt
1300.0,9197.71,1236.32,824.439,16,encrypt
1300.0,9243.89,1154.97,767.218,16,encrypt
1300.0,10392.3,1383.98,823.375,16,encrypt
1300.0,12184.6,1513.36,887.298,16,encrypt
1300.0,15337.5,1796.62,1109.52,16,encrypt
1300.0,9528.61,1265.65,778.584,16,encrypt
1300.0,9558.57,1270.16,813.061,16,encrypt
1300.0,12154.3,1512.9,967.158,16,encrypt
1300.0,9268.77,1247.49,825.881,16,encrypt
1300.0,7781.34,1092.86,704.771,32,encrypt
1300.0,7762.66,1087.71,740.211,32,encrypt
1300.0,7772.77,1095.01,550.868,32,encrypt
1300.0,7769.94,842.597,650.691,32,encrypt
1300.0,7764.41,1093.11,678.888,32,encrypt
1300.0,7780.64,902.15,583.131,32,encrypt
1300.0,7769.22,1093.57,741.11,32,encrypt
1300.0,7769.43,1027.01,737.343,32,encrypt
1300.0,7776.85,1097.36,678.148,32,encrypt
1300.0,7772.68,1088.56,679.959,32,encrypt
1400.0,135095,12733.9,6782.98,1,encrypt
1400.0,135051,12691.2,6755.76,1,encrypt
1400.0,135043,12726.1,6784.82,1,encrypt
1400.0,135036,12610.8,6725.81,1,encrypt
1400.0,134943,12655.9,6752.24,1,encrypt
1400.0,135109,12709.3,6783.35,1,encrypt
1400.0,135075,12724.4,6738.36,1,encrypt
1400.0,135172,12670.3,6788.39,1,encrypt
1400.0,135139,12745,6799.69,1,encrypt
1400.0,134866,12716.7,6748.78,1,encrypt
1400.0,67396.9,6749.52,3726.02,2,encrypt
1400.0,67469.2,6756.97,3776.11,2,encrypt
1400.0,68090.8,6814.46,3806.35,2,encrypt
1400.0,67468.3,6755.75,3744.33,2,encrypt
1400.0,67551.7,6760.69,3693.78,2,encrypt
1400.0,67506.9,6760.02,3784.93,2,encrypt
1400.0,67441.4,6654.41,3732.48,2,encrypt
1400.0,67441.4,6738.05,3747.97,2,encrypt
1400.0,67467.8,6753.84,3786.89,2,encrypt
1400.0,67549.3,6761.05,3792.48,2,encrypt
1400.0,33767,3561.55,1965.15,4,encrypt
1400.0,37130.3,3911.68,2246.59,4,encrypt
1400.0,33807.1,3568.59,2025.11,4,encrypt
1400.0,33814.6,3560.97,2057.05,4,encrypt
1400.0,33788.3,3568.79,2076.09,4,encrypt
1400.0,33801.3,3376.24,1962.21,4,encrypt
1400.0,33769,3386.48,2005.58,4,encrypt
1400.0,33747.6,3558.66,2068.65,4,encrypt
1400.0,33825.5,3565.41,2076.33,4,encrypt
1400.0,37184.9,3918.52,2230.13,4,encrypt
1400.0,16921.2,1991.61,1201.74,8,encrypt
1400.0,16923.6,1990.34,1154.51,8,encrypt
1400.0,16948,1990.06,1199.42,8,encrypt
1400.0,17048.9,2001.71,1242.11,8,encrypt
1400.0,16910.6,1942.45,1207.84,8,encrypt
1400.0,16944.3,1788.35,1103.49,8,encrypt
1400.0,16903.8,1987.4,1172.74,8,encrypt
1400.0,16898.6,1988.59,1122.37,8,encrypt
1400.0,16946,1991.62,1239.11,8,encrypt
1400.0,16920.2,1992.67,1150.89,8,encrypt
1400.0,8691.87,1058.96,712.542,16,encrypt
1400.0,14362.8,1726.57,1017.85,16,encrypt
1400.0,8850.48,1216.07,719.899,16,encrypt
1400.0,8572.72,976.055,615.642,16,encrypt
1400.0,11970.1,1504.24,892.266,16,encrypt
1400.0,8824.12,1215.43,816.694,16,encrypt
1400.0,11345.5,1258.19,880.543,16,encrypt
1400.0,14341.4,1721.11,1071.43,16,encrypt
1400.0,8926.43,1219.39,813.766,16,encrypt
1400.0,8654.1,1137.01,763.798,16,encrypt
1400.0,7249.96,1056.73,726.678,32,encrypt
1400.0,7209.84,880.777,592.636,32,encrypt
1400.0,7215.28,1056.58,727.719,32,encrypt
1400.0,7708.44,1125.99,575.621,32,encrypt
1400.0,7240.72,1053.33,608.421,32,encrypt
1400.0,7205.15,1051.82,714.702,32,encrypt
1400.0,7209.72,1050.17,702.83,32,encrypt
1400.0,7219.97,1015.45,702.241,32,encrypt
1400.0,7707.64,968.04,670.094,32,encrypt
1400.0,7211.41,1050.15,541.125,32,encrypt
1600.0,118329,11175.9,6050.62,1,encrypt
1600.0,118190,11313.8,6095.03,1,encrypt
1600.0,118258,11150.2,6060.06,1,encrypt
1600.0,118433,11340,6090.73,1,encrypt
1600.0,118217,11321,6102.89,1,encrypt
1600.0,118094,11307.2,6073.61,1,encrypt
1600.0,118325,11505.9,6309.11,1,encrypt
