FR,TR,Name,EN,TIM
2500.0,4,encrypt,21821.43,177872.2
2000.0,8,encrypt,12864.46,111059.3
2901.0,1,encrypt,31230.73,233482.4
1300.0,8,encrypt,16633.26,170579.5
2900.0,8,encrypt,10951.29,78193.55
1400.0,32,encrypt,6403.598,55263.79
1200.0,8,encrypt,18950.74,184879.7
2900.0,4,encrypt,19483.98,153621.8
1900.0,2,encrypt,45712.75,466797.6
1900.0,32,encrypt,6108.331,46249.0
2400.0,4,encrypt,21743.15,186063.6
1200.0,1,encrypt,68362.83,739315.5
2300.0,1,encrypt,39342.7,385620.6
1400.0,16,encrypt,8493.108,79682.07
2800.0,4,encrypt,20121.14,159098.2
2500.0,2,encrypt,37045.21,354895.9
1400.0,8,encrypt,16043.6,158609.2
1300.0,4,encrypt,32605.11,341128.8
2200.0,2,encrypt,41029.83,403117.4
2500.0,8,encrypt,12133.12,88900.77
2800.0,16,encrypt,7422.086,39824.1
1900.0,16,encrypt,7842.987,58688.34
2500.0,32,encrypt,5843.304,31647.89
2500.0,1,encrypt,37451.91,354882.8
2900.0,16,encrypt,6590.356,38449.16
2300.0,32,encrypt,5584.14,35799.42
1600.0,1,encrypt,53222.2,554172.7
2800.0,8,encrypt,10437.93,79499.62
2500.0,16,encrypt,6794.795,44646.52
2200.0,8,encrypt,12434.64,100962.3
1300.0,32,encrypt,6280.41,52989.42
1800.0,4,encrypt,26009.35,247133.2
1400.0,4,encrypt,31688.6,317152.0
1800.0,32,encrypt,6751.533,45514.69
1600.0,4,encrypt,28305.63,277728.6
1800.0,8,encrypt,13888.41,123807.2
2700.0,4,encrypt,20120.53,165098.2
1200.0,16,encrypt,10515.33,93021.1
2800.0,2,encrypt,34476.31,316889.7
1800.0,16,encrypt,8324.313,61961.36
2300.0,2,encrypt,39472.98,385624.2
1200.0,32,encrypt,7718.136,62865.65
1800.0,2,encrypt,47164.27,492686.9
2900.0,2,encrypt,33098.42,306038.1
2800.0,1,encrypt,34704.42,318179.3
2901.0,8,encrypt,11655.86,61897.6
2901.0,4,encrypt,18708.76,120969.9
2700.0,16,encrypt,6736.681,41333.28
2000.0,2,encrypt,44325.16,444433.4
1300.0,2,encrypt,63511.53,680723.8
1900.0,4,encrypt,25102.88,233945.6
2000.0,1,encrypt,44095.6,443587.2
1700.0,4,encrypt,27274.49,261364.2
1400.0,2,encrypt,59788.54,632356.3
2800.0,32,encrypt,5710.766,27189.42
2200.0,32,encrypt,6449.139,37281.85
2000.0,4,encrypt,24066.64,222391.3
2901.0,32,encrypt,6188.366,25554.1
1700.0,16,encrypt,7762.201,65499.2
2300.0,8,encrypt,12266.8,96728.5
2400.0,16,encrypt,7049.341,47434.32
1600.0,16,encrypt,8270.521,69712.18
2000.0,16,encrypt,6528.072,55683.86
1800.0,1,encrypt,47611.55,492801.2
2700.0,2,encrypt,35379.11,328574.9
2901.0,16,encrypt,7628.6,33044.82
1700.0,8,encrypt,14652.28,130732.5
1400.0,1,encrypt,59486.63,632742.9
2901.0,2,encrypt,32769.02,246536.6
2400.0,2,encrypt,38651.35,369620.2
2400.0,32,encrypt,6027.857,30832.36
2700.0,8,encrypt,11633.02,82362.96
1200.0,4,encrypt,35976.76,369568.6
2400.0,1,encrypt,38401.02,369661.6
1600.0,2,encrypt,52425.38,554186.3
1700.0,32,encrypt,5083.078,42354.19
2700.0,32,encrypt,5629.33,29411.59
2300.0,16,encrypt,7336.792,48683.5
2900.0,1,encrypt,33760.51,307699.5
2400.0,8,encrypt,12117.24,92829.9
2200.0,4,encrypt,22392.18,202154.5
2200.0,1,encrypt,42960.64,420985.5
2700.0,1,encrypt,34752.94,328606.3
1600.0,32,encrypt,6580.901,52420.4
1900.0,8,encrypt,13837.85,117019.2
2200.0,16,encrypt,7198.621,50752.23
1900.0,1,encrypt,45674.23,468104.0
1700.0,2,encrypt,50340.13,521709.3
1700.0,1,encrypt,52351.23,540462.8
2300.0,4,encrypt,22111.74,193354.8
1600.0,8,encrypt,15268.44,138847.1
2900.0,32,encrypt,5848.106,26944.46
1300.0,1,encrypt,63409.57,680796.6
1300.0,16,encrypt,9891.55,85636.27
1200.0,2,encrypt,68515.9,737225.7
2000.0,32,encrypt,5927.234,38969.88
