FR,TIM,EN,DC,TR,Name
2901.0,135122,17569.5,11391.3,1,encrypt
2901.0,123292,16273.6,10345.4,1,encrypt
2901.0,137509,17304.8,10746.4,1,encrypt
2901.0,122878,16243.5,10432.5,1,encrypt
2901.0,122200,16121.7,10382.9,1,encrypt
2901.0,123230,16074.6,10412.4,1,encrypt
2901.0,123140,16795.5,11016.3,1,encrypt
2901.0,123726,16262.9,10540.8,1,encrypt
2901.0,123471,16246.4,10509.4,1,encrypt
2901.0,122934,16175.3,10614.6,1,encrypt
2901.0,67636.2,11933.2,8699,2,encrypt
2901.0,134516,15392.9,9397.72,2,encrypt
2901.0,105961,13645.8,8845.51,2,encrypt
2901.0,61519,10603.1,7917.16,2,encrypt
2901.0,67821.5,11833,8767.71,2,encrypt
2901.0,61353.2,10663.6,7941.18,2,encrypt
2901.0,143322,16233.3,9790.42,2,encrypt
2901.0,61800.8,10924.5,7828.95,2,encrypt
2901.0,62876.3,10871.4,7931.71,2,encrypt
2901.0,61904.3,10850,7854.67,2,encrypt
2901.0,39680.4,6531.53,4651,4,encrypt
2901.0,40721.5,5868.34,4104.97,4,encrypt
2901.0,94604.2,9602.57,5542.12,4,encrypt
2901.0,40045.1,5756.22,4012.71,4,encrypt
2901.0,42842.9,6981.29,5131.93,4,encrypt
2901.0,93866.4,9911.57,5623.09,4,encrypt
2901.0,50163.6,7425.85,5085.8,4,encrypt
2901.0,95948.1,9838.02,5515.33,4,encrypt
2901.0,39944.7,5911.73,4029.66,4,encrypt
2901.0,71129.6,8427.13,5325.17,4,encrypt
2901.0,32068,4965.91,3567.01,8,encrypt
2901.0,28974.3,4387.36,3191.83,8,encrypt
2901.0,47834.6,6524.48,4311.53,8,encrypt
2901.0,47883.9,5539.04,3278.01,8,encrypt
2901.0,22573,4097.67,3161.15,8,encrypt
2901.0,20142.3,3675.83,2825.1,8,encrypt
2901.0,47031.7,5986.33,3773.54,8,encrypt
2901.0,44528.2,5626.98,3596.13,8,encrypt
2901.0,43507.3,5957.77,3919.85,8,encrypt
2901.0,20077.4,3572.21,2569.19,8,encrypt
2901.0,15449.9,3113.37,2303.54,16,encrypt
2901.0,22344.8,3611.99,2645.02,16,encrypt
2901.0,17425.4,3576.1,2660.59,16,encrypt
2901.0,22347.1,3469.59,2459.79,16,encrypt
