FR,TR,Name,EN,TIM
1300.0,16,decrypt,12961.39,108752.0
1700.0,16,decrypt,12391.38,100924.12
2700.0,8,decrypt,22388.27,196395.6
2300.0,8,decrypt,22240.19,198449.9
1800.0,32,decrypt,6547.828,47966.21
1400.0,1,decrypt,130578.8,1392709.0
1600.0,2,decrypt,68492.73,687716.6
1600.0,16,decrypt,12182.81,102167.44
1700.0,4,decrypt,37430.09,361795.5
1400.0,4,decrypt,39530.26,394382.5
1800.0,1,decrypt,114579.4,1191150.0
1800.0,2,decrypt,62781.72,632435.4
2900.0,1,decrypt,73339.55,682960.4
2901.0,4,decrypt,24996.07,135690.7
2400.0,2,decrypt,49362.11,447345.0
2400.0,32,decrypt,5389.255,36162.81
2200.0,32,decrypt,6002.1,39312.49
2700.0,1,decrypt,76324.8,721780.0
1200.0,4,decrypt,40423.56,406317.9
2700.0,32,decrypt,6848.413,32413.77
2300.0,16,decrypt,11832.571,90928.61
2200.0,4,decrypt,38917.53,375017.8
1600.0,32,decrypt,7284.808,53838.41
2000.0,1,decrypt,97867.48,989970.8
2000.0,4,decrypt,39700.82,387313.5
1700.0,32,decrypt,6782.62,50836.29
2300.0,4,decrypt,38895.74,371521.8
2700.0,2,decrypt,68403.75,690009.4
1700.0,8,decrypt,21501.89,192784.9
2300.0,32,decrypt,5372.798,37722.58
2901.0,2,decrypt,42042.5,261835.1
2400.0,1,decrypt,84538.2,824437.9
1400.0,32,decrypt,7631.142,61527.0
1200.0,8,decrypt,22268.71,207461.8
1600.0,8,decrypt,21420.08,196819.0
1900.0,8,decrypt,21254.35,190686.7
2800.0,4,decrypt,40845.5,400548.5
2200.0,2,decrypt,63914.7,620595.7
1700.0,2,decrypt,58631.05,574166.8
1700.0,1,decrypt,109788.7,1147972.0
2500.0,4,decrypt,39177.01,381777.0
2200.0,8,decrypt,20650.51,179511.9
2900.0,32,decrypt,5908.671,30180.43
1300.0,4,decrypt,40004.03,397483.3
2901.0,32,decrypt,7826.625,26459.0
2900.0,4,decrypt,41543.36,393580.2
1300.0,1,decrypt,142027.4,1510960.0
1900.0,16,decrypt,12290.67,98201.56
2400.0,4,decrypt,35175.71,320829.9
2500.0,1,decrypt,80799.07,779680.7
1800.0,16,decrypt,12866.23,99826.48
1300.0,32,decrypt,8113.352,66277.58
2500.0,2,decrypt,59325.07,583928.9
2000.0,8,decrypt,22058.46,199900.2
2000.0,16,decrypt,11751.412,93502.78
1400.0,8,decrypt,21920.13,202127.0
2700.0,4,decrypt,38746.15,366614.0
1600.0,4,decrypt,39748.91,391639.0
2300.0,1,decrypt,86298.37,849068.8
2800.0,2,decrypt,64827.53,638695.9
1200.0,2,decrypt,78049.61,812590.4
2300.0,2,decrypt,57152.48,540370.1
2900.0,16,decrypt,12092.678,79767.6
2000.0,32,decrypt,6439.947,43363.84
2800.0,8,decrypt,21451.6,191179.3
2900.0,8,decrypt,21375.36,182246.58
2400.0,8,decrypt,21973.14,194321.9
2500.0,8,decrypt,22469.71,197762.5
1900.0,2,decrypt,61740.0,602604.5
1900.0,32,decrypt,6452.208,45397.33
2901.0,1,decrypt,65436.48,513401.5
1300.0,8,decrypt,22014.12,202038.0
1200.0,1,decrypt,151115.1,1625147.0
1800.0,8,decrypt,21152.21,192653.4
1900.0,1,decrypt,100223.69,1026794.0
1600.0,1,decrypt,116671.4,1226438.0
1400.0,16,decrypt,12937.14,109158.2
2500.0,16,decrypt,12629.41,91426.57
1300.0,2,decrypt,74737.31,778356.7
1200.0,32,decrypt,8537.587,71669.52
2400.0,16,decrypt,10889.982,76237.3
2200.0,16,decrypt,12312.485,91975.71
1900.0,4,decrypt,40765.06,402147.2
1400.0,2,decrypt,71169.62,737175.4
2800.0,32,decrypt,5757.577,31152.76
2200.0,1,decrypt,91029.6,903473.7
2800.0,16,decrypt,12115.766,79167.79
1200.0,16,decrypt,12905.78,111716.5
2500.0,32,decrypt,6070.237,34948.43
2000.0,2,decrypt,68903.75,692559.5
2901.0,16,decrypt,11566.466,42124.58
2900.0,2,decrypt,59713.47,576857.0
1800.0,4,decrypt,39854.4,392085.0
2800.0,1,decrypt,74321.92,695898.5
2901.0,8,decrypt,15046.58,72291.1
2700.0,16,decrypt,12519.27,80506.54
