FR,TIM,EN,DC,TR,Name
1200.0,270905,25307.9,12953.2,1,encrypt
1200.0,270519,25051.2,12846.2,1,encrypt
1200.0,270288,25085.7,12825.4,1,encrypt
1200.0,297039,27694.9,14111.3,1,encrypt
1200.0,303050,28186.8,14507.9,1,encrypt
1200.0,270302,25223.6,13026.6,1,encrypt
1200.0,270394,25098.8,12827.2,1,encrypt
1200.0,270624,25276.4,12836.6,1,encrypt
1200.0,270226,25099.5,12684.9,1,encrypt
1200.0,270691,25273.4,12766.6,1,encrypt
1200.0,135252,13169.1,6982.31,2,encrypt
1200.0,135143,13149.8,6885.31,2,encrypt
1200.0,135432,13041,6845.08,2,encrypt
1200.0,135344,13247,7024.25,2,encrypt
1200.0,135518,13094.5,6808.68,2,encrypt
1200.0,135188,13030.3,6930.12,2,encrypt
1200.0,135367,13102.5,6966.15,2,encrypt
1200.0,148389,14339.4,7634.4,2,encrypt
1200.0,135460,13008.8,6775.79,2,encrypt
1200.0,136538,13273.7,6991.45,2,encrypt
1200.0,67641.2,6832.5,3727.78,4,encrypt
1200.0,67645.7,6836.19,3724.99,4,encrypt
1200.0,74398.2,7475.21,4131.72,4,encrypt
1200.0,74416.3,7563.91,4071.99,4,encrypt
1200.0,67726.7,6792.81,3746.57,4,encrypt
1200.0,67713.5,6922.09,3773.85,4,encrypt
1200.0,67622.4,6810.85,3677.57,4,encrypt
1200.0,67665.3,6925.95,3770.32,4,encrypt
1200.0,67686,6841.34,3752.96,4,encrypt
1200.0,74410.5,7435.64,4046.39,4,encrypt
1200.0,33849.7,3695.21,2192.87,8,encrypt
1200.0,47594.2,4881.06,2810.62,8,encrypt
1200.0,37263.8,4043.45,2371.07,8,encrypt
1200.0,33871.4,3766.23,2192.94,8,encrypt
1200.0,33864.9,3809.2,2125.24,8,encrypt
1200.0,33933.1,3714.66,2203.57,8,encrypt
1200.0,33852.6,3808.22,2140.75,8,encrypt
1200.0,33904.6,3589.98,2176.02,8,encrypt
1200.0,33890.2,3660.88,2137.78,8,encrypt
