FR,TIM,EN,DC,TR,Name
1200.0,143742,13459,7248.21,1,encrypt
1200.0,139493,12943.5,6979.1,1,encrypt
1200.0,111121,10270.7,5603.93,1,encrypt
1200.0,110882,10375.3,5620.43,1,encrypt
1200.0,110976,10432.5,5594.52,1,encrypt
1200.0,111111,10287.5,5650.42,1,encrypt
1200.0,143077,13280.3,7204.35,1,encrypt
1200.0,111043,10309.1,5536.36,1,encrypt
1200.0,110930,10433.4,5578.37,1,encrypt
1200.0,111096,10411.4,5592.89,1,encrypt
1200.0,55585.7,5381.85,3031.26,2,encrypt
1200.0,55667.6,5506.6,3015.83,2,encrypt
1200.0,55685.3,5359.1,3059.34,2,encrypt
1200.0,55876.7,5382.63,2995.45,2,encrypt
1200.0,70140.2,6782.45,3827.55,2,encrypt
1200.0,55944.7,5487.47,3046.34,2,encrypt
1200.0,55753.7,5475.43,3051.36,2,encrypt
1200.0,55736,5371.94,3051.28,2,encrypt
1200.0,55727.4,5438.58,3094.81,2,encrypt
1200.0,55758,5439.94,3057.03,2,encrypt
1200.0,27958.6,2845.92,1601.57,4,encrypt
1200.0,27906.5,2839.44,1646.58,4,encrypt
1200.0,27885,2757.79,1647.48,4,encrypt
1200.0,27942.9,2765.03,1653.14,4,encrypt
1200.0,27888.2,2707.39,1645.1,4,encrypt
1200.0,28058.9,2921.04,1672.28,4,encrypt
1200.0,27893.6,2893.56,1652.11,4,encrypt
1200.0,27910.9,2806.21,1654.79,4,encrypt
1200.0,51813.9,5055.13,2803.68,4,encrypt
1200.0,27935.7,2860.5,1663.25,4,encrypt
1200.0,19759.6,1990.27,1245.14,8,encrypt
1200.0,29668.4,2941.12,1731.94,8,encrypt
1200.0,21340,2304.92,1365.22,8,encrypt
1200.0,14114.4,1555.27,995.602,8,encrypt
1200.0,14041.2,1548.39,995.88,8,encrypt
1200.0,14064.1,1497.79,1001.78,8,encrypt
1200.0,14002.5,1536.22,993.822,8,encrypt
1200.0,14029.9,1620.31,991.77,8,encrypt
1200.0,14002.5,1433.26,916.502,8,encrypt
1200.0,14002.5,1497.17,919.94,8,encrypt
1200.0,8470.46,964.847,685.44,16,encrypt
1200.0,7368.44,784.729,567.099,16,encrypt
1200.0,11444.2,1306.04,788.26,16,encrypt
1200.0,7877.24,866.894,587.201,16,encrypt
1200.0,8544.17,888.361,660.064,16,encrypt
1200.0,7954.84,866.934,623.375,16,encrypt
1200.0,9881.91,1181.63,691.107,16,encrypt
1200.0,7164.4,742.091,575.557,16,encrypt
1200.0,7402.39,960.966,629.639,16,encrypt
1200.0,7692.02,841.017,580.716,16,encrypt
1200.0,7531.68,875.457,648.899,32,encrypt
1200.0,7566.91,887.561,681.608,32,encrypt
1200.0,7545.4,914.509,644.443,32,encrypt
1200.0,7564.43,920.715,576.641,32,encrypt
1200.0,7527.45,898.367,614.101,32,encrypt
1200.0,7550.28,944.94,671.102,32,encrypt
1200.0,7530.72,794.67,618.886,32,encrypt
1200.0,7574.03,1065.67,568.847,32,encrypt
1200.0,7595,957.639,643.425,32,encrypt
1200.0,7566.18,889.42,680.724,32,encrypt
1300.0,103057,9632.07,5199.11,1,encrypt
1300.0,102546,9713.96,5239.85,1,encrypt
1300.0,128878,12314.9,6658.87,1,encrypt
1300.0,102488,9577.4,5146.51,1,encrypt
1300.0,102665,9658.73,5251.01,1,encrypt
1300.0,102503,9558.11,5179.51,1,encrypt
1300.0,102606,9715.27,5197.99,1,encrypt
1300.0,102485,9705.88,5151.26,1,encrypt
1300.0,102706,9554.57,5236.18,1,encrypt
1300.0,102433,9654.7,5165.61,1,encrypt
1300.0,51553.6,5016.98,2785,2,encrypt
1300.0,51516.3,4926.42,2704.35,2,encrypt
1300.0,64603.2,6462.08,3631.33,2,encrypt
1300.0,51439.5,5125.49,2958.04,2,encrypt
1300.0,51459.4,5011.34,2788.61,2,encrypt
1300.0,51378.5,5029.84,2885.46,2,encrypt
1300.0,51485.5,5175.21,2976.15,2,encrypt
1300.0,51462.9,5107.72,2943.31,2,encrypt
1300.0,51719.2,5112.8,2881.03,2,encrypt
1300.0,51383.1,5165.83,2895.67,2,encrypt
1300.0,25651.3,2600.74,1548.32,4,encrypt
1300.0,25798.8,2533.33,1527.46,4,encrypt
1300.0,25781.2,2563.62,1582.24,4,encrypt
1300.0,25805.6,2690.49,1504.02,4,encrypt
1300.0,25771.5,2628.05,1565.94,4,encrypt
1300.0,25812.2,2689.3,1595.16,4,encrypt
1300.0,25790.4,2684.96,1519.49,4,encrypt
1300.0,25771.4,2622.65,1565.05,4,encrypt
1300.0,25797,2652.17,1619.22,4,encrypt
1300.0,25797.6,2668.68,1551.21,4,encrypt
1300.0,16984.2,1954.73,1137.51,8,encrypt
1300.0,12910.2,1440.81,845.142,8,encrypt
1300.0,12939.8,1324.45,837.899,8,encrypt
1300.0,12931.1,1355.29,816.838,8,encrypt
1300.0,12930.4,1390.01,960.775,8,encrypt
1300.0,18964.3,1983.98,1268.14,8,encrypt
1300.0,12927.6,1535.59,830.152,8,encrypt
1300.0,13447.5,1565.96,969.667,8,encrypt
1300.0,13235.5,1472.79,911.569,8,encrypt
1300.0,12937.2,1363.61,937.606,8,encrypt
1300.0,7998.83,943.748,594.522,16,encrypt
1300.0,9121.24,981.153,663.198,16,encrypt
1300.0,7266.01,934.978,644.447,16,encrypt
1300.0,8855.78,1211.14,795.328,16,encrypt
1300.0,10082.6,1188.72,788.503,16,encrypt
1300.0,11379.8,1393.23,828.358,16,encrypt
1300.0,7883.81,845.475,699.784,16,encrypt
1300.0,6890.43,748.706,648.719,16,encrypt
1300.0,11065.2,1312.06,863.549,16,encrypt
1300.0,7045.36,837.02,632.337,16,encrypt
1300.0,6976.46,1028.74,547.986,32,encrypt
1300.0,6981.01,773.339,552.855,32,encrypt
1300.0,6975.88,832.547,613.026,32,encrypt
1300.0,6946.46,1014.99,621.112,32,encrypt
1300.0,6944.78,743.77,620.414,32,encrypt
1300.0,7004.65,840.677,684.747,32,encrypt
1300.0,7007.76,1026.77,680.183,32,encrypt
1300.0,6976.67,1009.41,680.001,32,encrypt
1300.0,6964.02,843.493,693.153,32,encrypt
1300.0,6949.57,873.774,683.007,32,encrypt
1400.0,95333.8,9160.39,4973.09,1,encrypt
1400.0,95299.3,9024.7,4885.11,1,encrypt
1400.0,95351.3,9099.66,4909.76,1,encrypt
1400.0,95546.9,9103.04,4931.08,1,encrypt
1400.0,95308.6,8541.14,4720.13,1,encrypt
1400.0,95541.9,9023.11,4865.2,1,encrypt
1400.0,95248.5,9030.8,4869.42,1,encrypt
1400.0,95369.6,9002.5,4908.89,1,encrypt
1400.0,95449,8923.16,4908.71,1,encrypt
1400.0,95380,8974.42,4861.74,1,encrypt
1400.0,47870.7,4578.71,2667.85,2,encrypt
1400.0,60070.8,6038.56,3486.74,2,encrypt
1400.0,60093,6084.7,3521.08,2,encrypt
1400.0,47731.8,4683.28,2705.56,2,encrypt
1400.0,48042.6,4786.26,2717.75,2,encrypt
1400.0,61220.7,6228.92,3552.95,2,encrypt
1400.0,47880.2,4818.81,2788.93,2,encrypt
1400.0,47770.1,4667.17,2764.47,2,encrypt
1400.0,48356.5,4766.67,2773.89,2,encrypt
1400.0,47844.6,4789.06,2798.89,2,encrypt
1400.0,23993.6,2524.97,1511.72,4,encrypt
1400.0,23920.2,2564.5,1543.35,4,encrypt
1400.0,23925,2570.06,1452.47,4,encrypt
1400.0,23930,2524.69,1469.17,4,encrypt
1400.0,24224,2470.99,1512.71,4,encrypt
1400.0,23909.1,2538.56,1499.88,4,encrypt
1400.0,30115.2,3221.96,1923.17,4,encrypt
1400.0,23951,2585.52,1504.41,4,encrypt
1400.0,23944.3,2486.4,1530.84,4,encrypt
1400.0,23952.7,2417.28,1462.6,4,encrypt
1400.0,12017.6,1227.86,848.411,8,encrypt
1400.0,12017.5,1237.42,829.147,8,encrypt
1400.0,11989.9,1368.87,871.369,8,encrypt
1400.0,23674.9,2380.39,1422.97,8,encrypt
1400.0,12020.6,1289.34,835.695,8,encrypt
1400.0,12016.7,1336.06,877.485,8,encrypt
1400.0,12030.4,1305.68,785.101,8,encrypt
1400.0,11997.5,1258.52,807.721,8,encrypt
1400.0,12160.1,1303.48,862.123,8,encrypt
1400.0,11992.1,1321.98,894.094,8,encrypt
1400.0,7387.33,965.682,609.188,16,encrypt
1400.0,6683.99,919.48,523.389,16,encrypt
1400.0,8745.78,976.811,676.341,16,encrypt
1400.0,7184.43,973.556,524.317,16,encrypt
1400.0,12635.5,1344.32,868.289,16,encrypt
1400.0,6739.29,740.938,482.787,16,encrypt
1400.0,8339.07,1107.09,651.25,16,encrypt
1400.0,7280.53,1011.34,683.933,16,encrypt
1400.0,8733.71,1142.32,749.551,16,encrypt
1400.0,7363.33,994.727,650.113,16,encrypt
1400.0,6500.64,946.115,657.085,32,encrypt
1400.0,6494.45,827.687,669.864,32,encrypt
1400.0,6484.7,871.966,690.198,32,encrypt
1400.0,6489.13,975.899,487.906,32,encrypt
1400.0,6454.47,884.928,508.531,32,encrypt
1400.0,6467.79,727.459,553.447,32,encrypt
1400.0,6482.73,750.641,581.394,32,encrypt
1400.0,6452.67,972.364,600.697,32,encrypt
1400.0,6452.61,922.465,631.96,32,encrypt
1400.0,6500.86,992.136,666.797,32,encrypt
1600.0,83554.8,8055.82,4345.12,1,encrypt
1600.0,83348.3,8091.88,4305.66,1,encrypt
1600.0,83466.8,7928.63,4445.44,1,encrypt
1600.0,83600.3,7928.68,4530.93,1,encrypt
1600.0,104917,9985.56,5571.26,1,encrypt
1600.0,83672.2,8081.29,4494.73,1,encrypt
1600.0,83566.5,7927.25,4458.91,1,encrypt
1600.0,104924,10055.3,5641.1,1,encrypt
1600.0,83622.5,7991.07,4468.98,1,encrypt
1600.0,83770.6,7918.02,4479.45,1,encrypt
1600.0,41936.1,4314.82,2474.9,2,encrypt
1600.0,41844.3,4383.75,2462.34,2,encrypt
1600.0,41919.3,4225.46,2556.5,2,encrypt
1600.0,41853.1,4385.55,2595,2,encrypt
1600.0,41872.7,4241.4,2442.56,2,encrypt
1600.0,41711,4319.1,2582.94,2,encrypt
1600.0,52804,5508.18,3196.49,2,encrypt
1600.0,41971.6,4257.77,2503.16,2,encrypt
1600.0,41815.5,4270.08,2491.07,2,encrypt
1600.0,41828.8,4371.28,2500.32,2,encrypt
1600.0,20975.1,2388.3,1394.69,4,encrypt
1600.0,20974.3,2208.2,1440.64,4,encrypt
1600.0,20963.3,2240.7,1378.6,4,encrypt
1600.0,20962.3,2285.78,1454.83,4,encrypt
1600.0,26330.9,2926.03,1797.17,4,encrypt
1600.0,21038.2,2300.71,1378.76,4,encrypt
1600.0,20975.6,2231.32,1464.07,4,encrypt
1600.0,20931.8,2216.19,1386.01,4,encrypt
1600.0,20944,2358.62,1448.69,4,encrypt
1600.0,21497.1,2311.97,1389.14,4,encrypt
1600.0,10547.7,1118.09,874.488,8,encrypt
1600.0,10637.7,1164.43,852.952,8,encrypt
1600.0,10528.4,1306.11,807.229,8,encrypt
1600.0,10606,1249.63,774.068,8,encrypt
1600.0,10965.5,1327.57,918.786,8,encrypt
1600.0,11063,1184.67,841.98,8,encrypt
1600.0,10578,1357.55,771.32,8,encrypt
1600.0,10540.9,1149.16,723.224,8,encrypt
1600.0,10546.8,1358.32,879.1,8,encrypt
1600.0,16547.9,1846.72,1192.7,8,encrypt
1600.0,5475.65,663.853,409.197,16,encrypt
1600.0,6344.02,851.371,660.297,16,encrypt
1600.0,5833.32,905.287,463.032,16,encrypt
1600.0,9474.53,1253.3,797.067,16,encrypt
1600.0,6261.01,669.492,603.404,16,encrypt
1600.0,5701.26,702.576,616.906,16,encrypt
1600.0,6996.99,953.259,658.2,16,encrypt
1600.0,5876.39,666.653,600.475,16,encrypt
1600.0,7442.69,1042.58,709.722,16,encrypt
1600.0,7694.6,1067.13,685.41,16,encrypt
1600.0,5667.85,832.233,524.536,32,encrypt
1600.0,5651.87,710.958,589.798,32,encrypt
1600.0,5706.73,814.89,541.455,32,encrypt
1600.0,5748.46,874.091,535.418,32,encrypt
1600.0,5686.74,684.422,614.159,32,encrypt
1600.0,5709.02,942.201,572.278,32,encrypt
1600.0,5681.5,703.835,546.315,32,encrypt
1600.0,5667.98,643.949,638.817,32,encrypt
1600.0,5674.16,625.64,563.213,32,encrypt
1600.0,5667.52,938.673,555.649,32,encrypt
1700.0,78815.2,7523.94,4216.02,1,encrypt
1700.0,78608.5,7674.83,4240.27,1,encrypt
1700.0,78932,7709.27,4312.62,1,encrypt
1700.0,78611.7,7517.56,4244.76,1,encrypt
1700.0,98805.8,9564.79,5353.91,1,encrypt
1700.0,78705.6,7674.04,4275.09,1,encrypt
1700.0,78651.2,7599.17,4239.71,1,encrypt
1700.0,78693,7557.43,4151.16,1,encrypt
1700.0,78586.6,7643.67,4239.98,1,encrypt
1700.0,78569.9,7656.88,4285.74,1,encrypt
1700.0,39522.6,4213.24,2480.12,2,encrypt
1700.0,39351.9,4005.38,2414.19,2,encrypt
1700.0,39349.9,4154.58,2411,2,encrypt
1700.0,39439.2,4056.02,2381.91,2,encrypt
1700.0,39376.6,3986.43,2450.41,2,encrypt
1700.0,39291,4107.34,2459.41,2,encrypt
1700.0,39381.3,4203.71,2456.68,2,encrypt
1700.0,49616.5,5277.1,3088.77,2,encrypt
