Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
app4,1,305.03,1909694.8,65996424.0,6.17,0.020227518604727407,1200.0,93.41,28493.8
app4,2,174.16,2002452.8,66031665.1,6.17,0.03542719338539274,1200.0,96.48,16803.72
app4,4,87.53,2089922.8,67212136.9,6.06,0.06923340568947789,1200.0,103.4,9052.47
app4,8,52.01,2276522.0,67990435.4,5.99,0.11517015958469526,1200.0,112.25,5797.05
app4,16,116.07,2390760.8,69580667.3,5.85,0.05040062031532696,1200.0,107.54,11763.06
app4,32,108.22,2381122.0,69580796.4,5.85,0.054056551469229344,1200.0,104.55,11043.35
cr_audio1.flac,1,211.34,797507.6,123851994.0,1.0,0.0047317119333774955,1200.0,94.13,19894.06
cr_audio1.flac,2,82.1,821372.8,123839590.0,1.0,0.01218026796589525,1200.0,96.52,7926.35
cr_audio1.flac,4,41.43,850495.6,123829383.0,1.0,0.024137098720733767,1200.0,100.15,4148.59
cr_audio1.flac,8,25.09,877688.8,123829729.0,1.0,0.03985651654045436,1200.0,104.23,2608.95
cr_audio1.flac,16,23.52,961030.0,123825920.0,1.0,0.04251700680272109,1200.0,108.42,2506.54
cr_audio1.flac,32,25.93,960028.0,123825920.0,1.0,0.03856536829926726,1200.0,105.73,2722.03
cr_audio1.wav,1,28.14,122589.2,119548185.0,1.77,0.0628997867803838,1200.0,91.5,2575.08
cr_audio1.wav,2,14.54,151298.0,119548292.0,1.77,0.12173314993122422,1200.0,94.42,1373.32
cr_audio1.wav,4,7.5,192372.4,119548356.0,1.77,0.23600000000000002,1200.0,100.25,751.17
cr_audio1.wav,8,7.38,275189.2,119548313.6,1.77,0.23983739837398374,1200.0,100.98,736.09
cr_audio1.wav,16,11.17,434641.6,119548292.0,1.77,0.1584601611459266,1200.0,96.28,1075.2
cr_audio1.wav,32,10.31,435890.8,119548299.2,1.77,0.1716779825412221,1200.0,97.06,997.81
enwik8,1,22.15,345418.0,20509240.0,4.88,0.22031602708803613,1200.0,94.22,2087.63
enwik8,2,11.58,382734.8,21198288.0,4.72,0.4075993091537133,1200.0,97.78,1131.95
enwik8,4,6.11,459804.8,21925084.0,4.56,0.746317512274959,1200.0,105.03,641.93
enwik8,8,3.6,587115.6,22735342.0,4.4,1.2222222222222223,1200.0,116.09,419.46
enwik8,16,9.68,673316.0,23662680.0,4.23,0.43698347107438024,1200.0,104.89,1002.05
enwik8,32,7.98,676442.4,23662680.0,4.23,0.5300751879699248,1200.0,107.55,844.77
enwik9,1,383.77,4851876.4,990057063.0,1.01,0.0026317846626885896,1200.0,94.61,36310.81
enwik9,2,182.27,4201210.0,169056807.0,5.92,0.03247928896691721,1200.0,98.01,17865.75
enwik9,4,87.06,4349729.2,173359677.0,5.77,0.06627613140362967,1200.0,104.93,9136.19
enwik9,8,35.0,3955224.0,176949150.0,5.65,0.16142857142857145,1200.0,115.86,4031.28
