Name,TR,TIM,MEM,FR,POW,EN
app4,1,65.86,881158.8,1200.0,91.68,6040.08
app4,2,33.42,885692.0,1200.0,95.08,3178.17
app4,4,20.18,882690.4,1200.0,99.22,2003.89
app4,8,12.24,879936.8,1200.0,104.65,1281.46
app4,16,10.44,878619.2,1200.0,107.89,1127.14
app4,32,10.43,880632.8,1200.0,107.81,1126.86
cr_audio1.flac,1,13.74,785083.2,1200.0,93.25,1281.73
cr_audio1.flac,2,6.97,789772.0,1200.0,97.3,678.87
cr_audio1.flac,4,6.64,789619.2,1200.0,98.47,655.57
cr_audio1.flac,8,6.68,794718.0,1200.0,97.54,651.3
cr_audio1.flac,16,6.74,801210.4,1200.0,97.43,656.66
cr_audio1.flac,32,6.71,798246.8,1200.0,97.73,657.28
cr_audio1.wav,1,25.43,303404.8,1200.0,91.19,2318.61
cr_audio1.wav,2,15.39,311941.2,1200.0,93.49,1439.41
cr_audio1.wav,4,10.23,308998.4,1200.0,96.21,983.14
cr_audio1.wav,8,7.52,313822.0,1200.0,98.21,738.08
cr_audio1.wav,16,6.36,318893.2,1200.0,100.31,638.13
cr_audio1.wav,32,6.36,316578.0,1200.0,100.56,640.37
enwik8,1,13.53,459827.6,1200.0,92.0,1245.82
enwik8,2,7.04,467222.8,1200.0,95.96,676.05
enwik8,4,3.7,466058.4,1200.0,102.3,379.45
enwik8,8,2.03,463229.2,1200.0,111.12,227.6
enwik8,16,1.14,469350.4,1200.0,127.82,146.94
enwik8,32,1.12,467711.6,1200.0,128.15,146.16
enwik9,1,127.04,3557531.2,1200.0,93.7,11905.73
enwik9,2,65.37,3562497.6,1200.0,97.26,6357.27
enwik9,4,35.3,3560244.4,1200.0,103.5,3653.4
enwik9,8,19.46,3567962.0,1200.0,112.23,2185.76
enwik9,16,11.05,3568422.4,1200.0,130.53,1445.31
enwik9,32,11.07,3568708.4,1200.0,130.4,1447.77
game1,1,205.65,1174966.0,1200.0,91.79,18877.01
game1,2,105.0,1181361.2,1200.0,94.19,9890.83
game1,4,54.15,1175219.2,1200.0,100.02,5417.05
game1,8,27.25,1173266.8,1200.0,109.0,2971.96
game1,16,27.22,1171300.4,1200.0,109.93,2993.32
game1,32,27.21,1175903.2,1200.0,109.93,2990.66
app4,1,49.43,885500.4,1600.0,95.26,4709.23
app4,2,25.7,886541.2,1600.0,99.54,2559.55
app4,4,14.1,883430.8,1600.0,105.49,1487.38
app4,8,8.54,882281.6,1600.0,114.2,974.94
app4,16,5.54,880396.4,1600.0,128.23,712.54
app4,32,5.54,877981.2,1600.0,127.99,711.0
cr_audio1.flac,1,10.49,784738.4,1600.0,96.21,1008.54
cr_audio1.flac,2,5.45,788961.2,1600.0,101.86,556.78
cr_audio1.flac,4,4.99,789089.6,1600.0,103.15,514.89
cr_audio1.flac,8,5.01,790885.2,1600.0,102.23,513.38
cr_audio1.flac,16,5.04,799277.6,1600.0,102.83,518.35
cr_audio1.flac,32,5.03,795776.4,1600.0,102.35,516.79
cr_audio1.wav,1,19.08,305791.6,1600.0,93.99,1795.1
cr_audio1.wav,2,11.55,306450.4,1600.0,97.47,1126.6
cr_audio1.wav,4,7.68,313754.0,1600.0,100.55,774.66
cr_audio1.wav,8,5.77,309422.0,1600.0,103.35,596.68
cr_audio1.wav,16,4.8,325779.2,1600.0,105.78,508.21
cr_audio1.wav,32,4.8,326329.6,1600.0,105.78,509.7
enwik8,1,10.17,457420.8,1600.0,94.77,965.18
enwik8,2,5.33,462418.4,1600.0,100.43,536.91
enwik8,4,2.83,463025.2,1600.0,108.13,307.93
enwik8,8,1.53,464661.2,1600.0,120.78,186.59
enwik8,16,0.87,471001.2,1600.0,144.8,127.68
enwik8,32,0.86,469826.0,1600.0,145.61,127.2
enwik9,1,96.77,3558308.8,1600.0,96.69,9358.22
enwik9,2,50.17,3562175.2,1600.0,102.08,5121.6
enwik9,4,26.9,3561388.0,1600.0,109.66,2948.74
enwik9,8,14.03,3560994.4,1600.0,123.66,1734.55
enwik9,16,8.41,3568286.8,1600.0,148.18,1246.99
enwik9,32,8.79,3572174.0,1600.0,145.93,1284.1
game1,1,154.4,1173116.4,1600.0,94.88,14652.0
game1,2,78.04,1176398.8,1600.0,98.79,7709.31
game1,4,39.6,1176313.6,1600.0,105.93,4196.3
game1,8,21.18,1166372.4,1600.0,117.94,2499.57
game1,16,10.77,1178686.0,1600.0,144.46,1559.4
game1,32,10.77,1183096.0,1600.0,144.46,1557.98
app4,1,43.94,873113.2,1800.0,96.52,4241.71
app4,2,22.85,885656.4,1800.0,101.75,2325.57
app4,4,11.79,882347.2,1800.0,109.72,1293.97
app4,8,7.19,881322.0,1800.0,120.33,867.83
app4,16,6.96,875998.0,1800.0,124.68,869.56
app4,32,6.96,885612.4,1800.0,124.76,869.43
cr_audio1.flac,1,9.42,786083.6,1800.0,98.01,923.71
cr_audio1.flac,2,4.79,788617.6,1800.0,104.67,502.83
cr_audio1.flac,4,4.43,790237.6,1800.0,105.99,469.69
cr_audio1.flac,8,4.45,791657.6,1800.0,105.02,468.64
cr_audio1.flac,16,4.49,796988.0,1800.0,105.17,473.15
cr_audio1.flac,32,4.48,799469.2,1800.0,105.2,472.56
cr_audio1.wav,1,16.97,304686.8,1800.0,95.67,1623.94
cr_audio1.wav,2,10.28,313966.0,1800.0,99.6,1023.97
cr_audio1.wav,4,6.83,308853.6,1800.0,103.3,707.3
cr_audio1.wav,8,5.02,312056.0,1800.0,107.03,540.06
cr_audio1.wav,16,4.25,316508.4,1800.0,112.89,481.67
cr_audio1.wav,32,4.24,316290.0,1800.0,112.65,479.35
enwik8,1,9.04,460462.0,1800.0,96.5,873.62
enwik8,2,4.74,463348.4,1800.0,102.85,489.56
enwik8,4,2.53,464348.8,1800.0,111.48,283.25
enwik8,8,1.34,468635.2,1800.0,127.2,172.87
enwik8,16,0.65,472765.2,1800.0,162.85,107.93
enwik8,32,0.65,470510.0,1800.0,162.76,107.85
enwik9,1,86.71,3557788.0,1800.0,98.43,8535.11
enwik9,2,45.21,3562361.2,1800.0,104.49,4725.13
enwik9,4,23.7,3563351.2,1800.0,113.59,2691.61
enwik9,8,12.69,3564638.0,1800.0,129.17,1641.64
enwik9,16,7.52,3572130.8,1800.0,156.23,1179.42
enwik9,32,7.42,3572443.2,1800.0,156.87,1169.21
game1,1,137.07,1171858.4,1800.0,96.41,13215.73
game1,2,70.73,1176375.2,1800.0,100.85,7133.51
game1,4,35.65,1179654.0,1800.0,109.11,3890.34
game1,8,18.48,1170761.6,1800.0,124.16,2296.26
game1,16,18.1,1174184.4,1800.0,127.45,2308.79
game1,32,18.12,1173974.8,1800.0,127.28,2308.94
app4,1,36.01,881690.4,2200.0,101.17,3645.17
app4,2,18.26,884223.6,2200.0,106.76,1949.53
app4,4,10.12,882981.2,2200.0,115.96,1175.42
app4,8,6.34,880272.0,2200.0,129.48,822.0
app4,16,3.98,879600.0,2200.0,154.62,620.72
app4,32,3.99,876880.8,2200.0,154.84,619.59
cr_audio1.flac,1,7.88,785118.8,2200.0,102.32,807.16
cr_audio1.flac,2,4.02,788621.6,2200.0,109.65,440.85
cr_audio1.flac,4,3.62,789522.4,2200.0,112.3,408.26
cr_audio1.flac,8,3.64,790302.4,2200.0,111.83,407.89
cr_audio1.flac,16,3.64,798147.2,2200.0,112.7,410.66
cr_audio1.flac,32,3.64,798356.4,2200.0,112.49,409.87
cr_audio1.wav,1,13.9,302852.0,2200.0,99.94,1389.56
cr_audio1.wav,2,8.41,305359.6,2200.0,104.25,877.54
cr_audio1.wav,4,5.59,308912.4,2200.0,109.09,611.83
cr_audio1.wav,8,4.11,309855.2,2200.0,114.76,474.42
cr_audio1.wav,16,3.48,317404.8,2200.0,123.66,432.47
cr_audio1.wav,32,3.48,320033.6,2200.0,123.02,430.81
enwik8,1,7.44,458235.2,2200.0,100.77,749.08
enwik8,2,3.91,464230.8,2200.0,107.63,421.57
enwik8,4,2.07,462506.4,2200.0,119.3,247.56
enwik8,8,1.12,465582.8,2200.0,140.15,160.35
enwik8,16,0.63,470102.8,2200.0,176.23,115.67
enwik8,32,0.64,469012.8,2200.0,175.5,117.37
enwik9,1,72.17,3557459.2,2200.0,102.77,7417.02
