Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
app4,1,293.79,529905.2,67300649.0,6.05,0.020592940535756832,1200.0,93.37,27432.55
app4,2,168.75,533405.2,67646755.4,6.02,0.03567407407407407,1200.0,96.3,16252.28
app4,4,86.04,538084.0,68577751.8,5.94,0.06903765690376569,1200.0,103.08,8869.54
app4,8,53.4,518473.6,69454481.7,5.86,0.10973782771535581,1200.0,111.12,5880.32
app4,16,100.94,486210.0,74747589.7,5.45,0.05399247077471766,1200.0,109.24,10359.22
app4,32,113.09,483090.8,74745750.7,5.45,0.048191705721107085,1200.0,105.41,11466.39
cr_audio1.flac,1,142.92,510802.0,123840912.0,1.0,0.006996921354603975,1200.0,94.06,13443.85
cr_audio1.flac,2,63.54,515888.0,123834555.0,1.0,0.015738117721120555,1200.0,96.35,6122.17
cr_audio1.flac,4,33.06,521748.8,123829533.0,1.0,0.030248033877797943,1200.0,100.57,3326.81
cr_audio1.flac,8,19.51,497474.8,123833331.0,1.0,0.05125576627370579,1200.0,108.44,2120.94
cr_audio1.flac,16,29.73,457536.4,123819689.0,1.0,0.03363605785401951,1200.0,106.94,3072.33
cr_audio1.flac,32,34.02,436932.8,123819689.0,1.0,0.02939447383891828,1200.0,102.85,3463.82
cr_audio1.wav,1,28.22,121676.4,119548185.0,1.77,0.0627214741318214,1200.0,91.54,2583.26
cr_audio1.wav,2,14.59,147768.8,119548292.0,1.77,0.12131596984235778,1200.0,94.38,1377.2
cr_audio1.wav,4,7.56,189958.0,119548356.0,1.77,0.23412698412698413,1200.0,100.14,757.24
cr_audio1.wav,8,5.35,220637.6,119549589.0,1.77,0.33084112149532713,1200.0,104.92,555.37
cr_audio1.wav,16,11.18,259306.0,119550873.0,1.77,0.15831842576028624,1200.0,96.05,1072.48
cr_audio1.wav,32,11.34,263246.0,119550873.0,1.77,0.15608465608465608,1200.0,96.34,1085.2
enwik8,1,22.19,345828.8,20509240.0,4.88,0.21991888237945018,1200.0,94.28,2092.41
enwik8,2,11.57,378452.8,21198288.0,4.72,0.4079515989628349,1200.0,97.86,1132.84
enwik8,4,6.1,459436.0,21925084.0,4.56,0.7475409836065574,1200.0,105.1,642.45
enwik8,8,5.23,546409.2,22735342.0,4.4,0.8413001912045889,1200.0,108.92,565.06
enwik8,16,9.75,666573.2,23662680.0,4.23,0.4338461538461539,1200.0,104.28,1007.13
enwik8,32,8.26,699376.4,23662680.0,4.23,0.5121065375302664,1200.0,109.82,870.42
enwik9,1,212.39,409739.2,178062492.0,5.62,0.02646075615612788,1200.0,94.36,20041.53
enwik9,2,109.49,429550.4,183515474.0,5.45,0.04977623527262764,1200.0,97.95,10726.41
enwik9,4,58.51,532495.2,189531332.0,5.28,0.09024098444710307,1200.0,105.46,6171.09
enwik9,8,48.39,674369.2,196847811.0,5.08,0.104980367844596,1200.0,111.65,5316.8
enwik9,16,84.27,755883.6,204006870.0,4.9,0.05814643408093035,1200.0,105.7,8733.52
enwik9,32,80.31,771560.4,204006870.0,4.9,0.06101357240692318,1200.0,106.87,8374.35
game1,1,707.14,528821.2,151235957.0,4.63,0.006547501202025059,1200.0,93.17,65882.59
game1,2,386.16,539854.4,157512594.9,4.45,0.011523720737518128,1200.0,96.27,37176.27
game1,4,199.58,544976.4,162471006.3,4.31,0.021595350235494536,1200.0,102.95,20548.87
game1,8,103.56,543043.2,163147308.0,4.29,0.0414252607184241,1200.0,114.28,11836.82
game1,16,286.44,490387.2,160787843.0,4.36,0.015221337801982964,1200.0,103.51,28736.03
game1,32,286.0,485444.8,160787843.0,4.36,0.015244755244755246,1200.0,101.86,28686.06
app4,1,221.77,529620.0,67300649.0,6.05,0.027280515849754248,1600.0,96.29,21354.27
app4,2,127.96,533898.0,67643955.3,6.02,0.047045951859956234,1600.0,100.93,12915.98
app4,4,65.31,540072.4,68577740.8,5.94,0.09095084979329353,1600.0,109.27,7138.71
app4,8,34.31,533018.8,69453061.0,5.86,0.17079568638880793,1600.0,124.89,4287.48
app4,16,63.37,505973.6,74746565.9,5.45,0.08600284046078586,1600.0,129.08,7153.62
app4,32,58.96,513108.0,74746225.4,5.45,0.09243554952510176,1600.0,129.9,6744.04
cr_audio1.flac,1,108.82,510710.0,123840912.0,1.0,0.009189487226612756,1600.0,97.02,10557.69
cr_audio1.flac,2,47.62,515179.2,123834555.0,1.0,0.020999580008399833,1600.0,100.98,4809.51
cr_audio1.flac,4,24.64,524473.2,123829533.0,1.0,0.040584415584415584,1600.0,106.44,2623.63
cr_audio1.flac,8,13.86,519991.2,123833331.0,1.0,0.07215007215007216,1600.0,119.28,1654.35
cr_audio1.flac,16,22.32,464698.0,123819689.0,1.0,0.044802867383512544,1600.0,116.44,2477.13
cr_audio1.flac,32,18.59,467214.0,123819689.0,1.0,0.05379236148466918,1600.0,118.99,2123.41
cr_audio1.wav,1,21.18,121006.0,119548185.0,1.77,0.08356940509915015,1600.0,94.27,1997.11
cr_audio1.wav,2,10.96,146625.6,119548292.0,1.77,0.1614963503649635,1600.0,98.92,1085.23
cr_audio1.wav,4,5.74,188518.8,119548354.8,1.77,0.30836236933797906,1600.0,105.58,606.73
cr_audio1.wav,8,3.08,217444.8,119549589.0,1.77,0.5746753246753247,1600.0,117.33,362.9
cr_audio1.wav,16,8.57,261491.6,119550873.0,1.77,0.20653442240373396,1600.0,101.32,867.68
cr_audio1.wav,32,8.58,261588.8,119550873.0,1.77,0.2062937062937063,1600.0,101.42,866.13
enwik8,1,16.77,345476.4,20509240.0,4.88,0.2909958258795468,1600.0,97.33,1632.88
enwik8,2,8.77,378964.0,21198288.0,4.72,0.5381984036488028,1600.0,103.02,905.17
enwik8,4,4.63,462510.4,21925084.0,4.56,0.9848812095032397,1600.0,111.83,518.85
enwik8,8,2.86,576701.6,22735342.0,4.4,1.5384615384615385,1600.0,126.41,361.89
enwik8,16,4.24,735150.0,23662680.0,4.23,0.9976415094339623,1600.0,133.57,519.04
enwik8,32,5.13,719044.8,23662680.0,4.23,0.824561403508772,1600.0,128.24,603.34
enwik9,1,160.87,409580.8,178062492.0,5.62,0.034935040716106175,1600.0,97.4,15670.02
