Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
app4,1,47.2,1436.0,140394514.0,2.91,0.061652542372881355,1200.0,90.89,4289.89
app4,1,47.28,1432.0,140394514.0,2.91,0.06154822335025381,1200.0,90.94,4301.11
app4,1,47.37,1436.0,140394514.0,2.91,0.061431285623812545,1200.0,90.94,4305.92
app4,1,47.31,1436.0,140394514.0,2.91,0.061509194673430564,1200.0,90.93,4300.89
app4,1,47.91,1436.0,140394514.0,2.91,0.06073888541014403,1200.0,90.94,4355.96
app4,1,47.7,1436.0,140394514.0,2.91,0.0610062893081761,1200.0,90.91,4336.11
app4,1,47.35,1432.0,140394514.0,0.88,0.018585005279831045,1200.0,90.94,4305.97
app4,1,47.73,1436.0,140394514.0,0.88,0.01843704169285565,1200.0,90.93,4337.31
app4,1,47.45,1436.0,140394514.0,0.88,0.018545837723919916,1200.0,90.9,4313.08
app4,1,47.54,1432.0,140394514.0,0.88,0.01851072780816155,1200.0,90.93,4322.9
app4,2,23.85,2900.0,140394514.0,0.88,0.036897274633123686,1200.0,94.73,2259.41
app4,2,23.85,3060.0,140394514.0,0.88,0.036897274633123686,1200.0,94.74,2259.49
app4,2,24.41,2904.0,140394514.0,1.51,0.061859893486276116,1200.0,94.89,2315.22
app4,2,24.37,2876.0,140394514.0,1.51,0.06196142798522774,1200.0,94.52,2301.5
app4,2,24.12,2876.0,140394514.0,1.51,0.06260364842454394,1200.0,94.56,2279.17
app4,2,24.2,2764.0,140394514.0,1.51,0.062396694214876036,1200.0,94.62,2289.96
app4,2,24.01,2900.0,140394514.0,1.51,0.06289046230737193,1200.0,94.8,2275.18
app4,2,23.9,2892.0,140394514.0,1.51,0.06317991631799164,1200.0,94.75,2264.72
app4,2,23.82,2784.0,140394514.0,0.71,0.02980688497061293,1200.0,94.68,2258.14
app4,2,24.02,2900.0,140394514.0,0.71,0.029558701082431305,1200.0,94.84,2280.61
app4,4,12.38,4552.0,140394514.0,0.71,0.057350565428109845,1200.0,99.66,1230.95
app4,4,12.02,4508.0,140394514.0,0.71,0.059068219633943424,1200.0,100.24,1202.91
app4,4,12.32,4476.0,140394514.0,0.71,0.05762987012987013,1200.0,99.71,1231.61
app4,4,12.07,4612.0,140394514.0,0.71,0.0588235294117647,1200.0,99.94,1209.3
app4,4,12.28,4556.0,140394514.0,7.12,0.5798045602605864,1200.0,99.66,1225.94
app4,4,12.23,6460.0,140394514.0,7.12,0.5821749795584628,1200.0,100.13,1226.98
app4,4,12.35,4508.0,140394514.0,7.12,0.5765182186234818,1200.0,99.8,1233.85
app4,4,12.42,4552.0,140394514.0,7.12,0.573268921095008,1200.0,100.47,1246.36
app4,4,12.35,6312.0,140394514.0,7.12,0.5765182186234818,1200.0,99.62,1230.45
app4,4,12.76,4552.0,140394514.0,7.12,0.5579937304075235,1200.0,99.56,1274.55
app4,8,6.4,7472.0,140394514.0,4.99,0.7796875,1200.0,108.72,696.7
app4,8,6.46,7564.0,140394514.0,4.99,0.7724458204334366,1200.0,110.21,717.28
app4,8,6.39,7512.0,140394514.0,4.99,0.780907668231612,1200.0,110.06,705.24
app4,8,6.42,7576.0,140394514.0,4.99,0.7772585669781932,1200.0,108.42,700.18
app4,8,6.44,7516.0,140394514.0,4.99,0.7748447204968943,1200.0,109.71,708.34
app4,8,6.04,9268.0,140394514.0,4.99,0.826158940397351,1200.0,111.22,673.38
app4,8,6.6,7536.0,140394514.0,2.91,0.440909090909091,1200.0,109.06,720.73
app4,8,6.49,7516.0,140394514.0,2.91,0.44838212634822805,1200.0,109.58,713.13
app4,8,6.4,7504.0,140394514.0,2.91,0.4546875,1200.0,108.79,702.43
app4,8,6.31,7528.0,140394514.0,2.91,0.46117274167987327,1200.0,110.39,696.13
app4,16,3.51,15316.0,140394514.0,2.91,0.8290598290598291,1200.0,123.23,433.17
app4,16,3.65,13520.0,140394514.0,2.91,0.7972602739726028,1200.0,122.72,449.18
app4,16,3.65,13404.0,140394514.0,0.88,0.2410958904109589,1200.0,122.66,449.14
app4,16,3.73,15292.0,140394514.0,0.88,0.2359249329758713,1200.0,122.53,454.77
app4,16,3.63,13432.0,140394514.0,0.88,0.24242424242424243,1200.0,122.39,447.97
app4,16,3.62,13476.0,140394514.0,0.88,0.2430939226519337,1200.0,122.47,448.58
app4,16,3.51,13432.0,140394514.0,0.88,0.25071225071225073,1200.0,123.13,433.85
app4,16,3.59,13416.0,140394514.0,0.88,0.24512534818941506,1200.0,122.87,443.73
app4,16,3.59,13480.0,140394514.0,1.51,0.42061281337047357,1200.0,123.12,444.44
app4,16,3.56,13424.0,140394514.0,1.51,0.4241573033707865,1200.0,122.96,443.89
app4,32,2.78,26908.0,140394514.0,1.51,0.5431654676258993,1200.0,124.98,351.12
app4,32,2.78,24384.0,140394514.0,1.51,0.5431654676258993,1200.0,126.6,356.05
app4,32,2.74,24592.0,140394514.0,1.51,0.5510948905109488,1200.0,127.18,351.44
app4,32,2.75,24512.0,140394514.0,1.51,0.5490909090909091,1200.0,127.42,352.07
app4,32,2.79,24756.0,140394514.0,0.71,0.2544802867383512,1200.0,126.81,356.47
app4,32,2.77,24444.0,140394514.0,0.71,0.2563176895306859,1200.0,127.17,351.05
app4,32,2.76,26556.0,140394514.0,0.71,0.25724637681159424,1200.0,126.29,348.92
app4,32,2.74,24576.0,140394514.0,0.71,0.25912408759124084,1200.0,126.45,349.64
app4,32,2.78,24880.0,140394514.0,0.71,0.25539568345323743,1200.0,125.18,351.98
app4,32,2.77,24728.0,140394514.0,0.71,0.2563176895306859,1200.0,125.25,353.26
cr_audio1.flac,1,10.3,1444.0,123876680.0,8.07,0.7834951456310679,1200.0,91.45,941.97
cr_audio1.flac,1,10.31,1444.0,123876680.0,8.07,0.7827352085354025,1200.0,91.44,941.85
cr_audio1.flac,1,10.34,1444.0,123876680.0,8.07,0.7804642166344294,1200.0,91.38,945.74
cr_audio1.flac,1,10.49,1444.0,123876680.0,8.07,0.76930409914204,1200.0,91.28,958.49
cr_audio1.flac,1,10.33,1444.0,123876680.0,8.07,0.7812197483059051,1200.0,91.33,945.29
cr_audio1.flac,1,10.13,1444.0,123876680.0,8.07,0.7966436327739388,1200.0,91.72,926.87
cr_audio1.flac,1,10.68,1444.0,123876680.0,5.66,0.5299625468164795,1200.0,91.03,969.48
cr_audio1.flac,1,10.44,1444.0,123876680.0,5.66,0.5421455938697318,1200.0,91.2,953.37
cr_audio1.flac,1,10.38,1444.0,123876680.0,5.66,0.5452793834296724,1200.0,91.48,951.59
cr_audio1.flac,1,10.29,1444.0,123876680.0,5.66,0.5500485908649174,1200.0,91.29,939.47
cr_audio1.flac,2,5.34,2576.0,123876680.0,5.66,1.059925093632959,1200.0,95.53,511.32
cr_audio1.flac,2,5.4,2700.0,123876680.0,5.66,1.048148148148148,1200.0,95.65,521.34
cr_audio1.flac,2,5.35,2572.0,123876680.0,3.3,0.616822429906542,1200.0,95.56,516.16
cr_audio1.flac,2,5.37,2576.0,123876680.0,3.3,0.6145251396648044,1200.0,96.02,514.6
cr_audio1.flac,2,5.32,2576.0,123876680.0,3.3,0.6203007518796991,1200.0,95.64,507.12
cr_audio1.flac,2,5.07,2572.0,123876680.0,3.3,0.6508875739644969,1200.0,96.53,492.34
cr_audio1.flac,2,5.39,2708.0,123876680.0,3.3,0.6122448979591837,1200.0,96.04,518.53
cr_audio1.flac,2,5.32,2700.0,123876680.0,3.3,0.6203007518796991,1200.0,95.72,507.54
cr_audio1.flac,2,5.35,2700.0,123876680.0,1.0,0.1869158878504673,1200.0,95.6,511.67
cr_audio1.flac,2,5.19,2700.0,123876680.0,1.0,0.19267822736030826,1200.0,96.28,500.71
cr_audio1.flac,4,2.87,4184.0,123876680.0,1.0,0.3484320557491289,1200.0,101.15,293.7
cr_audio1.flac,4,2.82,4320.0,123876680.0,1.0,0.3546099290780142,1200.0,101.34,289.14
cr_audio1.flac,4,2.88,4052.0,123876680.0,1.0,0.3472222222222222,1200.0,101.34,294.21
cr_audio1.flac,4,2.91,4052.0,123876680.0,1.0,0.3436426116838488,1200.0,101.34,294.16
cr_audio1.flac,4,2.59,4052.0,123876680.0,1.71,0.6602316602316602,1200.0,102.27,265.96
cr_audio1.flac,4,2.83,4048.0,123876680.0,1.71,0.6042402826855123,1200.0,101.57,289.52
cr_audio1.flac,4,2.82,4052.0,123876680.0,1.71,0.6063829787234043,1200.0,100.59,287.32
cr_audio1.flac,4,2.91,4052.0,123876680.0,1.71,0.5876288659793814,1200.0,101.79,301.24
cr_audio1.flac,4,2.85,4052.0,123876680.0,1.71,0.6,1200.0,101.39,289.2
cr_audio1.flac,4,2.87,4052.0,123876680.0,1.71,0.5958188153310104,1200.0,101.99,296.13
cr_audio1.flac,8,1.63,6996.0,123876680.0,0.81,0.4969325153374234,1200.0,109.96,182.06
cr_audio1.flac,8,1.62,6996.0,123876680.0,0.81,0.5,1200.0,110.49,182.84
cr_audio1.flac,8,1.63,6872.0,123876680.0,0.81,0.4969325153374234,1200.0,110.46,182.87
cr_audio1.flac,8,1.66,7124.0,123876680.0,0.81,0.48795180722891573,1200.0,112.11,185.84
cr_audio1.flac,8,1.57,7396.0,123876680.0,0.81,0.5159235668789809,1200.0,110.51,178.64
cr_audio1.flac,8,1.64,7124.0,123876680.0,0.81,0.4939024390243903,1200.0,110.91,183.77
