FR,TR,Name,REP,START,END,TIM,EN
1200.0,16,01,2,1405164058.644273395,1405164077.392918453,18.748645058,2570.90051
1200.0,16,01,3,1405164078.858993368,1405164097.789616148,18.930622780,2579.502125
1200.0,16,01,4,1405164098.449721879,1405164117.362710847,18.912988968,2584.380549
1200.0,16,01,5,1405164118.828137516,1405164136.765755581,17.937618065,2472.564012
1200.0,16,01,6,1405164138.231603401,1405164156.421929226,18.190325825,2467.457365
1200.0,16,01,7,1405164158.893899354,1405164176.748675791,17.854776437,2464.681104
1200.0,16,01,8,1405164178.253017362,1405164196.135350620,17.882333258,2463.125108
1200.0,16,02,2,1405164200.544477007,1405164201.809198105,1.264721098,143.812511
1200.0,16,02,3,1405164202.472130521,1405164203.657896019,1.185765498,135.837344
1200.0,16,02,4,1405164204.315920609,1405164205.651567553,1.335646944,158.497944
1200.0,16,02,5,1405164206.313100835,1405164207.807761723,1.494660888,172.038
1200.0,16,02,6,1405164208.469225166,1405164209.835639644,1.366414478,156.190254
1200.0,16,02,7,1405164210.494995648,1405164211.936898044,1.441902396,162.626212
1200.0,16,02,8,1405164212.637985201,1405164213.960537754,1.322552553,153.636546
1200.0,16,03,2,1405164232.979061163,1405164241.848553844,8.869492681,941.786555
1200.0,16,03,3,1405164242.508665504,1405164250.962455452,8.453789948,886.343715
1200.0,16,03,4,1405164252.424123653,1405164261.294556683,8.870433030,931.654811
1200.0,16,03,5,1405164262.757985574,1405164272.089517638,9.331532064,979.199291
1200.0,16,03,6,1405164272.760387525,1405164281.329117840,8.568730315,908.505263
1200.0,16,03,7,1405164282.843995276,1405164292.210137083,9.366141807,1019.636831
1200.0,16,03,8,1405164294.678338450,1405164303.441139032,8.762800582,906.379999
1200.0,16,04,2,1405164310.680056696,1405164313.105330983,2.425274287,274.549627
1200.0,16,04,3,1405164314.570802342,1405164317.512559026,2.941756684,320.928631
1200.0,16,04,4,1405164318.170061475,1405164321.323940568,3.153879093,349.385761
1200.0,16,04,5,1405164322.827976822,1405164327.065503856,4.237527034,468.623366
1200.0,16,04,6,1405164328.529716178,1405164331.643256127,3.113539949,346.548071
1200.0,16,04,7,1405164332.302923812,1405164335.055601462,2.752677650,303.912686
1200.0,16,04,8,1405164336.520527550,1405164340.158156890,3.637629340,394.460767
1200.0,16,05,2,1405164350.704352875,1405164358.017549466,7.313196591,770.626011
1200.0,16,05,3,1405164358.683952679,1405164366.720385931,8.036433252,868.681722
1200.0,16,05,4,1405164369.227806145,1405164376.226842497,6.999036352,755.231121
1200.0,16,05,5,1405164378.695848365,1405164386.332950586,7.637102221,807.53972
1200.0,16,05,6,1405164388.803066116,1405164396.005079850,7.202013734,762.692311
1200.0,16,05,7,1405164396.700548998,1405164404.357220510,7.656671512,803.094566
1200.0,16,05,8,1405164406.817052195,1405164413.824520407,7.007468212,750.365745
1200.0,16,06,2,1405164464.571628018,1405164465.669794405,1.098166387,132.518892
1200.0,16,06,3,1405164466.337592947,1405164466.915673853,.578080906,78.98425
1200.0,16,06,4,1405164468.391897163,1405164469.329617936,.937720773,115.096277
1200.0,16,06,5,1405164470.806846461,1405164471.755412258,.948565797,116.16157
1200.0,16,06,6,1405164472.476932686,1405164473.682073535,1.205140849,151.677181
1200.0,16,06,7,1405164474.350682901,1405164475.512032835,1.161349934,141.05244
1200.0,16,06,8,1405164476.999435975,1405164477.640179583,.640743608,85.002557
1200.0,16,07,2,1405164482.628233525,1405164486.402551482,3.774317957,480.548082
1200.0,16,07,3,1405164488.931787923,1405164494.069232916,5.137444993,625.266676
1200.0,16,07,4,1405164496.568469647,1405164500.812070512,4.243600865,541.732199
1200.0,16,07,5,1405164502.341457789,1405164506.351824929,4.010367140,513.036599
1200.0,16,07,6,1405164508.829141182,1405164512.805557065,3.976415883,509.372425
1200.0,16,07,7,1405164514.268632205,1405164518.840737362,4.572105157,572.420849
1200.0,16,07,8,1405164520.360968045,1405164524.950201929,4.589233884,562.722563
1200.0,16,08,2,1405164534.228343617,1405164540.688414217,6.460070600,655.748345
1200.0,16,08,3,1405164543.156457435,1405164549.144643423,5.988185988,615.932939
1200.0,16,08,4,1405164550.644549757,1405164556.443978338,5.799428581,587.001802
1200.0,16,08,5,1405164558.913041758,1405164564.294310473,5.381268715,540.90297
1200.0,16,08,6,1405164566.764006374,1405164572.487306945,5.723300571,588.830979
1200.0,16,08,7,1405164574.954956924,1405164580.433462952,5.478506028,554.173974
1200.0,16,08,8,1405164582.901930468,1405164589.013942593,6.112012125,617.050248
1200.0,16,09,2,1405164640.935605705,1405164695.531977571,54.596371866,7439.492191
1200.0,16,09,3,1405164697.002599618,1405164750.443703646,53.441104028,7310.072654
1200.0,16,09,4,1405164752.919739603,1405164803.912719447,50.992979844,7146.481975
1200.0,16,09,5,1405164804.576350749,1405164859.027497811,54.451147062,7384.820934
1200.0,16,09,6,1405164860.495147317,1405164915.204100470,54.708953153,7389.554555
1200.0,16,09,7,1405164916.712106127,1405164969.777606773,53.065500646,7267.34244
1200.0,16,09,8,1405164970.441246440,1405165024.349638680,53.908392240,7337.809347
1200.0,16,10,2,1405165040.278209235,1405165053.827003524,13.548794289,1452.133934
1200.0,16,10,3,1405165054.487062929,1405165068.912735277,14.425672348,1561.424639
1200.0,16,10,4,1405165070.377490654,1405165084.888468536,14.510977882,1564.334365
1200.0,16,10,5,1405165086.361153538,1405165100.766718479,14.405564941,1559.751334
1200.0,16,10,6,1405165103.236044104,1405165117.621067554,14.385023450,1545.791797
1200.0,16,10,7,1405165118.282140707,1405165132.506348426,14.224207719,1519.521448
1200.0,16,10,8,1405165134.998236530,1405165148.639348312,13.641111782,1476.221801
1200.0,16,11,2,1405165152.588410555,1405165153.320957804,.732547249,81.211174
1200.0,16,11,3,1405165154.781746746,1405165155.639599922,.857853176,95.800793
1200.0,16,11,4,1405165156.293094638,1405165156.975599067,.682504429,79.328248
1200.0,16,11,5,1405165158.438236483,1405165159.186902534,.748666051,84.494006
1200.0,16,11,6,1405165160.648093378,1405165161.428246461,.780153083,89.282891
1200.0,16,11,7,1405165162.889229410,1405165163.749893953,.860664543,96.669271
1200.0,16,11,8,1405165164.408937077,1405165165.447062036,1.038124959,118.70385
1200.0,16,12,2,1405165192.597945098,1405165194.694565658,2.096620560,254.193172
1200.0,16,12,3,1405165196.155380750,1405165197.263970535,1.108589785,149.622551
1200.0,16,12,4,1405165198.726378363,1405165199.956200385,1.229822022,161.657625
1200.0,16,12,5,1405165200.613749317,1405165201.834737740,1.220988423,162.578506
1200.0,16,12,6,1405165202.527666901,1405165203.910848366,1.383181465,175.276758
1200.0,16,12,7,1405165204.567971843,1405165205.817066319,1.249094476,159.585272
1200.0,16,12,8,1405165206.475569184,1405165207.762861443,1.287292259,163.565016
1200.0,16,13,2,1405165252.889872460,1405165299.695457663,46.805585203,4689.001665
1200.0,16,13,3,1405165300.359577298,1405165341.280203279,40.920625981,4077.446023
1200.0,16,13,4,1405165342.750301147,1405165387.613610286,44.863309139,4460.912401
1200.0,16,13,5,1405165388.277291804,1405165431.731754817,43.454463013,4338.986553
1200.0,16,13,6,1405165432.449525128,1405165474.154517069,41.704991941,4138.763834
1200.0,16,13,7,1405165476.671909333,1405165519.050746230,42.378836897,4215.154883
1200.0,16,13,8,1405165520.519319606,1405165562.963744616,42.444425010,4212.783397
1200.0,16,14,2,1405165568.900846317,1405165571.411254206,2.510407889,306.09502
1200.0,16,14,3,1405165572.875839145,1405165574.977917568,2.102078423,261.531394
1200.0,16,14,4,1405165576.439343897,1405165578.121700056,1.682356159,213.045584
1200.0,16,14,5,1405165578.780607347,1405165580.847909525,2.067302178,259.59454
1200.0,16,14,6,1405165582.311262780,1405165584.405962295,2.094699515,257.688295
1200.0,16,14,7,1405165586.873242882,1405165590.603935436,3.730692554,446.031836
1200.0,16,14,8,1405165593.069496796,1405165595.708031838,2.638535042,320.995716
1200.0,16,16,2,1405165624.692936659,1405165651.821532428,27.128595769,2634.812044
1200.0,16,16,3,1405165652.616374218,1405165679.465006124,26.848631906,2612.555331
1200.0,16,16,4,1405165680.459333625,1405165706.788544266,26.329210641,2552.266944
1200.0,16,16,5,1405165708.386691506,1405165734.928533134,26.541841628,2581.185795
1200.0,16,16,6,1405165736.526160334,1405165763.280464793,26.754304459,2591.711368
1200.0,16,16,7,1405165764.876034359,1405165791.214464828,26.338430469,2554.405838
1200.0,16,16,8,1405165792.810374056,1405165818.864378281,26.054004225,2530.693838
1200.0,16,17,2,1405165838.370304617,1405165854.697873297,16.327568680,2117.384061
1200.0,16,17,3,1405165857.168208725,1405165873.254585830,16.086377105,2115.292557
1200.0,16,17,4,1405165874.721842170,1405165890.580239566,15.858397396,2089.579226
1200.0,16,17,5,1405165893.052112403,1405165909.492616853,16.440504450,2146.497579
1200.0,16,17,6,1405165910.957642521,1405165928.122632044,17.164989523,2212.536152
1200.0,16,17,7,1405165928.785116352,1405165944.638979725,15.853863373,2088.179408
1200.0,16,17,8,1405165947.116046814,1405165963.870152580,16.754105766,2173.631189
1200.0,16,18,2,1405166000.387633668,1405166033.259689257,32.872055589,3446.992776
1200.0,16,18,3,1405166034.731588744,1405166067.314263358,32.582674614,3399.985991
1200.0,16,18,4,1405166068.781072464,1405166099.922794444,31.141721980,3240.692432
1200.0,16,18,5,1405166100.589538470,1405166131.054191661,30.464653191,3168.018868
1200.0,16,18,6,1405166132.565187004,1405166162.361099041,29.795912037,3096.870826
1200.0,16,18,7,1405166164.840398467,1405166200.291672629,35.451274162,3664.221239
1200.0,16,18,8,1405166202.765210899,1405166236.249583919,33.484373020,3479.433079
1200.0,16,19,2,1405166246.709642294,1405166250.935652866,4.226010572,566.641671
1200.0,16,19,3,1405166252.412107952,1405166256.977246477,4.565138525,592.363606
1200.0,16,19,4,1405166258.495196731,1405166262.858390433,4.363193702,569.392717
1200.0,16,19,5,1405166264.339522000,1405166269.243903213,4.904381213,626.295606
1200.0,16,19,6,1405166270.727962250,1405166275.752735615,5.024773365,644.173423
1200.0,16,19,7,1405166276.466868720,1405166281.566282182,5.099413462,644.441364
1200.0,16,19,8,1405166282.280278257,1405166286.879784999,4.599506742,596.365961
1200.0,16,20,2,1405166294.839265660,1405166300.745651584,5.906385924,641.569933
1200.0,16,20,3,1405166302.347742565,1405166306.642068986,4.294326421,453.311586
1200.0,16,20,4,1405166309.163880530,1405166313.431911936,4.268031406,457.095226
1200.0,16,20,5,1405166314.981126521,1405166318.855166155,3.874039634,409.819854
1200.0,16,20,6,1405166320.364658818,1405166324.126580384,3.761921566,397.593188
1200.0,16,20,7,1405166324.829902458,1405166328.952607018,4.122704560,434.474793
1200.0,16,20,8,1405166330.460378601,1405166334.150835222,3.690456621,383.381982
1200.0,16,21,2,1405166346.595278708,1405166356.287221065,9.691942357,1211.719865
1200.0,16,21,3,1405166358.757195116,1405166368.201002408,9.443807292,1166.546334
1200.0,16,21,4,1405166370.673888353,1405166379.515868233,8.841979880,1110.977999
1200.0,16,21,5,1405166380.982596189,1405166390.739828980,9.757232791,1220.138028
1200.0,16,21,6,1405166393.215320076,1405166402.684182635,9.468862559,1169.542731
1200.0,16,21,7,1405166405.158497012,1405166414.284612535,9.126115523,1123.906436
1200.0,16,21,8,1405166416.757195771,1405166425.085799315,8.328603544,1046.485466
1200.0,16,22,2,1405166436.712771668,1405166445.349679707,8.636908039,880.618019
1200.0,16,22,3,1405166446.851884580,1405166455.318419462,8.466534882,852.533946
1200.0,16,22,4,1405166456.793923472,1405166465.254223084,8.460299612,855.815497
1200.0,16,22,5,1405166466.718451553,1405166475.221399584,8.502948031,858.742104
1200.0,16,22,6,1405166476.695229631,1405166485.008019519,8.312789888,840.024462
1200.0,16,22,7,1405166486.480817403,1405166495.130947898,8.650130495,875.107671
1200.0,16,22,8,1405166496.638852255,1405166504.466913679,7.828061424,780.845647
1200.0,8,01,2,1405166569.120199323,1405166597.943349785,28.823150462,3430.331089
1200.0,8,01,3,1405166598.623615640,1405166628.754967001,30.131351361,3516.714966
1200.0,8,01,4,1405166630.241742058,1405166658.322332600,28.080590542,3354.439017
1200.0,8,01,5,1405166660.810410905,1405166690.046203954,29.235793049,3499.738772
1200.0,8,01,6,1405166690.720821042,1405166719.096430395,28.375609353,3387.841841
1200.0,8,01,7,1405166720.563068732,1405166749.553363981,28.990295249,3459.33032
1200.0,8,01,8,1405166750.225647268,1405166778.077100792,27.851453524,3343.815743
1200.0,8,02,2,1405166782.815922832,1405166784.437224578,1.621301746,173.735012
1200.0,8,02,3,1405166786.910233283,1405166788.855501468,1.945268185,210.68886
1200.0,8,02,4,1405166790.322691675,1405166791.609246636,1.286554961,141.79204
1200.0,8,02,5,1405166792.273067246,1405166793.856095717,1.583028471,170.503341
1200.0,8,02,6,1405166794.519482734,1405166796.158379338,1.638896604,175.164193
1200.0,8,02,7,1405166798.635919850,1405166800.327117355,1.691197505,185.231229
1200.0,8,02,8,1405166802.834575534,1405166804.362770955,1.528195421,167.094662
1200.0,8,03,2,1405166824.462042872,1405166833.622687464,9.160644592,942.836244
1200.0,8,03,3,1405166834.287387180,1405166843.927155648,9.639768468,987.32176
1200.0,8,03,4,1405166844.591389279,1405166854.620648053,10.029258774,1033.776199
1200.0,8,03,5,1405166857.093986765,1405166867.338650248,10.244663483,1061.666304
1200.0,8,03,6,1405166868.806737300,1405166877.962456754,9.155719454,954.651247
1200.0,8,03,7,1405166878.624411058,1405166888.714463118,10.090052060,1035.310703
1200.0,8,03,8,1405166891.184787628,1405166901.118109386,9.933321758,1021.448394
1200.0,8,04,2,1405166908.822716977,1405166912.890980811,4.068263834,436.355206
1200.0,8,04,3,1405166914.357195410,1405166918.408514645,4.051319235,437.641568
1200.0,8,04,4,1405166920.879382854,1405166925.817469083,4.938086229,534.1714
1200.0,8,04,5,1405166926.478674094,1405166931.305658038,4.826983944,522.527139
1200.0,8,04,6,1405166932.770163499,1405166937.395281905,4.625118406,503.241279
1200.0,8,04,7,1405166938.862813315,1405166943.142254843,4.279441528,461.770381
1200.0,8,04,8,1405166944.605433495,1405166948.443783054,3.838349559,418.686737
1200.0,8,05,2,1405166961.188257643,1405166970.027454405,8.839196762,928.092599
1200.0,8,05,3,1405166970.691214098,1405166979.757625981,9.066411883,954.831606
1200.0,8,05,4,1405166980.418336823,1405166988.823318163,8.404981340,881.131838
1200.0,8,05,5,1405166990.288502467,1405166997.737271614,7.448769147,782.805123
1200.0,8,05,6,1405166998.398539000,1405167006.442149190,8.043610190,846.364458
1200.0,8,05,7,1405167008.912945085,1405167017.408629425,8.495684340,893.886814
1200.0,8,05,8,1405167018.877601781,1405167026.887444210,8.009842429,843.052276
1200.0,8,06,2,1405167078.604467808,1405167080.322107408,1.717639600,197.200304
1200.0,8,06,3,1405167082.790003547,1405167083.884212107,1.094208560,130.921578
1200.0,8,06,4,1405167084.544675943,1405167085.587502006,1.042826063,125.881775
1200.0,8,06,5,1405167086.246301227,1405167087.325382729,1.079081502,128.883982
1200.0,8,06,6,1405167088.829004071,1405167090.002874684,1.173870613,139.976282
1200.0,8,06,7,1405167090.664088162,1405167092.576633157,1.912544995,217.366062
1200.0,8,06,8,1405167095.045977667,1405167096.621211748,1.575234081,182.652895
1200.0,8,07,2,1405167106.414638755,1405167112.666173182,6.251534427,728.341494
1200.0,8,07,3,1405167115.136835450,1405167121.465024592,6.328189142,737.515626
1200.0,8,07,4,1405167122.971183355,1405167128.609524355,5.638341000,661.120975
1200.0,8,07,5,1405167131.115522337,1405167136.965456351,5.849934014,681.685819
1200.0,8,07,6,1405167138.431842277,1405167145.203692108,6.771849831,789.958939
1200.0,8,07,7,1405167146.673492985,1405167152.872957851,6.199464866,728.015119
1200.0,8,07,8,1405167154.340654872,1405167160.409940245,6.069285373,705.639692
1200.0,8,08,2,1405167170.914813951,1405167177.495788752,6.580974801,671.724001
1200.0,8,08,3,1405167178.962109735,1405167186.301132414,7.339022679,748.972715
1200.0,8,08,4,1405167188.773484528,1405167194.895189013,6.121704485,619.932568
1200.0,8,08,5,1405167196.362657460,1405167203.195827169,6.833169709,695.413086
1200.0,8,08,6,1405167204.701200113,1405167210.766991419,6.065791306,613.549996
1200.0,8,08,7,1405167213.275909894,1405167220.165610582,6.889700688,708.054936
1200.0,8,08,8,1405167220.827584792,1405167226.960099278,6.132514486,620.676958
1200.0,8,09,2,1405167282.553827889,1405167338.445366825,55.891538936,6600.262564
1200.0,8,09,3,1405167340.931545573,1405167395.164402677,54.232857104,6497.29332
1200.0,8,09,4,1405167396.668080823,1405167451.598613151,54.930532328,6563.200075
1200.0,8,09,5,1405167452.264021848,1405167510.622743134,58.358721286,6822.153535
1200.0,8,09,6,1405167513.101831174,1405167571.612601138,58.510769964,6893.115013
1200.0,8,09,7,1405167572.281760250,1405167625.133389151,52.851628901,6347.856408
1200.0,8,09,8,1405167626.604758511,1405167680.955634298,54.350875787,6522.056022
1200.0,8,10,2,1405167698.253467191,1405167714.700814026,16.447346835,1735.775103
1200.0,8,10,3,1405167717.170910320,1405167732.984228064,15.813317744,1676.409297
