FR,TR,Name,REP,START,END,TIM,EN
1200,16,10,2,1405165040.278209235,1405165053.827003524,13.548794289,1452.133934
1200,16,10,3,1405165054.487062929,1405165068.912735277,14.425672348,1561.424639
1200,16,10,4,1405165070.377490654,1405165084.888468536,14.510977882,1564.334365
1200,16,10,5,1405165086.361153538,1405165100.766718479,14.405564941,1559.751334
1200,16,10,6,1405165103.236044104,1405165117.621067554,14.385023450,1545.791797
1200,16,10,7,1405165118.282140707,1405165132.506348426,14.224207719,1519.521448
1200,16,10,8,1405165134.998236530,1405165148.639348312,13.641111782,1476.221801
1200,8,10,2,1405167698.253467191,1405167714.700814026,16.447346835,1735.775103
1200,8,10,3,1405167717.170910320,1405167732.984228064,15.813317744,1676.409297
1200,8,10,4,1405167734.450479271,1405167750.991394813,16.540915542,1757.780787
1200,8,10,5,1405167752.459875499,1405167768.863861331,16.403985832,1734.575585
1200,8,10,6,1405167770.330524027,1405167787.051591639,16.721067612,1776.898757
1200,8,10,7,1405167788.518431146,1405167804.229052803,15.710621657,1681.357922
1200,8,10,8,1405167806.702030069,1405167822.399398591,15.697368522,1667.312734
1200,32,10,2,1405170431.043178599,1405170444.470546479,13.427367880,1469.403332
1200,32,10,3,1405170446.945763564,1405170460.532886557,13.587122993,1502.42699
1200,32,10,4,1405170463.006676276,1405170476.672809052,13.666132776,1502.26155
1200,32,10,5,1405170479.145270669,1405170493.415412045,14.270141376,1571.684466
1200,32,10,6,1405170494.884115790,1405170509.035358232,14.151242442,1560.639936
1200,32,10,7,1405170510.505132246,1405170524.408269680,13.903137434,1537.372291
1200,32,10,8,1405170526.885337761,1405170540.302145096,13.416807335,1470.857635
1200,4,10,2,1405173624.332508235,1405173645.981298775,21.648790540,2235.494095
1200,4,10,3,1405173646.657678718,1405173666.998154999,20.340476281,2109.086852
1200,4,10,4,1405173668.469394629,1405173689.736169427,21.266774798,2207.146575
1200,4,10,5,1405173690.409903194,1405173710.321241613,19.911338419,2061.735618
1200,4,10,6,1405173712.801639443,1405173733.097463534,20.295824091,2109.130159
1200,4,10,7,1405173734.572957496,1405173754.593817208,20.020859712,2074.997541
1200,4,10,8,1405173757.064028545,1405173778.519093612,21.455065067,2218.931186
1200,2,10,2,1405178053.116304706,1405178084.748325349,31.632020643,3143.268108
1200,2,10,3,1405178087.265158926,1405178113.598703388,26.333544462,2621.624077
1200,2,10,4,1405178114.263929366,1405178144.255492055,29.991562689,2994.413789
1200,2,10,5,1405178146.732418446,1405178175.783174188,29.050755742,2896.882262
1200,2,10,6,1405178176.449362644,1405178204.185423501,27.736060857,2774.018002
1200,2,10,7,1405178206.658874751,1405178238.592185501,31.933310750,3183.089442
1200,2,10,8,1405178241.103231197,1405178266.533094594,25.429863397,2543.205054
