FR,TIM,EN,DC,TR,Name
1200.0,167443,16966.3,9436.97,1,sort
1200.0,167057,16215,8676.43,1,sort
1200.0,167056,16098.4,8686.22,1,sort
1200.0,167060,15652.9,8388.66,1,sort
1200.0,167045,16202.5,8697.2,1,sort
1200.0,166980,16069,8613.33,1,sort
1200.0,167111,16100.8,8659.63,1,sort
1200.0,167083,16121.5,8675.56,1,sort
1200.0,167039,15854.6,8516.55,1,sort
1200.0,167036,16169.5,8668.92,1,sort
1200.0,87365.4,8653.21,4730.6,2,sort
1200.0,88165.1,9012.72,5049.8,2,sort
1200.0,87260.5,8927.91,4967.1,2,sort
1200.0,87154.1,8911.29,5000.25,2,sort
1200.0,87294.9,8921.33,5003.78,2,sort
1200.0,87160.5,8837.15,4953.02,2,sort
1200.0,87289.6,8833.86,4949.55,2,sort
1200.0,88342.5,9042.67,5044.42,2,sort
1200.0,87186.1,8923.15,5002.3,2,sort
1200.0,87175.3,8988.72,5061.69,2,sort
1200.0,48008.1,5200.4,3036.4,4,sort
1200.0,48042.6,5036.92,2908.23,4,sort
1200.0,48025.4,4825.58,2792.35,4,sort
1200.0,47969.3,4819.41,2852.54,4,sort
1200.0,48053.1,5104.05,2971.48,4,sort
1200.0,47971.4,5078.67,2919.46,4,sort
1200.0,48014.8,5114.72,2954.26,4,sort
1200.0,47961.1,5105.85,2938.8,4,sort
1200.0,48057.4,5141.88,2936.34,4,sort
1200.0,48088.3,5080.79,2923.86,4,sort
1200.0,30013.1,3063.79,1709.09,8,sort
1200.0,28940.8,3416.37,2039.95,8,sort
1200.0,28820,3355.12,2124.24,8,sort
1200.0,29261.1,3642.32,2249.35,8,sort
1200.0,30633.1,3629.44,2239.93,8,sort
1200.0,29519.9,3560.7,2242.38,8,sort
1200.0,29147.8,3460.1,2028.86,8,sort
1200.0,29074.9,3637.88,2309.72,8,sort
1200.0,28813.5,3505.94,2127.73,8,sort
1200.0,28545.9,3495.1,2243.23,8,sort
1200.0,23077.6,2870.71,1958.96,16,sort
1200.0,22743.5,2887.42,1851,16,sort
1200.0,23132.8,2742.96,1769.12,16,sort
1200.0,21961,2887.21,1784.9,16,sort
1200.0,23305.5,2871.57,1811.25,16,sort
1200.0,22220.1,2908.6,1883.55,16,sort
1200.0,23108.7,2858.88,1809.09,16,sort
1200.0,22494.1,2916.47,1890.26,16,sort
1200.0,23245.9,1329.76,724.459,16,sort
1200.0,22493.1,2842.01,1848.27,16,sort
1200.0,22458.2,2856.09,1830.24,32,sort
1200.0,22134.8,2718.24,1681.18,32,sort
1200.0,21495.4,2699.2,1671.52,32,sort
1200.0,21434,2762.48,1866.79,32,sort
1200.0,21911.2,2764.21,1766.29,32,sort
1200.0,21366.7,2790.04,1801.5,32,sort
1200.0,21891.6,2663.95,1743.69,32,sort
1200.0,21470.9,2724.07,1891.53,32,sort
1200.0,21737,2766.92,1685.24,32,sort
1200.0,21562,2889.57,1901.95,32,sort
1300.0,154253,15349.6,8427.25,1,sort
1300.0,154148,15104.1,8193.94,1,sort
1300.0,154256,14595.1,7901.51,1,sort
1300.0,154130,14605.5,7920.28,1,sort
1300.0,154251,15133.8,8256.24,1,sort
1300.0,154124,15048.9,8145.4,1,sort
1300.0,154255,14928.2,8211.8,1,sort
1300.0,154111,15013.9,8127.77,1,sort
1300.0,154219,15162,8244.78,1,sort
1300.0,154116,14658.4,7979.05,1,sort
1300.0,80603.1,8297.91,4647.76,2,sort
1300.0,80486.3,8279.77,4664.04,2,sort
1300.0,80753.3,8304.11,4728.85,2,sort
1300.0,80516,8268.54,4651.39,2,sort
1300.0,80572.3,8340.02,4560.82,2,sort
1300.0,80465.2,7947.92,4642.36,2,sort
1300.0,80681.2,8312.42,4711.84,2,sort
1300.0,80492.6,7811.18,4505.68,2,sort
1300.0,80595.9,7969.74,4486.8,2,sort
1300.0,80465.1,8199.21,4654.83,2,sort
1300.0,44359.3,4258.92,2388.27,4,sort
1300.0,44260,4712.35,2703.58,4,sort
1300.0,44335.5,4814.94,2851.68,4,sort
1300.0,44254.3,4856.57,2857.95,4,sort
1300.0,44318.9,4902.97,2900.33,4,sort
1300.0,44259.5,4768.36,2861.62,4,sort
1300.0,44361.8,4893.74,2887.62,4,sort
1300.0,44259.9,3607.58,2077.35,4,sort
1300.0,44353.7,4894.44,2853.1,4,sort
1300.0,44266.6,4827.03,2800.44,4,sort
1300.0,26615.2,3173.06,1883.74,8,sort
1300.0,26566.8,3146.34,1859.08,8,sort
