FR,TIM,EN,DC,TR,Name
1200.0,159029,14971,7928.6,1,sort
1200.0,157842,14869.1,7874.57,1,sort
1200.0,157684,14843,7852.34,1,sort
1200.0,158197,14914.2,7909.46,1,sort
1200.0,157517,14825.8,7841.14,1,sort
1200.0,157744,14849.6,7851.69,1,sort
1200.0,157639,14842.9,7842.79,1,sort
1200.0,157679,14840.4,7842.03,1,sort
1200.0,157326,14807.7,7829.26,1,sort
1200.0,157666,14838.9,7843.8,1,sort
1200.0,84219.7,8402.52,4658.33,2,sort
1200.0,84140.4,8408.02,4664.44,2,sort
1200.0,84134.3,8407.06,4659.6,2,sort
1200.0,84227.8,8395.78,4647.17,2,sort
1200.0,85188.5,8507.96,4719.46,2,sort
1200.0,84444.5,8435.07,4677.46,2,sort
1200.0,84281.1,8413.23,4666.87,2,sort
1200.0,84223.4,8401.72,4663.08,2,sort
1200.0,84469.6,8423.48,4681.92,2,sort
1200.0,83914.1,8377.83,4651.2,2,sort
1200.0,50936.1,5338.36,3070.44,4,sort
1200.0,51115,5353.21,3069.34,4,sort
1200.0,51394.1,5380,3085.61,4,sort
1200.0,50904.4,5326.17,3054.36,4,sort
1200.0,50825.5,5316.29,3059.28,4,sort
1200.0,50991.2,5328.89,3061.07,4,sort
1200.0,52260.3,5457.33,3133.12,4,sort
1200.0,50518.3,5282.37,3042.11,4,sort
1200.0,50715.4,5309.5,3061.14,4,sort
1200.0,50777.7,5308.45,3060.11,4,sort
1200.0,28550.6,3251.12,1977.94,8,sort
1200.0,27864,3189.8,1946.93,8,sort
1200.0,27538.3,3184.06,1957.96,8,sort
1200.0,27349.2,3148.8,1934.08,8,sort
1200.0,28221.3,3201.4,1952.23,8,sort
1200.0,27727.2,3202.99,1974.76,8,sort
1200.0,27371.2,3146.62,1935.42,8,sort
1200.0,27646.9,3186.86,1963.94,8,sort
1200.0,27646.3,3202.32,1980.71,8,sort
1200.0,28339.1,3212.06,1964.95,8,sort
1200.0,14961.5,1942.72,1275.47,16,sort
1200.0,15163.1,1951.27,1277.36,16,sort
1200.0,15041.5,1948.1,1279.51,16,sort
1200.0,14727,1906.5,1251,16,sort
1200.0,14806.9,1931.8,1272.68,16,sort
1200.0,14890.5,1942.61,1280.14,16,sort
1200.0,14779.7,1910.82,1196.11,16,sort
1200.0,15833.4,2026.04,1321.49,16,sort
1200.0,14136.5,1853.94,1223.49,16,sort
1200.0,15347.6,1980.74,1296.31,16,sort
1200.0,8406.09,1209.65,828.001,32,sort
1200.0,8677.65,1232.95,842.465,32,sort
1200.0,8721.54,1230.13,839.33,32,sort
1200.0,8640.55,1224.55,838.319,32,sort
1200.0,8638.57,1226.99,840.093,32,sort
1200.0,8838.83,1247.94,852.652,32,sort
1200.0,8633.34,1232.45,844.305,32,sort
1200.0,8304.82,1185.93,814.957,32,sort
1200.0,8278,1193.15,818.903,32,sort
1200.0,8766.69,1230.7,837.18,32,sort
1300.0,148807,14061.5,7386.46,1,sort
1300.0,146534,13851.2,7268.45,1,sort
1300.0,146736,13871.5,7289.2,1,sort
1300.0,146180,13817.6,7244.75,1,sort
1300.0,146531,13849.7,7269.96,1,sort
1300.0,146973,13891.7,7278.26,1,sort
1300.0,148608,14043.3,7352.75,1,sort
1300.0,146486,13848.8,7253.1,1,sort
1300.0,146542,13853,7274.41,1,sort
1300.0,146799,13877.2,7282.47,1,sort
1300.0,80187.3,8060.41,4452.02,2,sort
1300.0,79058.8,7951.51,4381.99,2,sort
1300.0,78882.8,7931.97,4379.12,2,sort
1300.0,79082.9,7951.81,4378.98,2,sort
1300.0,79822.3,8021.72,4421.05,2,sort
1300.0,79305.4,7975.62,4406.82,2,sort
1300.0,78593.7,7904.42,4356.19,2,sort
1300.0,79114.4,7954.65,4408.94,2,sort
1300.0,78602.6,7904.59,4380.99,2,sort
1300.0,78501.4,7894.62,4366.53,2,sort
1300.0,47638.1,5058.89,2916.78,4,sort
1300.0,48676.7,5156.81,2976.21,4,sort
1300.0,48314.5,5134.63,2986.1,4,sort
1300.0,47180.1,5018.81,2919.99,4,sort
1300.0,47499.5,5036.04,2912.96,4,sort
1300.0,47796.7,5072.48,2946.6,4,sort
1300.0,47990.9,5088.83,2959.91,4,sort
1300.0,48068.3,5112.8,2992.5,4,sort
1300.0,47847.2,5081.46,2958.87,4,sort
1300.0,47679.4,5061.74,2959.93,4,sort
1300.0,26159,3045.06,1878.15,8,sort
1300.0,25335.4,2999.35,1861.23,8,sort
1300.0,24808.8,2923.86,1812.51,8,sort
1300.0,29063.4,3325.04,2033.75,8,sort
1300.0,27360.4,3164.46,1945.79,8,sort
1300.0,25362.7,2997.73,1868.02,8,sort
1300.0,25697.9,3029.35,1888.6,8,sort
1300.0,25358.7,2996.5,1871.99,8,sort
1300.0,25097.2,2957.25,1840.8,8,sort
1300.0,25729.9,3029.11,1886.18,8,sort
1300.0,12687.4,1757.44,1182.31,16,sort
1300.0,14180.7,1883.62,1241.51,16,sort
1300.0,13989.4,1874.65,1239,16,sort
1300.0,13468.6,1822.08,1155.31,16,sort
1300.0,14345.6,1919.94,1265.2,16,sort
1300.0,14439.3,1924.26,1272.29,16,sort
1300.0,13054,1775.96,1182.84,16,sort
1300.0,14217.8,1888.53,1241.89,16,sort
1300.0,14782.6,1948.87,1283.24,16,sort
1300.0,14096.8,1885.75,1250.3,16,sort
1300.0,7955.91,1167.71,805.589,32,sort
1300.0,7713.91,1146.61,792.238,32,sort
1300.0,7856.86,1154.19,795.875,32,sort
1300.0,7775.02,1151.7,796.132,32,sort
1300.0,7580.15,1128.49,780.665,32,sort
1300.0,7843.77,1167.02,812.64,32,sort
1300.0,7947.4,1167.7,808.458,32,sort
1300.0,7812.89,1156.27,800.014,32,sort
1300.0,7992.03,1171.36,809.803,32,sort
1300.0,7583.85,1130.07,787.375,32,sort
1400.0,136594,13029.9,6879.46,1,sort
1400.0,136864,13056.9,6893.62,1,sort
1400.0,136694,13040.3,6867.49,1,sort
1400.0,136850,13058.8,6879.48,1,sort
1400.0,139179,13279.9,7035.65,1,sort
1400.0,136466,13046.4,6945.83,1,sort
1400.0,136952,13079.2,6928.05,1,sort
1400.0,137917,13168.2,6985.56,1,sort
1400.0,139250,13321.8,7083.15,1,sort
1400.0,136918,13060.4,6933.66,1,sort
1400.0,74085.6,7564.24,4256.16,2,sort
1400.0,74599.7,7628.51,4300.9,2,sort
1400.0,73634.8,7525.64,4252.69,2,sort
1400.0,73808.3,7543.09,4290.53,2,sort
1400.0,72841.6,7466.66,4264.68,2,sort
1400.0,73082.1,7500.72,4281.7,2,sort
1400.0,73647.1,7527.79,4294.78,2,sort
1400.0,73602.4,7524.34,4292.16,2,sort
1400.0,73591.9,7524.65,4298.88,2,sort
1400.0,73614.1,7523.81,4304.32,2,sort
1400.0,44669.3,4828.42,2862.91,4,sort
1400.0,44588.5,4813.26,2844.57,4,sort
1400.0,44623.9,4821.71,2855.52,4,sort
1400.0,44798,4840.63,2882.95,4,sort
1400.0,44582.1,4830.55,2863.59,4,sort
1400.0,45351.8,4903.15,2897.42,4,sort
1400.0,45725.4,4948.27,2918.97,4,sort
1400.0,45356.8,4920.77,2906.94,4,sort
1400.0,44930.5,4862.23,2870.52,4,sort
1400.0,44551.7,4829.71,2862.87,4,sort
1400.0,24232,2921.84,1844.65,8,sort
1400.0,24134.1,2912.44,1837.82,8,sort
1400.0,24342.5,2931.76,1850.61,8,sort
1400.0,24069.6,2908.26,1838.94,8,sort
1400.0,24187.2,2932.48,1855.64,8,sort
1400.0,24894.7,2968.34,1861.52,8,sort
1400.0,24287.1,2932.07,1848.04,8,sort
1400.0,24027.1,2918.92,1846.94,8,sort
1400.0,22762.6,2781.99,1764.44,8,sort
1400.0,25670,3023.61,1879.91,8,sort
1400.0,14102.2,1923.49,1284.4,16,sort
1400.0,12709.4,1749.43,1172.47,16,sort
1400.0,12504.2,1742.12,1172.51,16,sort
1400.0,12975.4,1798.23,1207.76,16,sort
1400.0,13150.1,1818.14,1221.5,16,sort
1400.0,13728.9,1860.55,1236.83,16,sort
1400.0,12606.9,1734.81,1161.09,16,sort
1400.0,12518.6,1776.89,1206.11,16,sort
1400.0,12882.4,1792.78,1205.9,16,sort
