FR,TR,Name,EN,TIM
2500.0,4,encrypt,9924.31,78385.22
2000.0,8,encrypt,6817.203,55273.78
2901.0,1,encrypt,27479.85,207561.9
1300.0,8,encrypt,12575.43,114834.42
2900.0,8,encrypt,7370.283,45733.93
1400.0,32,encrypt,4777.108,38488.65
1200.0,8,encrypt,9063.967,84071.38
2900.0,4,encrypt,10836.69,71238.66
1900.0,2,encrypt,22502.38,216306.1
1900.0,32,encrypt,5023.306,28488.93
2400.0,4,encrypt,11538.565,87924.6
1200.0,1,encrypt,61936.91,662320.5
2300.0,1,encrypt,36600.45,357992.9
1400.0,16,encrypt,6157.825,48893.55
2800.0,4,encrypt,10548.736,72113.34
2500.0,2,encrypt,18751.16,156218.3
1400.0,8,encrypt,8688.649,75900.62
1300.0,4,encrypt,16395.81,161481.8
2200.0,2,encrypt,19919.45,177523.3
2500.0,8,encrypt,6811.655,46469.45
2800.0,16,encrypt,4407.7363,22684.67
1900.0,16,encrypt,5748.341,39445.8
2500.0,32,encrypt,4285.783,22163.44
2900.0,16,encrypt,4324.357,24131.92
1800.0,16,encrypt,5714.263,37687.04
1600.0,1,encrypt,48064.0,498734.1
2800.0,8,encrypt,6974.023,42047.68
2500.0,16,encrypt,4040.682,24495.31
2200.0,8,encrypt,6743.829,46087.1
1300.0,32,encrypt,4901.957,40989.68
1800.0,4,encrypt,12703.3,114046.7
2200.0,1,encrypt,38038.03,372912.5
1800.0,32,encrypt,4436.508,30260.21
1600.0,4,encrypt,13308.47,125025.4
1800.0,8,encrypt,6817.185,56041.0
1900.0,1,encrypt,39864.19,409527.8
1200.0,16,encrypt,7251.239,62238.17
2800.0,2,encrypt,17749.42,140010.9
2300.0,32,encrypt,4826.624,23872.15
2300.0,2,encrypt,19481.02,174390.1
1200.0,32,encrypt,5324.172,44797.26
1800.0,2,encrypt,23335.82,221928.6
2900.0,2,encrypt,16820.43,135558.3
2800.0,1,encrypt,30056.74,279638.5
2901.0,8,encrypt,7403.462,31378.36
2901.0,4,encrypt,10692.167,56190.8
2700.0,16,encrypt,5152.2,26217.49
2000.0,2,encrypt,21661.84,199703.3
1300.0,2,encrypt,30432.65,309122.6
2700.0,1,encrypt,31937.71,297801.1
2000.0,1,encrypt,40148.28,403047.3
2200.0,16,encrypt,4878.593,28618.05
1700.0,4,encrypt,13030.58,117607.1
1400.0,2,encrypt,28240.39,286226.1
2800.0,32,encrypt,4586.5399,20380.41
2200.0,32,encrypt,5193.685,24379.74
2000.0,4,encrypt,12254.42,100204.72
2901.0,32,encrypt,5241.5641,17212.78
1700.0,16,encrypt,5646.979,37421.44
2300.0,8,encrypt,6780.36,48277.18
2400.0,16,encrypt,4799.24,25883.99
1600.0,16,encrypt,5679.487,43560.01
2000.0,16,encrypt,5607.303,37248.59
1800.0,1,encrypt,44303.87,455034.6
2700.0,2,encrypt,18438.7,148865.2
2901.0,16,encrypt,6233.947,21765.29
1700.0,8,encrypt,7608.911,60044.87
1400.0,1,encrypt,53616.95,568789.4
2901.0,2,encrypt,17555.77,105246.4
2400.0,2,encrypt,19122.69,163026.9
2400.0,32,encrypt,3671.5241,22869.89
2700.0,8,encrypt,6136.627,37916.44
1200.0,4,encrypt,15841.34,162390.0
2400.0,1,encrypt,34639.24,333497.2
1600.0,2,encrypt,24650.87,243013.3
1700.0,32,encrypt,4811.691,31400.06
2700.0,32,encrypt,4942.661,21687.39
2300.0,16,encrypt,5677.7855,35565.56
2900.0,1,encrypt,29355.48,269952.9
2400.0,8,encrypt,6329.328,41321.54
2200.0,4,encrypt,11901.06,93606.65
1400.0,4,encrypt,13836.398,139132.5
1900.0,4,encrypt,12385.79,106094.8
1600.0,32,encrypt,4297.956,32660.03
1900.0,8,encrypt,7626.827,59832.03
2500.0,1,encrypt,33314.67,322371.1
2700.0,4,encrypt,9551.798,72849.53
1700.0,2,encrypt,23796.99,229232.3
1700.0,1,encrypt,44159.06,457726.6
2300.0,4,encrypt,10621.824,85074.43
1600.0,8,encrypt,6773.233,63216.41
2900.0,32,encrypt,5588.21,19176.75
1300.0,1,encrypt,57986.6,614488.3
1300.0,16,encrypt,6688.389,51675.99
1200.0,2,encrypt,31390.03,323516.5
2000.0,32,encrypt,4623.254,27065.43
