FR,EN,Name,TR,DC,TIM
1200.0,4212.42,encrypt,1,2233.75,46587.8
1200.0,4382.89,encrypt,1,2230.01,46572.4
1200.0,4385.54,encrypt,1,2289.3,46572.3
1200.0,4380.91,encrypt,1,2307.61,46571.5
1200.0,4389.67,encrypt,1,2325.99,46571
1200.0,4377.13,encrypt,1,2204.43,47884
1200.0,4329.25,encrypt,1,2210.46,46395.5
1200.0,4331.1,encrypt,1,2253.77,46395.5
1200.0,4327.93,encrypt,1,2270.87,46394.6
1300.0,4030.25,encrypt,1,2114.41,42831.6
1300.0,4025.7,encrypt,1,2135.2,42831.4
1300.0,4026.18,encrypt,1,2047.91,42832.1
1300.0,3937.52,encrypt,1,2137.34,42831.7
1300.0,3884.48,encrypt,1,2089.36,42831.9
1300.0,3989.12,encrypt,1,2051.88,42830.5
1300.0,4028.18,encrypt,1,2108.3,42838.5
1300.0,4011.77,encrypt,1,2122.26,42837.6
1300.0,3950.78,encrypt,1,2042.46,42840.8
1400.0,3770.58,encrypt,1,1997.95,39805.1
1400.0,3767.94,encrypt,1,2009.75,39806.4
1400.0,3743.88,encrypt,1,1998.19,39804.8
1400.0,3770.81,encrypt,1,1961.47,39806.4
1400.0,3775.31,encrypt,1,1925.57,39811.6
1400.0,3770,encrypt,1,1989,39812.2
1400.0,3614.2,encrypt,1,1941.97,39811.5
1400.0,3771.27,encrypt,1,2012.13,39812.4
1400.0,3770.03,encrypt,1,1964.18,39812.2
1600.0,3215.83,encrypt,1,1855.81,35006.7
1600.0,3404.35,encrypt,1,1780.13,35008.8
1600.0,3399.98,encrypt,1,1780.71,35008.3
1600.0,3319.73,encrypt,1,1815.26,35009.1
1600.0,3409.96,encrypt,1,1787.09,36090.9
1600.0,3323.18,encrypt,1,1796.18,34843.3
1600.0,3305.73,encrypt,1,1813.42,34843.2
1600.0,3306.05,encrypt,1,1743.01,34843.1
1600.0,3353.15,encrypt,1,1746.47,34843.4
1700.0,3181.92,encrypt,1,1715.67,32762.1
1700.0,3168.62,encrypt,1,1669.66,32762.5
1700.0,3179.97,encrypt,1,1692.69,32762.6
1700.0,3116.22,encrypt,1,1686.25,32762.7
1700.0,3048.23,encrypt,1,1734.66,32767.2
1700.0,3177.29,encrypt,1,1722.41,32766.7
1700.0,3004.26,encrypt,1,1683.44,32767.5
1700.0,3177.27,encrypt,1,1733.84,32768.2
1700.0,3053.59,encrypt,1,1664.12,32767.7
1800.0,3027.64,encrypt,1,1648.02,30945.8
1800.0,3025.35,encrypt,1,1658.04,30945.8
1800.0,2900.71,encrypt,1,1622.3,30946
1800.0,2891.86,encrypt,1,1587.23,30945.4
1800.0,3025.31,encrypt,1,1643.77,30945.9
1800.0,3023.99,encrypt,1,1661.77,30949.4
1800.0,3029.11,encrypt,1,1579.25,30949.7
1800.0,3027.91,encrypt,1,1592.39,30950.1
1800.0,3029.82,encrypt,1,1594.59,30950.2
1900.0,2892.07,encrypt,1,1525.92,29312.6
1900.0,2897.16,encrypt,1,1574.37,29311.9
1900.0,2761.86,encrypt,1,1597.13,29318.2
1900.0,2897.15,encrypt,1,1603.47,29318.1
1900.0,2829.72,encrypt,1,1566.86,29317.8
1900.0,2762.12,encrypt,1,1535.17,29313.9
1900.0,2897.31,encrypt,1,1604.13,29317.8
1900.0,2815.45,encrypt,1,1557.98,29318.5
1900.0,2898.65,encrypt,1,1537.87,29317.7
2000.0,2652.28,encrypt,1,1570.69,27866
2000.0,2804.22,encrypt,1,1519.77,27866.2
2000.0,2726.02,encrypt,1,1471.16,27870.8
2000.0,2804.31,encrypt,1,1475.55,27865.9
2000.0,2804.56,encrypt,1,1514.91,27871
2000.0,2750.19,encrypt,1,1505.76,27871.1
2000.0,2802.35,encrypt,1,1494,27870.3
2000.0,2784.64,encrypt,1,1500.39,27871.3
2000.0,2806.69,encrypt,1,1559.28,27870.6
2200.0,2609.64,encrypt,1,1445.3,25398.4
2200.0,2443.31,encrypt,1,1439.28,25393.3
2200.0,2603.81,encrypt,1,1464.01,25393.5
2200.0,2443.84,encrypt,1,1382.17,25395.3
2200.0,2608.14,encrypt,1,1451.69,25400.1
2200.0,2607.1,encrypt,1,1389.8,25395.8
2200.0,2460.15,encrypt,1,1397.55,25400.2
2200.0,2604.36,encrypt,1,1464,25400.3
2200.0,2506.05,encrypt,1,1476.04,25399.9
2300.0,2512.52,encrypt,1,1437.26,24229.8
2300.0,2506.82,encrypt,1,1433.59,24229.8
2300.0,2385.69,encrypt,1,1364.16,24230.4
2300.0,2369.66,encrypt,1,1419.15,24229.6
2300.0,2334.81,encrypt,1,1435.03,24235.3
2300.0,2441.22,encrypt,1,1463.14,24235.7
2300.0,2446.69,encrypt,1,1419.45,24233.3
2300.0,2509.99,encrypt,1,1403.4,24232.9
2300.0,2509.91,encrypt,1,1435.39,24235.7
2400.0,2432.66,encrypt,1,1389.89,23220.9
2400.0,2316.91,encrypt,1,1289.75,23220.7
2400.0,2375.15,encrypt,1,1330.61,23220.3
2400.0,2427.88,encrypt,1,1394.24,23220.1
2400.0,2319.1,encrypt,1,1278.5,23220.6
2400.0,2430.77,encrypt,1,1403.49,23220.8
2400.0,2425.14,encrypt,1,1400.52,23226.6
2400.0,2430.76,encrypt,1,1351.16,23225.9
2400.0,2429.25,encrypt,1,1350.12,23222.7
2500.0,2363.79,encrypt,1,1322.6,22322.9
2500.0,2371.47,encrypt,1,1325.6,22324.5
2500.0,2265.83,encrypt,1,1341.97,22324.4
2500.0,2367.14,encrypt,1,1308.26,22324.2
2500.0,2231.34,encrypt,1,1376,22323.4
2500.0,2306.95,encrypt,1,1340.27,22324
2500.0,2341.24,encrypt,1,1301.97,22326.9
2500.0,2359.94,encrypt,1,1356.17,22323.7
2500.0,2309.52,encrypt,1,1376.17,22326.6
2700.0,2216.18,encrypt,1,1321.88,20663.6
2700.0,2215.66,encrypt,1,1308.31,20661.8
2700.0,2234.02,encrypt,1,1318.92,20662.4
2700.0,2059.52,encrypt,1,1232.26,20662.1
2700.0,2235.95,encrypt,1,1252.12,20662.5
2700.0,2135.66,encrypt,1,1177.28,20662.1
2700.0,2138.63,encrypt,1,1193.01,20661.9
2700.0,2240.73,encrypt,1,1299.51,20662.8
2700.0,2211.16,encrypt,1,1302.85,20666
2800.0,2035.4,encrypt,1,1295.68,19920.2
2800.0,2179.74,encrypt,1,1296.44,19920.2
2800.0,2187.66,encrypt,1,1275.6,19923.1
2800.0,2183.13,encrypt,1,1297.72,19921.4
2800.0,2181.99,encrypt,1,1200.2,19920.5
2800.0,2179.55,encrypt,1,1216.77,19924.2
2800.0,2160.22,encrypt,1,1291.78,19921
2800.0,2182.37,encrypt,1,1211.79,19924.3
2800.0,2183.7,encrypt,1,1281.29,19923.8
2900.0,2137.19,encrypt,1,1195.5,19252.4
2900.0,2104.38,encrypt,1,1243.88,19251.8
2900.0,2010.44,encrypt,1,1165.8,19252
2900.0,2142.83,encrypt,1,1280.36,19252.4
2900.0,2130.28,encrypt,1,1142.77,19259.5
2900.0,2136.07,encrypt,1,1270.42,19252.5
2900.0,2082.01,encrypt,1,1239.6,19256.9
2900.0,2129.87,encrypt,1,1158.83,19254.9
2900.0,1977.42,encrypt,1,1239.63,19253.8
2901.0,1849.33,encrypt,1,1221.38,14708.9
2901.0,1970.45,encrypt,1,1307.24,14708.4
2901.0,1787.93,encrypt,1,1265.18,14708.7
2901.0,1824.23,encrypt,1,1308.52,14695.9
2901.0,1972.29,encrypt,1,1308.4,14699.7
2901.0,1989.7,encrypt,1,1244.29,14755.5
2901.0,1977.26,encrypt,1,1250.08,14695.6
2901.0,1977,encrypt,1,1200.29,14699.9
2901.0,1977.4,encrypt,1,1152.05,14696.5
1200.0,4723.42,encrypt,2,2661.05,46442.1
1200.0,4659.94,encrypt,2,2616.61,46435
1200.0,4587.84,encrypt,2,2525.25,46503.1
1200.0,4535.08,encrypt,2,2430.85,46611.9
1200.0,4531.85,encrypt,2,2453.59,46607.6
1200.0,4507.71,encrypt,2,2422.43,46516.2
1200.0,4475.2,encrypt,2,2379.49,46614.5
1200.0,4356.8,encrypt,2,2377.95,46608.9
1200.0,4524.16,encrypt,2,2492.47,46609
1200.0,2260.69,encrypt,4,1288.31,23256.5
1200.0,2409.39,encrypt,4,1313.5,23832.8
1200.0,2365.58,encrypt,4,1328.48,23323.3
1200.0,2279.13,encrypt,4,1318.72,23233.4
1200.0,2345.57,encrypt,4,1317.53,23210.5
1200.0,2223.97,encrypt,4,1313.63,23212.4
1200.0,2356.06,encrypt,4,1243.95,23210.8
1200.0,2355.77,encrypt,4,1261.34,23209.8
1200.0,2357.53,encrypt,4,1247.45,23209.3
1200.0,1280.09,encrypt,8,736.246,12079.3
1200.0,1648.99,encrypt,8,923.261,15848.6
1200.0,1204.6,encrypt,8,699.54,11954.2
1200.0,1183.78,encrypt,8,675.903,11614.5
1200.0,1859.85,encrypt,8,1119.02,15518.8
1200.0,2170.4,encrypt,8,1358.17,18925.3
1200.0,1817.14,encrypt,8,981.266,14637.4
1200.0,1981.97,encrypt,8,1177.77,16843.4
1200.0,1174.26,encrypt,8,613.583,10725.8
1200.0,589.271,encrypt,16,408.236,5826.56
1200.0,672.975,encrypt,16,384.472,5566.35
1200.0,656.169,encrypt,16,343.183,5401.2
1200.0,507.136,encrypt,16,274.405,5400.09
1200.0,561.554,encrypt,16,405.086,5511.53
1200.0,659.329,encrypt,16,417.374,5422.7
1200.0,564.67,encrypt,16,363.136,5388.82
1200.0,503.382,encrypt,16,416.639,5390.77
1200.0,655.363,encrypt,16,281.305,5380.74
1200.0,648.779,encrypt,32,367.547,5343.08
1200.0,639.867,encrypt,32,362.167,5271.4
1200.0,514.693,encrypt,32,247.217,3971.67
1200.0,405.257,encrypt,32,209.086,3907.68
1200.0,469.761,encrypt,32,245.522,3482.32
1200.0,485.589,encrypt,32,237.579,3652.2
1200.0,446.864,encrypt,32,284.133,4413.81
1200.0,606.781,encrypt,32,264.942,4868.45
1200.0,581.832,encrypt,32,375.425,4624.3
1300.0,4152.21,encrypt,2,2324.34,43024.8
1300.0,4258.09,encrypt,2,2299.88,43086.5
1300.0,4167.94,encrypt,2,2304.16,43125
1300.0,4262.78,encrypt,2,2280.29,43110
1300.0,4108.12,encrypt,2,2298.42,43168.5
1300.0,4188.28,encrypt,2,2261.18,43169.7
1300.0,4232.19,encrypt,2,2336.72,43180.5
1300.0,4134.16,encrypt,2,2317.37,43108.2
1300.0,4261.45,encrypt,2,2345.21,43106.4
1300.0,2166.37,encrypt,4,1234.64,21481.2
1300.0,2183.29,encrypt,4,1207.94,21480.9
