FR,TR,Name,EN,TIM
2500.0,4,encrypt,25364.85,191135.6
2000.0,8,encrypt,17512.32,130980.0
2901.0,1,encrypt,70447.7,531199.9
1300.0,8,encrypt,22146.96,200825.0
2900.0,8,encrypt,16474.94,95691.63
1400.0,32,encrypt,12854.11,91616.46
1200.0,8,encrypt,23753.09,217201.9
2900.0,4,encrypt,24731.22,169523.9
1900.0,2,encrypt,56536.87,527212.8
1900.0,32,encrypt,11920.17,69300.81
2400.0,4,encrypt,26280.68,204149.6
1200.0,1,encrypt,155307.4,1659939.0
2300.0,1,encrypt,89847.92,870970.8
1400.0,16,encrypt,13331.71,103146.87
2800.0,4,encrypt,24905.69,175259.3
2500.0,2,encrypt,45720.4,383139.5
1400.0,8,encrypt,24498.45,221945.2
1300.0,4,encrypt,38141.88,365524.6
2200.0,2,encrypt,52286.62,456116.5
2500.0,8,encrypt,15217.377,106241.74
2800.0,16,encrypt,12999.594,66184.53
1900.0,16,encrypt,11621.197,75258.88
2500.0,32,encrypt,10319.886,53647.57
2900.0,16,encrypt,11145.982,49383.0
1800.0,16,encrypt,13000.898,91430.65
1600.0,1,encrypt,117903.4,1226829.0
2800.0,8,encrypt,15632.28,92687.16
2500.0,16,encrypt,10763.847,59245.12
2200.0,8,encrypt,15841.91,115996.4
1300.0,32,encrypt,12679.627,100254.93
1800.0,4,encrypt,33272.73,293263.9
2200.0,1,encrypt,88424.53,864483.2
1800.0,32,encrypt,11999.373,73877.47
1600.0,4,encrypt,32853.67,297747.4
1800.0,8,encrypt,18812.13,149341.8
1900.0,1,encrypt,98665.98,1000363.4
1200.0,16,encrypt,14777.82,127763.6
2800.0,2,encrypt,44914.84,350024.5
2300.0,32,encrypt,11211.994,56275.71
2300.0,2,encrypt,51263.0,437093.9
1200.0,32,encrypt,14741.9,112908.6
1800.0,2,encrypt,56139.57,528164.8
2900.0,2,encrypt,41952.23,330516.3
2800.0,1,encrypt,83726.09,770043.0
2901.0,8,encrypt,16491.99,77421.01
2901.0,4,encrypt,26848.66,143933.9
2700.0,16,encrypt,12999.31,66355.04
2000.0,2,encrypt,52196.08,477978.6
1300.0,2,encrypt,72064.17,731021.2
2700.0,1,encrypt,80168.37,746374.7
2000.0,1,encrypt,103155.11,1028820.5
2200.0,16,encrypt,11320.576,65145.49
1700.0,4,encrypt,31912.2,288213.0
1400.0,2,encrypt,72977.89,733449.8
2800.0,32,encrypt,10963.925,48072.08
2200.0,32,encrypt,11084.897,60796.78
2000.0,4,encrypt,30592.9,257633.2
2901.0,32,encrypt,13776.89,40315.51
1700.0,16,encrypt,12852.372,95711.71
2300.0,8,encrypt,15645.44,111993.4
2400.0,16,encrypt,11107.871,61952.31
1600.0,16,encrypt,11795.84,89449.92
2000.0,16,encrypt,10667.456,69281.35
1800.0,1,encrypt,103466.3,1054509.0
2700.0,2,encrypt,44394.94,353964.5
2901.0,16,encrypt,12664.282,46559.52
1700.0,8,encrypt,19573.91,161726.7
1400.0,1,encrypt,131923.8,1388134.0
2901.0,2,encrypt,46125.32,263782.3
2400.0,2,encrypt,47180.56,397902.3
2400.0,32,encrypt,11987.195,55827.11
2700.0,8,encrypt,16811.16,108193.04
1200.0,4,encrypt,40475.1,399795.3
2400.0,1,encrypt,85152.08,818944.5
1600.0,2,encrypt,64186.37,626287.0
1700.0,32,encrypt,11799.174,76860.71
2700.0,32,encrypt,10678.145,48228.29
2300.0,16,encrypt,11402.203,67935.91
2900.0,1,encrypt,74188.97,676100.3
2400.0,8,encrypt,15798.19,105624.25
2200.0,4,encrypt,27464.96,222149.8
1400.0,4,encrypt,35357.63,339418.1
1900.0,4,encrypt,30077.18,257531.9
1600.0,32,encrypt,11164.808,83323.88
1900.0,8,encrypt,17158.73,133494.7
2500.0,1,encrypt,82591.47,784491.5
2700.0,4,encrypt,25542.51,181620.0
1700.0,2,encrypt,57590.1,559788.4
1700.0,1,encrypt,110857.4,1145570.0
2300.0,4,encrypt,26407.65,207209.0
1600.0,8,encrypt,19692.62,165941.2
2900.0,32,encrypt,12218.104,45053.78
1300.0,1,encrypt,137316.6,1458551.0
1300.0,16,encrypt,13862.02,115470.22
1200.0,2,encrypt,77012.95,791376.7
2000.0,32,encrypt,10766.086,66659.97
