Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
app4,1,305.05,1909368.0,65996424.0,6.17,0.020226192427470903,1200.0,93.42,28497.31
app4,1,304.74,1910748.0,65996424.0,6.17,0.020246767736431054,1200.0,93.39,28461.57
app4,1,307.26,1910948.0,65996424.0,6.17,0.020080713402330273,1200.0,93.43,28705.99
app4,1,305.01,1909844.0,65996424.0,6.17,0.020228844955903085,1200.0,93.4,28486.83
app4,1,306.15,1909200.0,65996424.0,6.17,0.020153519516576842,1200.0,93.4,28599.39
app4,1,305.13,1907684.0,65996424.0,6.17,0.020220889456952773,1200.0,93.41,28499.51
app4,1,304.45,1911076.0,65996424.0,1.88,0.006175069797996387,1200.0,93.41,28440.77
app4,1,304.68,1910816.0,65996424.0,1.88,0.00617040829722988,1200.0,93.44,28469.91
app4,1,303.45,1907952.0,65996424.0,1.88,0.006195419344208271,1200.0,93.41,28344.4
app4,1,304.39,1909312.0,65996424.0,1.88,0.006176287000229968,1200.0,93.41,28432.31
app4,2,173.55,2002636.0,66036178.0,1.88,0.01083261307980409,1200.0,96.48,16745.55
app4,2,173.86,2001124.0,66036035.0,1.88,0.01081329805590705,1200.0,96.49,16774.58
app4,2,174.32,2004780.0,66036167.0,3.21,0.01841441027994493,1200.0,96.46,16813.51
app4,2,174.47,2006340.0,66035967.0,3.21,0.018398578552186618,1200.0,96.48,16831.4
app4,2,174.44,2001384.0,66036042.0,3.21,0.01840174271955973,1200.0,96.53,16839.25
app4,2,174.33,2001712.0,66036213.0,3.21,0.01841335398382378,1200.0,96.46,16817.85
app4,2,174.09,2001240.0,66035911.0,3.21,0.018438738583491297,1200.0,96.47,16794.69
app4,2,174.3,2002332.0,66036077.0,3.21,0.01841652323580034,1200.0,96.47,16814.64
app4,2,174.51,1999724.0,66014054.0,1.51,0.00865279926651768,1200.0,96.5,16839.73
app4,2,173.76,2003256.0,66014007.0,1.51,0.008690147329650092,1200.0,96.49,16766.03
app4,4,87.4,2089828.0,67212193.0,1.49,0.017048054919908462,1200.0,103.32,9035.81
app4,4,87.78,2092000.0,67212176.0,1.49,0.016974253816359083,1200.0,103.39,9073.02
app4,4,87.8,2089900.0,67212087.0,1.49,0.016970387243735764,1200.0,103.35,9074.44
