Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,13.73,786468.0,1200.0,93.35,1281.55
cr_audio1.flac,1,13.91,783756.0,1200.0,93.26,1300.76
cr_audio1.flac,1,13.73,783740.0,1200.0,93.36,1283.56
cr_audio1.flac,1,13.7,784292.0,1200.0,93.15,1276.08
cr_audio1.flac,1,13.71,787824.0,1200.0,93.14,1275.89
cr_audio1.flac,1,13.75,784272.0,1200.0,93.17,1280.94
cr_audio1.flac,1,13.76,781356.0,1200.0,93.33,1283.24
cr_audio1.flac,1,13.71,783700.0,1200.0,93.19,1281.41
cr_audio1.flac,1,13.7,787852.0,1200.0,93.33,1278.65
cr_audio1.flac,1,13.7,787572.0,1200.0,93.17,1275.24
cr_audio1.flac,2,6.95,790652.0,1200.0,97.31,676.58
cr_audio1.flac,2,6.94,790656.0,1200.0,97.31,676.48
cr_audio1.flac,2,6.95,789768.0,1200.0,97.29,675.77
cr_audio1.flac,2,6.95,788216.0,1200.0,97.33,677.53
cr_audio1.flac,2,6.94,788784.0,1200.0,97.33,676.5
cr_audio1.flac,2,6.96,791012.0,1200.0,97.28,681.11
cr_audio1.flac,2,6.95,791904.0,1200.0,97.35,676.79
cr_audio1.flac,2,6.95,788268.0,1200.0,97.33,676.62
cr_audio1.flac,2,6.94,789256.0,1200.0,97.35,676.8
cr_audio1.flac,2,7.14,789204.0,1200.0,97.14,694.53
cr_audio1.flac,4,6.65,788044.0,1200.0,98.5,655.35
cr_audio1.flac,4,6.63,788076.0,1200.0,98.34,654.29
cr_audio1.flac,4,6.65,790408.0,1200.0,98.47,660.06
cr_audio1.flac,4,6.64,788168.0,1200.0,98.55,656.45
cr_audio1.flac,4,6.65,798128.0,1200.0,98.42,654.45
cr_audio1.flac,4,6.63,788316.0,1200.0,98.56,655.56
cr_audio1.flac,4,6.64,788156.0,1200.0,98.38,654.38
cr_audio1.flac,4,6.65,784204.0,1200.0,98.55,655.39
cr_audio1.flac,4,6.64,794316.0,1200.0,98.43,654.77
cr_audio1.flac,4,6.63,788376.0,1200.0,98.53,654.99
cr_audio1.flac,8,6.68,798020.0,1200.0,97.59,648.98
cr_audio1.flac,8,6.65,790244.0,1200.0,97.54,648.3
cr_audio1.flac,8,6.66,797920.0,1200.0,97.52,653.42
cr_audio1.flac,8,6.71,793224.0,1200.0,97.4,652.85
cr_audio1.flac,8,6.67,791728.0,1200.0,97.56,654.12
cr_audio1.flac,8,6.71,793280.0,1200.0,97.44,653.05
