Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,127.85,3560396.0,1200.0,93.68,11978.15
enwik9,1,126.89,3554796.0,1200.0,93.68,11887.63
enwik9,1,127.01,3558116.0,1200.0,93.67,11896.11
enwik9,1,126.97,3558096.0,1200.0,93.69,11898.59
enwik9,1,127.0,3557352.0,1200.0,93.67,11896.62
enwik9,1,126.89,3556980.0,1200.0,93.71,11891.48
enwik9,1,126.94,3557696.0,1200.0,93.78,11904.96
enwik9,1,126.98,3556496.0,1200.0,93.71,11901.05
enwik9,1,126.96,3554904.0,1200.0,93.75,11907.39
enwik9,1,126.93,3560480.0,1200.0,93.7,11895.31
enwik9,2,63.51,3559544.0,1200.0,97.38,6183.53
enwik9,2,66.84,3556072.0,1200.0,97.11,6492.02
enwik9,2,63.54,3558348.0,1200.0,97.53,6198.47
enwik9,2,66.84,3563508.0,1200.0,97.12,6493.03
enwik9,2,65.67,3565004.0,1200.0,97.2,6381.47
enwik9,2,64.59,3564560.0,1200.0,97.32,6286.79
enwik9,2,65.83,3564432.0,1200.0,97.17,6394.2
enwik9,2,66.0,3563776.0,1200.0,97.19,6414.33
enwik9,2,65.47,3566068.0,1200.0,97.24,6369.55
enwik9,2,65.38,3563664.0,1200.0,97.31,6359.25
enwik9,4,37.49,3562788.0,1200.0,102.66,3849.74
enwik9,4,36.69,3551548.0,1200.0,102.97,3779.48
enwik9,4,34.59,3564012.0,1200.0,103.7,3588.34
enwik9,4,35.76,3555448.0,1200.0,103.37,3695.57
enwik9,4,34.21,3554352.0,1200.0,103.86,3557.66
enwik9,4,34.7,3567052.0,1200.0,103.71,3599.17
enwik9,4,34.03,3557228.0,1200.0,103.92,3538.88
enwik9,4,34.53,3562000.0,1200.0,103.72,3584.13
enwik9,4,33.12,3558820.0,1200.0,104.37,3460.47
enwik9,4,37.83,3569196.0,1200.0,102.66,3880.61
enwik9,8,19.15,3563940.0,1200.0,112.5,2155.18
enwik9,8,17.58,3576656.0,1200.0,114.46,2016.06
enwik9,8,19.31,3562900.0,1200.0,112.17,2165.72
enwik9,8,20.01,3575128.0,1200.0,111.77,2236.31
enwik9,8,19.84,3565632.0,1200.0,111.64,2217.2
enwik9,8,19.08,3566744.0,1200.0,112.84,2154.73
enwik9,8,19.11,3566212.0,1200.0,112.64,2157.52
enwik9,8,20.88,3569300.0,1200.0,110.75,2315.18
enwik9,8,19.57,3564216.0,1200.0,111.99,2195.84
enwik9,8,20.07,3568892.0,1200.0,111.57,2243.82
enwik9,16,10.89,3566016.0,1200.0,130.83,1428.73
enwik9,16,11.15,3567096.0,1200.0,130.05,1458.17
enwik9,16,11.02,3566532.0,1200.0,130.45,1436.63
enwik9,16,11.05,3571900.0,1200.0,130.6,1444.32
enwik9,16,11.04,3567372.0,1200.0,130.82,1447.27
enwik9,16,11.09,3567108.0,1200.0,130.35,1447.26
enwik9,16,10.97,3567456.0,1200.0,130.72,1439.8
enwik9,16,11.15,3573976.0,1200.0,130.33,1454.93
enwik9,16,11.14,3564644.0,1200.0,130.45,1456.48
enwik9,16,10.98,3572124.0,1200.0,130.72,1439.49
enwik9,32,11.08,3560184.0,1200.0,130.67,1452.52
enwik9,32,11.04,3567032.0,1200.0,130.37,1442.33
enwik9,32,10.96,3579612.0,1200.0,130.59,1438.11
enwik9,32,11.2,3567876.0,1200.0,130.0,1457.54
enwik9,32,11.02,3565372.0,1200.0,130.39,1435.89
enwik9,32,11.01,3564844.0,1200.0,130.44,1442.72
enwik9,32,10.87,3566216.0,1200.0,130.97,1429.36
enwik9,32,11.17,3569732.0,1200.0,130.25,1460.36
enwik9,32,11.15,3569208.0,1200.0,130.61,1457.98
enwik9,32,11.21,3577008.0,1200.0,129.71,1460.91
enwik9,1,96.78,3556932.0,1600.0,96.69,9359.36
enwik9,1,96.67,3559528.0,1600.0,96.69,9343.44
