Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
enwik8,1,22.15,345418.0,20509240.0,4.88,0.22031602708803613,1200.0,94.22,2087.63
enwik8,2,11.58,382734.8,21198288.0,4.72,0.4075993091537133,1200.0,97.78,1131.95
enwik8,4,6.11,459804.8,21925084.0,4.56,0.7463175122749591,1200.0,105.03,641.93
enwik8,8,3.6,587115.6,22735342.0,4.4,1.2222222222222223,1200.0,116.09,419.46
enwik8,16,9.68,673316.0,23662680.0,4.23,0.4369834710743801,1200.0,104.89,1002.05
enwik8,32,7.98,676442.4,23662680.0,4.23,0.5300751879699248,1200.0,107.55,844.77
enwik8,1,16.77,345839.6,20509240.0,4.88,0.2909958258795468,1600.0,97.86,1558.53
enwik8,2,8.78,380770.4,21198288.0,4.72,0.5375854214123007,1600.0,103.88,866.32
enwik8,4,4.63,457884.8,21925084.0,4.56,0.9848812095032397,1600.0,113.3,502.46
enwik8,8,2.74,573855.2,22735342.0,4.4,1.6058394160583942,1600.0,125.79,407.05
enwik8,16,6.2,714754.8,23662680.0,4.23,0.6822580645161291,1600.0,123.3,699.3
enwik8,32,7.51,678230.4,23662680.0,4.23,0.563249001331558,1600.0,112.37,3600.15
enwik8,1,14.99,345825.2,20509240.0,4.88,0.3255503669112741,1800.0,99.65,1418.49
enwik8,2,7.84,378878.8,21198288.0,4.72,0.6020408163265306,1800.0,106.48,791.29
enwik8,4,4.14,462233.6,21925084.0,4.56,1.1014492753623188,1800.0,117.48,464.49
enwik8,8,2.45,575608.4,22735342.0,4.4,1.7959183673469388,1800.0,132.58,369.93
enwik8,16,4.28,699030.4,23662680.0,4.23,0.988317757009346,1800.0,128.83,586.97
enwik8,32,5.19,708289.2,23662680.0,4.23,0.815028901734104,1800.0,131.36,3120.53
enwik8,1,12.38,346309.2,20509240.0,4.88,0.3941841680129241,2200.0,104.41,1229.02
enwik8,2,6.48,371030.8,21198288.0,4.72,0.7283950617283951,2200.0,112.13,689.26
enwik8,4,3.43,454966.8,21925084.0,4.56,1.3294460641399417,2200.0,126.47,413.68
enwik8,8,2.31,572136.8,22735342.0,4.4,1.9047619047619049,2200.0,149.92,328.66
enwik8,16,4.57,706391.2,23662680.0,4.23,0.925601750547046,2200.0,140.58,670.3
