Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
cr_audio1.wav,1,28.14,122044.0,119548185.0,1.77,0.0628997867803838,1200.0,91.69,2581.15
cr_audio1.wav,1,28.11,123872.0,119548185.0,1.77,0.06296691568836713,1200.0,91.65,2579.99
cr_audio1.wav,1,28.15,123308.0,119548185.0,1.77,0.06287744227353463,1200.0,91.64,2579.63
cr_audio1.wav,1,28.12,122472.0,119548185.0,1.77,0.06294452347083926,1200.0,91.72,2581.61
cr_audio1.wav,1,28.13,123304.0,119548185.0,1.77,0.06292214717383576,1200.0,91.63,2579.44
cr_audio1.wav,1,28.11,122100.0,119548185.0,1.77,0.06296691568836713,1200.0,91.63,2579.28
cr_audio1.wav,1,28.15,123556.0,119548185.0,0.84,0.029840142095914738,1200.0,91.63,2579.25
cr_audio1.wav,1,28.29,122008.0,119548185.0,0.84,0.029692470837751856,1200.0,91.73,2595.41
cr_audio1.wav,1,28.15,123300.0,119548185.0,0.84,0.029840142095914738,1200.0,91.6,2578.45
cr_audio1.wav,1,28.18,122588.0,119548185.0,0.84,0.0298083747338538,1200.0,91.58,2582.41
cr_audio1.wav,2,14.6,149564.0,119548292.0,0.84,0.05753424657534247,1200.0,94.41,1378.59
cr_audio1.wav,2,14.45,154240.0,119548292.0,0.84,0.058131487889273366,1200.0,94.56,1365.07
cr_audio1.wav,2,14.54,150876.0,119548292.0,8.36,0.5749656121045392,1200.0,94.46,1374.68
cr_audio1.wav,2,14.37,150116.0,119548292.0,8.36,0.5817675713291579,1200.0,94.58,1361.96
cr_audio1.wav,2,14.52,148660.0,119548292.0,8.36,0.5757575757575757,1200.0,94.51,1370.34
cr_audio1.wav,2,14.37,149488.0,119548292.0,8.36,0.5817675713291579,1200.0,94.67,1358.63
cr_audio1.wav,2,14.53,153528.0,119548292.0,8.36,0.5753613214039918,1200.0,94.48,1370.19
cr_audio1.wav,2,14.55,151988.0,119548292.0,8.36,0.5745704467353951,1200.0,94.44,1378.99
cr_audio1.wav,2,14.57,153420.0,119548292.0,5.86,0.4021962937542897,1200.0,94.38,1373.55
cr_audio1.wav,2,14.55,153468.0,119548292.0,5.86,0.4027491408934708,1200.0,94.44,1378.5
cr_audio1.wav,4,7.42,187764.0,119548356.0,5.86,0.7897574123989218,1200.0,100.47,743.75
cr_audio1.wav,4,7.58,199460.0,119548356.0,5.86,0.7730870712401056,1200.0,100.18,761.77
cr_audio1.wav,4,7.53,189848.0,119548356.0,5.86,0.7782204515272244,1200.0,100.2,752.02
cr_audio1.wav,4,7.52,190172.0,119548356.0,5.86,0.7792553191489363,1200.0,100.35,753.1
cr_audio1.wav,4,7.6,186800.0,119548356.0,3.41,0.4486842105263159,1200.0,100.36,768.21
