Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,131.39,4183866.8,1200.0,94.08,12361.93
enwik9,2,72.95,4191626.0,1200.0,96.98,7076.58
enwik9,4,35.08,4188482.8,1200.0,104.34,3661.64
enwik9,8,21.49,4191890.4,1200.0,111.22,2390.58
enwik9,16,16.84,4191743.2,1200.0,121.5,2047.76
enwik9,32,16.66,4189683.2,1200.0,121.76,2030.37
enwik9,1,121.9,4185953.2,1300.0,94.81,11556.55
enwik9,2,67.49,4190141.2,1300.0,98.03,6616.47
enwik9,4,32.52,4190351.2,1300.0,105.94,3446.48
enwik9,8,20.2,4191087.2,1300.0,113.16,2289.19
enwik9,16,15.5,4190065.2,1300.0,125.11,1940.96
enwik9,32,15.49,4190655.2,1300.0,125.2,1940.43
enwik9,1,113.84,4186479.6,1400.0,95.56,10879.32
enwik9,2,62.87,4191150.4,1400.0,99.01,6226.17
enwik9,4,30.34,4189376.4,1400.0,107.44,3262.39
enwik9,8,18.88,4188968.8,1400.0,115.3,2178.47
enwik9,16,14.59,4190753.2,1400.0,128.0,1869.8
enwik9,32,14.37,4188223.2,1400.0,128.65,1848.86
enwik9,1,100.49,4186144.4,1600.0,97.46,9793.5
enwik9,2,55.92,4190340.8,1600.0,102.1,5709.45
enwik9,4,26.89,4189444.8,1600.0,111.03,2988.01
enwik9,8,16.79,4187870.0,1600.0,120.44,2024.52
enwik9,16,12.78,4188580.0,1600.0,135.78,1738.83
enwik9,32,12.71,4190814.0,1600.0,136.22,1734.51
enwik9,1,95.04,4185149.6,1700.0,97.98,9311.56
enwik9,2,52.61,4190392.8,1700.0,102.98,5417.76
enwik9,4,25.44,4190759.6,1700.0,112.68,2868.31
enwik9,8,15.5,4190095.6,1700.0,123.53,1916.02
enwik9,16,12.09,4189622.4,1700.0,140.1,1697.65
enwik9,32,11.98,4189868.0,1700.0,140.06,1679.84
enwik9,1,90.2,4187425.2,1800.0,98.87,8918.69
enwik9,2,50.02,4191185.6,1800.0,104.06,5206.81
enwik9,4,24.1,4189298.0,1800.0,114.36,2758.01
enwik9,8,15.0,4190202.8,1800.0,125.61,1887.51
enwik9,16,11.45,4190153.2,1800.0,143.86,1651.21
enwik9,32,11.35,4189806.8,1800.0,144.15,1640.96
enwik9,1,85.88,4185679.2,1900.0,99.88,8578.58
enwik9,2,47.68,4189628.0,1900.0,105.32,5021.53
enwik9,4,23.01,4191282.4,1900.0,116.42,2679.1
enwik9,8,14.24,4188495.2,1900.0,128.53,1831.94
enwik9,16,10.92,4188401.6,1900.0,147.83,1616.42
enwik9,32,10.83,4190766.0,1900.0,148.37,1610.2
enwik9,1,82.09,4185496.8,2000.0,101.77,8354.31
enwik9,2,45.59,4190952.4,2000.0,106.63,4862.17
enwik9,4,21.96,4189143.6,2000.0,118.5,2604.11
enwik9,8,13.51,4190651.2,2000.0,131.85,1784.37
enwik9,16,10.29,4188870.0,2000.0,152.14,1567.19
enwik9,32,10.38,4191068.0,2000.0,151.89,1580.34
enwik9,1,75.36,4185891.2,2200.0,103.66,7812.77
enwik9,2,42.9,4189775.2,2200.0,109.09,4680.19
enwik9,4,20.22,4188485.6,2200.0,122.69,2482.86
enwik9,8,12.29,4190489.6,2200.0,138.93,1707.88
enwik9,16,9.49,4189979.2,2200.0,161.69,1538.04
enwik9,32,9.47,4188655.6,2200.0,161.73,1535.99
enwik9,1,72.56,4183954.0,2300.0,104.62,7593.56
enwik9,2,40.76,4191090.4,2300.0,110.63,4508.71
enwik9,4,19.47,4190602.0,2300.0,124.85,2433.02
enwik9,8,11.93,4189771.2,2300.0,141.91,1692.79
enwik9,16,9.09,4189746.8,2300.0,167.54,1527.22
enwik9,32,9.19,4191403.2,2300.0,167.06,1541.86
enwik9,1,69.81,4185677.6,2400.0,105.76,7383.97
enwik9,2,38.81,4190516.4,2400.0,112.2,4355.72
enwik9,4,18.79,4191246.0,2400.0,127.25,2392.17
enwik9,8,11.65,4189630.8,2400.0,145.22,1693.14
enwik9,16,8.76,4188748.8,2400.0,172.4,1515.05
enwik9,32,8.8,4190742.8,2400.0,172.44,1521.38
enwik9,1,67.47,4186324.4,2500.0,106.77,7205.19
enwik9,2,37.7,4190374.0,2500.0,113.44,4275.8
enwik9,4,18.16,4189834.8,2500.0,129.92,2360.74
enwik9,8,11.2,4190066.4,2500.0,149.25,1672.57
enwik9,16,8.45,4190168.4,2500.0,178.71,1513.44
enwik9,32,8.47,4189214.0,2500.0,178.51,1516.13
enwik9,1,63.17,4186634.8,2700.0,109.19,6898.52
enwik9,2,34.98,4191934.8,2700.0,117.14,4099.58
enwik9,4,16.98,4187017.6,2700.0,135.26,2298.97
enwik9,8,10.28,4189574.4,2700.0,158.74,1634.49
enwik9,16,7.91,4189197.2,2700.0,191.45,1519.64
enwik9,32,7.98,4192031.2,2700.0,191.1,1528.89
enwik9,1,61.19,4184869.6,2800.0,110.56,6765.95
enwik9,2,34.09,4189984.0,2800.0,118.8,4051.57
enwik9,4,16.48,4188650.8,2800.0,138.28,2280.75
enwik9,8,10.01,4189384.0,2800.0,162.77,1630.47
enwik9,16,7.61,4188267.6,2800.0,198.41,1516.04
enwik9,32,7.72,4190343.2,2800.0,197.44,1530.07
enwik9,1,59.43,4184796.4,2900.0,111.51,6627.71
enwik9,2,34.16,4191495.6,2900.0,119.54,4084.92
enwik9,4,16.02,4190304.8,2900.0,140.57,2253.83
enwik9,8,9.62,4187662.0,2900.0,168.31,1622.77
enwik9,16,7.48,4190744.4,2900.0,204.43,1537.5
enwik9,32,7.51,4186991.6,2900.0,204.7,1541.28
enwik9,1,47.42,4186124.4,2901.0,133.46,6329.57
enwik9,2,28.7,4190264.4,2901.0,142.42,4090.0
enwik9,4,13.99,4188964.0,2901.0,166.29,2328.96
enwik9,8,8.67,4189816.8,2901.0,203.04,1762.87
enwik9,16,6.5,4189800.8,2901.0,261.93,1709.78
enwik9,32,6.42,4189272.0,2901.0,264.56,1704.97
