Name,TR,TIM,MEM,FR,POW,EN
game1,1,205.44,1160476.0,1200.0,91.71,18837.85
game1,1,206.87,1182364.0,1200.0,91.84,19001.99
game1,1,205.47,1178704.0,1200.0,91.71,18846.77
game1,1,205.46,1181024.0,1200.0,91.7,18841.69
game1,1,205.45,1182504.0,1200.0,91.66,18831.61
game1,1,205.42,1171892.0,1200.0,91.74,18848.88
game1,1,205.44,1170112.0,1200.0,91.83,18866.52
game1,1,205.42,1165676.0,1200.0,91.7,18838.83
game1,1,205.48,1182084.0,1200.0,91.72,18849.27
game1,1,206.82,1191076.0,1200.0,91.86,18997.22
game1,2,105.18,1183120.0,1200.0,93.99,9887.45
game1,2,105.17,1171496.0,1200.0,93.95,9882.92
game1,2,105.47,1180612.0,1200.0,94.23,9943.33
game1,2,104.34,1182372.0,1200.0,94.27,9836.94
game1,2,105.67,1177860.0,1200.0,94.08,9943.74
game1,2,104.33,1186872.0,1200.0,94.1,9818.78
game1,2,105.16,1173808.0,1200.0,94.02,9885.71
game1,2,104.31,1187132.0,1200.0,94.04,9813.28
game1,2,103.76,1182700.0,1200.0,94.09,9761.73
game1,2,104.29,1177492.0,1200.0,94.06,9810.1
game1,4,52.59,1182640.0,1200.0,100.16,5269.01
game1,4,52.58,1173924.0,1200.0,100.24,5272.7
game1,4,52.58,1168868.0,1200.0,100.19,5265.16
game1,4,52.59,1164084.0,1200.0,100.16,5268.65
game1,4,52.56,1173252.0,1200.0,100.19,5270.13
game1,4,52.97,1174248.0,1200.0,100.2,5310.98
game1,4,52.55,1180192.0,1200.0,100.28,5269.98
game1,4,53.6,1168252.0,1200.0,99.92,5356.32
game1,4,52.58,1183488.0,1200.0,100.15,5268.11
game1,4,52.56,1165648.0,1200.0,100.14,5262.92
game1,8,27.15,1167204.0,1200.0,108.72,2953.2
game1,8,27.63,1171624.0,1200.0,108.44,2993.74
game1,8,27.14,1164572.0,1200.0,108.76,2953.54
game1,8,27.17,1169244.0,1200.0,108.79,2959.76
game1,8,27.16,1164960.0,1200.0,108.86,2956.42
game1,8,27.21,1181796.0,1200.0,108.77,2964.89
game1,8,27.16,1163232.0,1200.0,108.83,2954.88
game1,8,27.17,1154208.0,1200.0,108.84,2955.77
game1,8,27.15,1156920.0,1200.0,108.72,2958.01
game1,8,27.16,1171144.0,1200.0,108.8,2954.72
game1,16,27.2,1188972.0,1200.0,109.21,2970.96
game1,16,27.18,1170252.0,1200.0,109.69,2984.48
game1,16,27.19,1167644.0,1200.0,109.77,2986.3
game1,16,27.16,1171168.0,1200.0,110.04,2987.66
game1,16,27.19,1174160.0,1200.0,109.66,2983.64
game1,16,27.17,1170636.0,1200.0,109.52,2981.3
game1,16,27.19,1173196.0,1200.0,109.57,2980.99
game1,16,27.18,1176464.0,1200.0,109.55,2980.59
