Name,TR,TIM,MEM,FR,POW,EN
game1,1,205.73,1176591.2,1200.0,91.75,18876.06
game1,2,104.77,1180346.4,1200.0,94.08,9858.4
game1,4,52.72,1173459.6,1200.0,100.16,5281.4
game1,8,27.21,1166490.4,1200.0,108.76,2960.49
game1,16,27.18,1175395.6,1200.0,109.64,2982.5
game1,32,27.19,1169846.8,1200.0,109.69,2984.54
game1,1,189.98,1173561.2,1300.0,92.37,17549.84
game1,2,96.83,1177339.2,1300.0,95.02,9201.63
game1,4,48.65,1175276.4,1300.0,101.54,4939.75
game1,8,25.07,1168898.8,1300.0,111.13,2787.21
game1,16,25.13,1175223.6,1300.0,112.61,2831.95
game1,32,25.09,1172336.0,1300.0,112.58,2826.74
game1,1,176.26,1177771.6,1400.0,93.04,16398.35
game1,2,89.78,1181782.0,1400.0,95.98,8617.23
game1,4,45.28,1177524.0,1400.0,102.83,4657.83
game1,8,23.28,1171214.0,1400.0,113.25,2638.06
game1,16,23.29,1168326.0,1400.0,115.6,2694.28
game1,32,23.33,1169402.8,1400.0,115.16,2689.49
game1,1,154.2,1168627.2,1600.0,94.79,14615.81
game1,2,78.55,1173984.4,1600.0,98.86,7766.77
game1,4,39.53,1174087.6,1600.0,105.89,4186.11
game1,8,20.37,1167198.4,1600.0,118.66,2420.46
game1,16,20.44,1171076.0,1600.0,121.87,2492.18
game1,32,20.38,1170495.6,1600.0,122.21,2493.71
game1,1,145.04,1173926.8,1700.0,95.32,13825.75
game1,2,74.16,1175166.4,1700.0,99.74,7398.05
game1,4,37.17,1174518.4,1700.0,107.5,3997.46
game1,8,19.18,1169884.4,1700.0,121.5,2330.14
game1,16,19.22,1174609.2,1700.0,125.29,2409.36
game1,32,19.18,1178758.4,1700.0,125.79,2416.22
game1,1,137.12,1174176.8,1800.0,96.12,13180.81
game1,2,69.95,1178405.2,1800.0,100.79,7051.73
game1,4,35.11,1177976.8,1800.0,108.96,3827.0
game1,8,18.11,1173382.4,1800.0,124.32,2253.66
game1,16,18.15,1171287.6,1800.0,128.71,2336.57
game1,32,18.14,1176626.8,1800.0,128.64,2335.5
game1,1,130.07,1176351.6,1900.0,97.02,12620.5
game1,2,66.38,1178273.2,1900.0,102.12,6779.52
game1,4,33.35,1175422.4,1900.0,110.92,3700.55
game1,8,17.16,1172055.2,1900.0,127.43,2188.96
game1,16,17.22,1173592.4,1900.0,132.09,2278.02
game1,32,17.22,1175814.0,1900.0,132.23,2280.41
game1,1,124.07,1173792.0,2000.0,98.88,12268.02
game1,2,62.86,1181317.6,2000.0,103.13,6481.94
game1,4,31.55,1178084.8,2000.0,112.93,3564.07
game1,8,16.33,1163746.0,2000.0,130.71,2135.87
game1,16,16.3,1176853.6,2000.0,136.25,2224.37
game1,32,16.39,1175654.4,2000.0,135.91,2228.26
game1,1,112.11,1176339.6,2200.0,100.85,11306.52
game1,2,57.27,1178919.6,2200.0,105.87,6063.44
game1,4,28.69,1172152.8,2200.0,116.85,3353.61
game1,8,14.86,1168575.2,2200.0,138.08,2054.18
game1,16,14.82,1177378.8,2200.0,144.65,2145.81
game1,32,14.83,1170808.8,2200.0,144.32,2141.97
game1,1,107.48,1174566.0,2300.0,101.8,10943.3
game1,2,54.67,1179979.2,2300.0,107.27,5864.57
game1,4,27.47,1174264.8,2300.0,118.88,3267.35
