Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,12.23,301843.6,1200.0,91.86,1123.51
cr_audio1.flac,2,6.15,307020.0,1200.0,95.04,584.46
cr_audio1.flac,4,4.55,305410.0,1200.0,97.81,445.07
cr_audio1.flac,8,4.22,311403.2,1200.0,98.79,417.11
cr_audio1.flac,16,4.13,308556.0,1200.0,100.4,416.04
cr_audio1.flac,32,4.12,310928.4,1200.0,100.42,414.67
cr_audio1.flac,1,9.41,302301.6,1600.0,94.8,893.64
cr_audio1.flac,2,4.66,306374.0,1600.0,99.6,465.21
cr_audio1.flac,4,2.93,306843.2,1600.0,104.03,306.24
cr_audio1.flac,8,2.91,309277.6,1600.0,104.91,308.19
cr_audio1.flac,16,2.95,317618.8,1600.0,106.8,315.76
cr_audio1.flac,32,2.96,315432.8,1600.0,106.89,317.24
cr_audio1.flac,1,8.39,301371.6,1800.0,96.88,813.28
cr_audio1.flac,2,4.14,305489.6,1800.0,102.21,424.21
cr_audio1.flac,4,2.6,306575.2,1800.0,107.32,280.09
cr_audio1.flac,8,2.58,307818.4,1800.0,108.64,281.97
cr_audio1.flac,16,2.62,313806.0,1800.0,111.11,292.14
cr_audio1.flac,32,2.61,313734.4,1800.0,111.2,292.49
cr_audio1.flac,1,6.65,303283.6,2200.0,100.75,669.91
cr_audio1.flac,2,3.54,305734.8,2200.0,106.33,374.95
cr_audio1.flac,4,2.98,305943.6,2200.0,109.25,324.98
cr_audio1.flac,8,2.96,309162.8,2200.0,111.4,330.97
cr_audio1.flac,16,2.72,309460.4,2200.0,116.09,316.93
cr_audio1.flac,32,2.72,309798.8,2200.0,116.25,315.87
cr_audio1.flac,1,6.1,301370.4,2400.0,102.28,624.35
cr_audio1.flac,2,3.08,306278.4,2400.0,109.81,339.84
cr_audio1.flac,4,2.46,305153.6,2400.0,113.44,279.15
cr_audio1.flac,8,2.21,309919.2,2400.0,117.93,261.14
cr_audio1.flac,16,2.11,310210.4,2400.0,125.62,266.41
cr_audio1.flac,32,2.12,310712.8,2400.0,125.16,263.33
cr_audio1.flac,1,5.53,300510.4,2700.0,105.87,586.37
cr_audio1.flac,2,2.76,305852.4,2700.0,113.64,315.9
cr_audio1.flac,4,2.12,303716.0,2700.0,119.62,254.49
cr_audio1.flac,8,1.96,308733.2,2700.0,124.9,246.02
cr_audio1.flac,16,1.87,309109.6,2700.0,133.36,248.95
cr_audio1.flac,32,1.86,309530.0,2700.0,133.29,246.79
cr_audio1.flac,1,4.09,301384.8,2901.0,131.72,539.73
cr_audio1.flac,2,2.16,304269.6,2901.0,144.0,313.22
cr_audio1.flac,4,2.04,305810.8,2901.0,146.99,302.55
cr_audio1.flac,8,1.77,307146.4,2901.0,162.75,291.86
cr_audio1.flac,16,1.77,308868.0,2901.0,181.19,320.23
cr_audio1.flac,32,1.78,308208.0,2901.0,180.79,323.49
cr_audio1.flac,1,11.45,302309.2,1300.0,92.65,1061.52
cr_audio1.flac,2,5.75,305213.2,1300.0,96.55,555.71
cr_audio1.flac,4,4.38,306476.8,1300.0,99.72,437.64
cr_audio1.flac,8,4.08,311699.2,1300.0,101.53,416.04
cr_audio1.flac,16,3.85,309133.2,1300.0,102.36,395.38
cr_audio1.flac,32,3.86,308377.6,1300.0,102.24,392.81
