Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
enwik9,1,214.14,409344.0,178062492.0,5.62,0.026244512935462785,1200.0,94.39,20213.99
enwik9,1,212.25,410956.0,178062492.0,5.62,0.026478209658421674,1200.0,94.39,20038.18
enwik9,1,212.26,410312.0,178062492.0,5.62,0.02647696221615001,1200.0,94.36,20027.17
enwik9,1,212.07,410712.0,178062492.0,5.62,0.0265006837365021,1200.0,94.36,20013.48
enwik9,1,212.24,410324.0,178062492.0,5.62,0.026479457218243498,1200.0,94.36,20027.49
enwik9,1,212.23,409812.0,178062492.0,5.62,0.0264807048956321,1200.0,94.36,20029.14
enwik9,1,212.2,407536.0,178062492.0,3.93,0.018520263901979268,1200.0,94.35,20020.32
enwik9,1,212.1,409156.0,178062492.0,3.93,0.01852899575671853,1200.0,94.32,20005.9
enwik9,1,212.24,411000.0,178062492.0,3.93,0.018516773464003017,1200.0,94.33,20022.8
enwik9,1,212.18,408240.0,178062492.0,3.93,0.018522009614478276,1200.0,94.33,20016.86
enwik9,2,109.48,427840.0,183515474.0,3.82,0.034892217756667884,1200.0,97.95,10725.78
enwik9,2,109.52,428392.0,183515474.0,3.82,0.034879474068663256,1200.0,97.94,10730.18
enwik9,2,109.64,433304.0,183515474.0,2.22,0.0202480846406421,1200.0,97.94,10739.91
enwik9,2,109.55,430364.0,183515474.0,2.22,0.020264719306252853,1200.0,97.96,10731.78
enwik9,2,109.52,426176.0,183515474.0,2.22,0.020270270270270268,1200.0,97.96,10726.65
enwik9,2,109.01,430676.0,183515474.0,2.22,0.020365104118888176,1200.0,97.99,10685.94
enwik9,2,109.42,428492.0,183515474.0,2.22,0.020288795467007858,1200.0,97.94,10719.94
enwik9,2,109.54,427668.0,183515474.0,2.22,0.020266569289757168,1200.0,97.93,10727.43
enwik9,2,109.58,433228.0,183515474.0,0.68,0.006205511954736265,1200.0,97.92,10731.81
enwik9,2,109.66,429364.0,183515474.0,0.68,0.00620098486230166,1200.0,97.99,10744.65
enwik9,4,58.93,527016.0,189531332.0,0.66,0.011199728491430512,1200.0,105.36,6206.27
enwik9,4,58.56,535488.0,189531332.0,0.66,0.011270491803278687,1200.0,105.45,6179.39
enwik9,4,58.36,528584.0,189531332.0,0.66,0.011309115832762166,1200.0,105.48,6155.27
enwik9,4,58.26,526924.0,189531332.0,0.66,0.011328527291452112,1200.0,105.6,6156.77
enwik9,4,58.38,541540.0,189531332.0,1.12,0.01918465227817746,1200.0,105.48,6160.15
enwik9,4,58.55,534888.0,189531332.0,1.12,0.01912894961571307,1200.0,105.49,6177.27
enwik9,4,58.26,532116.0,189531332.0,1.12,0.01922416752488844,1200.0,105.53,6147.88
enwik9,4,58.53,531344.0,189531332.0,1.12,0.019135486075516833,1200.0,105.28,6164.55
enwik9,4,58.61,534604.0,189531332.0,1.12,0.019109367002218054,1200.0,105.45,6178.83
enwik9,4,58.67,532448.0,189531332.0,1.12,0.01908982444179308,1200.0,105.44,6184.54
enwik9,8,39.69,687516.0,196847811.0,0.51,0.012849584278155708,1200.0,114.17,4533.76
enwik9,8,39.81,679868.0,196847811.0,0.51,0.01281085154483798,1200.0,114.13,4548.2
enwik9,8,40.42,680620.0,196847811.0,0.51,0.012617516081147945,1200.0,113.79,4603.74
enwik9,8,39.97,690748.0,196847811.0,0.51,0.012759569677257944,1200.0,114.2,4568.96
enwik9,8,39.6,677932.0,196847811.0,0.51,0.012878787878787878,1200.0,114.35,4528.98
enwik9,8,39.87,681592.0,196847811.0,0.51,0.012791572610985704,1200.0,114.29,4555.49
enwik9,8,39.91,685132.0,196847811.0,5.08,0.1272863943873716,1200.0,114.69,4577.22
enwik9,8,82.66,647456.0,196847811.0,5.08,0.061456569078151474,1200.0,101.34,8383.08
enwik9,8,81.9,633644.0,196847811.0,5.08,0.06202686202686202,1200.0,101.35,8300.41
enwik9,8,40.03,679184.0,196847811.0,5.08,0.12690482138396206,1200.0,114.18,4568.12
enwik9,16,59.15,768664.0,204006870.0,4.9,0.08284023668639054,1200.0,108.45,6415.79
enwik9,16,93.31,750184.0,204006870.0,4.9,0.05251312828207052,1200.0,102.34,9548.01
enwik9,16,113.21,749056.0,204006870.0,3.43,0.030297676883667524,1200.0,100.45,11376.17
enwik9,16,103.23,753700.0,204006870.0,3.43,0.03322677516225903,1200.0,101.4,10463.81
enwik9,16,50.54,753804.0,204006870.0,3.43,0.06786703601108034,1200.0,111.75,5649.37
enwik9,16,92.52,746752.0,204006870.0,3.43,0.03707306528318202,1200.0,102.39,9472.51
enwik9,16,94.76,744176.0,204006870.0,3.43,0.03619670747150697,1200.0,102.17,9680.25
enwik9,16,30.84,804956.0,204006870.0,3.43,0.11121919584954604,1200.0,124.33,3836.78
enwik9,16,97.3,741484.0,204006870.0,2.0,0.02055498458376156,1200.0,102.42,9965.44
enwik9,16,107.86,746060.0,204006870.0,2.0,0.018542555164101613,1200.0,101.32,10927.02
enwik9,32,92.67,748876.0,204006870.0,2.0,0.02158195748354376,1200.0,102.33,9486.47
enwik9,32,98.18,747972.0,204006870.0,2.0,0.02037074760643716,1200.0,102.35,10049.99
enwik9,32,102.89,753104.0,204006870.0,2.0,0.01943823500826125,1200.0,101.48,10442.68
enwik9,32,94.82,743160.0,204006870.0,2.0,0.021092596498628984,1200.0,102.07,9676.87
enwik9,32,93.07,750664.0,204006870.0,0.61,0.0065542065112281075,1200.0,102.18,9513.31
enwik9,32,30.75,853260.0,204006870.0,0.61,0.01983739837398374,1200.0,123.99,3814.07
enwik9,32,34.43,856412.0,204006870.0,0.61,0.017717107173976183,1200.0,121.11,4168.76
enwik9,32,59.91,748944.0,204006870.0,0.61,0.010181939576030714,1200.0,108.55,6501.52
enwik9,32,97.89,759744.0,204006870.0,0.61,0.006231484319133721,1200.0,102.39,10022.37
enwik9,32,98.52,753468.0,204006870.0,0.61,0.006191636215996752,1200.0,102.23,10067.48
enwik9,1,160.9,411056.0,178062492.0,5.62,0.03492852703542573,1600.0,97.39,15670.21
enwik9,1,160.86,410964.0,178062492.0,5.62,0.03493721248290438,1600.0,97.35,15662.08
enwik9,1,160.87,410884.0,178062492.0,5.62,0.034935040716106175,1600.0,97.43,15671.5
enwik9,1,160.91,409848.0,178062492.0,5.62,0.03492635634826922,1600.0,97.35,15668.72
enwik9,1,160.88,409272.0,178062492.0,5.62,0.03493286921929389,1600.0,97.4,15672.57
enwik9,1,160.82,409112.0,178062492.0,5.62,0.03494590225096381,1600.0,97.42,15665.06
enwik9,1,160.78,409324.0,178062492.0,3.93,0.024443338723721852,1600.0,97.42,15665.77
enwik9,1,160.86,410192.0,178062492.0,3.93,0.02443118239462887,1600.0,97.42,15675.15
enwik9,1,160.85,407424.0,178062492.0,3.93,0.024432701274479333,1600.0,97.4,15671.78
enwik9,1,160.94,407732.0,178062492.0,3.93,0.02441903815086368,1600.0,97.41,15677.43
enwik9,2,82.95,429572.0,183515474.0,3.82,0.046051838456901736,1600.0,103.12,8552.93
enwik9,2,82.98,432256.0,183515474.0,3.82,0.0460351892022174,1600.0,103.11,8558.3
enwik9,2,83.05,427796.0,183515474.0,2.22,0.026730885009030703,1600.0,103.18,8569.2
enwik9,2,82.99,430816.0,183515474.0,2.22,0.02675021086877937,1600.0,103.13,8560.72
enwik9,2,82.65,432988.0,183515474.0,2.22,0.026860254083484573,1600.0,103.19,8529.48
enwik9,2,82.97,428132.0,183515474.0,2.22,0.026756659033385564,1600.0,103.13,8559.64
enwik9,2,82.95,426808.0,183515474.0,2.22,0.026763110307414108,1600.0,103.16,8556.89
enwik9,2,82.97,427096.0,183515474.0,2.22,0.026756659033385564,1600.0,103.13,8554.7
enwik9,2,83.0,430340.0,183515474.0,0.68,0.00819277108433735,1600.0,103.13,8560.43
enwik9,2,83.01,431304.0,183515474.0,0.68,0.008191784122394892,1600.0,103.16,8566.89
enwik9,4,44.19,529092.0,189531332.0,0.66,0.014935505770536322,1600.0,112.36,4966.81
enwik9,4,44.62,534084.0,189531332.0,0.66,0.014791573285522188,1600.0,112.11,5006.95
enwik9,4,44.46,528436.0,189531332.0,0.66,0.014844804318488529,1600.0,112.35,4994.71
enwik9,4,44.62,530212.0,189531332.0,0.66,0.014791573285522188,1600.0,112.19,5009.77
enwik9,4,44.59,533216.0,189531332.0,1.12,0.02511773940345369,1600.0,112.26,5007.52
enwik9,4,44.32,536620.0,189531332.0,1.12,0.025270758122743684,1600.0,112.39,4979.26
enwik9,4,44.39,539640.0,189531332.0,1.12,0.025230907862131117,1600.0,112.34,4988.72
enwik9,4,44.05,535388.0,189531332.0,1.12,0.025425652667423387,1600.0,112.53,4958.06
enwik9,4,44.09,535272.0,189531332.0,1.12,0.02540258562032207,1600.0,112.44,4957.88
enwik9,4,44.16,536292.0,189531332.0,1.12,0.025362318840579715,1600.0,112.48,4966.78
enwik9,8,30.66,679376.0,196847811.0,0.51,0.016634050880626222,1600.0,124.97,3830.89
enwik9,8,30.32,671472.0,196847811.0,0.51,0.016820580474934038,1600.0,125.4,3806.03
