Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,23.95,4912.0,1200.0,93.29,2234.37
cr_audio1.flac,1,23.88,4912.0,1200.0,92.83,2218.84
cr_audio1.flac,1,22.96,4916.0,1200.0,92.87,2131.49
cr_audio1.flac,1,23.04,4912.0,1200.0,92.9,2141.62
cr_audio1.flac,1,23.01,4916.0,1200.0,92.9,2136.98
cr_audio1.flac,1,22.98,4916.0,1200.0,92.82,2134.98
cr_audio1.flac,1,22.92,4912.0,1200.0,92.81,2126.24
cr_audio1.flac,1,22.98,4912.0,1200.0,92.9,2132.47
cr_audio1.flac,1,22.94,4912.0,1200.0,93.16,2142.8
cr_audio1.flac,1,23.01,4916.0,1200.0,92.83,2134.11
cr_audio1.flac,2,11.36,17448.0,1200.0,97.31,1105.58
cr_audio1.flac,2,11.38,17564.0,1200.0,97.45,1106.55
cr_audio1.flac,2,11.37,17448.0,1200.0,97.35,1109.94
cr_audio1.flac,2,11.37,17448.0,1200.0,97.22,1103.71
cr_audio1.flac,2,11.37,17592.0,1200.0,97.49,1110.81
cr_audio1.flac,2,11.32,17448.0,1200.0,97.35,1100.29
cr_audio1.flac,2,11.29,17448.0,1200.0,97.34,1100.21
cr_audio1.flac,2,11.35,17444.0,1200.0,96.62,1097.54
cr_audio1.flac,2,11.29,17448.0,1200.0,97.15,1098.06
cr_audio1.flac,2,11.35,17448.0,1200.0,97.14,1102.57
cr_audio1.flac,4,6.79,31656.0,1200.0,99.89,679.97
cr_audio1.flac,4,5.78,31664.0,1200.0,102.66,595.83
cr_audio1.flac,4,5.79,31432.0,1200.0,101.95,591.99
cr_audio1.flac,4,5.78,31804.0,1200.0,101.57,589.61
cr_audio1.flac,4,5.8,31676.0,1200.0,102.35,594.15
cr_audio1.flac,4,5.78,31664.0,1200.0,101.67,590.37
cr_audio1.flac,4,5.79,31544.0,1200.0,101.79,591.21
cr_audio1.flac,4,5.8,29732.0,1200.0,101.61,594.83
cr_audio1.flac,4,5.8,31672.0,1200.0,101.84,596.21
cr_audio1.flac,4,5.79,31664.0,1200.0,101.95,591.82
cr_audio1.flac,8,3.05,58032.0,1200.0,111.18,339.87
cr_audio1.flac,8,3.05,59056.0,1200.0,111.31,340.59
cr_audio1.flac,8,3.04,59128.0,1200.0,112.07,342.96
cr_audio1.flac,8,3.04,58772.0,1200.0,111.25,340.48
cr_audio1.flac,8,3.04,59140.0,1200.0,110.88,339.39
cr_audio1.flac,8,3.03,59080.0,1200.0,111.0,339.59
cr_audio1.flac,8,3.07,59160.0,1200.0,111.2,340.39
cr_audio1.flac,8,3.03,58576.0,1200.0,110.79,339.38
cr_audio1.flac,8,3.04,59120.0,1200.0,111.5,340.93
cr_audio1.flac,8,3.05,59408.0,1200.0,111.41,340.61
