Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,91.96,4908.0,1200.0,92.51,8505.91
enwik9,1,92.51,4908.0,1200.0,92.38,8545.31
enwik9,1,92.61,4912.0,1200.0,92.33,8550.31
enwik9,1,92.39,4908.0,1200.0,92.36,8535.1
enwik9,1,92.24,4912.0,1200.0,92.46,8529.85
enwik9,1,92.44,4912.0,1200.0,92.47,8548.42
enwik9,1,92.0,4908.0,1200.0,92.38,8498.83
enwik9,1,98.24,4908.0,1200.0,92.56,9093.72
enwik9,1,92.51,4980.0,1200.0,92.37,8544.72
enwik9,1,92.07,4912.0,1200.0,92.36,8505.56
enwik9,2,45.36,14836.0,1200.0,96.6,4381.39
enwik9,2,45.25,15152.0,1200.0,97.03,4395.3
enwik9,2,45.45,14848.0,1200.0,96.92,4405.36
enwik9,2,45.3,15144.0,1200.0,97.02,4395.74
enwik9,2,46.4,17676.0,1200.0,97.23,4511.71
enwik9,2,45.3,15136.0,1200.0,97.08,4402.73
enwik9,2,45.26,15140.0,1200.0,97.06,4392.42
enwik9,2,46.77,18364.0,1200.0,97.02,4540.95
enwik9,2,45.57,17104.0,1200.0,97.37,4440.29
enwik9,2,47.01,19012.0,1200.0,97.14,4565.97
enwik9,4,22.95,26900.0,1200.0,102.39,2350.17
enwik9,4,22.86,26932.0,1200.0,102.06,2338.1
enwik9,4,22.96,26888.0,1200.0,102.55,2353.96
enwik9,4,22.9,27176.0,1200.0,102.04,2337.35
enwik9,4,23.03,26888.0,1200.0,102.14,2354.47
enwik9,4,22.94,27148.0,1200.0,102.07,2343.35
enwik9,4,22.97,26768.0,1200.0,102.47,2356.35
enwik9,4,22.92,26896.0,1200.0,102.22,2346.47
enwik9,4,22.99,27068.0,1200.0,102.08,2348.2
enwik9,4,23.0,26820.0,1200.0,102.73,2363.3
enwik9,8,11.78,49324.0,1200.0,112.6,1323.49
enwik9,8,11.86,49804.0,1200.0,112.34,1337.67
enwik9,8,11.89,49548.0,1200.0,112.36,1337.78
enwik9,8,11.8,49364.0,1200.0,112.65,1330.39
enwik9,8,11.85,50064.0,1200.0,112.15,1329.92
enwik9,8,11.96,50220.0,1200.0,112.32,1343.25
enwik9,8,12.04,49220.0,1200.0,112.18,1352.04
enwik9,8,11.85,50316.0,1200.0,112.66,1336.02
enwik9,8,11.84,49476.0,1200.0,112.49,1334.16
enwik9,8,12.12,61184.0,1200.0,112.55,1368.51
enwik9,16,7.13,94424.0,1200.0,128.06,916.88
enwik9,16,6.93,96588.0,1200.0,129.23,900.1
enwik9,16,6.98,95552.0,1200.0,129.15,905.57
enwik9,16,7.02,97344.0,1200.0,129.57,914.73
