Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,92.9,4916.8,1200.0,92.42,8585.77
enwik9,2,45.77,16241.2,1200.0,97.05,4443.19
enwik9,4,22.95,26948.4,1200.0,102.27,2349.17
enwik9,8,11.9,50852.0,1200.0,112.43,1339.32
enwik9,16,6.9,97662.4,1200.0,130.23,901.24
enwik9,32,5.32,191280.4,1200.0,138.71,741.52
enwik9,1,85.97,4909.6,1300.0,93.13,8006.85
enwik9,2,42.21,17241.6,1300.0,98.15,4144.42
enwik9,4,21.48,26948.0,1300.0,103.97,2234.0
enwik9,8,10.96,50118.4,1300.0,115.25,1264.98
enwik9,16,6.5,95046.4,1300.0,133.09,868.69
enwik9,32,4.94,191934.4,1300.0,143.73,710.92
enwik9,1,80.29,4906.4,1400.0,94.27,7570.02
enwik9,2,38.86,14932.8,1400.0,99.71,3875.3
enwik9,4,19.78,29122.4,1400.0,106.15,2101.21
enwik9,8,10.3,50074.0,1400.0,117.53,1213.82
enwik9,16,6.02,95626.0,1400.0,138.44,836.02
enwik9,32,4.65,194751.6,1400.0,148.57,693.1
enwik9,1,69.56,4914.8,1600.0,95.0,6609.12
enwik9,2,34.11,14879.2,1600.0,102.05,3480.97
enwik9,4,17.11,27673.2,1600.0,111.22,1905.48
enwik9,8,8.97,52398.8,1600.0,123.59,1110.36
enwik9,16,5.33,95928.4,1600.0,147.01,785.3
enwik9,32,4.08,190495.2,1600.0,160.47,656.55
enwik9,1,63.25,4905.6,1800.0,96.64,6113.24
enwik9,2,30.16,15566.0,1800.0,105.12,3171.28
enwik9,4,15.26,28001.6,1800.0,115.23,1758.75
enwik9,8,7.92,49632.4,1800.0,130.48,1035.65
enwik9,16,4.73,95566.8,1800.0,159.15,756.26
enwik9,32,3.73,191889.6,1800.0,171.91,643.62
enwik9,1,50.22,4927.2,2200.0,101.6,5103.31
enwik9,2,24.78,16081.6,2200.0,113.22,2804.39
enwik9,4,12.53,27956.8,2200.0,125.37,1571.72
enwik9,8,6.53,49981.2,2200.0,145.68,951.46
enwik9,16,4.0,95878.0,2200.0,181.53,728.73
enwik9,32,3.19,192894.0,2200.0,198.83,636.39
enwik9,1,47.2,4913.2,2400.0,103.4,4880.27
enwik9,2,22.63,15320.0,2400.0,117.22,2654.08
enwik9,4,11.46,28682.0,2400.0,131.06,1502.63
enwik9,8,6.06,50184.4,2400.0,153.89,934.13
enwik9,16,3.7,95914.0,2400.0,197.35,733.83
enwik9,32,2.98,191694.8,2400.0,214.88,642.63
enwik9,1,41.55,4904.8,2700.0,107.19,4454.14
enwik9,2,20.28,15958.4,2700.0,123.93,2512.96
enwik9,4,10.2,27069.6,2700.0,140.61,1435.78
enwik9,8,5.34,50020.0,2700.0,171.27,919.43
enwik9,16,3.33,96468.0,2700.0,224.44,750.37
enwik9,32,2.77,195727.2,2700.0,241.01,674.34
enwik9,1,28.89,4905.6,2901.0,132.0,3811.54
enwik9,2,14.4,14970.8,2901.0,172.55,2486.1
enwik9,4,7.65,26786.8,2901.0,195.37,1498.01
enwik9,8,4.24,50151.2,2901.0,233.46,992.53
enwik9,16,2.75,96336.0,2901.0,305.92,849.19
enwik9,32,2.38,199906.4,2901.0,327.17,785.35
enwik9,1,65.08,4910.8,1700.0,95.57,6220.41
enwik9,2,32.08,16362.0,1700.0,103.43,3318.89
enwik9,4,16.27,27898.4,1700.0,112.87,1837.99
enwik9,8,8.46,49948.4,1700.0,126.23,1068.69
enwik9,16,5.0,95583.6,1700.0,152.76,764.84
enwik9,32,3.92,194019.2,1700.0,164.6,647.42
enwik9,1,59.31,4906.0,1900.0,98.28,5829.79
enwik9,2,28.6,14946.4,1900.0,106.34,3042.43
enwik9,4,14.48,26885.6,1900.0,117.46,1702.29
enwik9,8,7.6,50254.8,1900.0,133.58,1015.91
enwik9,16,4.75,96042.8,1900.0,163.04,775.16
enwik9,32,3.91,190540.8,1900.0,175.03,688.0
enwik9,1,49.42,4906.0,2300.0,103.17,5099.28
enwik9,2,23.68,15202.8,2300.0,116.33,2756.14
enwik9,4,12.02,26879.6,2300.0,128.75,1548.77
enwik9,8,6.3,50210.4,2300.0,150.37,950.34
enwik9,16,4.02,96220.8,2300.0,189.47,762.35
enwik9,32,3.47,194583.6,2300.0,201.92,704.17
enwik9,1,45.41,5117.6,2500.0,105.43,4788.68
enwik9,2,21.81,15962.0,2500.0,120.46,2628.8
enwik9,4,11.21,28573.6,2500.0,134.77,1510.34
enwik9,8,5.85,50058.4,2500.0,160.92,942.9
enwik9,16,3.85,96255.6,2500.0,201.44,779.49
enwik9,32,3.34,195312.0,2500.0,217.05,727.57
enwik9,1,40.33,4908.0,2800.0,109.81,4428.38
enwik9,2,19.46,14956.0,2800.0,126.0,2453.38
enwik9,4,9.9,26843.2,2800.0,146.3,1451.57
enwik9,8,5.24,50080.4,2800.0,178.39,936.87
enwik9,16,3.53,96428.4,2800.0,225.65,801.33
enwik9,32,2.99,191213.2,2800.0,246.89,745.77
enwik9,1,38.54,4914.0,2900.0,111.01,4279.1
enwik9,2,18.8,15177.6,2900.0,130.32,2449.35
enwik9,4,9.55,26930.4,2900.0,149.47,1428.09
enwik9,8,5.04,50154.8,2900.0,183.26,927.99
enwik9,16,3.43,96064.4,2900.0,237.79,820.89
enwik9,32,2.93,194018.8,2900.0,257.08,759.25
enwik9,1,55.8,4912.4,2000.0,99.91,5575.39
enwik9,2,27.28,16067.2,2000.0,109.1,2976.77
enwik9,4,13.76,27858.4,2000.0,119.95,1654.16
enwik9,8,7.31,50069.6,2000.0,136.97,1002.46
enwik9,16,4.31,95460.0,2000.0,170.31,735.75
enwik9,32,3.46,191903.6,2000.0,184.07,639.53
