Name,TR,TIM,MEM,FR,POW,EN
game1,1,66.9,4912.0,1200.0,93.07,6226.24
game1,1,66.65,4912.0,1200.0,92.73,6180.78
game1,1,67.01,5000.0,1200.0,92.69,6210.78
game1,1,66.7,4912.0,1200.0,92.97,6201.16
game1,1,66.61,4916.0,1200.0,92.68,6173.11
game1,1,66.71,4912.0,1200.0,92.69,6182.84
game1,1,66.59,4912.0,1200.0,92.7,6173.85
game1,1,68.7,4916.0,1200.0,92.83,6378.03
game1,1,66.69,4912.0,1200.0,92.69,6182.96
game1,1,66.67,4912.0,1200.0,92.68,6181.94
game1,2,32.53,17060.0,1200.0,97.25,3166.23
game1,2,32.55,16768.0,1200.0,96.84,3152.21
game1,2,32.79,18972.0,1200.0,96.76,3175.7
game1,2,33.25,16640.0,1200.0,97.01,3226.11
game1,2,33.25,18448.0,1200.0,97.15,3230.53
game1,2,32.56,17600.0,1200.0,97.42,3171.46
game1,2,32.63,16848.0,1200.0,97.55,3185.32
game1,2,32.98,19800.0,1200.0,97.54,3217.73
game1,2,32.97,16712.0,1200.0,97.68,3223.41
game1,2,33.0,16564.0,1200.0,96.56,3186.71
game1,4,17.05,30056.0,1200.0,102.17,1742.33
game1,4,17.13,29900.0,1200.0,102.63,1754.93
game1,4,17.12,30540.0,1200.0,102.5,1757.95
game1,4,17.08,30792.0,1200.0,102.34,1750.41
game1,4,16.94,29300.0,1200.0,102.58,1739.55
game1,4,17.11,29968.0,1200.0,102.43,1757.08
game1,4,17.22,29640.0,1200.0,102.27,1759.15
game1,4,17.01,30748.0,1200.0,102.54,1743.58
game1,4,17.05,30068.0,1200.0,102.33,1743.88
game1,4,17.08,31920.0,1200.0,102.65,1756.52
game1,8,8.57,54220.0,1200.0,112.91,966.04
game1,8,8.71,55724.0,1200.0,112.74,982.6
game1,8,8.73,54984.0,1200.0,112.71,987.17
game1,8,8.62,54292.0,1200.0,112.96,972.16
game1,8,8.69,53408.0,1200.0,113.07,984.8
game1,8,8.55,53064.0,1200.0,112.84,971.38
game1,8,8.64,53220.0,1200.0,112.74,976.03
game1,8,8.64,52536.0,1200.0,113.47,982.8
game1,8,8.6,54804.0,1200.0,113.11,974.75
game1,8,8.59,54252.0,1200.0,112.85,971.46
game1,16,4.86,103512.0,1200.0,128.92,633.46
game1,16,4.81,97696.0,1200.0,129.28,628.8
game1,16,4.84,102604.0,1200.0,128.79,625.92
game1,16,4.93,99708.0,1200.0,128.16,636.03
game1,16,4.95,100732.0,1200.0,128.45,637.77
game1,16,5.21,101184.0,1200.0,125.68,654.73
game1,16,4.91,97712.0,1200.0,128.39,637.22
game1,16,5.05,98632.0,1200.0,126.79,641.69
game1,16,4.9,103928.0,1200.0,128.37,630.39
game1,16,5.14,99304.0,1200.0,126.29,645.35
game1,32,3.56,185940.0,1200.0,135.7,490.25
game1,32,3.58,190500.0,1200.0,135.64,490.04
game1,32,3.59,193852.0,1200.0,135.62,490.05
game1,32,3.58,192716.0,1200.0,136.13,484.69
game1,32,3.59,190360.0,1200.0,135.57,489.72
game1,32,3.61,194956.0,1200.0,135.66,489.92
game1,32,3.59,188328.0,1200.0,136.23,492.19
game1,32,3.6,187032.0,1200.0,135.67,490.39
game1,32,3.59,190572.0,1200.0,135.85,490.92
game1,32,3.57,188100.0,1200.0,135.85,490.78
game1,1,64.46,4916.0,1300.0,93.59,6036.58
game1,1,61.82,4916.0,1300.0,93.22,5765.61
game1,1,61.48,4912.0,1300.0,93.19,5731.14
game1,1,61.48,4912.0,1300.0,93.29,5737.21
game1,1,61.56,4916.0,1300.0,93.2,5737.07
game1,1,61.63,4916.0,1300.0,93.18,5744.92
game1,1,61.58,4916.0,1300.0,93.21,5742.28
game1,1,61.49,4912.0,1300.0,93.22,5737.94
game1,1,61.63,4916.0,1300.0,93.26,5750.23
game1,1,61.62,4920.0,1300.0,93.18,5744.6
game1,2,30.42,17280.0,1300.0,98.73,3006.36
game1,2,30.53,16604.0,1300.0,97.65,2983.67
game1,2,30.6,16688.0,1300.0,98.19,3004.79
game1,2,30.43,16808.0,1300.0,98.57,3001.76
game1,2,30.88,16968.0,1300.0,98.41,3036.34
game1,2,30.47,16620.0,1300.0,97.94,2982.47
game1,2,30.43,16840.0,1300.0,98.35,2989.98
game1,2,30.51,16956.0,1300.0,98.24,3001.61
game1,2,30.47,17368.0,1300.0,98.65,3004.3
game1,2,30.58,16840.0,1300.0,98.61,3016.43
game1,4,15.82,30324.0,1300.0,104.49,1651.32
game1,4,17.21,29908.0,1300.0,103.03,1777.43
game1,4,15.81,29876.0,1300.0,105.31,1665.69
game1,4,15.75,29436.0,1300.0,107.88,1705.12
game1,4,15.87,29352.0,1300.0,108.3,1722.26
game1,4,15.76,29652.0,1300.0,104.29,1643.24
game1,4,15.62,29156.0,1300.0,104.11,1629.9
game1,4,15.72,29592.0,1300.0,104.11,1638.48
game1,4,15.66,29504.0,1300.0,104.75,1639.98
game1,4,15.83,30332.0,1300.0,105.02,1664.93
game1,8,7.98,54064.0,1300.0,115.46,924.57
game1,8,7.98,52612.0,1300.0,115.54,926.04
game1,8,7.95,52732.0,1300.0,115.4,924.37
game1,8,7.94,54060.0,1300.0,115.92,922.22
game1,8,7.99,54160.0,1300.0,115.49,924.9
game1,8,8.0,52776.0,1300.0,115.32,923.42
game1,8,8.04,52660.0,1300.0,115.31,928.12
game1,8,7.93,53412.0,1300.0,115.3,917.71
game1,8,7.96,54292.0,1300.0,115.42,924.37
game1,8,7.94,55364.0,1300.0,115.78,921.42
game1,16,4.63,99576.0,1300.0,131.18,604.59
game1,16,4.72,96720.0,1300.0,130.53,614.75
game1,16,4.55,99652.0,1300.0,132.18,603.34
game1,16,4.38,102076.0,1300.0,134.5,593.53
game1,16,4.49,100352.0,1300.0,132.87,600.01
game1,16,4.5,98968.0,1300.0,133.28,601.07
game1,16,4.33,99512.0,1300.0,134.88,588.36
game1,16,4.49,100600.0,1300.0,133.21,601.08
game1,16,4.86,100304.0,1300.0,128.85,628.66
game1,16,4.58,98488.0,1300.0,131.8,607.6
game1,32,3.31,189852.0,1300.0,140.41,464.81
game1,32,3.33,203956.0,1300.0,140.24,464.6
game1,32,3.29,189420.0,1300.0,140.49,465.06
game1,32,3.34,200328.0,1300.0,140.18,471.9
game1,32,3.35,195696.0,1300.0,140.06,471.12
game1,32,3.37,194700.0,1300.0,139.24,476.2
game1,32,3.3,188732.0,1300.0,140.83,467.0
game1,32,3.32,201700.0,1300.0,140.47,465.1
game1,32,3.34,186480.0,1300.0,140.22,471.96
game1,32,3.34,193828.0,1300.0,140.01,471.09
game1,1,58.66,4916.0,1400.0,94.43,5538.64
game1,1,57.64,4916.0,1400.0,94.18,5430.05
game1,1,57.3,4912.0,1400.0,94.09,5396.31
game1,1,57.07,4916.0,1400.0,94.13,5370.29
game1,1,57.2,4912.0,1400.0,94.27,5391.9
game1,1,57.44,4944.0,1400.0,94.13,5412.54
game1,1,57.13,4912.0,1400.0,94.34,5393.28
game1,1,58.7,4912.0,1400.0,94.43,5543.07
game1,1,57.16,4912.0,1400.0,94.46,5398.59
game1,1,57.15,4912.0,1400.0,94.29,5389.01
game1,2,28.25,16608.0,1400.0,100.09,2827.74
game1,2,28.37,16816.0,1400.0,99.37,2817.25
game1,2,28.29,16692.0,1400.0,99.99,2829.72
game1,2,28.26,16792.0,1400.0,100.39,2841.51
game1,2,28.25,17260.0,1400.0,100.22,2830.57
game1,2,27.94,16780.0,1400.0,99.99,2795.05
game1,2,27.87,17284.0,1400.0,99.93,2783.89
game1,2,28.18,17364.0,1400.0,99.96,2819.16
game1,2,28.73,16880.0,1400.0,99.82,2864.73
game1,2,28.31,17412.0,1400.0,100.04,2831.7
game1,4,14.63,29148.0,1400.0,107.43,1574.34
game1,4,14.64,30664.0,1400.0,107.32,1567.31
game1,4,14.64,29068.0,1400.0,106.55,1561.54
