Name,TR,TIM,MEM,FR,POW,EN
game1,1,66.92,4921.6,1200.0,92.77,6209.17
game1,2,32.85,17541.2,1200.0,97.18,3193.54
game1,4,17.08,30293.2,1200.0,102.44,1750.54
game1,8,8.63,54050.4,1200.0,112.94,976.92
game1,16,4.96,100501.2,1200.0,127.91,637.14
game1,32,3.59,190235.6,1200.0,135.79,489.9
game1,1,61.88,4915.2,1300.0,93.25,5772.76
game1,2,30.53,16897.2,1300.0,98.33,3002.77
game1,4,15.91,29713.2,1300.0,105.13,1673.84
game1,8,7.97,53613.2,1300.0,115.49,923.72
game1,16,4.55,99624.8,1300.0,132.33,604.3
game1,32,3.33,194469.2,1300.0,140.21,468.88
game1,1,57.54,4916.4,1400.0,94.27,5426.37
game1,2,28.24,16988.8,1400.0,99.98,2824.13
game1,4,14.65,29812.0,1400.0,106.62,1563.06
game1,8,7.47,54890.8,1400.0,118.49,886.07
game1,16,4.28,100811.6,1400.0,136.4,585.73
game1,32,3.09,193782.8,1400.0,145.75,453.53
game1,1,50.46,4920.4,1600.0,96.42,4865.95
game1,2,24.64,17203.6,1600.0,102.44,2524.72
game1,4,12.72,29692.8,1600.0,111.44,1417.9
game1,8,6.49,53843.2,1600.0,124.09,805.9
game1,16,3.72,99432.4,1600.0,146.02,546.83
game1,32,2.68,192402.0,1600.0,157.3,425.75
game1,1,44.6,4918.8,1800.0,97.81,4362.75
game1,2,21.97,16868.4,1800.0,105.22,2312.17
game1,4,11.31,29810.8,1800.0,115.6,1308.3
game1,8,5.88,53510.0,1800.0,130.28,768.08
game1,16,3.28,99673.6,1800.0,157.52,522.09
game1,32,2.42,192501.6,1800.0,168.89,412.88
game1,1,36.64,4921.2,2200.0,101.62,3724.94
game1,2,17.8,16897.6,2200.0,113.78,2026.8
game1,4,9.21,29816.8,2200.0,126.01,1162.03
game1,8,4.79,53546.8,2200.0,146.24,701.87
game1,16,2.71,99618.4,2200.0,183.57,499.45
game1,32,2.0,196728.4,2200.0,197.68,399.76
game1,1,33.7,4908.8,2400.0,104.7,3529.37
game1,2,16.52,17322.4,2400.0,118.96,1966.03
game1,4,8.48,29932.8,2400.0,131.78,1119.27
game1,8,4.42,54179.6,2400.0,155.49,688.79
game1,16,2.54,100468.0,2400.0,195.5,499.24
game1,32,1.87,196613.6,2400.0,213.72,402.31
game1,1,29.85,4917.6,2700.0,107.48,3208.79
game1,2,14.68,17628.4,2700.0,124.15,1824.51
game1,4,7.59,31828.4,2700.0,141.24,1072.58
game1,8,3.88,54419.6,2700.0,172.38,671.22
game1,16,2.25,99934.4,2700.0,221.36,502.11
game1,32,1.67,200243.6,2700.0,241.86,408.09
game1,1,21.03,4909.6,2901.0,135.26,2844.24
game1,2,10.7,17182.0,2901.0,168.17,1798.68
game1,4,5.69,29797.2,2901.0,196.3,1119.24
game1,8,3.15,53894.4,2901.0,232.73,737.08
game1,16,1.91,100108.4,2901.0,296.46,571.45
game1,32,1.42,198029.6,2901.0,328.59,468.63
game1,1,47.29,4908.8,1700.0,96.77,4577.18
game1,2,23.21,17086.4,1700.0,103.76,2408.89
game1,4,11.99,29788.8,1700.0,113.23,1360.24
game1,8,6.09,53708.4,1700.0,127.26,775.72
game1,16,3.53,99873.6,1700.0,150.0,531.32
game1,32,2.56,192631.2,1700.0,161.9,418.34
game1,1,42.82,4908.8,1900.0,98.5,4219.51
game1,2,20.85,17157.6,1900.0,107.12,2233.46
game1,4,10.74,29916.4,1900.0,117.73,1266.0
game1,8,5.53,54385.6,1900.0,134.58,745.84
game1,16,3.31,100194.4,1900.0,159.71,532.81
game1,32,2.42,197240.0,1900.0,173.08,422.75
game1,1,35.39,4910.0,2300.0,103.47,3663.84
game1,2,17.2,16912.8,2300.0,114.55,1972.42
game1,4,8.84,30223.6,2300.0,129.68,1148.34
game1,8,4.59,54568.0,2300.0,152.31,702.15
game1,16,2.71,99942.8,2300.0,187.85,513.93
game1,32,2.05,199744.4,2300.0,202.46,417.58
game1,1,32.46,4920.4,2500.0,105.9,3437.2
game1,2,15.89,16941.6,2500.0,120.37,1912.92
game1,4,8.29,30019.6,2500.0,134.72,1116.26
game1,8,4.3,53978.4,2500.0,160.49,691.87
game1,16,2.48,99914.0,2500.0,203.16,505.63
game1,32,1.84,199155.6,2500.0,221.58,411.43
game1,1,28.93,4916.4,2800.0,109.51,3168.19
game1,2,14.17,17074.8,2800.0,127.83,1812.86
game1,4,7.36,29518.8,2800.0,146.89,1081.17
game1,8,3.83,54272.0,2800.0,178.02,685.67
game1,16,2.28,100273.6,2800.0,227.68,523.25
game1,32,1.77,198888.8,2800.0,246.1,438.24
game1,1,28.11,4910.8,2900.0,110.93,3119.43
game1,2,13.7,16802.4,2900.0,129.09,1766.86
game1,4,7.12,29783.2,2900.0,150.58,1073.44
game1,8,3.7,53981.2,2900.0,184.28,685.85
game1,16,2.24,100757.6,2900.0,235.78,534.96
game1,32,1.73,204121.2,2900.0,257.51,447.06
game1,1,40.21,5115.6,2000.0,100.58,4044.95
game1,2,19.79,17231.6,2000.0,109.04,2158.46
game1,4,10.22,29919.2,2000.0,120.62,1233.47
game1,8,5.34,53486.8,2000.0,137.23,734.51
game1,16,3.05,100145.2,2000.0,167.37,512.55
game1,32,2.23,193918.8,2000.0,181.46,406.15
