Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
enwik8,1,24.1,9748.0,29014637.0,14.07,0.5838174273858922,1200.0,91.25,2199.07
enwik8,1,24.05,9644.0,29014637.0,14.07,0.5850311850311851,1200.0,91.42,2198.79
enwik8,1,23.9,9372.0,29014637.0,14.07,0.588702928870293,1200.0,91.16,2178.54
enwik8,1,23.67,9376.0,29014637.0,14.07,0.5944233206590621,1200.0,91.08,2157.61
enwik8,1,24.19,9616.0,29014637.0,14.07,0.5816453079785034,1200.0,91.19,2206.81
enwik8,1,23.89,8880.0,29014637.0,14.07,0.5889493511929678,1200.0,91.14,2177.97
enwik8,1,23.89,9640.0,29014637.0,4.28,0.1791544579321892,1200.0,91.14,2178.28
enwik8,1,24.2,9752.0,29014637.0,4.28,0.17685950413223142,1200.0,91.13,2205.12
enwik8,1,24.29,9736.0,29014637.0,4.28,0.1762041992589543,1200.0,91.19,2215.78
enwik8,1,24.14,9640.0,29014637.0,4.28,0.17729908864954433,1200.0,91.19,2202.03
enwik8,2,12.1,20116.0,29014637.0,4.28,0.35371900826446284,1200.0,94.63,1144.75
enwik8,2,11.95,20984.0,29014637.0,4.28,0.3581589958158996,1200.0,95.14,1137.01
enwik8,2,12.1,20116.0,29014637.0,7.3,0.6033057851239669,1200.0,94.63,1145.07
enwik8,2,12.1,20112.0,29014637.0,7.3,0.6033057851239669,1200.0,94.47,1143.07
enwik8,2,12.09,20112.0,29014637.0,7.3,0.6038047973531845,1200.0,94.39,1142.11
enwik8,2,12.12,20520.0,29014637.0,7.3,0.6023102310231023,1200.0,94.65,1150.22
enwik8,2,12.1,20112.0,29014637.0,7.3,0.6033057851239669,1200.0,94.65,1145.28
enwik8,2,12.1,21056.0,29014637.0,7.3,0.6033057851239669,1200.0,94.71,1145.97
enwik8,2,12.1,20112.0,29014637.0,3.45,0.2851239669421488,1200.0,94.94,1153.36
