Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
cr_audio1.wav,1,20.44,2475.6,196800178.0,2.08,0.10176125244618395,1200.0,99.7,2037.7
cr_audio1.wav,2,10.34,3755.2,196800178.0,2.08,0.20116054158607352,1200.0,103.92,1075.1
cr_audio1.wav,3,6.92,4525.6,196800178.0,2.08,0.30057803468208094,1200.0,106.92,740.42
cr_audio1.wav,4,5.21,5350.0,196800178.0,2.08,0.399232245681382,1200.0,109.76,581.37
cr_audio1.wav,5,4.25,6077.6,196800178.0,2.08,0.4894117647058824,1200.0,112.62,478.25
cr_audio1.wav,6,3.51,6789.2,196800178.0,2.08,0.5925925925925927,1200.0,116.21,409.89
cr_audio1.wav,7,3.04,7592.8,196800178.0,0.63,0.20723684210526316,1200.0,119.05,361.87
cr_audio1.wav,8,2.72,8526.8,196800178.0,0.63,0.2316176470588235,1200.0,121.57,332.32
cr_audio1.wav,9,2.42,9121.2,196800178.0,0.63,0.2603305785123967,1200.0,123.79,301.96
cr_audio1.wav,10,2.17,10062.0,196800178.0,0.63,0.2903225806451613,1200.0,126.75,276.53
cr_audio1.wav,11,1.99,10762.4,196800178.0,0.63,0.3165829145728643,1200.0,128.6,258.11
cr_audio1.wav,12,1.84,11549.2,196800178.0,0.63,0.34239130434782605,1200.0,130.96,243.11
cr_audio1.wav,13,1.7,12165.2,196800178.0,1.08,0.6352941176470589,1200.0,133.11,228.59
cr_audio1.wav,14,1.59,13067.2,196800178.0,1.08,0.6792452830188679,1200.0,135.11,215.41
cr_audio1.wav,15,1.51,13966.8,196800178.0,1.08,0.7152317880794702,1200.0,136.33,206.82
cr_audio1.wav,16,1.43,14786.0,196800178.0,1.08,0.7552447552447553,1200.0,137.9,198.08
cr_audio1.wav,17,1.42,15926.8,196800178.0,1.08,0.7605633802816902,1200.0,137.84,199.45
cr_audio1.wav,18,1.4,16862.8,196800178.0,1.08,0.7714285714285716,1200.0,138.02,195.8
cr_audio1.wav,19,1.37,17622.8,196800178.0,0.51,0.3722627737226277,1200.0,138.18,192.53
cr_audio1.wav,20,1.36,18842.0,196800178.0,0.51,0.375,1200.0,138.35,190.86
cr_audio1.wav,21,1.34,19466.8,196800178.0,0.51,0.3805970149253731,1200.0,138.39,188.08
cr_audio1.wav,22,1.32,20098.4,196800178.0,0.51,0.38636363636363635,1200.0,138.91,184.35
cr_audio1.wav,23,1.3,20670.4,196800178.0,0.51,0.3923076923076923,1200.0,138.84,183.71
cr_audio1.wav,24,1.28,21412.4,196800178.0,0.51,0.3984375,1200.0,139.07,180.56
cr_audio1.wav,25,1.26,22631.2,196800178.0,5.08,4.031746031746032,1200.0,139.37,179.15
cr_audio1.wav,26,1.25,23338.4,196800178.0,5.08,4.064,1200.0,139.87,175.2
cr_audio1.wav,27,1.23,23621.6,196800178.0,5.08,4.130081300813008,1200.0,139.64,174.95
cr_audio1.wav,28,1.22,24254.4,196800178.0,5.08,4.163934426229508,1200.0,140.13,172.13
cr_audio1.wav,29,1.21,25278.8,196800178.0,5.08,4.198347107438017,1200.0,140.21,171.63
cr_audio1.wav,30,1.19,26124.4,196800178.0,5.08,4.26890756302521,1200.0,140.51,169.13
cr_audio1.wav,31,1.18,27104.8,196800178.0,3.56,3.0169491525423733,1200.0,140.82,166.65
cr_audio1.wav,32,1.19,28894.0,196800178.0,3.56,2.991596638655462,1200.0,140.19,169.32
cr_audio1.wav,1,18.75,2499.6,196800178.0,3.56,0.18986666666666666,1300.0,100.42,1884.24
cr_audio1.wav,2,9.5,3768.0,196800178.0,3.56,0.37473684210526315,1300.0,105.45,1003.4
cr_audio1.wav,3,6.38,4547.6,196800178.0,3.56,0.5579937304075235,1300.0,109.25,698.19
cr_audio1.wav,4,4.79,5313.2,196800178.0,3.56,0.7432150313152401,1300.0,112.21,539.28
cr_audio1.wav,5,3.86,6017.2,196800178.0,2.08,0.538860103626943,1300.0,115.92,448.27
cr_audio1.wav,6,3.25,6785.6,196800178.0,2.08,0.64,1300.0,119.44,389.93
cr_audio1.wav,7,2.81,7599.2,196800178.0,2.08,0.7402135231316727,1300.0,122.09,342.9
cr_audio1.wav,8,2.46,8313.2,196800178.0,2.08,0.8455284552845529,1300.0,125.21,309.97
cr_audio1.wav,9,2.27,9347.6,196800178.0,2.08,0.9162995594713657,1300.0,126.95,289.26
cr_audio1.wav,10,2.0,9858.0,196800178.0,2.08,1.04,1300.0,129.69,261.42
cr_audio1.wav,11,1.84,10751.6,196800178.0,0.63,0.34239130434782605,1300.0,132.23,244.95
cr_audio1.wav,12,1.81,11522.8,196800178.0,0.63,0.34806629834254144,1300.0,133.82,243.32
cr_audio1.wav,13,1.57,12520.0,196800178.0,0.63,0.40127388535031844,1300.0,136.95,218.9
cr_audio1.wav,14,1.47,13131.6,196800178.0,0.63,0.4285714285714286,1300.0,139.37,206.42
cr_audio1.wav,15,1.39,14088.4,196800178.0,0.63,0.45323741007194246,1300.0,140.68,197.09
cr_audio1.wav,16,1.32,14918.8,196800178.0,0.63,0.47727272727272724,1300.0,142.44,190.67
cr_audio1.wav,17,1.3,16038.0,196800178.0,1.08,0.8307692307692308,1300.0,142.82,187.01
cr_audio1.wav,18,1.29,17167.2,196800178.0,1.08,0.8372093023255814,1300.0,142.67,186.61
cr_audio1.wav,19,1.27,18044.8,196800178.0,1.08,0.8503937007874016,1300.0,143.01,182.54
cr_audio1.wav,20,1.25,18392.4,196800178.0,1.08,0.8640000000000001,1300.0,142.89,182.11
cr_audio1.wav,21,1.24,19213.2,196800178.0,1.08,0.870967741935484,1300.0,143.12,179.56
cr_audio1.wav,22,1.22,20044.4,196800178.0,1.08,0.8852459016393444,1300.0,143.57,177.28
cr_audio1.wav,23,1.2,20946.8,196800178.0,0.51,0.42500000000000004,1300.0,143.71,175.26
cr_audio1.wav,24,1.18,21783.6,196800178.0,0.51,0.4322033898305085,1300.0,143.9,174.0
cr_audio1.wav,25,1.17,22220.0,196800178.0,0.51,0.43589743589743596,1300.0,143.87,172.8
cr_audio1.wav,26,1.16,23209.6,196800178.0,0.51,0.43965517241379315,1300.0,144.63,168.98
cr_audio1.wav,27,1.14,23494.8,196800178.0,0.51,0.44736842105263164,1300.0,144.51,167.57
cr_audio1.wav,28,1.12,24189.6,196800178.0,0.51,0.45535714285714285,1300.0,145.16,164.0
cr_audio1.wav,29,1.15,25327.6,196800178.0,5.08,4.417391304347826,1300.0,143.75,167.23
cr_audio1.wav,30,1.09,25746.0,196800178.0,5.08,4.660550458715596,1300.0,145.25,160.28
cr_audio1.wav,31,1.08,26734.0,196800178.0,5.08,4.703703703703703,1300.0,145.37,158.87
cr_audio1.wav,32,1.09,28079.2,196800178.0,5.08,4.660550458715596,1300.0,145.44,158.85
cr_audio1.wav,1,17.53,2507.2,196800178.0,5.08,0.28978893325727323,1400.0,100.87,1769.02
cr_audio1.wav,2,8.83,3792.8,196800178.0,5.08,0.5753114382785957,1400.0,106.7,942.88
cr_audio1.wav,3,5.93,4541.6,196800178.0,3.56,0.6003372681281619,1400.0,110.93,659.14
cr_audio1.wav,4,4.57,5312.0,196800178.0,3.56,0.7789934354485777,1400.0,114.21,523.13
cr_audio1.wav,5,3.6,6022.8,196800178.0,3.56,0.9888888888888889,1400.0,118.59,427.05
cr_audio1.wav,6,3.01,6826.0,196800178.0,3.56,1.1827242524916945,1400.0,121.83,367.78
cr_audio1.wav,7,2.6,7613.2,196800178.0,3.56,1.3692307692307693,1400.0,125.19,327.25
cr_audio1.wav,8,2.29,8378.8,196800178.0,3.56,1.554585152838428,1400.0,127.43,291.5
cr_audio1.wav,9,2.09,9066.8,196800178.0,2.08,0.9952153110047848,1400.0,130.13,273.71
cr_audio1.wav,10,1.85,10108.0,196800178.0,2.08,1.1243243243243244,1400.0,133.28,249.95
cr_audio1.wav,11,1.7,10755.2,196800178.0,2.08,1.223529411764706,1400.0,136.21,233.64
cr_audio1.wav,12,1.56,11601.6,196800178.0,2.08,1.3333333333333333,1400.0,138.53,217.71
cr_audio1.wav,13,1.45,12162.8,196800178.0,2.08,1.4344827586206899,1400.0,141.4,205.84
cr_audio1.wav,14,1.36,12951.6,196800178.0,2.08,1.5294117647058822,1400.0,143.45,195.73
cr_audio1.wav,15,1.28,13805.6,196800178.0,0.63,0.4921875,1400.0,145.85,188.58
cr_audio1.wav,16,1.22,14706.4,196800178.0,0.63,0.5163934426229508,1400.0,147.39,182.55
cr_audio1.wav,17,1.27,15994.8,196800178.0,0.63,0.49606299212598426,1400.0,145.72,191.25
cr_audio1.wav,18,1.19,17067.6,196800178.0,0.63,0.5294117647058824,1400.0,145.49,188.82
cr_audio1.wav,19,1.18,17803.6,196800178.0,0.63,0.5338983050847458,1400.0,147.4,177.33
cr_audio1.wav,20,1.16,18385.2,196800178.0,0.63,0.5431034482758621,1400.0,147.81,173.55
cr_audio1.wav,21,1.15,19854.4,196800178.0,1.08,0.9391304347826088,1400.0,148.04,172.29
cr_audio1.wav,22,1.13,20204.8,196800178.0,1.08,0.9557522123893807,1400.0,147.98,170.59
cr_audio1.wav,23,1.11,20931.2,196800178.0,1.08,0.9729729729729729,1400.0,148.33,168.03
cr_audio1.wav,24,1.1,21701.6,196800178.0,1.08,0.9818181818181818,1400.0,148.43,166.04
cr_audio1.wav,25,1.08,22504.0,196800178.0,1.08,1.0,1400.0,148.75,163.71
cr_audio1.wav,26,1.07,22873.2,196800178.0,1.08,1.0093457943925235,1400.0,149.13,162.28
cr_audio1.wav,27,1.06,23672.8,196800178.0,0.51,0.4811320754716981,1400.0,149.97,158.85
cr_audio1.wav,28,1.04,24346.8,196800178.0,0.51,0.49038461538461536,1400.0,149.78,158.38
cr_audio1.wav,29,1.1,24967.2,196800178.0,0.51,0.4636363636363636,1400.0,148.69,164.13
cr_audio1.wav,30,1.02,25708.8,196800178.0,0.51,0.5,1400.0,150.12,154.44
cr_audio1.wav,31,1.01,26462.4,196800178.0,0.51,0.504950495049505,1400.0,149.89,154.43
cr_audio1.wav,32,1.01,28127.2,196800178.0,0.51,0.504950495049505,1400.0,149.65,155.09
