Name,TR,TIM,MEM,FR,POW,EN
app4,1,7.03,898.4,1200.0,93.88,661.12
app4,2,5.54,1227.2,1200.0,98.33,548.25
app4,4,5.42,1228.4,1200.0,98.51,535.45
app4,8,5.3,1028.0,1200.0,98.06,520.73
app4,16,5.4,1027.6,1200.0,98.25,532.54
app4,32,5.41,1027.6,1200.0,98.43,533.39
app4,1,5.56,895.2,1600.0,96.42,537.23
app4,2,4.36,1023.2,1600.0,102.75,451.37
app4,4,4.28,1022.8,1600.0,102.9,440.92
app4,8,4.41,1023.6,1600.0,102.45,454.05
app4,16,4.37,1024.0,1600.0,102.71,449.57
app4,32,4.4,1023.2,1600.0,101.91,451.73
app4,1,5.01,895.6,1800.0,97.98,490.9
app4,2,3.98,1023.6,1800.0,104.12,415.68
app4,4,4.03,1022.8,1800.0,104.37,422.35
app4,8,4.03,1023.6,1800.0,104.25,422.03
app4,16,4.02,1023.2,1800.0,104.64,423.02
app4,32,4.04,1024.0,1800.0,104.0,421.48
app4,1,4.32,895.2,2200.0,105.62,456.66
app4,2,3.45,1023.2,2200.0,109.65,380.18
app4,4,3.37,1023.2,2200.0,108.56,367.76
app4,8,3.51,1022.8,2200.0,111.45,392.68
app4,16,3.47,1023.2,2200.0,109.02,378.28
app4,32,3.47,1023.6,2200.0,109.49,380.69
app4,1,3.96,895.6,2400.0,102.91,407.49
app4,2,3.13,1023.2,2400.0,113.41,357.08
app4,4,3.28,1023.6,2400.0,112.07,369.75
app4,8,3.22,1023.2,2400.0,111.72,361.9
app4,16,3.25,1022.8,2400.0,112.93,367.52
app4,32,3.29,1023.2,2400.0,110.93,365.42
app4,1,3.7,896.8,2700.0,105.35,390.98
app4,2,3.03,1223.6,2700.0,117.28,356.59
app4,4,2.96,1023.2,2700.0,117.74,350.0
app4,8,3.01,1023.6,2700.0,116.94,354.36
app4,16,3.04,1022.4,2700.0,118.49,359.59
app4,32,2.98,1022.8,2700.0,117.5,351.7
app4,1,2.89,895.2,2901.0,125.01,364.32
app4,2,2.48,1023.2,2901.0,149.33,370.6
app4,4,2.5,1023.2,2901.0,146.85,369.75
app4,8,2.5,1023.2,2901.0,144.23,362.87
app4,16,2.5,1023.2,2901.0,149.59,377.05
app4,32,2.5,1022.8,2901.0,147.76,370.28
app4,1,6.62,896.4,1300.0,94.23,627.02
app4,2,5.03,1023.2,1300.0,99.4,500.92
app4,4,5.04,1023.6,1300.0,99.25,500.63
app4,8,5.13,1022.8,1300.0,99.16,508.66
app4,16,5.01,1023.2,1300.0,99.21,497.68
app4,32,5.03,1023.2,1300.0,99.12,499.81
app4,1,5.31,895.6,1700.0,96.35,513.66
app4,2,4.18,1024.0,1700.0,103.2,432.04
app4,4,4.13,1022.4,1700.0,103.63,429.02
app4,8,4.22,1023.6,1700.0,103.9,438.61
app4,16,4.22,1023.6,1700.0,103.72,437.83
app4,32,4.24,1024.0,1700.0,103.42,440.85
app4,1,4.92,894.4,1900.0,99.56,490.77
app4,2,3.84,1024.0,1900.0,107.0,410.93
app4,4,3.9,1023.2,1900.0,106.7,417.05
app4,8,3.88,1024.4,1900.0,106.51,413.83
app4,16,3.9,1023.2,1900.0,106.54,415.32
app4,32,3.9,1023.6,1900.0,106.6,417.61
app4,1,4.27,895.2,2300.0,103.04,440.54
app4,2,3.42,1024.0,2300.0,112.03,383.32
app4,4,3.41,1222.4,2300.0,112.19,383.3
app4,8,3.39,1023.6,2300.0,112.29,382.23
app4,16,3.4,1024.0,2300.0,111.54,380.85
app4,32,3.41,1023.2,2300.0,112.45,384.86
app4,1,3.9,895.6,2500.0,103.63,405.17
app4,2,3.18,1022.8,2500.0,115.22,369.23
app4,4,3.24,1023.6,2500.0,115.67,374.16
app4,8,3.18,1023.6,2500.0,116.45,373.11
app4,16,3.24,1023.6,2500.0,116.11,377.21
app4,32,3.23,1023.2,2500.0,115.29,372.19
app4,1,3.64,895.2,2800.0,106.98,390.24
app4,2,2.97,1023.2,2800.0,121.28,361.29
app4,4,3.0,1023.2,2800.0,120.6,363.05
app4,8,3.0,1022.8,2800.0,121.71,363.87
app4,16,2.95,1022.4,2800.0,121.35,359.33
app4,32,3.08,1223.6,2800.0,122.03,375.89
app4,1,6.19,896.0,1400.0,94.94,588.47
app4,2,4.93,1023.6,1400.0,100.16,495.06
app4,4,4.87,1023.2,1400.0,100.42,489.24
app4,8,4.72,1022.8,1400.0,100.35,473.72
app4,16,4.76,1023.2,1400.0,100.61,480.28
app4,32,4.89,1022.8,1400.0,100.27,491.5
app4,1,3.57,896.0,2900.0,109.02,389.05
app4,2,2.92,1023.2,2900.0,123.02,360.46
app4,4,2.91,1023.2,2900.0,124.84,362.45
app4,8,2.84,1022.8,2900.0,122.75,349.84
app4,16,2.95,1024.0,2900.0,123.82,364.76
app4,32,2.8,1024.4,2900.0,125.45,350.68
app4,1,4.6,894.8,2000.0,100.43,461.46
app4,2,3.69,1024.0,2000.0,108.91,403.14
app4,4,3.72,1022.8,2000.0,108.56,405.15
app4,8,3.76,1022.8,2000.0,108.5,408.32
app4,16,3.74,1024.0,2000.0,108.21,406.13
app4,32,3.75,1023.6,2000.0,108.5,409.29
