Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,18.68,896.0,1200.0,93.5,1748.73
enwik9,1,17.41,900.0,1200.0,94.06,1660.43
enwik9,1,18.61,896.0,1200.0,94.7,1762.01
enwik9,1,18.68,900.0,1200.0,93.64,1751.32
enwik9,1,17.5,896.0,1200.0,94.06,1645.61
enwik9,1,18.58,900.0,1200.0,94.56,1758.64
enwik9,1,18.74,896.0,1200.0,93.4,1751.64
enwik9,1,18.76,900.0,1200.0,93.55,1759.09
enwik9,1,15.86,900.0,1200.0,95.08,1508.11
enwik9,1,18.62,900.0,1200.0,93.44,1743.15
enwik9,2,12.24,1028.0,1200.0,98.83,1210.17
enwik9,2,14.73,1024.0,1200.0,97.7,1441.58
enwik9,2,14.2,1024.0,1200.0,97.11,1383.78
enwik9,2,14.78,1028.0,1200.0,97.55,1444.06
enwik9,2,14.37,1028.0,1200.0,97.07,1393.13
enwik9,2,14.39,1028.0,1200.0,97.61,1405.93
enwik9,2,14.44,1024.0,1200.0,96.99,1400.92
enwik9,2,14.57,1028.0,1200.0,98.4,1432.16
enwik9,2,14.28,1028.0,1200.0,97.13,1389.25
enwik9,2,14.53,1028.0,1200.0,97.12,1408.75
enwik9,4,14.49,1028.0,1200.0,97.52,1415.5
enwik9,4,14.53,3028.0,1200.0,97.92,1425.17
enwik9,4,14.45,1028.0,1200.0,97.03,1402.02
enwik9,4,14.55,1028.0,1200.0,97.06,1412.6
enwik9,4,13.71,1028.0,1200.0,96.68,1349.43
enwik9,4,14.58,1024.0,1200.0,97.96,1426.7
enwik9,4,14.37,1028.0,1200.0,96.86,1395.31
enwik9,4,14.39,1028.0,1200.0,96.93,1395.71
enwik9,4,13.83,1024.0,1200.0,98.23,1361.06
enwik9,4,14.51,1028.0,1200.0,97.52,1419.46
enwik9,8,14.35,1028.0,1200.0,97.37,1396.59
enwik9,8,12.81,1028.0,1200.0,99.03,1272.99
enwik9,8,14.57,1028.0,1200.0,98.25,1433.51
enwik9,8,13.33,1028.0,1200.0,97.65,1298.9
enwik9,8,14.46,1028.0,1200.0,96.24,1395.91
enwik9,8,12.42,1024.0,1200.0,98.45,1226.01
enwik9,8,14.37,1028.0,1200.0,97.31,1401.61
enwik9,8,14.4,1024.0,1200.0,97.21,1400.38
enwik9,8,14.61,1028.0,1200.0,97.25,1424.93
enwik9,8,14.72,1028.0,1200.0,98.18,1458.74
enwik9,16,14.38,1028.0,1200.0,97.54,1404.95
enwik9,16,13.83,1028.0,1200.0,97.61,1352.58
enwik9,16,14.69,1028.0,1200.0,97.13,1428.41
enwik9,16,11.48,1024.0,1200.0,98.34,1131.71
enwik9,16,14.52,1028.0,1200.0,97.88,1419.49
enwik9,16,11.92,1028.0,1200.0,98.24,1174.45
enwik9,16,14.57,1028.0,1200.0,98.36,1455.95
enwik9,16,12.97,1028.0,1200.0,98.92,1286.56
enwik9,16,14.63,1028.0,1200.0,96.79,1418.51
enwik9,16,13.57,1028.0,1200.0,97.66,1323.27
enwik9,32,14.39,1028.0,1200.0,97.35,1402.2
enwik9,32,14.36,1028.0,1200.0,96.64,1387.05
enwik9,32,14.46,1028.0,1200.0,97.07,1403.13
enwik9,32,11.95,1024.0,1200.0,99.61,1190.89
enwik9,32,14.59,1028.0,1200.0,96.83,1413.93
enwik9,32,14.63,1028.0,1200.0,98.23,1463.97
enwik9,32,14.43,1028.0,1200.0,97.38,1407.73
enwik9,32,11.87,1028.0,1200.0,98.14,1168.46
enwik9,32,14.4,1028.0,1200.0,97.54,1405.17
enwik9,32,14.33,1028.0,1200.0,97.39,1398.23
enwik9,1,14.66,896.0,1600.0,95.17,1394.37
enwik9,1,14.67,892.0,1600.0,95.03,1392.28
enwik9,1,14.57,896.0,1600.0,95.06,1387.72
enwik9,1,14.59,896.0,1600.0,95.03,1387.28
enwik9,1,14.53,896.0,1600.0,95.15,1379.89
enwik9,1,14.52,896.0,1600.0,95.62,1390.97
enwik9,1,14.68,896.0,1600.0,94.96,1396.08
enwik9,1,14.54,892.0,1600.0,95.16,1384.78
enwik9,1,14.06,896.0,1600.0,95.43,1340.83
enwik9,1,14.66,896.0,1600.0,94.96,1395.99
enwik9,2,11.39,1020.0,1600.0,101.19,1154.02
enwik9,2,11.59,1024.0,1600.0,101.3,1175.36
enwik9,2,10.57,1024.0,1600.0,101.94,1080.89
enwik9,2,12.23,1024.0,1600.0,99.98,1225.09
enwik9,2,9.95,1024.0,1600.0,102.13,1016.09
enwik9,2,11.45,1024.0,1600.0,99.23,1136.61
enwik9,2,11.43,1020.0,1600.0,100.83,1154.55
enwik9,2,11.48,1024.0,1600.0,101.28,1159.83
enwik9,2,11.66,1024.0,1600.0,102.4,1198.25
enwik9,2,10.7,1024.0,1600.0,101.36,1084.91
enwik9,4,11.57,1024.0,1600.0,100.35,1158.83
enwik9,4,8.8,1024.0,1600.0,105.38,927.58
enwik9,4,11.86,1024.0,1600.0,101.82,1206.54
enwik9,4,11.58,1020.0,1600.0,100.99,1170.54
enwik9,4,11.47,1024.0,1600.0,100.53,1151.37
enwik9,4,11.7,1024.0,1600.0,101.94,1193.48
enwik9,4,11.48,1024.0,1600.0,99.47,1139.14
enwik9,4,11.47,1024.0,1600.0,99.35,1137.7
enwik9,4,9.49,1024.0,1600.0,102.94,978.29
enwik9,4,11.49,1024.0,1600.0,101.07,1162.41
enwik9,8,11.4,1024.0,1600.0,100.98,1151.13
enwik9,8,11.57,1024.0,1600.0,100.35,1159.38
enwik9,8,11.65,1024.0,1600.0,101.51,1182.92
enwik9,8,9.53,1024.0,1600.0,103.82,991.57
enwik9,8,11.59,1024.0,1600.0,99.24,1146.14
enwik9,8,11.53,1024.0,1600.0,101.15,1168.34
enwik9,8,11.55,1020.0,1600.0,100.36,1184.46
enwik9,8,11.53,1024.0,1600.0,100.91,1165.57
enwik9,8,10.2,1024.0,1600.0,102.11,1041.66
enwik9,8,11.76,1024.0,1600.0,100.36,1184.36
enwik9,16,11.49,1024.0,1600.0,101.42,1166.81
enwik9,16,11.51,1024.0,1600.0,101.16,1163.45
enwik9,16,11.66,1020.0,1600.0,101.97,1187.92
enwik9,16,9.92,1024.0,1600.0,102.26,1012.65
