Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,18.14,898.4,1200.0,94.0,1708.87
enwik9,2,14.25,1026.8,1200.0,97.55,1390.97
enwik9,4,14.34,1227.2,1200.0,97.37,1400.3
enwik9,8,14.0,1027.2,1200.0,97.69,1370.96
enwik9,16,13.66,1027.6,1200.0,97.85,1339.59
enwik9,32,13.94,1027.6,1200.0,97.62,1364.08
enwik9,1,14.55,895.2,1600.0,95.16,1385.02
enwik9,2,11.25,1023.2,1600.0,101.17,1138.56
enwik9,4,11.09,1023.6,1600.0,101.38,1122.59
enwik9,8,11.23,1023.6,1600.0,101.08,1137.55
enwik9,16,11.33,1022.0,1600.0,101.36,1148.7
enwik9,32,11.37,1023.6,1600.0,102.0,1161.54
enwik9,1,13.02,895.2,1800.0,96.94,1261.92
enwik9,2,10.45,1022.8,1800.0,104.08,1090.52
enwik9,4,10.57,1024.0,1800.0,104.22,1105.04
enwik9,8,10.3,1023.6,1800.0,104.16,1072.21
enwik9,16,10.4,1023.6,1800.0,103.93,1080.37
enwik9,32,10.49,1023.6,1800.0,103.47,1086.0
enwik9,1,10.87,894.4,2200.0,100.86,1095.62
enwik9,2,8.86,1023.2,2200.0,108.61,970.56
enwik9,4,9.03,1023.6,2200.0,108.74,986.85
enwik9,8,9.19,1022.0,2200.0,109.51,1014.71
enwik9,16,9.08,1023.2,2200.0,109.68,995.84
enwik9,32,9.12,1023.6,2200.0,109.29,1001.68
enwik9,1,10.24,894.8,2400.0,101.52,1042.46
enwik9,2,8.75,1023.6,2400.0,110.46,968.77
enwik9,4,8.28,1023.2,2400.0,112.59,932.29
enwik9,8,8.71,1022.4,2400.0,110.05,959.73
enwik9,16,8.84,1024.0,2400.0,110.99,982.16
enwik9,32,8.54,1023.6,2400.0,111.7,957.25
enwik9,1,9.39,894.8,2700.0,104.47,979.85
enwik9,2,7.99,1023.2,2700.0,113.84,912.28
enwik9,4,8.04,1023.2,2700.0,116.48,938.02
enwik9,8,7.78,1023.6,2700.0,115.68,897.6
enwik9,16,8.07,1022.8,2700.0,115.79,934.36
enwik9,32,8.11,1023.6,2700.0,116.2,942.34
