Name,TR,TIM,MEM,FR,POW,EN
game1,1,12.21,892.0,1200.0,92.99,1135.12
game1,1,12.85,892.0,1200.0,92.8,1197.51
game1,1,12.02,892.0,1200.0,94.31,1131.72
game1,1,12.7,892.0,1200.0,93.2,1183.62
game1,1,11.83,888.0,1200.0,93.62,1104.85
game1,1,12.65,888.0,1200.0,93.04,1176.83
game1,1,11.39,892.0,1200.0,93.74,1063.85
game1,1,12.86,892.0,1200.0,92.85,1199.05
game1,1,12.05,892.0,1200.0,93.58,1128.89
game1,1,13.24,892.0,1200.0,92.92,1231.81
game1,2,8.49,1028.0,1200.0,99.58,841.8
game1,2,9.79,1024.0,1200.0,98.3,963.65
game1,2,9.96,1032.0,1200.0,98.11,976.68
game1,2,9.58,1028.0,1200.0,97.85,940.16
game1,2,9.82,1028.0,1200.0,97.45,960.23
game1,2,9.7,1028.0,1200.0,98.69,957.8
game1,2,10.09,1028.0,1200.0,98.72,997.28
game1,2,9.69,1028.0,1200.0,97.85,954.59
game1,2,8.67,1028.0,1200.0,99.61,867.11
game1,2,9.79,1024.0,1200.0,98.36,964.33
game1,4,9.72,1028.0,1200.0,97.22,948.37
game1,4,9.77,1024.0,1200.0,98.03,961.27
game1,4,9.76,1028.0,1200.0,97.94,954.41
game1,4,9.91,1028.0,1200.0,97.75,967.93
game1,4,9.88,1028.0,1200.0,97.27,962.67
game1,4,9.73,1024.0,1200.0,98.32,959.11
game1,4,8.5,1028.0,1200.0,99.57,847.72
game1,4,9.76,1028.0,1200.0,97.88,954.63
game1,4,9.83,1028.0,1200.0,97.94,965.05
game1,4,9.63,1028.0,1200.0,97.57,942.06
game1,8,9.85,1028.0,1200.0,98.28,967.62
game1,8,9.18,1028.0,1200.0,97.36,896.26
game1,8,9.66,1028.0,1200.0,96.82,934.86
game1,8,9.94,1028.0,1200.0,98.36,979.02
game1,8,8.91,1028.0,1200.0,97.99,892.3
game1,8,9.92,1028.0,1200.0,97.0,965.7
game1,8,9.83,3036.0,1200.0,95.95,945.24
game1,8,10.09,1032.0,1200.0,97.48,984.8
game1,8,9.8,1024.0,1200.0,96.82,948.59
game1,8,9.79,1028.0,1200.0,98.14,962.18
game1,16,9.68,1024.0,1200.0,97.45,945.68
game1,16,9.91,1028.0,1200.0,98.67,976.92
game1,16,8.48,1028.0,1200.0,99.16,843.28
game1,16,9.9,1028.0,1200.0,98.61,976.75
game1,16,9.78,1028.0,1200.0,97.51,956.14
game1,16,9.51,1028.0,1200.0,98.76,938.67
game1,16,9.85,1028.0,1200.0,97.37,964.29
game1,16,9.21,1024.0,1200.0,98.09,902.7
game1,16,9.8,1024.0,1200.0,97.92,960.18
game1,16,9.81,1028.0,1200.0,98.8,974.44
game1,32,9.75,1028.0,1200.0,97.57,950.71
game1,32,9.9,3036.0,1200.0,98.24,973.71
game1,32,9.87,1024.0,1200.0,97.36,964.6
game1,32,8.51,1028.0,1200.0,99.36,849.54
game1,32,9.93,1028.0,1200.0,97.48,966.11
game1,32,9.81,1028.0,1200.0,98.6,966.73
game1,32,9.5,3032.0,1200.0,96.39,916.29
game1,32,9.67,1024.0,1200.0,97.37,939.89
game1,32,9.24,1028.0,1200.0,97.46,911.92
game1,32,9.83,1028.0,1200.0,97.25,958.26
game1,1,9.91,896.0,1600.0,95.76,953.01
game1,1,9.93,896.0,1600.0,95.97,950.07
game1,1,9.62,896.0,1600.0,97.14,937.47
game1,1,9.9,896.0,1600.0,95.66,947.27
game1,1,9.84,896.0,1600.0,96.06,946.11
game1,1,8.74,896.0,1600.0,97.03,849.27
game1,1,9.85,896.0,1600.0,96.44,945.07
game1,1,9.89,896.0,1600.0,95.88,949.2
game1,1,9.57,896.0,1600.0,96.31,924.58
game1,1,9.92,896.0,1600.0,95.69,951.95
game1,2,7.82,1020.0,1600.0,102.87,802.79
game1,2,7.98,1024.0,1600.0,100.54,804.59
game1,2,7.86,1024.0,1600.0,103.44,812.11
game1,2,7.66,1024.0,1600.0,101.31,775.17
game1,2,7.66,1024.0,1600.0,101.94,780.4
game1,2,7.88,1024.0,1600.0,103.01,829.72
game1,2,7.76,1024.0,1600.0,101.8,794.1
game1,2,6.47,1024.0,1600.0,104.96,682.58
game1,2,7.72,1020.0,1600.0,102.69,790.78
game1,2,7.65,1024.0,1600.0,100.68,770.3
game1,4,7.96,1024.0,1600.0,103.16,820.26
game1,4,7.84,1024.0,1600.0,102.91,808.0
game1,4,7.83,1024.0,1600.0,101.63,796.55
game1,4,7.82,1020.0,1600.0,100.91,792.37
game1,4,7.82,1024.0,1600.0,102.12,801.73
game1,4,7.74,1020.0,1600.0,100.68,780.44
game1,4,7.9,1024.0,1600.0,102.56,810.26
game1,4,6.19,1024.0,1600.0,103.37,641.09
game1,4,7.65,1024.0,1600.0,102.34,788.04
game1,4,7.75,1024.0,1600.0,101.55,787.17
game1,8,7.51,1024.0,1600.0,101.59,761.92
game1,8,7.84,1024.0,1600.0,102.39,803.83
game1,8,7.82,1024.0,1600.0,101.56,792.19
game1,8,7.88,1020.0,1600.0,102.02,809.75
game1,8,7.73,1024.0,1600.0,102.37,793.53
game1,8,7.84,1024.0,1600.0,101.97,799.97
game1,8,7.79,1024.0,1600.0,102.82,802.26
game1,8,6.37,1024.0,1600.0,104.74,665.48
game1,8,7.85,1024.0,1600.0,102.81,807.27
game1,8,7.91,1020.0,1600.0,100.65,796.88
game1,16,7.87,1024.0,1600.0,103.3,816.32
game1,16,7.86,1024.0,1600.0,103.02,808.85
