Name,TR,TIM,MEM,FR,POW,EN
app4,1,21.63,20363.6,1200.0,92.71,2007.38
app4,2,11.39,51347.2,1200.0,97.7,1113.55
app4,4,7.1,112582.8,1200.0,100.69,716.08
app4,8,4.54,267634.0,1200.0,106.16,483.38
app4,16,3.95,413330.4,1200.0,108.18,430.14
app4,32,3.67,522563.6,1200.0,109.14,401.55
cr_audio1.flac,1,25.76,18995.6,1200.0,90.94,2142.32
cr_audio1.flac,2,20.59,33972.4,1200.0,93.79,1978.44
cr_audio1.flac,4,14.96,76898.8,1200.0,95.37,1481.54
cr_audio1.flac,8,10.49,110015.6,1200.0,97.57,1066.28
cr_audio1.flac,16,7.33,139459.6,1200.0,100.19,771.02
cr_audio1.flac,32,5.38,205220.0,1200.0,103.97,575.73
cr_audio1.wav,1,39.46,26194.8,1200.0,94.33,3371.38
cr_audio1.wav,2,30.28,36170.8,1200.0,95.33,2975.81
cr_audio1.wav,4,20.69,74164.0,1200.0,97.2,2104.75
cr_audio1.wav,8,14.33,170102.8,1200.0,99.14,1481.75
cr_audio1.wav,16,9.85,201887.6,1200.0,101.88,1050.09
cr_audio1.wav,32,6.94,287687.2,1200.0,106.56,769.7
enwik8,1,6.19,17474.8,1200.0,94.28,593.12
enwik8,2,3.42,40116.8,1200.0,96.56,356.87
enwik8,4,2.24,85844.8,1200.0,99.6,234.55
enwik8,8,1.54,134236.0,1200.0,103.44,164.83
enwik8,16,1.46,134512.4,1200.0,104.13,156.64
enwik8,32,1.45,134516.8,1200.0,104.45,153.16
enwik9,1,56.19,25838.0,1200.0,93.85,4706.15
enwik9,2,30.34,45648.4,1200.0,97.47,3183.7
enwik9,4,17.37,103323.2,1200.0,100.71,1908.97
enwik9,8,11.06,246161.6,1200.0,106.31,1238.5
enwik9,16,7.92,491282.8,1200.0,112.83,906.29
enwik9,32,7.94,1038580.8,1200.0,111.96,886.97
game1,1,46.68,18578.4,1200.0,94.63,3983.41
game1,2,24.99,48842.4,1200.0,97.08,2633.51
game1,4,14.43,104020.8,1200.0,100.46,1553.93
game1,8,8.83,212916.4,1200.0,106.16,994.51
game1,16,6.15,449318.4,1200.0,112.7,725.22
game1,32,5.62,766431.2,1200.0,114.2,645.84
app4,1,16.32,20146.4,1600.0,97.49,1476.24
app4,2,8.6,60034.8,1600.0,102.23,945.83
app4,4,5.47,116294.4,1600.0,106.99,620.31
app4,8,3.71,265364.4,1600.0,112.29,439.49
app4,16,3.26,411023.2,1600.0,114.62,377.45
app4,32,2.84,513219.2,1600.0,117.18,340.61
cr_audio1.flac,1,19.35,18288.0,1600.0,97.49,1695.57
cr_audio1.flac,2,15.42,33944.4,1600.0,97.46,1542.59
cr_audio1.flac,4,11.28,76888.4,1600.0,100.04,1171.16
cr_audio1.flac,8,7.97,116322.4,1600.0,103.57,860.5
cr_audio1.flac,16,5.57,138068.0,1600.0,107.68,631.65
cr_audio1.flac,32,4.03,206000.4,1600.0,112.74,473.28
cr_audio1.wav,1,29.62,26197.2,1600.0,97.42,2594.48
cr_audio1.wav,2,22.8,36420.0,1600.0,98.31,2312.09
cr_audio1.wav,4,15.79,74859.6,1600.0,101.54,1670.14
cr_audio1.wav,8,10.76,170487.2,1600.0,105.3,1193.5
cr_audio1.wav,16,7.47,209031.6,1600.0,109.85,852.07
cr_audio1.wav,32,5.41,286044.4,1600.0,114.2,644.08
enwik8,1,4.67,17692.4,1600.0,97.69,465.26
enwik8,2,2.56,40314.0,1600.0,101.66,282.5
enwik8,4,1.72,85581.2,1600.0,105.97,192.41
enwik8,8,1.08,134236.0,1600.0,111.97,128.18
enwik8,16,1.01,134527.2,1600.0,114.03,117.65
enwik8,32,1.02,134652.0,1600.0,114.51,117.51
enwik9,1,42.6,25809.6,1600.0,97.69,3677.14
enwik9,2,23.02,48457.2,1600.0,102.0,2529.95
enwik9,4,14.06,102754.4,1600.0,106.64,1599.97
enwik9,8,9.35,254804.4,1600.0,112.61,1106.67
enwik9,16,7.1,501065.6,1600.0,116.83,858.49
enwik9,32,6.8,1027474.8,1600.0,118.4,810.91
game1,1,35.24,19036.0,1600.0,98.11,3103.92
game1,2,19.01,48344.8,1600.0,101.69,2085.38
game1,4,10.93,105070.0,1600.0,107.87,1265.83
game1,8,7.57,223249.6,1600.0,112.46,880.56
game1,16,5.27,447421.2,1600.0,119.76,665.65
game1,32,4.65,760636.0,1600.0,124.78,594.06
app4,1,14.65,20298.4,1800.0,99.71,1341.9
app4,2,7.92,55187.2,1800.0,104.05,885.53
app4,4,4.97,115021.2,1800.0,109.76,576.26
app4,8,3.44,277139.2,1800.0,115.49,415.53
app4,16,3.03,414047.2,1800.0,118.61,365.7
app4,32,2.67,516196.8,1800.0,121.4,330.73
cr_audio1.flac,1,17.27,18591.6,1800.0,99.39,1541.25
cr_audio1.flac,2,13.74,34008.8,1800.0,99.5,1402.82
cr_audio1.flac,4,10.02,76776.0,1800.0,102.43,1063.41
cr_audio1.flac,8,7.04,116961.2,1800.0,106.58,783.36
cr_audio1.flac,16,4.95,138916.4,1800.0,111.65,575.82
cr_audio1.flac,32,3.66,205545.2,1800.0,116.42,442.1
cr_audio1.wav,1,26.62,26404.0,1800.0,99.11,2371.12
cr_audio1.wav,2,20.45,36336.4,1800.0,100.02,2101.79
cr_audio1.wav,4,14.06,72637.6,1800.0,104.31,1532.23
cr_audio1.wav,8,9.68,165190.0,1800.0,108.48,1097.41
cr_audio1.wav,16,6.7,210577.2,1800.0,113.42,795.9
cr_audio1.wav,32,4.87,286551.6,1800.0,119.09,605.67
enwik8,1,4.14,17673.2,1800.0,99.56,421.55
enwik8,2,2.29,40332.8,1800.0,104.51,257.65
enwik8,4,1.51,85308.4,1800.0,109.86,174.95
enwik8,8,0.97,134416.4,1800.0,116.0,119.86
enwik8,16,0.92,133694.8,1800.0,118.28,112.72
enwik8,32,0.91,134357.2,1800.0,119.31,108.95
enwik9,1,37.76,25888.8,1800.0,99.25,3323.62
enwik9,2,21.17,47362.4,1800.0,104.08,2363.87
enwik9,4,12.62,105123.2,1800.0,110.25,1475.74
enwik9,8,8.84,246034.8,1800.0,114.66,1066.11
enwik9,16,6.45,505851.6,1800.0,124.41,828.51
enwik9,32,5.85,832358.8,1800.0,123.32,731.18
game1,1,30.97,19217.2,1800.0,100.06,2788.44
game1,2,17.1,48347.6,1800.0,104.08,1912.87
game1,4,10.11,103376.0,1800.0,110.62,1195.24
game1,8,6.83,220652.8,1800.0,116.22,834.18
game1,16,4.76,428997.6,1800.0,126.21,624.77
game1,32,4.52,744799.6,1800.0,130.02,593.92
app4,1,12.23,21447.6,2200.0,104.92,1181.38
app4,2,6.61,56576.8,2200.0,110.35,787.61
app4,4,4.26,114717.2,2200.0,116.2,522.98
app4,8,2.84,257460.8,2200.0,124.29,372.93
app4,16,2.58,402282.8,2200.0,126.32,332.37
app4,32,2.27,519905.2,2200.0,132.34,305.05
cr_audio1.flac,1,14.21,18588.8,2200.0,105.29,1335.75
cr_audio1.flac,2,11.29,33916.4,2200.0,104.87,1213.85
cr_audio1.flac,4,8.28,77150.0,2200.0,108.85,933.11
cr_audio1.flac,8,5.83,114540.0,2200.0,114.51,695.7
cr_audio1.flac,16,4.08,140810.4,2200.0,120.62,513.24
cr_audio1.flac,32,3.11,205483.2,2200.0,125.71,405.5
cr_audio1.wav,1,21.81,26116.0,2200.0,103.74,2037.5
cr_audio1.wav,2,16.75,36430.0,2200.0,105.7,1824.15
cr_audio1.wav,4,11.79,74200.0,2200.0,110.42,1353.41
cr_audio1.wav,8,8.11,170778.0,2200.0,116.44,985.15
cr_audio1.wav,16,5.58,209570.0,2200.0,122.17,719.09
cr_audio1.wav,32,4.11,287342.0,2200.0,131.54,553.67
enwik8,1,3.4,17693.2,2200.0,105.28,369.56
enwik8,2,1.88,40510.0,2200.0,112.27,226.3
enwik8,4,1.23,85613.2,2200.0,117.81,153.46
enwik8,8,0.81,134710.8,2200.0,125.36,108.85
enwik8,16,0.75,134503.6,2200.0,128.65,99.76
enwik8,32,0.74,134861.2,2200.0,129.48,97.58
enwik9,1,30.76,25710.8,2200.0,104.89,2848.87
enwik9,2,17.67,48020.4,2200.0,110.71,2108.15
enwik9,4,10.98,101852.4,2200.0,117.03,1352.81
enwik9,8,7.36,244619.6,2200.0,124.77,946.9
enwik9,16,5.96,513961.6,2200.0,133.11,817.72
enwik9,32,5.46,832818.0,2200.0,134.22,742.88
game1,1,26.56,18997.6,2200.0,104.59,2504.87
game1,2,14.57,48620.4,2200.0,111.55,1740.48
game1,4,8.51,105415.2,2200.0,118.53,1077.25
game1,8,5.74,216175.2,2200.0,125.35,756.4
game1,16,4.37,439589.6,2200.0,136.78,616.87
game1,32,3.77,728287.2,2200.0,139.02,536.59
app4,1,11.22,20261.6,2400.0,107.38,1107.79
app4,2,6.18,56368.0,2400.0,113.98,752.69
app4,4,3.93,113124.4,2400.0,121.31,502.82
app4,8,2.79,258456.0,2400.0,127.39,369.01
app4,16,2.45,402104.8,2400.0,130.88,330.06
app4,32,2.16,522052.0,2400.0,134.55,297.59
cr_audio1.flac,1,13.07,18334.0,2400.0,107.14,1251.5
cr_audio1.flac,2,10.41,33884.8,2400.0,107.28,1145.7
cr_audio1.flac,4,7.56,76974.0,2400.0,112.92,884.52
cr_audio1.flac,8,5.36,113532.0,2400.0,118.73,663.03
cr_audio1.flac,16,3.77,140254.8,2400.0,125.17,495.98
cr_audio1.flac,32,2.79,205638.8,2400.0,133.86,388.76
cr_audio1.wav,1,20.08,26014.8,2400.0,106.79,1906.51
cr_audio1.wav,2,15.57,36276.4,2400.0,108.17,1733.08
cr_audio1.wav,4,10.92,72989.6,2400.0,113.71,1297.29
cr_audio1.wav,8,7.62,171677.6,2400.0,120.05,953.2
cr_audio1.wav,16,5.19,206212.4,2400.0,127.58,692.53
cr_audio1.wav,32,3.84,285871.6,2400.0,135.53,539.79
enwik8,1,3.12,17582.4,2400.0,107.37,345.87
enwik8,2,1.73,40625.6,2400.0,115.41,215.73
enwik8,4,1.15,85620.0,2400.0,122.16,148.9
enwik8,8,0.75,134012.8,2400.0,130.91,104.85
enwik8,16,0.71,133956.4,2400.0,133.9,99.32
enwik8,32,0.69,134813.6,2400.0,135.83,97.44
enwik9,1,29.78,25812.4,2400.0,107.25,2799.16
enwik9,2,16.14,46352.0,2400.0,115.13,1992.55
enwik9,4,9.91,102786.0,2400.0,121.82,1292.06
enwik9,8,6.9,240667.6,2400.0,127.72,941.22
enwik9,16,5.81,510191.6,2400.0,139.86,803.08
enwik9,32,5.31,838465.2,2400.0,136.66,739.85
game1,1,24.21,21020.8,2400.0,107.19,2343.36
