Name,TR,TIM,MEM,FR,POW,EN
enwik9,1,56.19,25838.0,1200.0,93.85,4706.15
enwik9,2,30.34,45648.4,1200.0,97.47,3183.7
enwik9,4,17.37,103323.2,1200.0,100.71,1908.97
enwik9,8,11.06,246161.6,1200.0,106.31,1238.5
enwik9,16,7.92,491282.8,1200.0,112.83,906.29
enwik9,32,7.94,1038580.8,1200.0,111.96,886.97
enwik9,1,42.6,25809.6,1600.0,97.69,3677.14
enwik9,2,23.02,48457.2,1600.0,102.0,2529.95
enwik9,4,14.06,102754.4,1600.0,106.64,1599.97
enwik9,8,9.35,254804.4,1600.0,112.61,1106.67
enwik9,16,7.1,501065.6,1600.0,116.83,858.49
enwik9,32,6.8,1027474.8,1600.0,118.4,810.91
enwik9,1,37.76,25888.8,1800.0,99.25,3323.62
enwik9,2,21.17,47362.4,1800.0,104.08,2363.87
enwik9,4,12.62,105123.2,1800.0,110.25,1475.74
enwik9,8,8.84,246034.8,1800.0,114.66,1066.11
enwik9,16,6.45,505851.6,1800.0,124.41,828.51
enwik9,32,5.85,832358.8,1800.0,123.32,731.18
enwik9,1,30.76,25710.8,2200.0,104.89,2848.87
enwik9,2,17.67,48020.4,2200.0,110.71,2108.15
enwik9,4,10.98,101852.4,2200.0,117.03,1352.81
enwik9,8,7.36,244619.6,2200.0,124.77,946.9
enwik9,16,5.96,513961.6,2200.0,133.11,817.72
enwik9,32,5.46,832818.0,2200.0,134.22,742.88
enwik9,1,29.78,25812.4,2400.0,107.25,2799.16
enwik9,2,16.14,46352.0,2400.0,115.13,1992.55
enwik9,4,9.91,102786.0,2400.0,121.82,1292.06
enwik9,8,6.9,240667.6,2400.0,127.72,941.22
enwik9,16,5.81,510191.6,2400.0,139.86,803.08
enwik9,32,5.31,838465.2,2400.0,136.66,739.85
enwik9,1,26.5,26014.4,2700.0,111.54,2578.62
enwik9,2,14.32,48547.6,2700.0,120.67,1858.53
enwik9,4,9.19,104717.2,2700.0,128.69,1219.5
enwik9,8,6.92,251258.0,2700.0,131.77,959.8
enwik9,16,5.54,511486.8,2700.0,145.93,819.97
enwik9,32,5.08,846368.8,2700.0,145.25,746.44
enwik9,1,19.73,26654.4,2901.0,140.31,2376.27
enwik9,2,11.53,48963.2,2901.0,153.11,1871.84
enwik9,4,7.91,105384.8,2901.0,159.22,1321.06
enwik9,8,6.13,248828.0,2901.0,163.05,1032.25
enwik9,16,5.03,500140.0,2901.0,180.25,936.39
enwik9,32,4.58,838242.8,2901.0,169.38,787.29
enwik9,1,52.09,25746.8,1300.0,94.3,4391.86
enwik9,2,27.97,46532.4,1300.0,98.19,2967.31
enwik9,4,16.14,103546.8,1300.0,102.06,1765.65
enwik9,8,10.31,248264.8,1300.0,107.95,1167.79
enwik9,16,7.72,494249.6,1300.0,112.86,907.03
enwik9,32,7.32,1050508.8,1300.0,114.41,840.92
enwik9,1,40.17,25770.8,1700.0,98.16,3478.11
enwik9,2,22.05,48939.2,1700.0,102.7,2446.61
enwik9,4,13.48,104434.0,1700.0,108.3,1551.94
enwik9,8,8.76,248479.6,1700.0,114.21,1054.93
enwik9,16,6.76,480648.8,1700.0,119.96,837.96
enwik9,32,6.55,965457.2,1700.0,120.32,798.3
enwik9,1,36.15,25750.8,1900.0,101.51,3242.12
enwik9,2,20.18,47459.2,1900.0,105.62,2287.86
enwik9,4,12.12,102355.2,1900.0,112.08,1434.21
enwik9,8,8.07,244459.2,1900.0,118.4,1003.3
enwik9,16,6.21,495753.6,1900.0,125.86,801.53
enwik9,32,5.87,858842.8,1900.0,126.42,752.21
enwik9,1,30.92,25658.0,2300.0,106.96,2902.55
enwik9,2,17.08,45821.2,2300.0,113.11,2074.91
enwik9,4,10.64,104040.4,2300.0,119.99,1352.94
enwik9,8,7.49,252450.4,2300.0,126.53,990.43
enwik9,16,5.95,505481.2,2300.0,133.38,815.46
enwik9,32,5.43,857289.6,2300.0,136.01,746.41
enwik9,1,29.51,25911.6,2500.0,108.32,2786.74
enwik9,2,15.88,48037.6,2500.0,117.18,1998.25
enwik9,4,9.7,106202.8,2500.0,125.12,1290.55
enwik9,8,6.78,250172.8,2500.0,133.33,934.45
enwik9,16,5.7,519285.6,2500.0,139.82,819.4
enwik9,32,5.29,854583.6,2500.0,137.73,735.24
enwik9,1,26.04,26122.4,2800.0,113.41,2557.92
enwik9,2,14.66,45555.2,2800.0,121.2,1900.98
enwik9,4,9.01,108380.0,2800.0,131.23,1246.84
enwik9,8,6.63,244900.4,2800.0,135.58,936.68
enwik9,16,5.48,521911.6,2800.0,149.06,833.51
enwik9,32,5.0,837604.4,2800.0,152.35,779.77
enwik9,1,48.37,25706.0,1400.0,95.63,4096.52
enwik9,2,26.57,46250.8,1400.0,98.7,2844.05
enwik9,4,14.87,103578.4,1400.0,104.21,1646.65
enwik9,8,9.8,246189.2,1400.0,109.82,1128.99
enwik9,16,7.37,486586.8,1400.0,114.89,877.66
enwik9,32,7.27,1047333.6,1400.0,115.61,845.9
