Name,TR,TIM,MEM,FR,POW,EN
game1,1,46.68,18578.4,1200.0,94.63,3983.41
game1,2,24.99,48842.4,1200.0,97.08,2633.51
game1,4,14.43,104020.8,1200.0,100.46,1553.93
game1,8,8.83,212916.4,1200.0,106.16,994.51
game1,16,6.15,449318.4,1200.0,112.7,725.22
game1,32,5.62,766431.2,1200.0,114.2,645.84
game1,1,35.24,19036.0,1600.0,98.11,3103.92
game1,2,19.01,48344.8,1600.0,101.69,2085.38
game1,4,10.93,105070.0,1600.0,107.87,1265.83
game1,8,7.57,223249.6,1600.0,112.46,880.56
game1,16,5.27,447421.2,1600.0,119.76,665.65
game1,32,4.65,760636.0,1600.0,124.78,594.06
game1,1,30.97,19217.2,1800.0,100.06,2788.44
game1,2,17.1,48347.6,1800.0,104.08,1912.87
game1,4,10.11,103376.0,1800.0,110.62,1195.24
game1,8,6.83,220652.8,1800.0,116.22,834.18
game1,16,4.76,428997.6,1800.0,126.21,624.77
game1,32,4.52,744799.6,1800.0,130.02,593.92
game1,1,26.56,18997.6,2200.0,104.59,2504.87
game1,2,14.57,48620.4,2200.0,111.55,1740.48
game1,4,8.51,105415.2,2200.0,118.53,1077.25
game1,8,5.74,216175.2,2200.0,125.35,756.4
game1,16,4.37,439589.6,2200.0,136.78,616.87
game1,32,3.77,728287.2,2200.0,139.02,536.59
game1,1,24.21,21020.8,2400.0,107.19,2343.36
game1,2,13.58,48697.2,2400.0,113.92,1654.48
game1,4,7.84,104224.8,2400.0,123.07,1025.11
game1,8,5.54,219705.6,2400.0,129.77,757.0
game1,16,4.1,449456.4,2400.0,141.78,601.97
game1,32,3.64,734821.6,2400.0,142.54,529.53
game1,1,21.84,18841.6,2700.0,111.55,2180.63
game1,2,12.09,48321.6,2700.0,120.29,1559.98
game1,4,7.3,105693.6,2700.0,129.13,1000.83
game1,8,5.13,222131.2,2700.0,136.74,725.07
game1,16,3.7,454026.0,2700.0,155.74,605.83
game1,32,3.43,729871.2,2700.0,156.19,544.87
game1,1,16.06,19754.0,2901.0,137.34,2006.3
game1,2,9.17,48706.4,2901.0,158.64,1568.62
game1,4,5.99,104619.6,2901.0,166.21,1035.36
game1,8,4.25,220116.4,2901.0,175.91,776.41
game1,16,3.48,433531.2,2901.0,184.94,661.94
game1,32,3.17,731248.4,2901.0,189.37,611.81
game1,1,43.11,19261.2,1300.0,94.88,3686.88
game1,2,23.04,50686.8,1300.0,97.77,2446.62
game1,4,13.01,105156.4,1300.0,102.35,1424.41
game1,8,8.28,218086.0,1300.0,107.67,951.83
game1,16,5.91,458547.6,1300.0,114.18,697.87
game1,32,5.4,765817.6,1300.0,116.63,640.48
game1,1,33.15,19469.6,1700.0,98.9,2950.6
game1,2,18.03,48190.0,1700.0,102.46,1987.04
game1,4,10.55,105003.2,1700.0,108.71,1232.85
game1,8,7.12,232573.2,1700.0,114.23,849.74
game1,16,4.81,433736.4,1700.0,121.91,628.04
game1,32,4.84,766618.4,1700.0,125.71,594.24
game1,1,30.15,19657.2,1900.0,101.41,2759.2
game1,2,16.7,48513.2,1900.0,105.62,1885.66
game1,4,9.57,103011.6,1900.0,112.7,1155.49
game1,8,6.28,213726.8,1900.0,119.87,793.47
game1,16,4.82,420478.0,1900.0,125.39,620.21
game1,32,4.15,735636.4,1900.0,131.17,560.42
game1,1,25.42,20064.0,2300.0,106.1,2426.08
game1,2,13.5,48987.6,2300.0,114.85,1669.64
game1,4,8.46,105862.8,2300.0,120.54,1087.25
game1,8,5.73,218751.2,2300.0,127.81,778.05
game1,16,4.02,433210.0,2300.0,140.93,579.53
game1,32,3.75,735921.2,2300.0,139.6,533.56
game1,1,23.39,19247.6,2500.0,109.28,2287.3
game1,2,13.13,48586.4,2500.0,117.48,1660.04
game1,4,7.73,103010.0,2500.0,125.92,1036.56
game1,8,5.32,220903.6,2500.0,133.8,744.99
game1,16,4.1,441974.4,2500.0,143.58,603.37
game1,32,3.62,725770.4,2500.0,148.93,554.51
game1,1,20.99,18776.4,2800.0,112.3,2125.66
game1,2,11.79,48270.8,2800.0,122.91,1546.18
game1,4,7.1,105460.8,2800.0,132.23,1002.19
game1,8,5.06,225964.0,2800.0,139.63,740.14
game1,16,3.91,446736.0,2800.0,153.37,612.87
game1,32,3.4,724696.0,2800.0,155.53,543.82
game1,1,40.35,18991.6,1400.0,96.81,3525.18
game1,2,21.43,48370.0,1400.0,99.1,2303.1
game1,4,12.42,103296.4,1400.0,103.88,1377.46
game1,8,7.85,213959.2,1400.0,110.11,915.28
game1,16,5.32,478884.8,1400.0,116.82,665.99
game1,32,5.31,763371.2,1400.0,119.37,619.61
game1,1,20.33,19084.0,2900.0,114.43,2104.79
game1,2,11.5,48486.4,2900.0,125.53,1539.29
game1,4,6.94,104565.6,2900.0,134.65,992.32
game1,8,4.87,218034.4,2900.0,144.69,735.72
game1,16,3.76,439599.2,2900.0,155.31,607.09
game1,32,3.37,733362.0,2900.0,159.2,548.95
game1,1,28.75,19380.4,2000.0,104.36,2691.02
game1,2,15.73,48378.4,2000.0,108.38,1841.62
game1,4,9.26,104132.4,2000.0,114.32,1136.01
game1,8,6.1,219402.0,2000.0,121.08,780.89
game1,16,4.6,448294.8,2000.0,130.56,619.48
game1,32,4.1,737949.6,2000.0,136.01,564.13
