Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
game1,1,529.04,133864.0,171914021.0,1.23,0.0023249659761076674,1200.0,95.65,50603.52
game1,1,533.04,133864.0,171914021.0,1.23,0.002307519135524539,1200.0,95.86,51100.82
game1,1,532.82,133860.0,171914021.0,1.23,0.0023084719042078,1200.0,95.83,51059.68
game1,1,535.03,133856.0,171914021.0,1.23,0.0022989365082331827,1200.0,95.94,51331.73
game1,1,535.02,135904.0,171914021.0,1.23,0.0022989794774027138,1200.0,95.92,51319.15
game1,1,524.22,133864.0,171914021.0,1.23,0.002346343138377017,1200.0,94.37,49476.19
game1,1,534.34,133868.0,171914021.0,0.58,0.0010854512108395401,1200.0,95.87,51229.33
game1,1,535.12,133860.0,171914021.0,0.58,0.0010838690387202866,1200.0,96.11,51429.74
game1,1,522.52,133864.0,171914021.0,0.58,0.001110005358646559,1200.0,93.92,49071.92
game1,1,535.19,133856.0,171914021.0,0.58,0.0010837272744259048,1200.0,96.07,51417.19
game1,2,265.42,260328.0,171914021.0,0.58,0.0021852158842589104,1200.0,97.64,25917.34
game1,2,267.95,264416.0,171914021.0,0.58,0.002164582944579213,1200.0,96.47,25852.72
game1,2,267.85,264424.0,171914021.0,5.82,0.02172857942878477,1200.0,96.73,25909.2
game1,2,283.3,264428.0,171914021.0,5.82,0.02054359336392517,1200.0,98.73,27971.65
game1,2,268.08,264424.0,171914021.0,5.82,0.021709937332139658,1200.0,96.84,25963.91
game1,2,270.17,266472.0,171914021.0,5.82,0.02154199207906133,1200.0,98.31,26558.95
game1,2,267.31,266468.0,171914021.0,5.82,0.021772473906700087,1200.0,97.11,25961.16
game1,2,267.69,266464.0,171914021.0,5.82,0.02174156673764429,1200.0,96.73,25896.34
game1,2,268.07,264428.0,171914021.0,4.08,0.01521990524862909,1200.0,96.29,25816.41
game1,2,268.25,260280.0,171914021.0,4.08,0.015209692451071762,1200.0,96.38,25854.81
game1,4,139.05,488208.0,171914021.0,4.08,0.02934196332254585,1200.0,103.4,14377.68
game1,4,139.82,494616.0,171914021.0,4.08,0.029180374767558286,1200.0,103.38,14452.39
game1,4,138.9,496660.0,171914021.0,4.08,0.029373650107991364,1200.0,103.41,14363.69
game1,4,139.46,488376.0,171914021.0,4.08,0.02925570055930016,1200.0,103.39,14422.82
game1,4,140.58,496720.0,171914021.0,2.38,0.01692986200028453,1200.0,103.4,14538.24
game1,4,138.58,488452.0,171914021.0,2.38,0.017174195410593156,1200.0,103.48,14341.49
game1,4,138.59,494880.0,171914021.0,2.38,0.01717295620174616,1200.0,103.49,14343.46
game1,4,139.08,496788.0,171914021.0,2.38,0.01711245326430831,1200.0,103.47,14394.0
game1,4,139.84,492848.0,171914021.0,2.38,0.017019450800915333,1200.0,103.42,14464.57
game1,4,138.7,488628.0,171914021.0,2.38,0.01715933669790916,1200.0,103.44,14348.74
game1,8,79.62,918860.0,171914021.0,0.72,0.009042954031650336,1200.0,113.14,9007.28
game1,8,80.25,920904.0,171914021.0,0.72,0.00897196261682243,1200.0,112.23,9007.63
game1,8,77.79,940524.0,171914021.0,0.72,0.00925568839182414,1200.0,113.82,8856.06
game1,8,77.82,940644.0,171914021.0,0.72,0.009252120277563608,1200.0,113.95,8871.8
game1,8,77.89,944988.0,171914021.0,0.72,0.00924380536654256,1200.0,113.73,8860.67
game1,8,77.87,942740.0,171914021.0,0.72,0.009246179529985871,1200.0,113.76,8857.15
game1,8,78.24,943356.0,171914021.0,1.23,0.015720858895705517,1200.0,113.88,8912.4
game1,8,78.35,943704.0,171914021.0,1.23,0.015698787492022973,1200.0,113.58,8900.14
game1,8,78.65,945356.0,171914021.0,1.23,0.015638906547997454,1200.0,113.66,8940.02
game1,8,77.92,930892.0,171914021.0,1.23,0.01578542094455852,1200.0,113.94,8876.94
