FR,TR,Name,REP,START,END,TIM,EN
1200.0,16,01,2,1405164058.644273395,1405164077.392918453,18.748645058,2570.90051
1200.0,16,01,3,1405164078.858993368,1405164097.789616148,18.930622780,2579.502125
1200.0,16,01,4,1405164098.449721879,1405164117.362710847,18.912988968,2584.380549
1200.0,16,01,5,1405164118.828137516,1405164136.765755581,17.937618065,2472.564012
1200.0,16,01,6,1405164138.231603401,1405164156.421929226,18.190325825,2467.457365
1200.0,16,01,7,1405164158.893899354,1405164176.748675791,17.854776437,2464.681104
1200.0,16,01,8,1405164178.253017362,1405164196.135350620,17.882333258,2463.125108
1200.0,8,01,2,1405166569.120199323,1405166597.943349785,28.823150462,3430.331089
1200.0,8,01,3,1405166598.623615640,1405166628.754967001,30.131351361,3516.714966
1200.0,8,01,4,1405166630.241742058,1405166658.322332600,28.080590542,3354.439017
1200.0,8,01,5,1405166660.810410905,1405166690.046203954,29.235793049,3499.738772
1200.0,8,01,6,1405166690.720821042,1405166719.096430395,28.375609353,3387.841841
1200.0,8,01,7,1405166720.563068732,1405166749.553363981,28.990295249,3459.33032
1200.0,8,01,8,1405166750.225647268,1405166778.077100792,27.851453524,3343.815743
1200.0,32,01,2,1405169350.529518116,1405169362.772886629,12.243368513,1860.855716
1200.0,32,01,3,1405169364.237491737,1405169376.117188277,11.879696540,1839.068243
1200.0,32,01,4,1405169378.590088009,1405169390.505053109,11.914965100,1839.823178
1200.0,32,01,5,1405169392.978656187,1405169405.530397025,12.551740838,1929.359292
1200.0,32,01,6,1405169406.229749245,1405169418.681241850,12.451492605,1913.558715
1200.0,32,01,7,1405169421.152621958,1405169433.051599505,11.898977547,1833.838001
1200.0,32,01,8,1405169434.552054052,1405169447.099443960,12.547389908,1927.349471
1200.0,4,01,2,1405172120.585176317,1405172173.491176111,52.905999794,5667.59758
1200.0,4,01,3,1405172174.961269335,1405172229.203255989,54.241986654,5773.703604
1200.0,4,01,4,1405172230.677030296,1405172284.278526714,53.601496418,5687.339808
1200.0,4,01,5,1405172286.758092876,1405172341.099862941,54.341770065,5750.521735
1200.0,4,01,6,1405172342.629933020,1405172395.737220665,53.107287645,5658.13372
1200.0,4,01,7,1405172396.403246829,1405172449.886204519,53.482957690,5682.950329
1200.0,4,01,8,1405172450.554933108,1405172503.168307826,52.613374718,5604.446476
1200.0,2,01,2,1405175826.331812958,1405175937.842372604,111.510559646,11124.400388
1200.0,2,01,3,1405175938.557593807,1405176042.108521552,103.550927745,10333.781019
1200.0,2,01,4,1405176042.782341069,1405176145.917832374,103.135491305,10277.236123
1200.0,2,01,5,1405176146.594680936,1405176255.851757351,109.257076415,10938.345182
1200.0,2,01,6,1405176256.525501293,1405176357.068651360,100.543150067,10073.768914
1200.0,2,01,7,1405176358.547704611,1405176460.971877262,102.424172651,10222.095898
1200.0,2,01,8,1405176462.449336622,1405176562.647257416,100.197920794,9984.869424
1200.0,1,01,2,1405181022.392252664,1405181178.512725218,156.120472554,14922.48599
1200.0,1,01,3,1405181181.002068726,1405181345.516516074,164.514447348,15740.160835
1200.0,1,01,4,1405181347.001520741,1405181503.430998296,156.429477555,14988.412987
1200.0,1,01,5,1405181504.915219618,1405181660.527653867,155.612434249,14914.954089
1200.0,1,01,6,1405181663.015426586,1405181818.976283275,155.960856689,14942.161507
1200.0,1,01,7,1405181820.498227956,1405181976.918042210,156.419814254,14987.744423
1200.0,1,01,8,1405181978.397249974,1405182134.419212482,156.021962508,14955.754568
1300.0,16,01,2,1405188658.630989309,1405188673.130306784,14.499317475,2079.118424
1300.0,16,01,3,1405188674.595479584,1405188689.177235994,14.581756410,2116.929536
1300.0,16,01,4,1405188690.640424925,1405188705.656464793,15.016039868,2162.220523
1300.0,16,01,5,1405188706.353690121,1405188721.611758464,15.258068343,2186.849757
1300.0,16,01,6,1405188722.277178192,1405188736.688987228,14.411809036,2083.108123
1300.0,16,01,7,1405188739.156741199,1405188755.607821397,16.451080198,2311.009019
1300.0,16,01,8,1405188756.267232692,1405188770.806624035,14.539391343,2108.84792
1300.0,8,01,2,1405191025.036988811,1405191052.962388756,27.925399945,3333.760281
1300.0,8,01,3,1405191054.462317345,1405191082.035793481,27.573476136,3342.784884
1300.0,8,01,4,1405191082.696876207,1405191107.724477646,25.027601439,3078.738247
1300.0,8,01,5,1405191108.386668126,1405191136.648199347,28.261531221,3396.176619
1300.0,8,01,6,1405191139.119631849,1405191165.311509183,26.191877334,3219.697623
1300.0,8,01,7,1405191166.776509002,1405191191.315056671,24.538547669,3008.151872
1300.0,8,01,8,1405191192.816987771,1405191219.821030324,27.004042553,3278.549277
1300.0,32,01,2,1405193622.899934571,1405193633.400342800,10.500408229,1700.612
1300.0,32,01,3,1405193634.866145471,1405193646.451242448,11.585096977,1848.894632
1300.0,32,01,4,1405193648.956844192,1405193659.645631963,10.688787771,1736.194621
1300.0,32,01,5,1405193660.303614100,1405193671.874595522,11.570981422,1839.977277
1300.0,32,01,6,1405193672.577671995,1405193684.616824525,12.039152530,1891.588203
1300.0,32,01,7,1405193687.122161110,1405193697.962958450,10.840797340,1744.872038
1300.0,32,01,8,1405193698.622919756,1405193709.803763303,11.180843547,1797.759074
1300.0,4,01,2,1405196193.075987051,1405196241.116885791,48.040898740,5230.479917
1300.0,4,01,3,1405196242.586206937,1405196292.573442026,49.987235089,5409.217501
1300.0,4,01,4,1405196295.046482781,1405196342.000206681,46.953723900,5117.802602
1300.0,4,01,5,1405196342.664874877,1405196393.733980347,51.069105470,5539.402494
1300.0,4,01,6,1405196394.440354067,1405196442.802161695,48.361807628,5253.60842
1300.0,4,01,7,1405196444.270561280,1405196495.020829075,50.750267795,5445.514138
1300.0,4,01,8,1405196496.490063705,1405196541.912449222,45.422385517,4974.671945
1300.0,2,01,2,1405199632.956833801,1405199735.242927306,102.286093505,10353.802754
1300.0,2,01,3,1405199736.716510338,1405199836.343634711,99.627124373,10084.306613
1300.0,2,01,4,1405199838.856461337,1405199940.411576518,101.555115181,10282.195439
1300.0,2,01,5,1405199942.925089764,1405200042.304104629,99.379014865,10060.554838
1300.0,2,01,6,1405200044.788419105,1405200138.563462820,93.775043715,9499.397198
1300.0,2,01,7,1405200141.039289947,1405200233.713261285,92.673971338,9367.063202
1300.0,2,01,8,1405200234.462345504,1405200327.018650256,92.556304752,9390.774919
1300.0,1,01,2,1405204502.485523156,1405204648.792462426,146.306939270,14163.420899
1300.0,1,01,3,1405204650.307775041,1405204799.625049643,149.317274602,14420.258552
1300.0,1,01,4,1405204800.301255274,1405204947.307176707,147.005921433,14230.779245
1300.0,1,01,5,1405204948.820347007,1405205093.736032237,144.915685230,14027.931286
1300.0,1,01,6,1405205094.408230054,1405205240.250924752,145.842694698,14120.996366
1300.0,1,01,7,1405205242.767481677,1405205388.349241516,145.581759839,14085.973386
1300.0,1,01,8,1405205390.867778988,1405205536.136468577,145.268689589,14064.103629
1400.0,16,01,2,1405211584.399524548,1405211597.376881303,12.977356755,1968.674556
1400.0,16,01,3,1405211598.838549933,1405211612.996408911,14.157858978,2111.709158
1400.0,16,01,4,1405211614.498065970,1405211627.604638790,13.106572820,1972.34075
1400.0,16,01,5,1405211628.301584180,1405211642.586409459,14.284825279,2113.48987
1400.0,16,01,6,1405211645.093941138,1405211658.683383298,13.589442160,2047.539342
1400.0,16,01,7,1405211661.152121671,1405211675.380709120,14.228587449,2105.51301
1400.0,16,01,8,1405211676.842135394,1405211690.766133486,13.923998092,2064.408714
1400.0,8,01,2,1405213824.516232941,1405213847.717427741,23.201194800,2894.782318
1400.0,8,01,3,1405213848.377379619,1405213872.190613521,23.813233902,2983.964049
1400.0,8,01,4,1405213874.659551646,1405213897.126864472,22.467312826,2845.501382
1400.0,8,01,5,1405213898.590030715,1405213923.913936659,25.323905944,3158.966757
1400.0,8,01,6,1405213924.571369691,1405213947.705176755,23.133807064,2918.267989
1400.0,8,01,7,1405213948.362607590,1405213971.564425766,23.201818176,2890.683495
1400.0,8,01,8,1405213973.029318758,1405213997.401809074,24.372490316,3070.11515
1400.0,32,01,2,1405216268.510436546,1405216278.188348988,9.677912442,1637.664568
1400.0,32,01,3,1405216280.692131341,1405216291.171798735,10.479667394,1750.369025
1400.0,32,01,4,1405216292.638563245,1405216302.249453031,9.610889786,1633.315934
1400.0,32,01,5,1405216304.718214412,1405216314.888060862,10.169846450,1696.414155
1400.0,32,01,6,1405216316.387744463,1405216326.890625601,10.502881138,1743.689021
1400.0,32,01,7,1405216328.354753078,1405216338.780299708,10.425546630,1752.323235
1400.0,32,01,8,1405216341.246192457,1405216351.555271116,10.309078659,1732.230936
1400.0,4,01,2,1405218690.941370388,1405218741.591048175,50.649677787,5498.056489
1400.0,4,01,3,1405218742.253235506,1405218783.284481963,41.031246457,4608.617062
1400.0,4,01,4,1405218784.786624236,1405218826.903797044,42.117172808,4695.317615
1400.0,4,01,5,1405218828.370221847,1405218872.052901274,43.682679427,4834.051421
1400.0,4,01,6,1405218872.712122028,1405218917.686279282,44.974157254,4964.100147
1400.0,4,01,7,1405218918.344859985,1405218963.556170376,45.211310391,5001.369039
1400.0,4,01,8,1405218965.062736985,1405219011.115816396,46.053079411,5083.318877
1400.0,2,01,2,1405221920.799623145,1405222013.962518992,93.162895847,9565.785759
1400.0,2,01,3,1405222014.626550308,1405222104.668376947,90.041826639,9224.724995
1400.0,2,01,4,1405222107.188470007,1405222201.319621819,94.131151812,9631.968847
1400.0,2,01,5,1405222202.786841336,1405222288.316178035,85.529336699,8754.685099
1400.0,2,01,6,1405222290.787521696,1405222377.558065895,86.770544199,8903.981744
1400.0,2,01,7,1405222379.026892639,1405222465.023439225,85.996546586,8826.968315
1400.0,2,01,8,1405222466.494128494,1405222553.430247615,86.936119121,8916.237044
1400.0,1,01,2,1405226476.694160778,1405226613.138286896,136.444126118,13426.407529
1400.0,1,01,3,1405226614.646581908,1405226752.946643642,138.300061734,13489.986318
1400.0,1,01,4,1405226754.459159946,1405226891.556176581,137.097016635,13392.500451
1400.0,1,01,5,1405226892.231467630,1405227027.222526617,134.991058987,13120.219572
1400.0,1,01,6,1405227028.695618297,1405227162.263378867,133.567760570,12971.696773
1400.0,1,01,7,1405227164.740894202,1405227299.724395824,134.983501622,13157.376914
1400.0,1,01,8,1405227300.392124479,1405227434.879851577,134.487727098,13114.573746
1600.0,16,01,2,1405233064.899331176,1405233076.094413610,11.195082434,1815.739769
1600.0,16,01,3,1405233076.746540564,1405233089.384165931,12.637625367,2003.854922
1600.0,16,01,4,1405233090.837330485,1405233103.452347764,12.615017279,2001.078142
1600.0,16,01,5,1405233104.908781245,1405233117.037559039,12.128777794,1937.393494
1600.0,16,01,6,1405233118.491256087,1405233130.293659812,11.802403725,1914.602493
1600.0,16,01,7,1405233132.751205513,1405233144.811162736,12.059957223,1907.0805
1600.0,16,01,8,1405233146.268738746,1405233158.326238440,12.057499694,1931.809706
1600.0,8,01,2,1405235064.654204785,1405235083.968851830,19.314647045,2582.260744
1600.0,8,01,3,1405235084.622142256,1405235106.291342206,21.669199950,2846.970339
1600.0,8,01,4,1405235108.750318988,1405235129.995628779,21.245309791,2799.381217
1600.0,8,01,5,1405235130.688361301,1405235151.614449822,20.926088521,2762.641383
1600.0,8,01,6,1405235152.269085499,1405235174.341123649,22.072038150,2898.570915
1600.0,8,01,7,1405235176.841229855,1405235197.582321133,20.741091278,2734.43895
1600.0,8,01,8,1405235199.076199774,1405235221.177954847,22.101755073,2871.50763
1600.0,32,01,2,1405237262.492886475,1405237270.649205528,8.156319053,1500.710866
1600.0,32,01,3,1405237273.129050494,1405237281.793148272,8.664097778,1581.061742
1600.0,32,01,4,1405237282.467825455,1405237291.551133504,9.083308049,1647.511793
1600.0,32,01,5,1405237292.280723001,1405237301.644908846,9.364185845,1682.522742
1600.0,32,01,6,1405237302.311680223,1405237310.733573152,8.421892929,1550.832732
1600.0,32,01,7,1405237313.205741904,1405237321.842200362,8.636458458,1575.886781
1600.0,32,01,8,1405237322.509071045,1405237331.232759462,8.723688417,1583.609044
1600.0,4,01,2,1405239473.045698800,1405239516.495627960,43.449929160,4945.344246
1600.0,4,01,3,1405239518.960831638,1405239562.930006338,43.969174700,4997.048397
1600.0,4,01,4,1405239564.389840442,1405239602.562747320,38.172906878,4443.961253
1600.0,4,01,5,1405239605.024622354,1405239642.439976047,37.415353693,4355.265366
1600.0,4,01,6,1405239644.941533178,1405239684.672177285,39.730644107,4611.390506
1600.0,4,01,7,1405239687.172684070,1405239725.290617189,38.117933119,4448.319581
1600.0,4,01,8,1405239726.750434760,1405239766.122117206,39.371682446,4566.54081
1600.0,2,01,2,1405242400.629761026,1405242482.894890432,82.265129406,8624.042188
1600.0,2,01,3,1405242484.358507427,1405242558.847558672,74.489051245,7912.902897
1600.0,2,01,4,1405242560.356681468,1405242640.453781500,80.097100032,8447.865395
1600.0,2,01,5,1405242642.921026930,1405242719.337885206,76.416858276,8064.452643
1600.0,2,01,6,1405242720.801026883,1405242796.217398740,75.416371857,7944.133283
1600.0,2,01,7,1405242798.689149327,1405242876.708759895,78.019610568,8230.666314
1600.0,2,01,8,1405242879.176796973,1405242959.827198457,80.650401484,8454.308973
1600.0,1,01,2,1405246494.699483997,1405246613.925118282,119.225634285,11793.380251
1600.0,1,01,3,1405246614.624731757,1405246735.709249160,121.084517403,11971.835131
1600.0,1,01,4,1405246736.417232204,1405246854.028382034,117.611149830,11632.520745
1600.0,1,01,5,1405246854.727592867,1405246972.277204384,117.549611517,11623.499899
1600.0,1,01,6,1405246974.748235304,1405247092.442567535,117.694332231,11630.12798
1600.0,1,01,7,1405247094.913121226,1405247214.097654931,119.184533705,11779.379539
1600.0,1,01,8,1405247214.760627814,1405247341.419503178,126.658875364,12515.634708
1700.0,16,01,2,1405252416.876621100,1405252427.880359734,11.003738634,1821.727561
1700.0,16,01,3,1405252428.546137272,1405252440.966887899,12.420750627,2038.415545
1700.0,16,01,4,1405252442.515808256,1405252453.494915030,10.979106774,1833.495149
1700.0,16,01,5,1405252454.986794515,1405252467.110729186,12.123934671,2002.303202
1700.0,16,01,6,1405252468.563802038,1405252479.714421945,11.150619907,1850.354924
1700.0,16,01,7,1405252480.364188280,1405252491.634763677,11.270575397,1886.057005
1700.0,16,01,8,1405252492.320268487,1405252503.376132541,11.055864054,1864.912906
1700.0,8,01,2,1405254358.811408472,1405254377.836622615,19.025214143,2606.563132
1700.0,8,01,3,1405254378.489097240,1405254399.348019118,20.858921878,2803.898018
1700.0,8,01,4,1405254400.840854230,1405254420.769581541,19.928727311,2708.733734
1700.0,8,01,5,1405254422.263374029,1405254441.608667991,19.345293962,2625.382486
1700.0,8,01,6,1405254442.259460272,1405254462.808678117,20.549217845,2771.351393
1700.0,8,01,7,1405254464.288607785,1405254486.584170818,22.295563033,2957.588439
1700.0,8,01,8,1405254489.096618020,1405254509.400855911,20.304237891,2749.873562
1700.0,32,01,2,1405256462.946594663,1405256471.027668563,8.081073900,1538.429833
1700.0,32,01,3,1405256472.514205645,1405256480.644613161,8.130407516,1543.158565
1700.0,32,01,4,1405256483.100103577,1405256491.197388922,8.097285345,1534.968542
1700.0,32,01,5,1405256492.687723219,1405256500.887618437,8.199895218,1551.679453
1700.0,32,01,6,1405256502.340208220,1405256510.693632714,8.353424494,1566.841231
1700.0,32,01,7,1405256513.168088083,1405256521.712315982,8.544227899,1606.315709
1700.0,32,01,8,1405256522.402416816,1405256530.673423045,8.271006229,1561.607594
1700.0,4,01,2,1405258530.897500399,1405258567.946235644,37.048735245,4386.201268
1700.0,4,01,3,1405258568.634046444,1405258605.356206510,36.722160066,4370.712988
1700.0,4,01,4,1405258606.815084452,1405258643.788427795,36.973343343,4391.739564
1700.0,4,01,5,1405258644.439649846,1405258681.356567514,36.916917668,4371.794135
1700.0,4,01,6,1405258682.853697627,1405258721.758257906,38.904560279,4554.955085
1700.0,4,01,7,1405258722.410850606,1405258759.979053389,37.568202783,4464.379799
1700.0,4,01,8,1405258760.673867136,1405258798.040151118,37.366283982,4446.798404
1700.0,2,01,2,1405261312.610978167,1405261385.472998542,72.862020375,7808.794868
1700.0,2,01,3,1405261386.932100338,1405261458.356839769,71.424739431,7675.356855
1700.0,2,01,4,1405261460.822046398,1405261535.100891080,74.278844682,8007.856019
1700.0,2,01,5,1405261536.561095072,1405261607.097785414,70.536690342,7549.263631
1700.0,2,01,6,1405261608.561666487,1405261678.139642284,69.577975797,7492.298923
1700.0,2,01,7,1405261680.694917826,1405261761.258697052,80.563779226,8632.634371
1700.0,2,01,8,1405261762.740679742,1405261832.042510702,69.301830960,7426.438493
1700.0,1,01,2,1405265168.644517057,1405265281.412099388,112.767582331,11255.371096
1700.0,1,01,3,1405265282.898789412,1405265397.756835684,114.858046272,11463.443113
1700.0,1,01,4,1405265398.416059350,1405265509.536770883,111.120711533,11086.48199
1700.0,1,01,5,1405265511.000307258,1405265622.060608308,111.060301050,11088.309811
1700.0,1,01,6,1405265622.744145240,1405265733.977653605,111.233508365,11107.365174
1700.0,1,01,7,1405265734.636357763,1405265846.206764244,111.570406481,11125.145297
