FR,TR,Name,EN,TIM
1200,16,08,4159.641257,40.942772608
2200,2,08,5067.595725,45.610074189
1200,2,08,7589.414939,77.21214009
1200,4,08,5750.954709,57.507560154
2200,1,08,7902.382941,74.933618637
2901,16,08,2338.780011,14.928878912
2700,8,08,2714.912509,21.172390196
1700,8,08,3843.381584,35.142298315
1300,4,08,5570.345881,54.824085991
2400,16,08,2710.788818,22.306947859
1400,16,08,3630.755234,34.495565222
2300,16,08,2609.992122,21.903955036
2900,1,08,7030.424687,62.160974933
1300,8,08,4493.302243,43.493846205
2900,16,08,2578.193521,19.142692454
1300,2,08,7338.020041,73.962903085
2700,16,08,2534.070927,19.636430882
2400,2,08,5097.776943,44.550105518
1900,1,08,8151.929241,80.654482488
2200,4,08,3939.690767,33.983693524
2000,1,08,8851.787378,85.828004712
2200,8,08,3211.142995,26.954834701
1900,4,08,4473.334486,40.358008633
2400,32,08,2722.969183,21.543883167
2200,32,08,2688.080751,22.058748648
1800,8,08,3492.99777,31.373725851
2000,32,08,3064.091265,25.69317301
1600,4,08,4922.803902,46.38622668
1800,4,08,4580.354987,41.729485145
2700,4,08,3610.491676,28.612656149
1400,1,08,11171.261937,114.299422703
1200,32,08,4332.055272,41.639908208
1300,32,08,3914.107137,36.742685334
2500,4,08,3817.570629,31.581388545
1900,2,08,5290.758223,49.795881139
2800,1,08,6998.08383,62.67325038
2300,2,08,5273.495394,46.899008561
1300,16,08,4247.305581,40.841384072
2900,4,08,3380.109133,26.26611663
1900,32,08,3064.752114,26.545096043
1200,8,08,4678.32426,45.962878154
2000,4,08,4221.940518,37.651970465
2000,8,08,3286.079613,28.348854431
1400,4,08,5146.590708,49.991795647
2300,32,08,2709.712008,21.659818902
2000,2,08,5695.9056,52.457563161
1400,2,08,6526.145693,65.203657751
1400,32,08,3960.370908,37.071925784
1600,16,08,3430.346993,31.91999603
2300,4,08,3582.064911,30.560736589
2400,4,08,3810.640517,31.493230151
2200,16,08,2956.490587,24.700495916
2900,2,08,4807.776996,38.963862264
2800,2,08,4611.283921,37.285951266
1700,4,08,4660.187046,43.130924873
1600,8,08,3994.209113,37.08893348
1600,1,08,9956.328878,100.691379141
1300,1,08,10799.125075,111.459950415
1600,32,08,3338.021753,30.120902778
2800,32,08,2635.431992,18.669427771
2400,1,08,8087.261131,75.318193012
2400,8,08,3208.765908,25.711830927
2500,1,08,6498.338448,60.71388734
2700,2,08,5099.261977,42.823791395
1800,2,08,5976.733282,56.979491911
1700,1,08,8991.41093,89.925392861
2800,16,08,2419.524951,18.740817164
2300,8,08,2859.768953,23.862205861
2901,32,08,2638.563953,14.82890011
1900,8,08,3143.939374,27.861708291
2700,32,08,2693.042038,19.533754313
2900,32,08,2638.977687,18.456564315
2901,1,08,6777.158486,49.948806892
1600,2,08,6422.185452,62.363990994
1800,16,08,3053.878441,27.502548294
2500,16,08,2543.696361,20.859808984
1800,32,08,3282.4649,28.520313575
2700,1,08,6122.544571,55.713639326
2901,4,08,3313.169985,20.929547836
2500,32,08,2763.838971,21.203963982
1700,32,08,3352.354009,29.697595395
1800,1,08,9136.264085,90.829762605
2901,8,08,2735.283948,16.505628937
1900,16,08,2731.631848,24.592849101
1700,16,08,3253.126159,29.43142136
2800,8,08,2696.032497,20.638267347
2500,2,08,4866.420936,41.81621704
1700,2,08,5990.484372,57.713999364
1400,8,08,3856.333032,37.066111264
1200,1,08,12460.405185,129.82224041
2900,8,08,2748.048041,20.225185733
2300,1,08,7948.307377,74.199468992
2901,2,08,4799.213491,31.000425846
2500,8,08,3089.989133,24.638008972
2800,4,08,3494.178573,27.68301518
2000,16,08,3165.330841,27.112507855
