FR,TIM,EN,DC,TR,Name
1300.0,122221,11867.5,6331.56,1,sort
1300.0,122200,11826.6,6336.13,1,sort
1300.0,122128,11853.4,6326.05,1,sort
1300.0,150606,14949,8133.32,1,sort
1300.0,122144,11858.8,6324.47,1,sort
1300.0,122169,11855.4,6297.71,1,sort
1300.0,122126,11853.2,6307.93,1,sort
1300.0,122112,11587.7,6240.45,1,sort
1300.0,122131,10206.2,5420.1,1,sort
1300.0,122138,11830.5,6336.42,1,sort
1300.0,74649.2,7820.81,4439.92,2,sort
1300.0,74834.4,7837.95,4409.44,2,sort
1300.0,74709.8,7514.91,4245.24,2,sort
1300.0,74697.7,7735.22,4448.54,2,sort
1300.0,75037.2,7756.05,4355.56,2,sort
1300.0,74716.2,7827.47,4442.28,2,sort
1300.0,74905.1,7840.26,4444.26,2,sort
1300.0,64600.2,6779.83,3848.95,2,sort
1300.0,75036.1,7854.97,4462.58,2,sort
1300.0,74883.6,7797.08,4448.39,2,sort
1300.0,37308.4,4205.88,2469.7,4,sort
1300.0,37589,4222.78,2506.11,4,sort
1300.0,37300.5,4207.45,2503.4,4,sort
1300.0,37538.3,4182.85,2499.32,4,sort
1300.0,37544.7,4238.69,2540.18,4,sort
1300.0,37348.6,4213.12,2473.84,4,sort
1300.0,37497.4,4229.75,2485.89,4,sort
1300.0,37767.2,4208.2,2549.21,4,sort
1300.0,37849.3,4270.57,2548.07,4,sort
1300.0,37192.4,4136.27,2512.82,4,sort
1300.0,19262.2,2484.05,1556.97,8,sort
1300.0,19436.7,2422.93,1545.44,8,sort
1300.0,19806.6,2295.13,1466.09,8,sort
1300.0,19401.5,2482.01,1591.45,8,sort
1300.0,19182.6,2478.29,1594.8,8,sort
1300.0,19574.2,2483.77,1511.22,8,sort
1300.0,19898.8,2534.23,1583.04,8,sort
1300.0,19337.7,2491.19,1577.86,8,sort
1300.0,20417.1,2555.68,1590.64,8,sort
1300.0,19182.1,2359.87,1590.57,8,sort
1300.0,10535.9,1552.85,1077.27,16,sort
1300.0,10127.1,870.892,532.756,16,sort
1300.0,10409.5,1044.77,832.914,16,sort
1300.0,10325.8,1611.59,1100.53,16,sort
1300.0,10559.9,1607.09,1115,16,sort
1300.0,10624.5,1613.53,1142.86,16,sort
1300.0,9967.67,1580.1,1112.42,16,sort
1300.0,9995.86,1584.7,1001.2,16,sort
1300.0,10330.8,1597.25,1114.86,16,sort
1300.0,10334.5,1591.82,1082.7,16,sort
1300.0,6022.09,1072.57,740.598,32,sort
1300.0,6304.26,1097.5,751.044,32,sort
1300.0,6135.83,1082.74,752.923,32,sort
1300.0,6069.08,1072.9,784.935,32,sort
1300.0,6455.12,1114.21,807.644,32,sort
1300.0,6359.98,1008,799.075,32,sort
1300.0,6223.86,1139.81,770.702,32,sort
1300.0,6209.64,364.09,336.619,32,sort
1300.0,6554.6,1123.14,811.876,32,sort
1300.0,5567.31,1110.13,841.722,32,sort
1600.0,107182,10639.8,5795.09,1,sort
1600.0,107314,10648.7,5783.02,1,sort
1600.0,107214,10637.3,5795.49,1,sort
1600.0,107313,10167.8,5550.18,1,sort
1600.0,107267,10594.5,5782.01,1,sort
1600.0,107210,10637.6,5775.96,1,sort
1600.0,107309,10645,5797.38,1,sort
1600.0,107194,10645.1,5801.91,1,sort
1600.0,107219,10645,5800.6,1,sort
1600.0,107210,10639.5,5788.39,1,sort
1600.0,65827.4,7138.24,4198.48,2,sort
1600.0,65732.2,6033.51,3639.46,2,sort
1600.0,65805.2,7116.71,4209.12,2,sort
1600.0,66029.2,7117.89,4200.49,2,sort
1600.0,65878.7,6561.8,3844.26,2,sort
1600.0,66069.2,7204.13,4217.98,2,sort
1600.0,65786.6,7174.67,4200.02,2,sort
1600.0,65944.8,7191.98,4191.24,2,sort
1600.0,66036.6,6938.73,4020.16,2,sort
1600.0,66007.8,7197.41,4155.88,2,sort
1600.0,32798.4,3865.58,2400.87,4,sort
1600.0,33203.2,4005.24,2484.29,4,sort
1600.0,33082.4,3983.67,2453.92,4,sort
1600.0,32944.7,3967.7,2463.23,4,sort
1600.0,33031.3,3976.64,2467.49,4,sort
1600.0,33315.6,3988.45,2473.02,4,sort
1600.0,33192.3,3524.5,2140.84,4,sort
1600.0,32765,3953.92,2455.33,4,sort
1600.0,33267.7,3970.85,2490.73,4,sort
1600.0,33001.7,3896.2,2413.19,4,sort
1600.0,16980.5,2335.14,1552.73,8,sort
1600.0,16912.9,2328.12,1546.76,8,sort
1600.0,17140.4,2360.77,1569.03,8,sort
1600.0,17400.9,2356.25,1511.58,8,sort
1600.0,16663.4,2310.32,1540.92,8,sort
1600.0,16875.9,390.585,256.003,8,sort
1600.0,16829.1,1997.05,1361.79,8,sort
1600.0,16930,2281.52,1550.08,8,sort
1600.0,16946.7,2296.05,1529.52,8,sort
1600.0,16704.1,2317.7,1460.31,8,sort
1600.0,9454.58,1136.53,736.251,16,sort
1600.0,8545.79,1507.28,1097.75,16,sort
1600.0,8915.84,1509.22,1085.62,16,sort
1600.0,9183.62,1539.12,1102.25,16,sort
1600.0,8975.35,1542.72,1117.68,16,sort
1600.0,9266.21,1475.35,1131.33,16,sort
1600.0,9072.94,1533.65,1112.8,16,sort
1600.0,9345.91,262.244,190.823,16,sort
1600.0,9522.24,1134.05,757.134,16,sort
1600.0,8979.64,1523.27,1040.74,16,sort
1600.0,5270.42,1078.32,819.889,32,sort
1600.0,5303.5,1082.19,731.756,32,sort
1600.0,5011.77,1055.67,809.005,32,sort
1600.0,4912.98,1047.13,804.195,32,sort
1600.0,5143.68,59.4103,54.5935,32,sort
1600.0,5088.85,65.8536,56.7562,32,sort
1600.0,4991.52,931.551,806.034,32,sort
1600.0,4959.57,1050.48,806.428,32,sort
1600.0,5357.33,1089.94,703.413,32,sort
1600.0,5115.36,1060.2,811.577,32,sort
1800.0,100395,10065,5534.25,1,sort
1800.0,100315,10091,5511.54,1,sort
1800.0,100384,9721.8,5396.21,1,sort
1800.0,100330,9877.31,5394.39,1,sort
1800.0,100396,10017.7,5547.43,1,sort
1800.0,100366,9934.06,5460.04,1,sort
1800.0,100349,10107.4,5579.4,1,sort
1800.0,100341,9632.04,5307.77,1,sort
1800.0,100355,10030.1,5577.72,1,sort
1800.0,102119,10334.9,5710.56,1,sort
1800.0,62310.2,6682.35,4051.36,2,sort
1800.0,62119.4,6869.85,4139.43,2,sort
1800.0,62292.6,6859.81,4094.3,2,sort
1800.0,62168,6856.06,4147.78,2,sort
1800.0,62296.4,6916.02,4163.96,2,sort
1800.0,62098,6862.26,4140.33,2,sort
1800.0,62187.1,6963.8,4094.64,2,sort
1800.0,62342.3,6914.52,4161.5,2,sort
1800.0,62019.8,6949.49,4143.52,2,sort
1800.0,61973.8,6807.78,4079.83,2,sort
1800.0,31059.3,3483.55,2199.67,4,sort
1800.0,31055.2,3761.25,2377.48,4,sort
1800.0,31101.4,3865.77,2448.25,4,sort
1800.0,31921.1,3905.35,2484.14,4,sort
1800.0,30974,3766.41,2426.05,4,sort
1800.0,31315.4,3905.13,2466.31,4,sort
1800.0,31578.6,3837.47,2444.74,4,sort
1800.0,33142.4,3972.66,2492.11,4,sort
1800.0,31161,3750.02,2376.2,4,sort
1800.0,30921.2,3810.71,2416.1,4,sort
1800.0,16057.2,2167.21,1434.13,8,sort
1800.0,16022.7,2311.72,1463.97,8,sort
1800.0,16631.3,2268.49,1509.61,8,sort
1800.0,15926.1,1346.31,894.147,8,sort
1800.0,16341.9,2335.46,1475.5,8,sort
1800.0,16009.4,2304.97,1553.17,8,sort
1800.0,16018.1,2204.5,1491.47,8,sort
1800.0,16963,2399.26,1615.02,8,sort
1800.0,16114.5,2165.67,1471.41,8,sort
1800.0,15987.5,2303.61,1561.1,8,sort
1800.0,8600.95,1547.47,1136.08,16,sort
1800.0,8592.92,1529.41,1117.49,16,sort
1800.0,8407.97,1381.2,1094.82,16,sort
1800.0,8473.69,1511.74,1074.93,16,sort
1800.0,8564.41,1469.35,1076.08,16,sort
1800.0,8687.39,1487.14,1133.61,16,sort
1800.0,8681.42,1513.37,1101.65,16,sort
1800.0,8568.47,1529.16,1118.23,16,sort
1800.0,8249.76,120.763,222.947,16,sort
1800.0,8460.37,1535.14,991.509,16,sort
1800.0,4902.88,924.743,714.598,32,sort
1800.0,5053.32,1059.68,730.567,32,sort
1800.0,5352.51,1094.51,833.456,32,sort
1800.0,5236.41,991.724,759.143,32,sort
1800.0,4899.57,827.297,806.033,32,sort
1800.0,4904.4,984.673,729.652,32,sort
1800.0,4992.38,991.65,710.72,32,sort
1800.0,5098.64,971.05,685.392,32,sort
1800.0,4962.12,854.702,656.012,32,sort
1800.0,5274.51,1084.56,683.945,32,sort
2000.0,94885.8,9728.91,5441.52,1,sort
2000.0,94958,9805.85,5466.77,1,sort
2000.0,94890.3,8000.84,4510.44,1,sort
2000.0,94888.4,9797.73,5497.76,1,sort
2000.0,94897.5,9015.82,5088.52,1,sort
2000.0,94887.5,9771.43,5393.29,1,sort
2000.0,94938.1,9809.36,5491.87,1,sort
2000.0,94895.4,9793.91,5420.38,1,sort
2000.0,94924.8,9800.95,5428.18,1,sort
2000.0,94918.2,9061.99,5141.31,1,sort
2000.0,58719.9,6724.17,4104.78,2,sort
2000.0,58340.6,6794.22,4138.99,2,sort
2000.0,58625.6,6409.44,4050.08,2,sort
2000.0,58845.7,6845.83,4123.3,2,sort
2000.0,58560.5,6740.07,4094.49,2,sort
2000.0,58525.2,6717.18,4090.19,2,sort
2000.0,58584.5,6736.92,4156.55,2,sort
2000.0,58679,6831.16,4123.13,2,sort
2000.0,58618,6829.43,4094.24,2,sort
2000.0,58433.8,6777.87,4122.83,2,sort
2000.0,29500.7,3722.2,2388.25,4,sort
2000.0,29085.2,3533.92,2425.92,4,sort
2000.0,30102.3,3868.65,2485.16,4,sort
2000.0,29472.3,3694.78,2441.05,4,sort
2000.0,29276.9,3793.54,2447.02,4,sort
2000.0,29360.6,3602.46,2210.57,4,sort
2000.0,29853.2,3851.77,2480.38,4,sort
2000.0,29361,3797.77,2417.82,4,sort
2000.0,29235.8,3784.14,2416.62,4,sort
2000.0,29503.1,3719.83,2400.9,4,sort
2000.0,15149,2142.6,1580.73,8,sort
2000.0,16451.6,2348.91,1629.79,8,sort
2000.0,15224.2,2290.08,1580.25,8,sort
2000.0,15265.8,1526.94,978.065,8,sort
2000.0,15130.6,2278.02,1524.61,8,sort
2000.0,15150.9,1722.61,1303.12,8,sort
2000.0,15248.9,2134.86,1588.23,8,sort
2000.0,15203.2,2069.58,1378.78,8,sort
2000.0,15014.1,2108.33,1562.18,8,sort
2000.0,15220.4,2279.94,1575.08,8,sort
2000.0,8425.04,1417.58,1137.12,16,sort
2000.0,8159.36,1543.72,1147.83,16,sort
2000.0,8233.99,1415.62,989.544,16,sort
2000.0,7877.65,1380.24,979.716,16,sort
2000.0,8322.79,1554,1151.65,16,sort
2000.0,8071.96,1520.16,1130.22,16,sort
2000.0,7893.91,1394.88,1145.1,16,sort
2000.0,8094.56,1364.17,1127.61,16,sort
2000.0,8060.26,1381.43,1031.22,16,sort
2000.0,8403.79,1034.08,672.857,16,sort
2000.0,4918.82,662.356,535.323,32,sort
2000.0,4949.58,1049.43,806.702,32,sort
2000.0,5085.14,1063.85,788.04,32,sort
2000.0,5112.13,1069.53,687.324,32,sort
2000.0,5435.63,943.889,843.815,32,sort
2000.0,5228.65,1082.97,828.34,32,sort
2000.0,4947.57,899.188,805.636,32,sort
2000.0,5210.78,194.078,39.4696,32,sort
