FR,TR,Name,EN,TIM
1700.0,8,sort,44332.67,323933.9
2200.0,16,sort,26163.75,191437.5
2000.0,4,sort,58726.84,443437.8
2500.0,8,sort,33524.14,220538.1
1900.0,1,sort,171108.9,1595895.0
1900.0,32,sort,34758.87,221902.2
1600.0,4,sort,67588.33,560516.1
2800.0,2,sort,80403.7,571571.6
2300.0,2,sort,86835.84,689716.6
2700.0,32,sort,20411.286,130117.2
1900.0,4,sort,61278.98,471352.0
2900.0,1,sort,137536.4,1047246.0
2800.0,8,sort,31117.78,196796.8
1700.0,4,sort,64426.0,524382.4
2000.0,32,sort,24606.463,174323.0
2000.0,16,sort,28156.15,216870.0
2400.0,2,sort,84344.45,661812.9
2900.0,8,sort,35691.28,190507.7
2800.0,1,sort,138535.2,1084312.0
2700.0,1,sort,140433.2,1124565.0
2700.0,16,sort,26666.24,158815.5
1900.0,16,sort,32220.22,228025.5
2200.0,2,sort,88891.98,722234.2
1200.0,2,sort,138042.3,1378200.0
2901.0,16,sort,31475.83,124066.3
2800.0,4,sort,48426.4,319843.7
1300.0,1,sort,228468.4,2330699.0
1800.0,1,sort,177544.4,1684506.0
2500.0,2,sort,83457.99,636667.4
1800.0,32,sort,34073.01,242371.8
2800.0,32,sort,26250.55,126116.8
1400.0,8,sort,48088.99,395124.3
1700.0,1,sort,184518.5,1783019.0
2000.0,2,sort,95035.77,793552.6
1200.0,8,sort,51204.08,460684.9
1300.0,2,sort,128401.7,1254610.0
1200.0,16,sort,37562.86,356938.9
1600.0,1,sort,193214.4,1894626.0
2700.0,4,sort,47501.72,333602.1
2500.0,16,sort,27358.51,171892.8
2200.0,8,sort,35777.72,250511.4
2500.0,4,sort,50188.51,356110.9
2800.0,16,sort,25285.83,154300.7
1600.0,8,sort,48071.74,345719.5
2300.0,4,sort,53360.36,386285.8
2500.0,32,sort,22905.08,140158.7
2400.0,1,sort,148589.8,1264622.0
2300.0,1,sort,152196.4,1319228.0
1700.0,32,sort,27227.014,239305.2
1200.0,32,sort,32420.14,290253.7
1200.0,1,sort,245315.8,2525710.0
2200.0,1,sort,157849.8,1378881.0
1400.0,16,sort,37774.21,298296.4
1800.0,16,sort,33923.6,238699.2
2901.0,2,sort,84913.37,439810.6
2000.0,8,sort,35113.23,272626.9
1800.0,8,sort,45259.58,303317.1
1900.0,2,sort,95346.82,834821.0
2400.0,16,sort,25463.41,177880.2
2300.0,32,sort,22140.458,151962.4
2200.0,32,sort,25276.91,158085.7
2900.0,16,sort,30016.34,143297.8
2700.0,2,sort,81323.16,595028.9
2000.0,1,sort,166472.9,1516289.0
1700.0,2,sort,105250.9,932463.4
2400.0,32,sort,22522.02,145253.8
1300.0,4,sort,78205.89,687403.6
1200.0,4,sort,78773.63,746478.2
2901.0,4,sort,52159.22,261136.6
2700.0,8,sort,33123.17,203041.2
2901.0,8,sort,39472.974,161596.0
2900.0,32,sort,31802.53,146126.2
2400.0,4,sort,51623.05,370372.3
2300.0,16,sort,27072.63,184480.5
1900.0,8,sort,41714.33,292741.7
1600.0,2,sort,110661.4,994675.8
2500.0,1,sort,146205.2,1213804.0
2900.0,2,sort,78979.78,551703.6
1800.0,2,sort,101267.18,879741.7
1300.0,16,sort,42607.02,329296.8
1700.0,16,sort,33783.83,238311.0
1300.0,32,sort,43204.25,333277.3
2900.0,4,sort,48572.27,307895.3
2300.0,8,sort,34410.76,239401.8
1400.0,32,sort,37527.79,282943.4
2901.0,1,sort,137926.8,800688.9
1600.0,16,sort,36518.75,269560.9
2901.0,32,sort,37855.9,128153.0
1400.0,2,sort,118541.9,1133469.0
1400.0,4,sort,73232.61,645048.2
1800.0,4,sort,63518.63,497917.2
2400.0,8,sort,33853.45,231121.0
1400.0,1,sort,214344.7,2162635.0
1600.0,32,sort,36112.1,250369.0
1300.0,8,sort,52156.61,423953.1
2200.0,4,sort,54889.7,405064.7
