FR,TR,Name,EN,TIM
1700.0,8,sort,7490.404,59844.16
2200.0,16,sort,3934.813,28616.92
2000.0,4,sort,11250.726,106879.83
2500.0,8,sort,5537.227,43398.61
1900.0,1,sort,34975.53,324174.8
1900.0,32,sort,3517.503,24080.86
1600.0,4,sort,13485.651,120949.8
2800.0,2,sort,15301.42,121738.2
2300.0,2,sort,16830.48,139152.8
2700.0,32,sort,3115.1939,18406.26
1900.0,4,sort,11424.814,101619.41
2900.0,1,sort,30364.2,232847.9
2800.0,8,sort,6299.326,40412.9
1700.0,4,sort,13385.96,118329.1
2000.0,32,sort,3143.237,22787.48
2000.0,16,sort,3988.073,31267.33
2400.0,2,sort,16514.34,135021.8
2900.0,8,sort,6125.001,40038.65
2800.0,1,sort,29236.53,239460.9
2700.0,1,sort,30662.17,245635.8
2700.0,16,sort,4328.864,24181.0
1900.0,16,sort,4891.931,33709.87
2200.0,2,sort,17431.92,145235.2
1200.0,2,sort,28832.88,285484.8
2901.0,16,sort,3062.1731,21968.52
2800.0,4,sort,11502.283,82700.57
1300.0,1,sort,45814.35,453344.8
1800.0,1,sort,36376.21,340358.1
2500.0,2,sort,15419.64,130791.3
1800.0,32,sort,2671.0489,25080.66
2800.0,32,sort,2760.942,17299.66
1400.0,8,sort,7737.059,72517.0
1700.0,1,sort,37611.69,356469.7
2000.0,2,sort,17267.15,162145.0
1200.0,8,sort,8936.419,86896.58
1300.0,2,sort,22656.45,229007.2
1200.0,16,sort,6080.98,50477.75
1600.0,1,sort,38734.88,376229.9
2700.0,4,sort,11166.96,84493.95
2500.0,16,sort,3654.137,26784.6
2200.0,8,sort,6728.956,47739.43
2500.0,4,sort,10194.268,84062.96
2800.0,16,sort,3788.48929,23410.99
1600.0,8,sort,8424.432,69666.52
2300.0,4,sort,11361.383,91029.07
2500.0,32,sort,1904.94341,15031.71
2400.0,1,sort,32185.91,269621.1
2300.0,1,sort,32272.16,277381.2
1700.0,32,sort,3710.542,25264.68
1200.0,32,sort,4357.868,34005.92
1200.0,1,sort,48659.86,487844.4
2200.0,1,sort,33597.28,287261.4
1400.0,16,sort,5105.81,42800.74
1800.0,16,sort,3620.3008,34607.82
2901.0,2,sort,14610.186,98977.44
2000.0,8,sort,7130.136,51731.96
1800.0,8,sort,6831.313,58373.18
1900.0,2,sort,17449.26,162380.1
2400.0,16,sort,4324.061,26532.57
2300.0,32,sort,2997.9546,19436.84
2200.0,32,sort,2863.928,21222.35
2900.0,16,sort,3733.319,22385.36
2700.0,2,sort,15195.17,123185.9
2000.0,1,sort,34081.04,311166.1
1700.0,2,sort,19609.27,180554.3
2400.0,32,sort,2262.4615,18605.8
1300.0,4,sort,14904.746,155217.0
1200.0,4,sort,17056.83,164455.1
2901.0,4,sort,11140.203,63655.51
2700.0,8,sort,5786.572,43859.14
2901.0,8,sort,7890.646,39738.09
2900.0,32,sort,2869.1412,17726.52
2400.0,4,sort,11044.63,86818.4
2300.0,16,sort,3878.968,27681.62
1900.0,8,sort,7545.058,60961.16
1600.0,2,sort,19878.44,188349.8
2500.0,1,sort,30522.96,260509.3
2900.0,2,sort,15262.59,117553.0
1800.0,2,sort,18372.79,169683.3
1300.0,16,sort,4845.498,46447.56
1700.0,16,sort,4917.939,36781.41
1300.0,32,sort,3381.357,25978.37
2900.0,4,sort,9737.056,77759.08
2300.0,8,sort,6608.415,46717.37
1400.0,32,sort,3336.11,30206.26
2901.0,1,sort,30703.69,187068.3
1600.0,16,sort,4410.7238,37577.55
2901.0,32,sort,2820.8351,15451.84
1400.0,2,sort,21999.41,212375.4
1400.0,4,sort,15344.05,144292.2
1800.0,4,sort,12662.23,109764.43
2400.0,8,sort,5719.866,45073.21
1400.0,1,sort,43440.53,423360.8
1600.0,32,sort,4190.252,28919.45
1300.0,8,sort,8177.043,79057.54
2200.0,4,sort,11730.255,92438.46
