FR,TIM,EN,DC,TR,Name
1200.0,94773,8766.48,4576.81,1,decrypt
1200.0,94643.8,8758.5,4575.59,1,decrypt
1200.0,94677.7,8964.49,4782.78,1,decrypt
1200.0,94626.9,8851.97,4656.36,1,decrypt
1200.0,94681.7,8762.85,4565.8,1,decrypt
1200.0,94660.3,8764.64,4565.34,1,decrypt
1200.0,94655.4,8379.47,4412.79,1,decrypt
1200.0,94679.1,8765.5,4603.14,1,decrypt
1200.0,94790.6,8771.23,4552.17,1,decrypt
1200.0,94566,8751.29,4560.48,1,decrypt
1200.0,47343.7,4463.32,2344.52,2,decrypt
1200.0,47328.7,4587.67,2484.39,2,decrypt
1200.0,47324.1,4513.03,2399.79,2,decrypt
1200.0,47339.4,4460.09,2358.53,2,decrypt
1200.0,47331,4347.36,2338.69,2,decrypt
1200.0,47334.2,4528.25,2396.03,2,decrypt
1200.0,47323.9,4585.66,2495.04,2,decrypt
1200.0,47333.9,4577.48,2485.18,2,decrypt
1200.0,47347.3,4459.46,2351.19,2,decrypt
1200.0,47351.9,4489.31,2389.52,2,decrypt
1200.0,23660.5,2386.12,1343.73,4,decrypt
1200.0,23676.3,2388.28,1333.1,4,decrypt
1200.0,23696.2,2384.73,1285.8,4,decrypt
1200.0,23654.3,2324.44,1292.77,4,decrypt
1200.0,23672.4,2334.27,1279.56,4,decrypt
1200.0,23655.5,2387.77,1241.37,4,decrypt
1200.0,23671.8,2385.96,1272.55,4,decrypt
1200.0,23657.9,2386.59,1284,4,decrypt
1200.0,23658.2,2355.55,1300.02,4,decrypt
1200.0,23661.4,2387.36,1249.87,4,decrypt
1200.0,11833.3,1307.8,770.057,8,decrypt
1200.0,11831.5,1127.01,706.89,8,decrypt
1200.0,11970.5,1317.92,744.995,8,decrypt
1200.0,11841.9,1149.82,699.346,8,decrypt
1200.0,11849.8,1306.95,653.444,8,decrypt
1200.0,11832.9,1307.05,718.025,8,decrypt
1200.0,11837.1,1144.86,667.955,8,decrypt
1200.0,11831.9,1307.07,699.391,8,decrypt
1200.0,11844.3,1305.77,717.029,8,decrypt
1200.0,11843,1305.83,757.82,8,decrypt
1200.0,6407.18,791.056,459.407,16,decrypt
1200.0,7627.97,902.249,546.75,16,decrypt
1200.0,6377.11,788.726,424.256,16,decrypt
1200.0,6370.53,640.56,443.503,16,decrypt
1200.0,6292.2,781.51,495.175,16,decrypt
1200.0,6330.84,710.621,405.346,16,decrypt
1200.0,6321.88,783.538,374.938,16,decrypt
1200.0,6306.9,782.382,355.493,16,decrypt
1200.0,6315.77,783.434,475.254,16,decrypt
1200.0,6479.05,798.451,443.758,16,decrypt
1200.0,4189.4,544.853,275.6,32,decrypt
1200.0,4197.09,545.15,311.109,32,decrypt
1200.0,4198.26,545.271,253.524,32,decrypt
1200.0,4193.97,545.763,271.205,32,decrypt
1200.0,4206.65,546.794,254.159,32,decrypt
1200.0,4205.4,545.901,245.581,32,decrypt
1200.0,4276.98,553.384,276.199,32,decrypt
1200.0,4222.1,421.032,287.868,32,decrypt
1200.0,4187.68,543.264,295.449,32,decrypt
1200.0,4213.29,482.771,355.973,32,decrypt
1300.0,87380,8120.32,4279.44,1,decrypt
1300.0,87452.2,8032.57,4253.6,1,decrypt
1300.0,87276.4,8132.61,4195.48,1,decrypt
1300.0,87329.8,8135.15,4142.22,1,decrypt
1300.0,87247.1,8006.03,4149.88,1,decrypt
1300.0,87264.5,8134.28,4167.72,1,decrypt
1300.0,87275.2,8131.29,4186.66,1,decrypt
1300.0,87386.3,8146.5,4216.4,1,decrypt
1300.0,87362.5,8030.75,4184.68,1,decrypt
1300.0,87358.4,8095.34,4302.78,1,decrypt
1300.0,43671.7,4267.18,2308.31,2,decrypt
1300.0,43722.8,4289.83,2358.47,2,decrypt
1300.0,43704.8,4292.47,2330.1,2,decrypt
1300.0,43672.7,4265,2291.97,2,decrypt
1300.0,43671.2,4298.08,2351.95,2,decrypt
1300.0,43702.3,4277.27,2350.97,2,decrypt
1300.0,43699.4,4296.29,2372.65,2,decrypt
1300.0,43681.2,4276.76,2352.34,2,decrypt
1300.0,43691.7,4275.06,2332.02,2,decrypt
1300.0,43685.2,4288.1,2318.79,2,decrypt
1300.0,21844.2,2241.3,1192.26,4,decrypt
1300.0,21860.7,2111.19,1268.51,4,decrypt
1300.0,21857.7,2080.17,1229.37,4,decrypt
1300.0,21860.4,2240.2,1263.08,4,decrypt
1300.0,21887.3,2246.3,1236.23,4,decrypt
1300.0,21840.7,2238.52,1240.13,4,decrypt
1300.0,21855.9,2226.95,1253.38,4,decrypt
1300.0,21838.4,2242.83,1261.81,4,decrypt
1300.0,21908,2250.63,1220.27,4,decrypt
1300.0,21863.3,2243.54,1242.45,4,decrypt
