FR,TIM,EN,DC,TR,Name
1200.0,162522,15110.8,7628.81,1,decrypt
1200.0,162391,15080.7,7755.25,1,decrypt
1200.0,162588,15215.8,7762.18,1,decrypt
1200.0,162548,14988.6,7731.61,1,decrypt
1200.0,162441,14997.6,7614.79,1,decrypt
1200.0,162487,15104,7658.06,1,decrypt
1200.0,162536,15468.4,8048.38,1,decrypt
1200.0,162563,15129.4,7685.04,1,decrypt
1200.0,162410,15051.3,7558.51,1,decrypt
1200.0,162661,14968.5,7612.79,1,decrypt
1200.0,81272,7774.98,4205.36,2,decrypt
1200.0,81251.8,7775.63,4125.07,2,decrypt
1200.0,81233.1,7729.2,4075.35,2,decrypt
1200.0,81256.6,7924.17,4144.28,2,decrypt
1200.0,81250.2,7722.07,4109.07,2,decrypt
1200.0,81284.8,7779.01,4075.85,2,decrypt
1200.0,81280.9,7740.64,4149.87,2,decrypt
1200.0,81246.9,7866.84,4159.97,2,decrypt
1200.0,81274.5,7835.63,4115.66,2,decrypt
1200.0,81239.6,7901.44,4137.44,2,decrypt
1200.0,40670.5,3969.7,2230.73,4,decrypt
1200.0,40613.5,4115.21,2213.69,4,decrypt
1200.0,40608.9,4083.49,2138.76,4,decrypt
1200.0,40653,4042.56,2193.37,4,decrypt
1200.0,40632,4050.85,2194.68,4,decrypt
1200.0,40630.3,4013.86,2137.3,4,decrypt
1200.0,40631,3954.99,2187.86,4,decrypt
1200.0,40638.3,3966.54,2148.83,4,decrypt
1200.0,40630.2,4122.96,2194.29,4,decrypt
1200.0,40610.2,4103.4,2171.83,4,decrypt
1200.0,20342,2256.27,1250.13,8,decrypt
1200.0,20307,2255.69,1297.38,8,decrypt
1200.0,20321.1,2248.69,1275.12,8,decrypt
1200.0,20333.5,2182.14,1210.72,8,decrypt
1200.0,20325.5,2220.06,1268.1,8,decrypt
1200.0,20317.5,2064.02,1263.03,8,decrypt
1200.0,20340.2,2127.88,1265.51,8,decrypt
1200.0,22028,2344.15,1302.56,8,decrypt
1200.0,20348.8,2103.29,1272.19,8,decrypt
1200.0,22798.2,2466.52,1408.84,8,decrypt
1200.0,10606,1140,710.996,16,decrypt
1200.0,10720.8,1343.78,786.687,16,decrypt
1200.0,10509.2,1264.3,774.26,16,decrypt
1200.0,10682.4,1123.46,772.782,16,decrypt
1200.0,10544.4,1216.56,820.353,16,decrypt
1200.0,13056.2,1552.88,919.243,16,decrypt
1200.0,11225.1,1372.98,855.777,16,decrypt
1200.0,10594.7,1226.87,720.179,16,decrypt
1200.0,10654.6,1190.91,820.604,16,decrypt
1200.0,13123.1,1474.04,883.088,16,decrypt
1200.0,7172.6,725.612,581.118,32,decrypt
1200.0,7177.42,786.241,535.963,32,decrypt
1200.0,7150.98,918.599,522.382,32,decrypt
1200.0,7198.46,924.79,588.983,32,decrypt
1200.0,7177.88,934.504,479.313,32,decrypt
1200.0,7182.47,748.34,522.401,32,decrypt
1200.0,7149.77,876.834,581.771,32,decrypt
1200.0,7107.39,767.734,556.605,32,decrypt
1200.0,7178.48,939.414,539.978,32,decrypt
1200.0,7174.07,915.519,563.467,32,decrypt
1300.0,149840,14036.9,7170.02,1,decrypt
1300.0,149873,14049.3,7113.07,1,decrypt
1300.0,149902,14020.1,7040.79,1,decrypt
1300.0,160556,15195.6,7797.61,1,decrypt
1300.0,150116,14055.1,7219.92,1,decrypt
1300.0,150090,14178.5,7312.12,1,decrypt
1300.0,149864,13954.2,7039.56,1,decrypt
1300.0,150111,14394,7408.98,1,decrypt
1300.0,149853,14005,7123,1,decrypt
1300.0,150755,14138.7,7171.75,1,decrypt
1300.0,75001.8,7395.62,3888.79,2,decrypt
1300.0,80444.4,7701,4140.43,2,decrypt
1300.0,78077.4,7458.04,3902.42,2,decrypt
1300.0,77091.9,7322.82,3874.24,2,decrypt
1300.0,75025.2,7229.87,3772.55,2,decrypt
1300.0,80270.2,7622.32,3998.93,2,decrypt
1300.0,81195.5,7861.07,4133.23,2,decrypt
1300.0,81191.7,7785.51,4105.18,2,decrypt
1300.0,75040.3,7091.33,3741.43,2,decrypt
1300.0,75018.3,7269.73,3985.57,2,decrypt
1300.0,37501.9,3849.43,2144.04,4,decrypt
1300.0,40598.5,4063.83,2238.53,4,decrypt
1300.0,40732,4130.59,2280.16,4,decrypt
1300.0,40782.2,4124.43,2191.06,4,decrypt
1300.0,40754.5,4101.04,2249.05,4,decrypt
1300.0,37504.2,3771.19,2141,4,decrypt
1300.0,40802.9,4029.1,2184.53,4,decrypt
1300.0,40724.8,4104.27,2175.42,4,decrypt
1300.0,40581.6,4130.05,2223.16,4,decrypt
1300.0,37500.7,3700.1,2093.49,4,decrypt
1300.0,20256.3,2163.62,1219.73,8,decrypt
1300.0,20257.2,2225.02,1301.3,8,decrypt
1300.0,20201.1,2140.49,1309.62,8,decrypt
1300.0,20236.4,2215.44,1291.39,8,decrypt
1300.0,20360.4,2262.87,1268.84,8,decrypt
1300.0,19308.1,2131.16,1191.62,8,decrypt
1300.0,20377.7,2243.3,1288.09,8,decrypt
1300.0,20274.2,2106.8,1317.06,8,decrypt
1300.0,20386.1,2264.45,1208.85,8,decrypt
1300.0,20380.5,2260.97,1278.53,8,decrypt
1300.0,10381.5,1320.09,735.805,16,decrypt
1300.0,10308.1,1183.02,735.052,16,decrypt
1300.0,10401.5,1311.51,799.573,16,decrypt
1300.0,10503.9,1296.83,727.013,16,decrypt
1300.0,10460.6,1276.92,817.33,16,decrypt
1300.0,10213.3,1285.66,734.464,16,decrypt
1300.0,12383.7,1328.4,870.223,16,decrypt
1300.0,10451.8,1325.51,735.346,16,decrypt
1300.0,12913.4,1464.51,919.542,16,decrypt
1300.0,10734.2,1168.94,804.345,16,decrypt
1300.0,6649.47,835.536,428.816,32,decrypt
1300.0,6628.28,812.682,572.759,32,decrypt
1300.0,6608.02,897.503,471.511,32,decrypt
1300.0,6627.89,898.384,546.771,32,decrypt
1300.0,6639.85,863.494,552.751,32,decrypt
1300.0,6644.51,741.39,537.427,32,decrypt
1300.0,6605.71,762.052,497.295,32,decrypt
1300.0,6615.56,810.417,515.576,32,decrypt
1300.0,6616.16,761.8,581.643,32,decrypt
1300.0,6642.13,730.094,508.024,32,decrypt
1400.0,139479,12986.1,6713.68,1,decrypt
1400.0,139200,13030.3,6853.33,1,decrypt
1400.0,139240,13114.9,6757.8,1,decrypt
1400.0,139429,13155,6760.06,1,decrypt
1400.0,139223,13044.8,6874.01,1,decrypt
1400.0,139107,13083.9,6751.78,1,decrypt
1400.0,139285,12976.8,6772.13,1,decrypt
1400.0,139248,13078.1,6779.95,1,decrypt
1400.0,139173,13008.4,6856.16,1,decrypt
1400.0,139325,13100.5,6814.42,1,decrypt
1400.0,72585.4,6988.19,3776.96,2,decrypt
1400.0,77522.6,7571.78,4020.98,2,decrypt
1400.0,69664,6640.67,3559.33,2,decrypt
1400.0,69683.6,6808.32,3730.89,2,decrypt
1400.0,81136.9,7920.93,4198.09,2,decrypt
1400.0,69672.6,6766.38,3591.23,2,decrypt
1400.0,69675.2,6731.34,3574.72,2,decrypt
1400.0,81206.2,7759.19,4246.95,2,decrypt
1400.0,76401,7381.54,3901.51,2,decrypt
1400.0,69627.9,6601.28,3536.13,2,decrypt
1400.0,34832.5,3628.23,2033.87,4,decrypt
1400.0,40513.8,3994.08,2293.96,4,decrypt
1400.0,40693.9,3968.05,2216.33,4,decrypt
1400.0,40716,4102.83,2189.14,4,decrypt
1400.0,40634.9,4128.82,2195.8,4,decrypt
1400.0,34842.1,3566.66,1988.58,4,decrypt
1400.0,40580,4050.09,2227.15,4,decrypt
1400.0,40520.8,4152.83,2252.52,4,decrypt
1400.0,40679,3957.81,2180.56,4,decrypt
1400.0,40369.5,3980.86,2214.67,4,decrypt
1400.0,20249.8,2100.55,1275.21,8,decrypt
1400.0,20300.3,2137.73,1296.63,8,decrypt
1400.0,20350.9,2259.32,1314.78,8,decrypt
1400.0,20213.6,2248.41,1287.01,8,decrypt
1400.0,20361.4,2255.04,1284.88,8,decrypt
1400.0,20328.1,2252.34,1294.19,8,decrypt
1400.0,18517.4,2008.89,1220.85,8,decrypt
1400.0,20172.2,2152.87,1297.41,8,decrypt
1400.0,20229.8,2157.36,1319.13,8,decrypt
1400.0,21403.5,2347.62,1312.56,8,decrypt
1400.0,10402.3,1325.98,787.574,16,decrypt
1400.0,10139,1251.21,824.267,16,decrypt
1400.0,11679.2,1311.65,882.061,16,decrypt
1400.0,10340,1293.22,785.493,16,decrypt
1400.0,10255.8,1158.01,794.528,16,decrypt
1400.0,11746.9,1295.43,863.105,16,decrypt
1400.0,12021.3,1384.73,896.209,16,decrypt
1400.0,10342.8,1279.96,832.988,16,decrypt
1400.0,11780.6,1425.31,868.85,16,decrypt
1400.0,10450.3,1211.64,818.698,16,decrypt
1400.0,6131.6,840.27,439.758,32,decrypt
1400.0,6160.38,736.51,447.358,32,decrypt
1400.0,6141.65,680.966,543.02,32,decrypt
1400.0,6134.83,806.62,571.673,32,decrypt
1400.0,6142.24,844.303,471.311,32,decrypt
1400.0,6128.91,726.721,567.254,32,decrypt
1400.0,6142.85,742.524,418.107,32,decrypt
1400.0,6160.84,658.512,527.692,32,decrypt
1400.0,6206.34,802.607,433.735,32,decrypt
1400.0,6177.36,792.109,523.107,32,decrypt
1600.0,122144,11669,6191.85,1,decrypt
1600.0,127785,12073.1,6452.89,1,decrypt
1600.0,122954,11729.3,6207.4,1,decrypt
1600.0,121918,11612.6,6234.82,1,decrypt
1600.0,121684,11502.2,6219.26,1,decrypt
1600.0,122006,11520.7,6221.28,1,decrypt
1600.0,121824,11560.4,6183.18,1,decrypt
1600.0,122019,11588.2,6144.73,1,decrypt
1600.0,122012,11852.9,6425.03,1,decrypt
1600.0,122092,11563,6232.89,1,decrypt
1600.0,79336.5,7832.53,4267.05,2,decrypt
1600.0,60948.4,6254.48,3479.45,2,decrypt
1600.0,81194.8,7884.46,4225.09,2,decrypt
1600.0,60958.2,6139.5,3489.24,2,decrypt
1600.0,60946.9,6185.99,3424,2,decrypt
1600.0,60988.4,6185.93,3402.44,2,decrypt
1600.0,81192.9,7887.78,4212.45,2,decrypt
1600.0,61004.9,6069.23,3370.34,2,decrypt
1600.0,80179.8,7811.22,4217.87,2,decrypt
1600.0,60965.8,6241.61,3488.17,2,decrypt
1600.0,38592.3,3960.75,2277.16,4,decrypt
1600.0,30466.5,3250.11,1910.76,4,decrypt
1600.0,40530.9,4120.05,2269.81,4,decrypt
1600.0,40513.4,4021.56,2248.43,4,decrypt
1600.0,38976,4024.99,2297.72,4,decrypt
1600.0,40504.1,4074.4,2260.2,4,decrypt
1600.0,40460.4,4046.27,2355.57,4,decrypt
1600.0,40542.6,4061.11,2245.37,4,decrypt
1600.0,40506.9,4014.92,2248.84,4,decrypt
1600.0,40545.9,4174.75,2341.45,4,decrypt
1600.0,20263.2,2189.54,1276.6,8,decrypt
1600.0,20250.9,2255.56,1314.97,8,decrypt
1600.0,20095.6,2112.01,1319.42,8,decrypt
1600.0,20170.4,2284.56,1340.96,8,decrypt
1600.0,20120,2279.85,1343.34,8,decrypt
1600.0,15298.2,1705.44,1168.84,8,decrypt
1600.0,19933.6,2263.72,1368.45,8,decrypt
1600.0,20127.2,2110.78,1343.87,8,decrypt
1600.0,20252.2,2083.34,1282.5,8,decrypt
1600.0,20307.7,2135.28,1347.62,8,decrypt
1600.0,10180.7,1293.94,820.048,16,decrypt
1600.0,10120,1169.63,773.142,16,decrypt
1600.0,10178.2,1255.95,843.663,16,decrypt
1600.0,10532.3,1241.37,834.081,16,decrypt
1600.0,10211.9,1155.87,766.108,16,decrypt
1600.0,10548.9,1354.21,778.688,16,decrypt
1600.0,10226.2,1148.88,798.178,16,decrypt
1600.0,10242.6,1191.62,789.08,16,decrypt
1600.0,10211.8,1202.3,865.194,16,decrypt
1600.0,9714.84,1169.04,774.487,16,decrypt
1600.0,5368.5,787.694,472.445,32,decrypt
1600.0,5318.26,601.969,447.376,32,decrypt
1600.0,5428.39,605.31,503.019,32,decrypt
1600.0,5394.98,796.027,489.019,32,decrypt
1600.0,5374.57,815.538,487.645,32,decrypt
1600.0,5384.02,763.247,504.105,32,decrypt
1600.0,5371.23,765.073,483.532,32,decrypt
1600.0,5390.88,583.539,512.986,32,decrypt
1600.0,5385.4,745.523,472.119,32,decrypt
1600.0,5422.18,820.888,455.71,32,decrypt
1700.0,114773,11091.5,5944.26,1,decrypt
1700.0,114674,10962.4,5969.29,1,decrypt
1700.0,114706,10915.7,5956.99,1,decrypt
1700.0,114679,10907.3,5980.41,1,decrypt
1700.0,114731,10969.2,5946.22,1,decrypt
1700.0,114887,11070.9,5953.71,1,decrypt
1700.0,114767,10961.1,6018.07,1,decrypt
1700.0,114986,11034.8,5966.42,1,decrypt
1700.0,115074,10959,6043.02,1,decrypt
1700.0,114695,10916.8,5979.46,1,decrypt
1700.0,57522.2,5943.85,3388.12,2,decrypt
1700.0,57382,5912.55,3409.38,2,decrypt
1700.0,57430.3,5899.1,3427.5,2,decrypt
1700.0,57450.9,5863.23,3313.9,2,decrypt
1700.0,57401.8,5689.07,3158.83,2,decrypt
1700.0,57405.2,6009.94,3431.97,2,decrypt
1700.0,57382.8,5814.07,3393.65,2,decrypt
1700.0,57412.3,5621.57,3164.49,2,decrypt
1700.0,57385.1,5997.53,3373.36,2,decrypt
1700.0,57394.2,5880.14,3456.28,2,decrypt
1700.0,28704.4,3049.17,1930.52,4,decrypt
1700.0,40505.4,3960.28,2242.98,4,decrypt
1700.0,39979.7,4013.6,2355.82,4,decrypt
1700.0,36796.2,3833.81,2138.87,4,decrypt
1700.0,40530.4,4094.24,2336.96,4,decrypt
1700.0,36855.7,3752.66,2165.71,4,decrypt
1700.0,28681.8,3171.3,1890.73,4,decrypt
1700.0,40474.4,4226.27,2388.94,4,decrypt
1700.0,28679,3218.68,1913.25,4,decrypt
1700.0,40588.5,4110.08,2254.04,4,decrypt
1700.0,20142.3,2315.29,1412.25,8,decrypt
1700.0,19829.8,2269.01,1367.67,8,decrypt
1700.0,20236,2236.04,1346.94,8,decrypt
1700.0,14341.6,1742.38,1026.29,8,decrypt
1700.0,20084.7,2168.43,1365.25,8,decrypt
1700.0,20084.6,2234.65,1370.3,8,decrypt
1700.0,19908.2,2247.96,1305.32,8,decrypt
1700.0,17999,1886.51,1168.6,8,decrypt
1700.0,20075.8,2190.63,1350.37,8,decrypt
1700.0,20082.9,2210.99,1341.44,8,decrypt
1700.0,10136.1,1206.1,791.568,16,decrypt
1700.0,9943.72,1169.41,831.198,16,decrypt
1700.0,10137.1,1174.47,865.072,16,decrypt
1700.0,10061.7,1328.4,857.124,16,decrypt
1700.0,10133.4,1193.42,801.966,16,decrypt
1700.0,10052.2,1296.69,851.411,16,decrypt
1700.0,10026.2,1294.79,797.269,16,decrypt
1700.0,10172.1,1183.08,825.157,16,decrypt
1700.0,10127.8,1230.56,812.757,16,decrypt
1700.0,10133.8,1314.46,786.82,16,decrypt
1700.0,5095.21,710.747,465.902,32,decrypt
1700.0,5068.83,799.919,443.988,32,decrypt
1700.0,5045.61,758.86,388.239,32,decrypt
1700.0,5098.47,649.681,464.36,32,decrypt
1700.0,5084.75,664.997,546.386,32,decrypt
1700.0,5076.65,615.492,410.337,32,decrypt
1700.0,5109.8,553.39,540.052,32,decrypt
1700.0,5122.57,698.698,532.958,32,decrypt
1700.0,5076.56,661.012,503.077,32,decrypt
1700.0,5057.84,669.824,491.377,32,decrypt
1800.0,149306,13980.2,7317.25,1,decrypt
1800.0,108526,10561.3,5731.09,1,decrypt
1800.0,108397,10596.4,5744.71,1,decrypt
1800.0,108306,10540.7,5765.12,1,decrypt
1800.0,108587,10439.2,5689.26,1,decrypt
1800.0,152837,14419.6,7688.04,1,decrypt
1800.0,129813,12472,6790.09,1,decrypt
1800.0,108362,10648.4,5793.59,1,decrypt
1800.0,108469,10408.7,5723.29,1,decrypt
1800.0,108547,10512.9,5681.38,1,decrypt
1800.0,81178.6,7718.64,4236.33,2,decrypt
1800.0,81058.6,7730.61,4253.71,2,decrypt
1800.0,81092,7797.91,4302.22,2,decrypt
1800.0,54201.6,5674.73,3178.84,2,decrypt
1800.0,63697.7,6307.17,3480.96,2,decrypt
1800.0,54257.5,5471.16,3169.94,2,decrypt
1800.0,54249.3,5534.76,3157.7,2,decrypt
1800.0,54228.4,5704.51,3218.35,2,decrypt
1800.0,54259.6,5502.73,3142.78,2,decrypt
1800.0,54212.1,5339.5,3055.1,2,decrypt
1800.0,40544.4,3945.42,2263.48,4,decrypt
1800.0,30564.4,3280.63,1946.51,4,decrypt
1800.0,40557.1,4107.44,2237.47,4,decrypt
1800.0,37616.7,3961.9,2251.75,4,decrypt
1800.0,40505.3,4116.32,2301.22,4,decrypt
1800.0,40188.6,4062.63,2385.19,4,decrypt
1800.0,40552,4107.92,2249.92,4,decrypt
