FR,TR,Name,EN,TIM
2500.0,4,encrypt,19207.51,145514.7
2000.0,8,encrypt,11048.277,87616.64
2901.0,1,encrypt,47638.82,358832.5
1300.0,8,encrypt,15387.22,140207.8
2900.0,8,encrypt,11787.498,73554.79
1400.0,32,encrypt,8871.66,64780.05
1200.0,8,encrypt,17924.72,169025.1
2900.0,4,encrypt,16561.92,116587.0
1900.0,2,encrypt,37522.72,352442.4
1900.0,32,encrypt,7030.692,48112.44
2400.0,4,encrypt,18252.07,140421.0
1200.0,1,encrypt,112202.7,1203471.0
2300.0,1,encrypt,61374.07,598924.5
1400.0,16,encrypt,10176.264,81092.96
2800.0,4,encrypt,17038.78,124540.2
2500.0,2,encrypt,31754.71,269629.5
1400.0,8,encrypt,14029.6,131917.3
1300.0,4,encrypt,26333.99,257777.0
2200.0,2,encrypt,35646.22,313018.7
2500.0,8,encrypt,10689.769,75184.63
2800.0,16,encrypt,8102.452,42247.81
1900.0,16,encrypt,8242.017,58749.13
2500.0,32,encrypt,6866.857,37467.85
2900.0,16,encrypt,7797.445,38668.82
1800.0,16,encrypt,8620.386,60329.33
1600.0,1,encrypt,83963.5,878443.0
2800.0,8,encrypt,9807.773,61400.3
2500.0,16,encrypt,7644.558,48843.22
2200.0,8,encrypt,45726.746,118325.7
1300.0,32,encrypt,8987.51,69727.26
1800.0,4,encrypt,21913.32,192121.5
2200.0,1,encrypt,65289.89,644151.5
1800.0,32,encrypt,7949.191,52617.78
1600.0,4,encrypt,23467.82,215592.6
1800.0,8,encrypt,12802.57,107056.72
1900.0,1,encrypt,69343.33,705438.6
1200.0,16,encrypt,9403.509,83800.07
2800.0,2,encrypt,31722.48,253859.9
2300.0,32,encrypt,6263.346,40567.23
2300.0,2,encrypt,34075.61,300826.9
1200.0,32,encrypt,9148.948,75552.08
1800.0,2,encrypt,40346.75,381495.1
2900.0,2,encrypt,30106.46,232829.5
2800.0,1,encrypt,54568.44,506663.9
2901.0,8,encrypt,11259.221,59955.58
2901.0,4,encrypt,17632.61,94173.77
2700.0,16,encrypt,8078.477,43373.39
2000.0,2,encrypt,41381.81,374253.4
1300.0,2,encrypt,52133.71,528001.2
2700.0,1,encrypt,53405.99,498844.5
2000.0,1,encrypt,66793.96,670037.3
2200.0,16,encrypt,7347.762,32119.79
1700.0,4,encrypt,22347.11,202900.0
1400.0,2,encrypt,51442.14,516881.0
2800.0,32,encrypt,6578.06,33005.46
2200.0,32,encrypt,7299.478,28768.88
2000.0,4,encrypt,20983.26,176772.4
2901.0,32,encrypt,7252.441,28172.42
1700.0,16,encrypt,10145.853,75623.27
2300.0,8,encrypt,10835.514,79073.05
2400.0,16,encrypt,7582.52,45157.22
1600.0,16,encrypt,8775.501,67100.46
2000.0,16,encrypt,7678.831,54011.73
1800.0,1,encrypt,76331.58,782190.2
2700.0,2,encrypt,33680.39,276506.5
2901.0,16,encrypt,8547.681,35539.71
1700.0,8,encrypt,13576.81,113624.69
1400.0,1,encrypt,89882.92,953828.9
2901.0,2,encrypt,30996.39,193947.1
2400.0,2,encrypt,34265.58,296055.7
2400.0,32,encrypt,7870.426,39010.48
2700.0,8,encrypt,10274.576,63169.0
1200.0,4,encrypt,30452.01,303194.2
2400.0,1,encrypt,59244.8,578101.6
1600.0,2,encrypt,44277.39,429556.4
1700.0,32,encrypt,7693.889,55213.35
2700.0,32,encrypt,8281.176,36192.93
2300.0,16,encrypt,7239.797,43359.4
2900.0,1,encrypt,52076.04,477073.4
2400.0,8,encrypt,10626.793,73370.15
2200.0,4,encrypt,19502.1,166556.8
1400.0,4,encrypt,25904.93,245865.1
1900.0,4,encrypt,20179.58,176815.9
1600.0,32,encrypt,7770.892,56861.83
1900.0,8,encrypt,12547.833,102172.56
2500.0,1,encrypt,57829.99,552058.4
2700.0,4,encrypt,16995.65,124928.4
1700.0,2,encrypt,43361.3,415514.9
1700.0,1,encrypt,78121.58,806979.5
2300.0,4,encrypt,18605.6,150501.0
1600.0,8,encrypt,13062.25,112561.9
2900.0,32,encrypt,7657.711,32477.8
1300.0,1,encrypt,99085.59,1052367.0
1300.0,16,encrypt,10396.23,87589.06
1200.0,2,encrypt,55625.99,571875.3
2000.0,32,encrypt,6989.437,46512.08
