Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,25.43,304700.0,1200.0,91.2,2320.65
cr_audio1.wav,1,25.44,306768.0,1200.0,91.23,2321.45
cr_audio1.wav,1,25.41,300424.0,1200.0,91.21,2316.91
cr_audio1.wav,1,25.41,298360.0,1200.0,91.19,2317.86
cr_audio1.wav,1,25.41,305768.0,1200.0,91.2,2316.31
cr_audio1.wav,1,25.42,294148.0,1200.0,91.16,2320.05
cr_audio1.wav,1,25.43,302544.0,1200.0,91.18,2315.63
cr_audio1.wav,1,25.42,308272.0,1200.0,91.19,2316.18
cr_audio1.wav,1,25.43,304628.0,1200.0,91.19,2320.56
cr_audio1.wav,1,25.46,308436.0,1200.0,91.17,2320.5
cr_audio1.wav,2,15.39,294468.0,1200.0,93.44,1438.96
cr_audio1.wav,2,15.39,317324.0,1200.0,93.48,1433.11
cr_audio1.wav,2,15.39,323892.0,1200.0,93.44,1439.02
cr_audio1.wav,2,15.41,325736.0,1200.0,93.47,1443.45
cr_audio1.wav,2,15.39,316300.0,1200.0,93.45,1439.1
cr_audio1.wav,2,15.39,312060.0,1200.0,93.5,1439.94
cr_audio1.wav,2,15.4,318480.0,1200.0,93.61,1441.3
cr_audio1.wav,2,15.39,304008.0,1200.0,93.5,1439.96
cr_audio1.wav,2,15.39,313108.0,1200.0,93.5,1440.14
cr_audio1.wav,2,15.39,294036.0,1200.0,93.46,1439.13
cr_audio1.wav,4,10.22,287016.0,1200.0,96.23,986.37
cr_audio1.wav,4,10.23,312152.0,1200.0,96.23,979.39
cr_audio1.wav,4,10.23,315532.0,1200.0,96.17,985.9
cr_audio1.wav,4,10.23,321460.0,1200.0,96.22,986.39
cr_audio1.wav,4,10.22,294768.0,1200.0,96.19,981.34
cr_audio1.wav,4,10.22,311112.0,1200.0,96.2,981.59
cr_audio1.wav,4,10.23,323084.0,1200.0,96.22,981.56
cr_audio1.wav,4,10.23,320920.0,1200.0,96.19,981.36
cr_audio1.wav,4,10.23,312852.0,1200.0,96.23,981.13
cr_audio1.wav,4,10.22,291088.0,1200.0,96.22,986.4
cr_audio1.wav,8,7.52,314884.0,1200.0,98.49,743.99
cr_audio1.wav,8,7.53,314692.0,1200.0,98.13,736.27
cr_audio1.wav,8,7.52,319344.0,1200.0,98.11,741.06
cr_audio1.wav,8,7.52,310456.0,1200.0,98.3,742.43
cr_audio1.wav,8,7.53,313008.0,1200.0,98.22,736.78
cr_audio1.wav,8,7.52,306472.0,1200.0,98.11,736.11
cr_audio1.wav,8,7.52,321024.0,1200.0,98.17,735.01
cr_audio1.wav,8,7.52,315868.0,1200.0,98.24,736.96
cr_audio1.wav,8,7.52,310796.0,1200.0,98.15,735.86
cr_audio1.wav,8,7.52,311676.0,1200.0,98.14,736.36
cr_audio1.wav,16,6.35,318492.0,1200.0,100.38,637.74
cr_audio1.wav,16,6.36,311440.0,1200.0,99.98,635.59
cr_audio1.wav,16,6.36,329508.0,1200.0,100.77,645.23
cr_audio1.wav,16,6.36,320664.0,1200.0,100.21,636.7
cr_audio1.wav,16,6.35,326840.0,1200.0,100.19,641.36
cr_audio1.wav,16,6.36,317172.0,1200.0,100.67,638.51
cr_audio1.wav,16,6.36,312728.0,1200.0,101.04,641.85
cr_audio1.wav,16,6.36,316096.0,1200.0,99.9,634.65
cr_audio1.wav,16,6.36,321500.0,1200.0,99.91,634.72
cr_audio1.wav,16,6.35,314492.0,1200.0,100.0,635.0
cr_audio1.wav,32,6.36,306992.0,1200.0,100.52,638.41
cr_audio1.wav,32,6.35,315904.0,1200.0,100.43,643.31
cr_audio1.wav,32,6.36,320032.0,1200.0,100.08,635.75
cr_audio1.wav,32,6.36,312200.0,1200.0,100.82,645.58
cr_audio1.wav,32,6.36,315820.0,1200.0,102.17,648.84
cr_audio1.wav,32,6.36,321796.0,1200.0,100.28,637.23
cr_audio1.wav,32,6.35,314616.0,1200.0,100.19,636.29
cr_audio1.wav,32,6.36,316268.0,1200.0,100.88,641.01
cr_audio1.wav,32,6.36,317332.0,1200.0,100.16,641.42
cr_audio1.wav,32,6.36,324820.0,1200.0,100.08,635.81
cr_audio1.wav,1,19.11,311228.0,1600.0,94.0,1800.18
cr_audio1.wav,1,19.08,304488.0,1600.0,93.95,1794.0
cr_audio1.wav,1,19.09,302372.0,1600.0,94.29,1800.59
cr_audio1.wav,1,19.08,302600.0,1600.0,93.92,1793.74
cr_audio1.wav,1,19.08,301968.0,1600.0,93.93,1793.69
cr_audio1.wav,1,19.1,306108.0,1600.0,93.97,1793.95
cr_audio1.wav,1,19.08,309944.0,1600.0,93.98,1794.78
cr_audio1.wav,1,19.08,307596.0,1600.0,93.98,1795.3
cr_audio1.wav,1,19.07,302752.0,1600.0,93.95,1795.05
cr_audio1.wav,1,19.08,308860.0,1600.0,93.96,1789.7
cr_audio1.wav,2,11.56,307316.0,1600.0,97.5,1131.02
cr_audio1.wav,2,11.55,326116.0,1600.0,97.45,1125.63
cr_audio1.wav,2,11.54,297268.0,1600.0,97.46,1120.82
cr_audio1.wav,2,11.55,309140.0,1600.0,97.45,1125.46
cr_audio1.wav,2,11.55,317684.0,1600.0,97.45,1130.7
cr_audio1.wav,2,11.55,298984.0,1600.0,97.44,1124.11
cr_audio1.wav,2,11.55,318748.0,1600.0,97.46,1130.66
cr_audio1.wav,2,11.54,297568.0,1600.0,97.47,1125.78
cr_audio1.wav,2,11.55,296264.0,1600.0,97.49,1125.8
cr_audio1.wav,2,11.54,295416.0,1600.0,97.48,1126.01
cr_audio1.wav,4,7.68,308796.0,1600.0,100.54,774.37
cr_audio1.wav,4,7.68,298568.0,1600.0,100.52,774.35
cr_audio1.wav,4,7.68,316512.0,1600.0,100.53,774.59
cr_audio1.wav,4,7.69,317200.0,1600.0,100.55,774.58
cr_audio1.wav,4,7.69,323768.0,1600.0,100.54,774.95
cr_audio1.wav,4,7.68,313796.0,1600.0,100.56,774.51
cr_audio1.wav,4,7.69,312816.0,1600.0,100.49,774.03
cr_audio1.wav,4,7.69,319060.0,1600.0,100.72,775.44
cr_audio1.wav,4,7.69,318176.0,1600.0,100.53,775.38
cr_audio1.wav,4,7.68,308848.0,1600.0,100.54,774.39
cr_audio1.wav,8,5.77,315624.0,1600.0,103.43,600.31
cr_audio1.wav,8,5.77,315148.0,1600.0,103.31,594.46
cr_audio1.wav,8,5.77,314136.0,1600.0,103.35,594.62
cr_audio1.wav,8,5.77,306804.0,1600.0,103.22,598.17
cr_audio1.wav,8,5.77,311460.0,1600.0,103.25,593.27
cr_audio1.wav,8,5.77,306880.0,1600.0,103.23,599.16
cr_audio1.wav,8,5.76,285956.0,1600.0,103.33,594.47
cr_audio1.wav,8,5.77,316136.0,1600.0,103.69,601.66
cr_audio1.wav,8,5.76,301460.0,1600.0,103.47,596.63
cr_audio1.wav,8,5.77,320616.0,1600.0,103.26,594.11
cr_audio1.wav,16,4.8,330800.0,1600.0,105.8,508.43
cr_audio1.wav,16,4.8,325016.0,1600.0,105.8,508.3
cr_audio1.wav,16,4.8,319148.0,1600.0,105.77,508.26
cr_audio1.wav,16,4.81,337472.0,1600.0,105.74,507.74
cr_audio1.wav,16,4.8,329328.0,1600.0,105.73,507.81
cr_audio1.wav,16,4.8,321820.0,1600.0,105.77,508.0
cr_audio1.wav,16,4.81,328960.0,1600.0,105.83,508.45
cr_audio1.wav,16,4.81,325060.0,1600.0,105.87,508.35
cr_audio1.wav,16,4.8,320716.0,1600.0,105.88,509.31
cr_audio1.wav,16,4.8,319472.0,1600.0,105.63,507.47
cr_audio1.wav,32,4.81,329852.0,1600.0,105.63,513.11
cr_audio1.wav,32,4.8,322504.0,1600.0,105.82,508.43
cr_audio1.wav,32,4.81,322492.0,1600.0,105.69,512.97
cr_audio1.wav,32,4.8,330808.0,1600.0,105.83,507.34
cr_audio1.wav,32,4.81,330204.0,1600.0,105.7,512.88
cr_audio1.wav,32,4.8,315404.0,1600.0,105.77,508.59
cr_audio1.wav,32,4.8,329968.0,1600.0,105.78,508.24
cr_audio1.wav,32,4.8,327076.0,1600.0,105.79,508.41
cr_audio1.wav,32,4.8,325568.0,1600.0,106.04,508.86
cr_audio1.wav,32,4.81,329420.0,1600.0,105.77,508.12
cr_audio1.wav,1,16.97,306536.0,1800.0,95.71,1626.95
cr_audio1.wav,1,16.98,302016.0,1800.0,95.64,1625.91
cr_audio1.wav,1,16.97,304624.0,1800.0,95.66,1626.18
cr_audio1.wav,1,16.98,304740.0,1800.0,95.63,1620.87
cr_audio1.wav,1,16.96,308556.0,1800.0,95.69,1621.76
cr_audio1.wav,1,16.98,306176.0,1800.0,95.7,1627.59
cr_audio1.wav,1,16.96,304708.0,1800.0,95.66,1621.21
cr_audio1.wav,1,16.96,300428.0,1800.0,95.67,1621.68
cr_audio1.wav,1,16.97,304640.0,1800.0,95.65,1625.8
cr_audio1.wav,1,16.96,304444.0,1800.0,95.67,1621.42
cr_audio1.wav,2,10.27,319712.0,1800.0,99.68,1021.66
cr_audio1.wav,2,10.28,323496.0,1800.0,99.62,1026.11
cr_audio1.wav,2,10.29,321820.0,1800.0,99.55,1025.5
cr_audio1.wav,2,10.28,320388.0,1800.0,99.66,1021.58
cr_audio1.wav,2,10.29,311452.0,1800.0,99.56,1025.69
cr_audio1.wav,2,10.29,304632.0,1800.0,99.57,1025.61
cr_audio1.wav,2,10.28,316716.0,1800.0,99.59,1025.73
cr_audio1.wav,2,10.27,298732.0,1800.0,99.64,1021.31
cr_audio1.wav,2,10.27,298692.0,1800.0,99.6,1020.97
cr_audio1.wav,2,10.29,324020.0,1800.0,99.56,1025.55
cr_audio1.wav,4,6.83,316448.0,1800.0,103.15,706.68
cr_audio1.wav,4,6.82,304160.0,1800.0,103.29,707.78
cr_audio1.wav,4,6.83,308768.0,1800.0,103.15,706.75
cr_audio1.wav,4,6.83,312036.0,1800.0,104.21,713.95
cr_audio1.wav,4,6.82,297476.0,1800.0,103.16,706.97
cr_audio1.wav,4,6.83,313968.0,1800.0,103.11,706.55
cr_audio1.wav,4,6.82,295768.0,1800.0,103.18,701.83
cr_audio1.wav,4,6.84,326596.0,1800.0,103.15,706.8
cr_audio1.wav,4,6.83,302308.0,1800.0,103.25,707.57
cr_audio1.wav,4,6.83,311008.0,1800.0,103.35,708.15
cr_audio1.wav,8,5.02,308892.0,1800.0,107.42,542.76
cr_audio1.wav,8,5.02,317496.0,1800.0,106.79,536.18
cr_audio1.wav,8,5.02,303240.0,1800.0,107.09,541.12
cr_audio1.wav,8,5.02,307652.0,1800.0,106.81,539.77
cr_audio1.wav,8,5.03,319432.0,1800.0,107.58,543.65
cr_audio1.wav,8,5.02,316972.0,1800.0,106.67,539.08
cr_audio1.wav,8,5.02,308252.0,1800.0,107.18,541.68
cr_audio1.wav,8,5.02,307304.0,1800.0,106.89,540.43
cr_audio1.wav,8,5.02,314032.0,1800.0,107.05,535.86
cr_audio1.wav,8,5.03,317288.0,1800.0,106.84,540.12
cr_audio1.wav,16,4.25,312772.0,1800.0,114.93,489.3
cr_audio1.wav,16,4.25,317856.0,1800.0,112.39,483.71
cr_audio1.wav,16,4.24,318708.0,1800.0,112.17,477.28
cr_audio1.wav,16,4.25,319592.0,1800.0,114.81,488.78
cr_audio1.wav,16,4.25,308132.0,1800.0,116.07,493.98
cr_audio1.wav,16,4.24,307608.0,1800.0,111.57,475.45
cr_audio1.wav,16,4.25,324456.0,1800.0,111.71,475.38
cr_audio1.wav,16,4.25,324920.0,1800.0,113.39,482.65
cr_audio1.wav,16,4.25,316712.0,1800.0,110.94,477.74
cr_audio1.wav,16,4.24,314328.0,1800.0,110.96,472.39
cr_audio1.wav,32,4.25,318512.0,1800.0,111.13,472.9
cr_audio1.wav,32,4.24,315220.0,1800.0,111.11,472.89
cr_audio1.wav,32,4.25,322968.0,1800.0,113.24,481.82
cr_audio1.wav,32,4.25,314220.0,1800.0,115.17,490.25
cr_audio1.wav,32,4.25,310640.0,1800.0,114.57,487.56
cr_audio1.wav,32,4.24,319496.0,1800.0,112.09,476.88
cr_audio1.wav,32,4.24,314616.0,1800.0,110.83,471.71
cr_audio1.wav,32,4.24,315712.0,1800.0,113.33,482.6
cr_audio1.wav,32,4.24,325524.0,1800.0,111.82,475.98
cr_audio1.wav,32,4.24,305992.0,1800.0,113.25,480.94
cr_audio1.wav,1,13.89,306020.0,2200.0,99.97,1388.97
cr_audio1.wav,1,13.91,304360.0,2200.0,100.0,1394.82
cr_audio1.wav,1,13.9,305944.0,2200.0,99.96,1389.27
cr_audio1.wav,1,13.9,295468.0,2200.0,99.93,1393.83
cr_audio1.wav,1,13.88,304616.0,2200.0,99.94,1383.89
cr_audio1.wav,1,13.89,296464.0,2200.0,99.89,1388.5
cr_audio1.wav,1,13.9,304688.0,2200.0,99.93,1388.78
cr_audio1.wav,1,13.89,300244.0,2200.0,99.92,1388.8
cr_audio1.wav,1,13.89,302004.0,2200.0,99.87,1388.76
cr_audio1.wav,1,13.9,308712.0,2200.0,99.95,1389.93
cr_audio1.wav,2,8.41,297904.0,2200.0,104.24,875.77
cr_audio1.wav,2,8.41,299028.0,2200.0,104.23,875.55
cr_audio1.wav,2,8.41,299952.0,2200.0,104.19,879.58
cr_audio1.wav,2,8.42,313048.0,2200.0,104.16,874.87
cr_audio1.wav,2,8.42,327108.0,2200.0,104.22,880.82
cr_audio1.wav,2,8.41,299968.0,2200.0,104.57,878.4
cr_audio1.wav,2,8.41,297272.0,2200.0,104.21,880.48
cr_audio1.wav,2,8.41,299588.0,2200.0,104.25,875.72
cr_audio1.wav,2,8.41,294248.0,2200.0,104.22,878.8
cr_audio1.wav,2,8.42,325480.0,2200.0,104.22,875.44
cr_audio1.wav,4,5.59,312828.0,2200.0,109.1,611.14
cr_audio1.wav,4,5.59,296600.0,2200.0,109.1,611.22
cr_audio1.wav,4,5.6,317764.0,2200.0,109.05,610.94
cr_audio1.wav,4,5.59,321296.0,2200.0,109.17,612.39
cr_audio1.wav,4,5.6,315128.0,2200.0,109.08,611.43
cr_audio1.wav,4,5.58,291880.0,2200.0,109.06,611.15
cr_audio1.wav,4,5.59,303840.0,2200.0,109.11,611.51
cr_audio1.wav,4,5.6,304776.0,2200.0,109.05,611.64
cr_audio1.wav,4,5.59,299724.0,2200.0,109.21,610.93
cr_audio1.wav,4,5.6,325288.0,2200.0,109.01,615.96
cr_audio1.wav,8,4.11,309064.0,2200.0,114.51,469.94
cr_audio1.wav,8,4.11,306012.0,2200.0,114.76,476.71
cr_audio1.wav,8,4.11,308860.0,2200.0,115.4,473.32
cr_audio1.wav,8,4.11,302012.0,2200.0,114.66,470.4
cr_audio1.wav,8,4.11,314928.0,2200.0,114.38,475.19
