Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
enwik9,1,383.77,4851876.4,990057063.0,1.01,0.0026317846626885896,1200.0,94.61,36310.81
enwik9,2,182.27,4201210.0,169056807.0,5.92,0.032479288966917215,1200.0,98.01,17865.75
enwik9,4,87.06,4349729.2,173359677.0,5.77,0.06627613140362967,1200.0,104.93,9136.19
enwik9,8,35.0,3955224.0,176949150.0,5.65,0.16142857142857145,1200.0,115.86,4031.28
enwik9,16,54.7,4302436.4,182865022.0,5.47,0.1,1200.0,111.88,5892.04
enwik9,32,66.96,4286158.8,182865022.0,5.47,0.0816905615292712,1200.0,108.3,7013.7
enwik9,1,292.99,4849946.4,990057063.0,1.01,0.0034472166285538755,1600.0,98.3,27219.89
enwik9,2,138.24,4201742.8,169056807.0,5.92,0.04282407407407407,1600.0,103.95,13571.27
enwik9,4,66.82,4352935.2,173359677.0,5.77,0.08635139179886261,1600.0,113.38,6996.87
enwik9,8,26.82,3964707.2,176949150.0,5.65,0.21066368381804626,1600.0,131.37,3293.7
enwik9,16,32.02,4303027.6,182865022.0,5.47,0.1708307307932542,1600.0,126.66,4037.26
enwik9,32,26.37,4307942.0,182865022.0,5.47,0.2074326886613576,1600.0,130.6,8334.31
enwik9,1,263.02,4849616.0,990057063.0,1.01,0.0038400121663751813,1800.0,100.07,24859.22
enwik9,2,124.41,4201430.8,169056807.0,5.92,0.047584599308737235,1800.0,106.54,12517.11
enwik9,4,59.84,4350532.4,173359677.0,5.77,0.09642379679144383,1800.0,117.56,6488.0
enwik9,8,20.72,3974335.2,176949150.0,5.65,0.2726833976833977,1800.0,137.12,3025.76
enwik9,16,31.13,4321460.4,182865022.0,5.47,0.17571474461933825,1800.0,137.22,4121.5
enwik9,32,39.15,4289762.4,182865022.0,5.47,0.13971902937420178,1800.0,124.18,8859.37
enwik9,1,219.71,4852355.2,990057063.0,1.01,0.004596968731509717,2200.0,104.79,21737.47
enwik9,2,103.47,4204197.6,169056807.0,5.92,0.0572146515898328,2200.0,112.11,10941.3
