Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,0.97,900.0,1200.0,93.72,92.07
cr_audio1.flac,2,0.86,1026.0,1200.0,99.05,86.32
cr_audio1.flac,4,0.87,1027.6,1200.0,99.39,86.24
cr_audio1.flac,8,0.88,1026.4,1200.0,99.0,88.03
cr_audio1.flac,16,0.84,1026.8,1200.0,99.0,84.92
cr_audio1.flac,32,0.9,1027.6,1200.0,99.06,90.03
cr_audio1.flac,1,0.79,895.2,1600.0,94.7,78.95
cr_audio1.flac,2,0.7,1024.0,1600.0,103.86,74.53
cr_audio1.flac,4,0.71,1023.2,1600.0,104.34,74.69
cr_audio1.flac,8,0.71,1022.8,1600.0,103.67,78.33
cr_audio1.flac,16,0.71,1023.6,1600.0,104.95,76.28
cr_audio1.flac,32,0.72,1023.6,1600.0,104.27,75.84
cr_audio1.flac,1,0.74,894.8,1800.0,95.8,71.96
cr_audio1.flac,2,0.7,1022.8,1800.0,107.91,77.49
cr_audio1.flac,4,0.68,1023.2,1800.0,107.61,73.86
cr_audio1.flac,8,0.68,1022.0,1800.0,106.75,73.97
cr_audio1.flac,16,0.65,1206.8,1800.0,106.24,76.04
cr_audio1.flac,32,0.69,1022.8,1800.0,108.4,76.03
cr_audio1.flac,1,0.7,894.8,2200.0,98.25,72.97
cr_audio1.flac,2,0.65,1022.8,2200.0,112.76,74.6
cr_audio1.flac,4,0.6,1023.2,2200.0,113.11,69.64
cr_audio1.flac,8,0.6,1022.8,2200.0,113.17,74.37
cr_audio1.flac,16,0.63,1023.2,2200.0,113.08,72.82
cr_audio1.flac,32,0.62,1023.6,2200.0,113.21,70.28
cr_audio1.flac,1,0.68,895.6,2400.0,99.67,67.65
cr_audio1.flac,2,0.54,1023.6,2400.0,114.04,62.6
cr_audio1.flac,4,0.55,1022.8,2400.0,115.91,64.81
cr_audio1.flac,8,0.56,1206.0,2400.0,114.87,70.19
cr_audio1.flac,16,0.59,1023.6,2400.0,115.46,67.04
cr_audio1.flac,32,0.58,1023.6,2400.0,113.37,66.62
cr_audio1.flac,1,0.61,894.4,2700.0,102.59,62.24
cr_audio1.flac,2,0.54,1023.6,2700.0,122.71,71.2
cr_audio1.flac,4,0.6,1024.0,2700.0,119.41,73.17
cr_audio1.flac,8,0.55,1023.2,2700.0,122.62,67.63
cr_audio1.flac,16,0.56,1023.2,2700.0,118.82,68.44
cr_audio1.flac,32,0.58,1023.2,2700.0,122.15,73.19
cr_audio1.flac,1,0.52,895.6,2901.0,119.74,62.78
cr_audio1.flac,2,0.48,1205.6,2901.0,152.23,72.57
cr_audio1.flac,4,0.52,1205.6,2901.0,155.89,85.49
cr_audio1.flac,8,0.46,1023.6,2901.0,155.27,73.64
cr_audio1.flac,16,0.49,1023.2,2901.0,158.22,79.07
cr_audio1.flac,32,0.48,1205.2,2901.0,154.49,77.2
cr_audio1.flac,1,0.93,894.8,1300.0,93.16,86.72
cr_audio1.flac,2,0.87,1023.6,1300.0,101.13,88.65
cr_audio1.flac,4,0.81,1206.4,1300.0,101.02,83.93
cr_audio1.flac,8,0.85,1023.6,1300.0,100.97,87.44
cr_audio1.flac,16,0.86,1022.8,1300.0,101.24,88.83
cr_audio1.flac,32,0.89,1023.2,1300.0,100.51,90.95
cr_audio1.flac,1,0.79,895.2,1700.0,95.59,75.67
cr_audio1.flac,2,0.73,1023.2,1700.0,105.87,78.69
cr_audio1.flac,4,0.72,1023.6,1700.0,105.61,78.33
cr_audio1.flac,8,0.73,1022.8,1700.0,106.31,77.92
cr_audio1.flac,16,0.79,1023.6,1700.0,105.54,84.13
cr_audio1.flac,32,0.76,1024.0,1700.0,105.57,80.54
cr_audio1.flac,1,0.77,895.2,1900.0,96.64,74.86
cr_audio1.flac,2,0.73,1022.8,1900.0,108.16,79.06
cr_audio1.flac,4,0.7,1206.4,1900.0,108.45,77.77
cr_audio1.flac,8,0.7,1022.8,1900.0,108.27,81.86
cr_audio1.flac,16,0.7,1023.6,1900.0,108.26,80.22
cr_audio1.flac,32,0.71,1024.0,1900.0,107.87,77.43
cr_audio1.flac,1,0.69,895.6,2300.0,100.03,69.26
cr_audio1.flac,2,0.59,1023.2,2300.0,115.17,73.16
cr_audio1.flac,4,0.61,1024.4,2300.0,116.67,71.33
cr_audio1.flac,8,0.59,1022.8,2300.0,116.62,70.19
cr_audio1.flac,16,0.6,1023.2,2300.0,115.92,70.37
cr_audio1.flac,32,0.63,1022.4,2300.0,116.18,72.8
cr_audio1.flac,1,0.63,895.2,2500.0,102.23,64.37
cr_audio1.flac,2,0.62,1206.8,2500.0,119.16,75.0
cr_audio1.flac,4,0.56,1023.6,2500.0,119.01,67.65
cr_audio1.flac,8,0.6,1207.2,2500.0,120.06,72.34
cr_audio1.flac,16,0.59,1022.8,2500.0,119.88,72.34
cr_audio1.flac,32,0.58,1022.8,2500.0,120.58,69.53
cr_audio1.flac,1,0.6,894.8,2800.0,105.32,63.02
cr_audio1.flac,2,0.61,1022.4,2800.0,125.05,78.51
cr_audio1.flac,4,0.54,1023.2,2800.0,124.08,69.21
cr_audio1.flac,8,0.54,1205.6,2800.0,127.03,81.47
cr_audio1.flac,16,0.58,1023.2,2800.0,124.62,73.14
cr_audio1.flac,32,0.58,1023.2,2800.0,124.7,74.53
cr_audio1.flac,1,0.89,895.6,1400.0,94.31,88.69
cr_audio1.flac,2,0.89,1024.0,1400.0,101.87,94.75
cr_audio1.flac,4,0.87,1021.6,1400.0,102.57,89.39
cr_audio1.flac,8,0.83,1024.0,1400.0,102.92,84.8
cr_audio1.flac,16,0.82,1022.8,1400.0,102.46,84.76
cr_audio1.flac,32,0.88,1206.8,1400.0,101.96,90.79
cr_audio1.flac,1,0.64,895.2,2900.0,102.49,66.29
cr_audio1.flac,2,0.53,1023.6,2900.0,131.61,71.45
cr_audio1.flac,4,0.55,1023.2,2900.0,127.68,72.01
cr_audio1.flac,8,0.57,1023.2,2900.0,127.26,74.06
cr_audio1.flac,16,0.57,1023.2,2900.0,129.49,74.19
cr_audio1.flac,32,0.52,1022.4,2900.0,128.84,73.33
cr_audio1.flac,1,0.72,894.0,2000.0,98.28,72.34
cr_audio1.flac,2,0.67,1024.0,2000.0,110.63,75.86
cr_audio1.flac,4,0.63,1022.8,2000.0,111.34,75.48
cr_audio1.flac,8,0.72,1022.4,2000.0,109.17,79.81
cr_audio1.flac,16,0.76,1024.0,2000.0,109.73,85.31
cr_audio1.flac,32,0.7,1023.6,2000.0,109.98,81.42
