Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,25.76,18995.6,1200.0,90.94,2142.32
cr_audio1.flac,2,20.59,33972.4,1200.0,93.79,1978.44
cr_audio1.flac,4,14.96,76898.8,1200.0,95.37,1481.54
cr_audio1.flac,8,10.49,110015.6,1200.0,97.57,1066.28
cr_audio1.flac,16,7.33,139459.6,1200.0,100.19,771.02
cr_audio1.flac,32,5.38,205220.0,1200.0,103.97,575.73
cr_audio1.flac,1,19.35,18288.0,1600.0,97.49,1695.57
cr_audio1.flac,2,15.42,33944.4,1600.0,97.46,1542.59
cr_audio1.flac,4,11.28,76888.4,1600.0,100.04,1171.16
cr_audio1.flac,8,7.97,116322.4,1600.0,103.57,860.5
cr_audio1.flac,16,5.57,138068.0,1600.0,107.68,631.65
cr_audio1.flac,32,4.03,206000.4,1600.0,112.74,473.28
cr_audio1.flac,1,17.27,18591.6,1800.0,99.39,1541.25
cr_audio1.flac,2,13.74,34008.8,1800.0,99.5,1402.82
cr_audio1.flac,4,10.02,76776.0,1800.0,102.43,1063.41
cr_audio1.flac,8,7.04,116961.2,1800.0,106.58,783.36
cr_audio1.flac,16,4.95,138916.4,1800.0,111.65,575.82
cr_audio1.flac,32,3.66,205545.2,1800.0,116.42,442.1
cr_audio1.flac,1,14.21,18588.8,2200.0,105.29,1335.75
cr_audio1.flac,2,11.29,33916.4,2200.0,104.87,1213.85
cr_audio1.flac,4,8.28,77150.0,2200.0,108.85,933.11
cr_audio1.flac,8,5.83,114540.0,2200.0,114.51,695.7
cr_audio1.flac,16,4.08,140810.4,2200.0,120.62,513.24
cr_audio1.flac,32,3.11,205483.2,2200.0,125.71,405.5
cr_audio1.flac,1,13.07,18334.0,2400.0,107.14,1251.5
cr_audio1.flac,2,10.41,33884.8,2400.0,107.28,1145.7
cr_audio1.flac,4,7.56,76974.0,2400.0,112.92,884.52
cr_audio1.flac,8,5.36,113532.0,2400.0,118.73,663.03
cr_audio1.flac,16,3.77,140254.8,2400.0,125.17,495.98
cr_audio1.flac,32,2.79,205638.8,2400.0,133.86,388.76
cr_audio1.flac,1,11.61,18300.8,2700.0,110.58,1149.86
cr_audio1.flac,2,9.37,33870.4,2700.0,111.27,1071.17
cr_audio1.flac,4,6.86,77479.2,2700.0,117.64,835.34
cr_audio1.flac,8,4.85,111969.6,2700.0,123.87,636.84
cr_audio1.flac,16,3.39,140094.0,2700.0,133.29,468.68
cr_audio1.flac,32,2.54,205576.8,2700.0,142.65,375.72
cr_audio1.flac,1,8.32,18276.8,2901.0,143.27,1062.08
cr_audio1.flac,2,6.78,34016.0,2901.0,142.51,986.28
cr_audio1.flac,4,4.99,76907.2,2901.0,155.26,807.6
cr_audio1.flac,8,3.63,115997.6,2901.0,166.83,629.11
cr_audio1.flac,16,2.66,140110.8,2901.0,178.53,492.94
cr_audio1.flac,32,2.13,206444.0,2901.0,186.35,413.93
cr_audio1.flac,1,23.74,18544.4,1300.0,94.61,2028.93
cr_audio1.flac,2,18.9,34186.4,1300.0,94.6,1831.52
cr_audio1.flac,4,13.79,77204.4,1300.0,96.23,1379.92
cr_audio1.flac,8,9.72,114855.2,1300.0,98.56,999.51
cr_audio1.flac,16,6.75,139287.6,1300.0,101.99,717.83
cr_audio1.flac,32,5.07,205039.6,1300.0,105.7,548.09
cr_audio1.flac,1,18.2,18359.2,1700.0,98.06,1606.63
cr_audio1.flac,2,14.59,33845.6,1700.0,98.15,1467.77
cr_audio1.flac,4,10.55,77390.8,1700.0,101.05,1106.63
cr_audio1.flac,8,7.5,115651.2,1700.0,104.79,815.58
cr_audio1.flac,16,5.22,137948.4,1700.0,109.33,595.08
cr_audio1.flac,32,3.81,205598.8,1700.0,114.44,452.86
cr_audio1.flac,1,16.32,18351.6,1900.0,100.7,1476.39
cr_audio1.flac,2,13.0,34093.6,1900.0,100.46,1342.09
cr_audio1.flac,4,9.49,77010.8,1900.0,103.64,1021.27
cr_audio1.flac,8,6.75,112060.8,1900.0,107.61,757.2
cr_audio1.flac,16,4.71,140798.0,1900.0,112.94,557.84
cr_audio1.flac,32,3.47,205509.2,1900.0,118.25,426.92
cr_audio1.flac,1,13.62,18392.8,2300.0,105.73,1296.27
cr_audio1.flac,2,10.88,34130.8,2300.0,106.91,1191.24
cr_audio1.flac,4,7.93,77621.2,2300.0,111.55,917.5
cr_audio1.flac,8,5.58,114340.4,2300.0,116.42,678.06
cr_audio1.flac,16,3.93,140112.4,2300.0,122.98,504.35
cr_audio1.flac,32,2.93,205302.8,2300.0,131.07,399.74
cr_audio1.flac,1,12.49,18422.8,2500.0,109.29,1220.55
cr_audio1.flac,2,9.99,33872.8,2500.0,109.98,1126.53
cr_audio1.flac,4,7.3,77139.6,2500.0,115.19,871.69
cr_audio1.flac,8,5.21,113452.4,2500.0,120.1,650.11
cr_audio1.flac,16,3.64,139720.4,2500.0,128.0,489.67
cr_audio1.flac,32,2.75,205805.6,2500.0,136.66,386.36
cr_audio1.flac,1,11.17,18432.4,2800.0,114.71,1136.28
cr_audio1.flac,2,8.99,33901.6,2800.0,113.86,1046.79
cr_audio1.flac,4,6.58,77248.4,2800.0,120.75,823.32
cr_audio1.flac,8,4.69,111721.2,2800.0,127.04,634.4
cr_audio1.flac,16,3.31,138381.6,2800.0,135.83,469.71
cr_audio1.flac,32,2.47,206105.6,2800.0,147.08,377.02
cr_audio1.flac,1,22.12,18474.0,1400.0,95.98,1907.28
cr_audio1.flac,2,17.64,34295.2,1400.0,95.6,1727.46
cr_audio1.flac,4,12.8,77090.8,1400.0,97.73,1300.85
cr_audio1.flac,8,9.05,113562.0,1400.0,100.44,945.24
cr_audio1.flac,16,6.41,140219.2,1400.0,103.81,687.56
cr_audio1.flac,32,4.66,205893.6,1400.0,107.8,528.78
cr_audio1.flac,1,10.85,18370.0,2900.0,116.43,1119.02
cr_audio1.flac,2,8.71,33883.6,2900.0,115.92,1034.98
cr_audio1.flac,4,6.33,77332.4,2900.0,122.87,804.14
cr_audio1.flac,8,4.48,112070.4,2900.0,130.18,615.68
cr_audio1.flac,16,3.18,139624.4,2900.0,140.41,466.55
cr_audio1.flac,32,2.4,206232.4,2900.0,151.14,375.76
cr_audio1.flac,1,15.61,18776.8,2000.0,102.6,1443.93
cr_audio1.flac,2,12.44,34194.0,2000.0,102.5,1308.14
cr_audio1.flac,4,9.09,77098.8,2000.0,106.65,1005.24
cr_audio1.flac,8,6.42,115712.0,2000.0,110.66,739.86
cr_audio1.flac,16,4.46,137071.2,2000.0,116.36,551.8
cr_audio1.flac,32,3.3,205608.8,2000.0,122.44,424.21
