FR,TR,Name,EN,TIM
2500.0,16,10,7841.546258,55.973481503
1200.0,32,10,10614.6462,96.421952236
2200.0,32,10,8169.538474,59.705419421
1300.0,8,10,11347.736579,105.593768084
1400.0,32,10,9321.345296,82.173760852
1800.0,4,10,11838.162911,103.857640593
2800.0,32,10,7173.250366,47.188129123
2900.0,16,10,7990.256545,52.614015628
1200.0,4,10,15016.522026,144.939128908
1600.0,32,10,9222.773024,77.682053902
1800.0,2,10,15121.752397,140.488535731
2900.0,1,10,13758.41021,121.394114767
2300.0,16,10,7705.269706,57.303836333
2300.0,4,10,10453.830708,84.412279218
2700.0,2,10,12463.804088,102.056877444
1600.0,2,10,16549.924925,157.487343744
2500.0,1,10,13944.153329,129.563600479
2300.0,1,10,15354.156054,144.739006911
2400.0,2,10,13537.462328,114.009332544
2900.0,32,10,7847.568557,49.104257126
2800.0,4,10,10121.795698,74.643362135
2800.0,16,10,7906.138615,52.018826579
2500.0,8,10,8121.661463,60.33006323
1600.0,8,10,10218.041054,90.325100628
2900.0,2,10,12130.301425,94.821868662
2400.0,1,10,14234.950465,133.302852256
2901.0,16,10,7830.539417,41.276968141
2200.0,1,10,15561.644187,148.119645871
1800.0,32,10,8531.600627,69.739149537
2800.0,1,10,13372.131755,120.437114755
2500.0,2,10,13019.488124,107.32393945
1700.0,16,10,8722.360936,74.031287635
2800.0,8,10,8234.265627,57.359113755
1700.0,4,10,12322.829925,109.573648418
1200.0,8,10,12030.110185,113.334623744
1400.0,1,10,20687.774254,213.566195144
1800.0,1,10,17432.616689,174.270750831
1900.0,32,10,8145.605811,64.780597432
1700.0,32,10,9049.713429,74.705620286
2901.0,1,10,12644.180185,92.823717797
2300.0,2,10,14292.921557,122.473042025
2900.0,4,10,10118.186502,73.842826353
2900.0,8,10,8083.994598,55.619104537
1200.0,1,10,24538.609116,256.605567945
2901.0,32,10,8113.615717,41.228848605
1400.0,8,10,10573.229248,96.582033623
1800.0,16,10,8831.524358,72.826413995
1600.0,4,10,12563.190595,113.629838566
2200.0,8,10,8767.862784,69.318942484
2700.0,4,10,10179.921637,76.431304061
2000.0,32,10,8139.329106,62.56008748
1400.0,2,10,17527.923769,171.362660523
1800.0,8,10,9267.523359,79.128275325
2700.0,1,10,14292.167431,129.323589105
1300.0,1,10,23240.525316,240.901755437
1600.0,1,10,19286.768125,195.645555326
2800.0,2,10,12892.149202,101.651319465
2400.0,16,10,7177.11522,53.895982512
2400.0,8,10,8601.030002,64.96701143
1700.0,8,10,9765.242462,84.88949918
2000.0,1,10,15647.780295,153.128807977
2901.0,2,10,12483.129099,75.105535593
1900.0,1,10,16058.273477,159.685931533
2700.0,16,10,7643.751952,52.503339299
1300.0,2,10,19386.069019,192.115714755
2700.0,32,10,7687.414342,51.24116628
2300.0,32,10,7790.317097,56.130756458
1900.0,8,10,9470.316757,78.947549407
1400.0,4,10,13796.300721,129.227397887
2000.0,8,10,8944.450845,73.418237156
1700.0,1,10,17267.147267,174.574712942
2300.0,8,10,8810.154383,68.037680067
2400.0,32,10,7635.484712,54.915975395
2200.0,16,10,7916.905071,60.373390522
2200.0,4,10,10941.884255,89.723154468
2700.0,8,10,8146.710438,57.637263615
2400.0,4,10,10182.185488,81.347138897
1600.0,16,10,9224.453021,79.561619273
1200.0,16,10,10679.179318,99.141352411
2000.0,2,10,14516.87713,130.102535583
1200.0,2,10,20156.500734,202.10711854
2200.0,2,10,13759.938016,119.887985884
2000.0,16,10,8079.131443,64.363176848
1400.0,16,10,9797.777579,87.622185215
2901.0,4,10,10377.146335,61.148688143
2500.0,32,10,8088.283813,54.827081692
1300.0,16,10,10371.236502,94.893927019
1900.0,2,10,14537.374716,133.126089173
2500.0,4,10,10421.890377,81.950974497
2901.0,8,10,8598.443336,47.325025524
1300.0,32,10,10342.980195,92.760142336
1700.0,2,10,14987.000807,140.416873731
1300.0,4,10,14843.888019,141.387054493
1900.0,4,10,11578.065715,99.771406046
2000.0,4,10,10974.20233,93.111151255
1900.0,16,10,8257.2786,67.935280742
